date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,17.0,17.14,16.76,16.88,19268700.0
2021-05-12,16.65,17.23,16.65,16.87,35426000.0
2021-05-11,16.35,17.0,16.25,16.87,25643900.0
2021-05-10,16.15,16.65,16.09,16.5,28984800.0
2021-05-07,16.19,16.33,16.0,16.21,22164600.0
2021-05-06,15.84,16.29,15.72,16.18,72966700.0
2021-05-05,14.65,14.92,14.57,14.86,17988100.0
2021-05-04,14.74,14.8,14.54,14.64,16847100.0
2021-05-03,14.92,14.99,14.61,14.8,25092400.0
2021-04-30,15.2,15.3,14.91,14.94,29548500.0
2021-04-29,15.21,15.46,15.21,15.26,14178500.0
2021-04-28,15.3,15.41,15.18,15.21,11694400.0
2021-04-27,15.51,15.6,15.21,15.29,17906000.0
2021-04-26,15.6,15.85,15.48,15.59,19000700.0
2021-04-23,15.98,16.05,15.82,15.85,22493600.0
2021-04-22,15.89,16.11,15.66,15.9,22659500.0
2021-04-20,15.67,15.8,15.53,15.62,12562100.0
2021-04-19,15.54,16.07,15.51,15.73,19961200.0
2021-04-16,15.79,15.96,15.72,15.8,13479600.0
2021-04-15,15.79,16.03,15.72,15.87,17606300.0
2021-04-14,15.64,15.9,15.62,15.81,21458000.0
2021-04-13,15.5,15.74,15.37,15.63,19412000.0
2021-04-12,15.5,15.6,15.36,15.51,11972000.0
2021-04-09,15.22,15.64,15.21,15.36,16665600.0
2021-04-08,15.2,15.67,15.14,15.45,19139800.0
2021-04-07,15.23,15.43,15.09,15.22,11775700.0
2021-04-06,15.27,15.48,15.16,15.39,12580000.0
2021-04-05,15.13,15.39,15.1,15.27,20917700.0
2021-04-01,15.39,15.4,14.99,15.0,15790400.0
2021-03-31,15.6,15.67,15.29,15.29,14534300.0
2021-03-30,15.13,15.73,15.08,15.59,15121100.0
2021-03-29,15.07,15.37,15.01,15.3,13694800.0
2021-03-26,15.01,15.33,14.99,15.15,16387100.0
2021-03-25,14.74,15.12,14.71,14.99,21539000.0
2021-03-24,15.01,15.29,14.76,14.8,25252500.0
2021-03-23,15.41,15.55,15.08,15.08,15928300.0
2021-03-22,15.29,15.68,15.28,15.54,22095000.0
2021-03-19,15.35,15.63,15.28,15.49,32506700.0
2021-03-18,15.25,15.44,15.16,15.3,20227300.0
2021-03-17,15.02,15.46,14.81,15.42,23775400.0
2021-03-16,15.23,15.32,14.91,15.05,16868500.0
2021-03-15,14.97,15.3,14.95,15.3,11165300.0
2021-03-12,14.94,15.23,14.93,15.03,17805500.0
2021-03-11,15.37,15.6,15.03,15.09,19424400.0
2021-03-10,15.23,15.31,14.83,15.27,37414300.0
2021-03-09,14.6,15.27,14.53,15.16,31116200.0
2021-03-08,14.79,15.25,14.63,14.69,40360600.0
2021-03-05,14.95,15.35,14.9,15.08,39950600.0
2021-03-04,14.35,14.83,14.26,14.78,37825700.0
2021-03-03,13.94,14.45,13.63,14.17,40193500.0
2021-03-02,13.51,14.17,13.35,13.99,42904000.0
2021-03-01,14.16,14.28,13.77,13.77,19850200.0
2021-02-26,14.21,14.38,14.0,14.02,33969400.0
2021-02-25,14.68,14.75,14.17,14.17,33159300.0
2021-02-24,14.7,14.79,14.5,14.68,16385700.0
2021-02-23,14.66,14.84,14.42,14.69,28897400.0
2021-02-22,14.56,14.89,14.33,14.58,39438200.0
2021-02-19,14.76,15.01,14.66,14.89,25717400.0
2021-02-18,15.19,15.22,14.79,14.79,30823900.0
2021-02-17,15.18,15.4,15.01,15.27,30687100.0
2021-02-12,14.89,14.97,14.75,14.79,17542300.0
2021-02-11,15.12,15.22,14.83,14.95,17224700.0
2021-02-10,15.0,15.12,14.88,15.01,25616400.0
2021-02-09,14.85,15.14,14.82,14.96,16168600.0
2021-02-08,15.54,15.57,14.87,14.94,35731300.0
2021-02-05,15.68,15.82,15.51,15.52,11336800.0
2021-02-04,15.59,15.78,15.45,15.6,12952800.0
2021-02-03,15.7,15.92,15.62,15.68,17825900.0
2021-02-02,15.87,16.3,15.43,15.61,34642100.0
2021-02-01,15.36,15.7,15.22,15.6,22235900.0
2021-01-29,15.4,15.67,15.07,15.11,23141500.0
2021-01-28,15.39,15.76,15.26,15.54,20208100.0
2021-01-27,15.4,15.59,15.17,15.39,27437800.0
2021-01-26,15.21,15.69,15.19,15.4,28714100.0
2021-01-22,15.42,15.55,14.95,15.15,36117500.0
2021-01-21,15.95,16.07,15.49,15.61,23062400.0
2021-01-20,16.32,16.39,15.9,16.02,18321500.0
