date,1. open,2. high,3. low,4. close,5. volume
2021-09-08,43.9,43.9,39.94,40.11,6203200.0
2021-09-06,41.78,44.15,41.47,44.15,2903400.0
2021-09-03,41.91,42.35,40.2,41.88,9003200.0
2021-09-02,43.01,43.3,41.0,41.32,3730300.0
2021-09-01,42.01,43.58,41.18,43.06,4683500.0
2021-08-31,43.19,44.29,41.36,41.36,9542100.0
2021-08-30,41.9,43.6,40.89,43.19,4585100.0
2021-08-27,43.27,43.6,41.71,42.06,5526700.0
2021-08-26,41.91,44.48,41.78,43.23,7498900.0
2021-08-25,43.05,44.0,40.83,42.42,4868900.0
2021-08-24,39.46,43.6,39.33,43.0,6107500.0
2021-08-23,41.3,41.77,39.1,39.2,4687100.0
2021-08-20,40.24,41.49,39.89,40.94,4450500.0
2021-08-19,39.15,41.32,38.45,40.82,5897100.0
2021-08-18,40.24,42.32,38.88,39.93,7670500.0
2021-08-17,40.99,41.46,39.0,40.22,5688000.0
2021-08-16,43.0,44.35,40.8,41.02,6837900.0
2021-08-13,47.49,47.49,41.42,43.14,11325900.0
2021-08-12,46.37,47.99,45.11,46.83,5428500.0
2021-08-11,45.36,45.8,44.67,45.7,3228400.0
2021-08-10,46.69,46.75,44.94,45.15,3013800.0
2021-08-09,46.19,47.03,45.77,46.27,3551500.0
2021-08-06,47.91,48.48,46.5,46.5,3346800.0
2021-08-05,48.1,49.51,47.1,47.65,3078600.0
2021-08-04,48.74,49.33,47.75,47.79,4915900.0
2021-08-03,50.7,51.2,48.73,49.0,5498300.0
2021-08-02,50.2,51.27,49.57,51.27,4643600.0
2021-07-30,51.7,51.9,49.1,49.1,4282200.0
2021-07-29,53.46,53.46,51.71,51.89,3069700.0
2021-07-28,52.15,54.2,51.57,53.0,3782100.0
2021-07-27,53.08,53.88,51.5,51.87,3746500.0
2021-07-26,56.0,56.2,53.08,53.08,4775100.0
2021-07-23,57.5,57.51,55.5,55.98,5228800.0
2021-07-22,58.15,58.95,56.65,57.5,4050600.0
2021-07-21,61.5,61.76,56.22,57.85,9951800.0
2021-07-20,62.4,63.2,60.3,61.33,6093400.0
2021-07-19,66.79,66.79,61.92,61.92,8432000.0
2021-07-16,65.59,69.46,65.59,68.0,11158500.0
2021-07-15,66.11,67.72,65.29,65.29,2496700.0
2021-07-14,68.89,70.18,66.55,66.55,4033000.0
2021-07-13,66.8,68.76,66.45,68.55,1957800.0
2021-07-12,66.99,67.59,66.25,67.3,1657900.0
2021-07-08,65.68,66.48,64.8,65.92,1367400.0
2021-07-07,65.12,67.28,64.22,66.8,2560300.0
2021-07-06,65.53,65.93,64.01,64.38,1696800.0
2021-07-05,66.59,66.69,65.42,65.75,974700.0
2021-07-02,66.03,67.7,65.99,66.71,1151900.0
2021-07-01,66.93,67.49,65.26,65.54,2289900.0
2021-06-30,68.6,68.73,66.14,66.26,2727200.0
2021-06-29,69.17,69.94,67.85,68.88,1222600.0
