date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,51.86,52.7,51.6,51.75,14803700.0
2021-05-12,52.01,52.52,51.32,51.5,11649100.0
2021-05-11,52.31,52.92,52.16,52.85,14984600.0
2021-05-10,52.82,53.58,52.45,53.3,10901300.0
2021-05-07,51.45,53.56,51.41,53.34,20388600.0
2021-05-06,51.5,51.54,50.12,50.8,22305600.0
2021-05-05,50.8,51.82,50.63,51.5,9146800.0
2021-05-04,51.55,51.71,50.35,50.67,9886700.0
2021-05-03,52.01,52.38,51.3,51.49,12089300.0
2021-04-30,52.36,52.77,51.4,51.5,19936300.0
2021-04-29,53.7,53.88,52.35,52.55,9816300.0
2021-04-28,53.08,53.73,52.77,53.6,10158300.0
2021-04-27,53.11,53.43,52.54,52.95,18454200.0
2021-04-26,53.83,53.88,52.4,53.01,15000800.0
2021-04-23,53.7,54.84,53.53,53.72,9324000.0
2021-04-22,53.95,54.5,53.35,53.35,10696200.0
2021-04-20,54.1,54.38,53.53,53.72,10330500.0
2021-04-19,55.42,55.56,54.36,54.36,11573600.0
2021-04-16,54.48,55.79,54.33,55.4,12720200.0
2021-04-15,55.1,55.36,54.08,54.56,13022500.0
2021-04-14,55.48,55.92,54.82,55.03,11635600.0
2021-04-13,55.62,55.93,54.9,55.3,7960000.0
2021-04-12,55.41,56.25,55.19,55.77,7750200.0
2021-04-09,55.7,55.72,54.89,55.22,6238600.0
2021-04-08,55.05,56.8,55.0,55.85,15468000.0
2021-04-07,55.2,55.49,54.56,54.95,9196200.0
2021-04-06,54.64,55.46,54.21,55.07,6577600.0
2021-04-05,54.26,54.99,54.13,54.32,7641400.0
2021-04-01,55.0,55.02,53.31,53.61,9194700.0
2021-03-31,53.42,54.96,53.27,54.62,14129200.0
2021-03-30,53.29,54.39,52.95,53.5,16307000.0
2021-03-29,53.49,54.09,53.27,53.6,9641500.0
2021-03-26,53.45,55.24,53.38,54.01,10723500.0
2021-03-25,52.5,54.04,51.93,53.78,11416500.0
2021-03-24,54.0,55.27,53.61,53.79,15252400.0
