date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,30.5,31.35,30.4,31.16,21951100.0
2021-05-12,30.35,30.83,30.18,30.35,13709400.0
2021-05-11,30.1,30.55,30.03,30.55,11124700.0
2021-05-10,30.04,30.56,29.9,30.33,14505800.0
2021-05-07,30.0,30.48,29.76,29.94,26701900.0
2021-05-06,29.23,29.43,28.95,29.21,15535400.0
2021-05-05,29.58,29.58,28.81,29.26,16104800.0
2021-05-04,29.9,29.97,29.19,29.37,12156900.0
2021-05-03,29.82,30.03,29.55,29.75,10009500.0
2021-04-30,29.67,29.85,29.44,29.64,12528300.0
2021-04-29,30.3,30.52,29.57,29.64,14564200.0
2021-04-28,29.99,30.37,29.85,30.3,15045300.0
2021-04-27,30.06,30.1,29.66,29.77,12820100.0
2021-04-26,30.15,30.55,29.88,30.1,9794600.0
2021-04-23,29.91,30.29,29.83,30.07,14171900.0
2021-04-22,30.41,30.42,29.65,29.83,17794900.0
2021-04-20,29.63,30.46,29.63,30.1,23448800.0
2021-04-19,29.8,30.19,29.57,29.62,21396900.0
2021-04-16,29.59,29.85,29.5,29.77,12916500.0
2021-04-15,29.63,30.07,29.35,29.64,18173900.0
2021-04-14,29.62,29.86,29.31,29.6,19720400.0
2021-04-13,29.44,29.68,29.13,29.55,13239400.0
2021-04-12,29.45,29.55,29.23,29.55,9663800.0
2021-04-09,29.11,29.68,29.08,29.19,21269600.0
2021-04-08,29.52,29.59,29.0,29.11,17961400.0
2021-04-07,29.52,29.94,29.24,29.36,19617700.0
2021-04-06,29.98,30.1,29.45,29.55,13847900.0
2021-04-05,30.16,30.35,29.62,29.91,12511500.0
2021-04-01,30.77,30.8,29.9,29.95,12908100.0
2021-03-31,30.65,30.74,30.23,30.45,12536100.0
2021-03-30,29.64,30.78,29.61,30.72,17286700.0
2021-03-29,29.61,30.07,29.3,29.8,14477900.0
2021-03-26,29.6,29.92,29.21,29.66,14442000.0
2021-03-25,29.2,29.84,29.01,29.56,17702600.0
2021-03-24,29.88,30.29,29.1,29.14,18103100.0
2021-03-23,30.77,30.78,29.68,29.68,21292300.0
2021-03-22,30.52,31.05,30.23,30.79,12338300.0
2021-03-19,30.17,30.93,29.85,30.7,27534200.0
2021-03-18,30.71,31.41,30.41,30.44,21521400.0
2021-03-17,29.65,30.95,29.54,30.7,21944400.0
2021-03-16,29.89,29.92,29.26,29.87,18480700.0
2021-03-15,29.8,30.18,29.6,29.79,14346100.0
2021-03-12,29.8,30.12,29.66,30.0,12314700.0
2021-03-11,30.3,30.62,29.57,30.05,21384600.0
2021-03-10,29.18,29.91,28.66,29.9,20780600.0
2021-03-09,29.47,29.95,28.85,28.99,23057100.0
2021-03-08,29.99,30.77,29.07,29.2,24768200.0
2021-03-05,30.15,31.04,30.05,30.6,23139000.0
2021-03-04,29.21,30.47,29.1,30.04,23946500.0
2021-03-03,28.8,29.68,28.01,28.99,26952400.0
2021-03-02,27.45,29.39,27.02,28.93,36337300.0
2021-03-01,28.65,28.79,27.72,27.86,27784400.0
2021-02-26,29.61,29.84,27.91,28.05,46859800.0
2021-02-25,30.44,31.08,29.32,29.5,27312700.0
2021-02-24,30.75,30.88,29.77,30.31,20598000.0
2021-02-23,29.6,30.78,29.52,30.43,47768000.0
2021-02-22,29.5,29.86,28.56,28.83,102036100.0
2021-02-19,33.12,33.41,32.53,32.63,27407500.0
2021-02-18,33.36,33.63,33.03,33.26,17165700.0
2021-02-17,33.69,33.83,33.33,33.36,13571900.0
2021-02-12,33.76,34.14,33.2,33.75,17673000.0
2021-02-11,34.0,34.36,33.76,33.94,9944000.0
2021-02-10,34.28,34.48,33.75,33.81,14228800.0
2021-02-09,33.77,34.5,33.65,34.28,15307000.0
2021-02-08,33.94,34.25,33.6,33.87,11651600.0
2021-02-05,34.28,34.48,33.8,33.96,12743600.0
2021-02-04,34.6,34.72,34.02,34.19,10074200.0
2021-02-03,34.3,34.74,34.18,34.33,10473000.0
2021-02-02,34.76,35.1,33.84,34.06,19800900.0
2021-02-01,34.32,34.5,33.83,34.29,16762600.0
2021-01-29,34.1,34.67,33.65,33.86,17492800.0
2021-01-28,33.57,34.95,33.48,34.54,20932100.0
2021-01-27,32.73,34.03,32.52,33.59,25080200.0
2021-01-26,33.96,34.24,32.61,32.79,26922300.0
2021-01-22,33.62,33.82,33.24,33.69,20405700.0
2021-01-21,34.55,34.81,33.73,34.18,23303500.0
2021-01-20,35.49,35.58,34.51,34.53,22693600.0
2021-01-19,36.3,36.33,35.04,35.32,19512600.0
2021-01-18,36.66,37.03,35.81,35.93,23849800.0
2021-01-15,37.2,37.45,36.3,36.3,29147400.0
2021-01-14,37.76,38.15,36.84,37.46,39535200.0
2021-01-13,39.5,39.7,37.24,37.55,34866200.0
2021-01-12,39.66,39.79,38.89,39.5,15519000.0
2021-01-11,39.55,39.9,38.8,39.14,16880400.0
2021-01-08,39.85,40.56,39.29,39.79,16236900.0
2021-01-07,38.12,39.7,37.92,39.56,21878700.0
2021-01-06,37.53,38.73,37.38,37.99,20566700.0
2021-01-05,37.45,37.45,36.7,37.2,15954000.0
2021-01-04,39.23,39.29,37.5,37.59,13874600.0
2020-12-30,39.28,39.35,38.66,38.8,8594000.0
2020-12-29,39.5,39.6,38.95,39.12,7301400.0
2020-12-28,39.32,39.55,39.2,39.35,7577200.0
2020-12-23,38.57,39.18,38.27,38.92,9176300.0
2020-12-22,38.14,38.86,38.0,38.29,10770400.0
2020-12-21,38.11,38.48,37.67,37.79,18718600.0
2020-12-18,39.29,39.63,38.9,39.1,12473800.0
2020-12-17,39.37,39.77,38.91,39.39,11419600.0
2020-12-16,39.22,39.79,38.24,39.35,26508400.0
