date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,24.09,24.75,24.05,24.66,34472600.0
2021-05-12,24.32,24.41,23.84,24.1,43310100.0
2021-05-11,24.3,24.84,24.3,24.6,39641900.0
2021-05-10,24.03,24.64,23.83,24.64,54366300.0
2021-05-07,24.0,24.24,23.8,24.06,35758200.0
2021-05-06,23.65,23.97,23.63,23.96,43819100.0
2021-05-05,23.98,24.02,23.14,23.84,62513100.0
2021-05-04,24.8,24.86,23.74,23.8,49328700.0
2021-05-03,24.16,24.82,24.1,24.56,51594100.0
2021-04-30,23.69,24.15,23.53,23.85,57931600.0
2021-04-29,24.47,24.71,23.77,23.77,34955300.0
2021-04-28,23.72,24.67,23.68,24.5,57280300.0
2021-04-27,23.53,23.83,23.32,23.34,37978000.0
2021-04-26,23.89,24.12,23.31,23.55,35572100.0
2021-04-23,23.26,23.68,23.16,23.53,23229900.0
2021-04-22,23.35,23.5,23.01,23.1,26694000.0
2021-04-20,23.6,23.78,23.24,23.26,26257600.0
2021-04-19,23.88,23.88,23.48,23.62,31294300.0
2021-04-16,25.68,26.31,25.67,26.1,27904200.0
2021-04-15,25.91,26.16,25.46,25.8,27364600.0
2021-04-14,25.6,26.21,25.33,25.8,41294200.0
2021-04-13,25.5,25.7,25.2,25.5,28277600.0
2021-04-12,25.37,25.72,25.25,25.72,22521500.0
2021-04-09,25.1,25.71,25.06,25.2,32080700.0
2021-04-08,25.6,25.61,25.11,25.24,31246700.0
2021-04-07,25.5,25.76,25.21,25.32,33149200.0
2021-04-06,26.06,26.2,25.41,25.6,29978800.0
2021-04-05,26.12,26.28,25.8,26.01,32512400.0
2021-04-01,26.89,26.95,25.78,25.79,50087500.0
2021-03-31,27.4,27.4,26.45,26.77,40208200.0
2021-03-30,26.75,27.48,26.74,27.36,37096500.0
2021-03-29,26.86,27.02,26.48,26.91,41550500.0
2021-03-26,26.5,27.05,26.44,26.8,40210100.0
2021-03-25,26.0,26.66,25.81,26.62,54849200.0
2021-03-24,26.38,26.54,26.04,26.04,39512800.0
2021-03-23,26.26,26.84,26.25,26.31,36922300.0
2021-03-22,26.34,26.73,26.12,26.6,46852300.0
2021-03-19,26.7,26.93,26.17,26.74,79742400.0
2021-03-18,25.85,26.83,25.81,26.47,90552900.0
2021-03-17,24.77,26.0,24.73,25.99,60596100.0
2021-03-16,25.33,25.42,24.55,24.95,31252400.0
2021-03-15,24.85,25.45,24.79,25.37,31126900.0
2021-03-12,25.01,25.22,24.77,25.02,44451600.0
2021-03-11,25.12,25.46,24.52,25.19,57167300.0
2021-03-10,24.54,25.03,24.14,24.76,56557000.0
2021-03-09,24.16,24.78,23.79,24.35,42605300.0
2021-03-08,24.54,25.48,24.06,24.15,58178800.0
2021-03-05,24.1,25.22,23.96,25.04,78299900.0
2021-03-04,23.25,24.29,23.19,23.91,72502100.0
2021-03-03,22.82,23.42,22.22,23.02,56778800.0
2021-03-02,21.8,23.3,21.45,22.82,71812900.0
2021-03-01,23.4,23.48,22.22,22.24,58292500.0
2021-02-26,23.57,23.83,22.91,23.0,57111000.0
2021-02-25,23.94,24.22,23.34,23.44,35839300.0
2021-02-24,24.41,24.49,23.67,24.01,35775900.0
2021-02-23,23.5,24.45,23.44,24.18,48041200.0
2021-02-22,23.81,23.99,23.06,23.08,86245000.0
2021-02-19,24.85,25.27,24.61,24.7,30406700.0
2021-02-18,25.02,25.45,24.72,24.91,48295900.0
