date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,23.15,23.47,23.07,23.37,5360000.0
2021-05-12,23.22,23.5,22.98,23.02,6237700.0
2021-05-11,22.72,23.39,22.6,23.39,7194400.0
2021-05-10,23.09,23.15,22.72,22.79,3634200.0
2021-05-07,22.76,23.1,22.63,23.0,5767900.0
2021-05-06,22.3,22.75,22.16,22.69,6638900.0
2021-05-05,22.08,22.36,21.96,22.36,6018000.0
2021-05-04,22.38,22.39,21.98,21.98,6437000.0
2021-05-03,22.63,22.82,22.25,22.27,6464900.0
2021-04-30,22.75,22.75,22.25,22.33,8960400.0
2021-04-29,22.56,22.9,22.5,22.75,8153400.0
2021-04-28,22.6,22.69,22.19,22.47,8896300.0
2021-04-27,23.21,23.21,22.39,22.39,15626300.0
2021-04-26,23.41,23.59,23.12,23.19,8543500.0
2021-04-23,23.37,23.7,23.24,23.4,11351300.0
2021-04-22,23.55,23.61,23.1,23.21,5908100.0
2021-04-20,23.32,23.49,23.28,23.33,4609500.0
2021-04-19,23.86,23.88,23.22,23.28,8530800.0
2021-04-16,23.68,23.82,23.53,23.73,4474900.0
2021-04-15,23.8,24.04,23.64,23.65,4209800.0
2021-04-14,23.87,23.94,23.68,23.78,6450100.0
2021-04-13,24.14,24.15,23.67,23.82,8285000.0
2021-04-12,24.0,24.25,23.99,24.14,3089600.0
2021-04-09,23.97,24.23,23.83,23.89,3539100.0
2021-04-08,24.14,24.32,23.96,23.96,4067500.0
2021-04-07,24.03,24.22,23.88,24.04,4517700.0
2021-04-06,24.11,24.22,23.92,24.06,13256100.0
2021-04-05,24.16,24.35,23.95,24.07,4393300.0
2021-04-01,24.51,24.59,23.91,23.92,5825000.0
2021-03-31,24.9,24.9,24.13,24.25,10084100.0
2021-03-30,24.05,24.96,23.96,24.78,5359900.0
2021-03-29,23.94,24.25,23.83,24.07,3484000.0
2021-03-26,23.9,24.22,23.72,23.96,5265600.0
2021-03-25,23.82,24.11,23.64,23.85,4279200.0
2021-03-24,24.36,24.48,23.74,23.74,4664600.0
2021-03-23,24.34,24.64,24.24,24.28,3429000.0
2021-03-22,24.53,24.65,24.32,24.42,4177900.0
2021-03-19,24.35,24.82,24.14,24.5,10439600.0
2021-03-18,24.58,24.97,24.27,24.3,9318700.0
2021-03-17,23.88,24.4,23.52,24.21,5764900.0
2021-03-16,24.17,24.21,23.78,23.92,6095100.0
2021-03-15,23.95,24.31,23.95,24.09,3718600.0
2021-03-12,24.27,24.37,23.91,23.95,11417100.0
2021-03-11,24.4,24.73,24.09,24.37,5457000.0
2021-03-10,23.8,24.33,23.68,24.15,16502000.0
2021-03-09,24.29,24.34,23.66,23.66,12192600.0
2021-03-08,24.8,24.99,24.22,24.38,13887600.0
2021-03-05,24.55,25.4,24.4,25.15,16334200.0
2021-03-04,24.85,25.45,24.38,24.5,16428800.0
2021-03-03,24.72,24.86,23.88,24.62,13186400.0
2021-03-02,24.6,25.02,23.97,24.79,7551400.0
2021-03-01,25.68,25.7,24.72,24.8,5187800.0
2021-02-26,26.03,26.18,25.43,25.43,5707200.0
2021-02-25,26.54,26.69,25.78,25.92,4021300.0
2021-02-24,26.92,27.11,26.41,26.54,5415800.0
2021-02-23,26.61,26.98,26.26,26.83,6893400.0
2021-02-22,27.14,27.16,26.4,26.58,8177100.0
2021-02-19,27.65,27.88,27.52,27.67,5721800.0
2021-02-18,27.8,27.86,27.57,27.66,5373100.0
2021-02-17,28.01,28.04,27.65,27.94,4161700.0
2021-02-12,27.96,28.05,27.74,28.01,2842800.0
2021-02-11,28.81,28.94,28.51,28.64,3325100.0
2021-02-10,28.58,28.87,28.44,28.72,4173000.0
2021-02-09,28.1,28.77,27.9,28.58,7986900.0
2021-02-08,28.96,29.0,27.95,28.09,6880200.0
2021-02-05,28.4,28.58,28.1,28.52,3721700.0
2021-02-04,28.35,28.65,28.24,28.28,2257200.0
2021-02-03,28.46,28.74,28.3,28.35,3343100.0
2021-02-02,28.25,28.66,28.13,28.29,3808700.0
2021-02-01,28.0,28.4,27.43,28.05,6172500.0
2021-01-29,28.15,28.2,27.66,27.66,5390800.0
2021-01-28,27.98,28.42,27.8,28.23,5660000.0
2021-01-27,28.42,28.5,27.88,28.0,5938100.0
2021-01-26,28.42,28.95,28.28,28.45,6083100.0
2021-01-22,28.5,28.68,28.21,28.42,3785200.0
2021-01-21,28.66,28.89,28.33,28.79,5688100.0
2021-01-20,28.88,29.05,28.55,28.65,2759000.0
2021-01-19,29.26,29.41,28.74,28.83,4168400.0
2021-01-18,29.5,29.79,28.83,29.05,2766600.0
2021-01-15,29.79,30.0,29.35,29.35,3175400.0
2021-01-14,29.89,30.45,29.68,29.98,3658000.0
2021-01-13,29.44,29.86,29.22,29.58,3692400.0
2021-01-12,29.3,29.63,29.18,29.44,5857100.0
2021-01-11,29.68,29.93,28.91,29.25,4386700.0
2021-01-08,29.2,30.0,29.08,29.87,5151200.0
2021-01-07,28.48,29.1,28.08,28.97,6096400.0
2021-01-06,28.81,28.84,28.3,28.37,4313400.0
2021-01-05,29.25,29.26,28.47,28.84,4482500.0
2021-01-04,29.63,29.81,28.9,29.39,3863400.0
2020-12-30,30.2,30.22,29.63,29.63,3015900.0
2020-12-29,29.89,30.44,29.86,30.06,2704700.0
2020-12-28,29.29,29.95,29.21,29.73,2205000.0
2020-12-23,29.24,29.37,28.98,29.13,2086500.0
2020-12-22,29.03,29.27,28.77,29.16,2011100.0
2020-12-21,29.0,29.44,28.8,28.97,3647100.0
2020-12-18,30.3,30.49,29.37,29.6,4925600.0
2020-12-17,30.43,30.76,30.23,30.26,3054900.0
2020-12-16,29.98,30.64,29.76,30.26,5307400.0
2020-12-15,29.99,30.18,29.78,29.93,2926900.0
2020-12-14,30.01,30.34,29.73,29.85,3293800.0
