date,1. open,2. high,3. low,4. close,5. volume
2021-09-08,8.24,8.42,8.14,8.21,9826500.0
2021-09-06,7.76,8.38,7.66,8.31,10187700.0
2021-09-03,7.99,7.99,7.78,7.79,6875500.0
2021-09-02,8.22,8.34,7.92,7.92,12063200.0
2021-09-01,8.31,8.48,8.17,8.22,10219200.0
2021-08-31,8.45,8.46,8.2,8.36,6678000.0
2021-08-30,8.3,8.49,8.23,8.44,5450400.0
2021-08-27,8.37,8.48,8.29,8.35,6073700.0
2021-08-26,8.51,8.58,8.28,8.28,6961200.0
2021-08-25,8.48,8.54,8.37,8.52,4055400.0
2021-08-24,8.53,8.61,8.46,8.47,4735700.0
2021-08-23,8.3,8.57,8.27,8.5,6263200.0
2021-08-20,8.31,8.41,8.23,8.32,4876900.0
2021-08-19,7.98,8.45,7.95,8.38,5560900.0
2021-08-18,8.06,8.25,7.92,8.08,7073300.0
2021-08-17,8.19,8.2,7.91,7.99,9541800.0
2021-08-16,8.57,8.59,8.18,8.19,10114400.0
2021-08-13,8.88,8.88,8.48,8.6,15237500.0
2021-08-12,9.16,9.48,8.79,8.82,26008900.0
2021-08-11,8.7,9.94,8.49,9.94,20507100.0
2021-08-10,8.77,8.84,8.66,8.67,7578800.0
2021-08-09,8.54,8.86,8.54,8.85,8813400.0
2021-08-06,8.6,8.68,8.46,8.51,5653800.0
2021-08-05,8.74,8.86,8.54,8.57,7811100.0
2021-08-04,8.84,8.85,8.68,8.7,6482300.0
2021-08-03,8.98,9.0,8.78,8.85,7609600.0
2021-08-02,9.01,9.16,8.99,8.99,8911700.0
2021-07-30,9.27,9.29,8.92,8.97,14347600.0
2021-07-29,9.34,9.39,9.23,9.3,5187300.0
2021-07-28,9.32,9.4,9.26,9.33,5194800.0
2021-07-27,9.44,9.48,9.22,9.27,6197700.0
2021-07-26,9.44,9.59,9.42,9.44,5384800.0
2021-07-23,9.38,9.63,9.38,9.44,6608600.0
2021-07-22,9.43,9.46,9.34,9.36,5112600.0
2021-07-21,9.52,9.59,9.4,9.43,3092800.0
2021-07-20,9.36,9.55,9.33,9.51,8228500.0
2021-07-19,9.31,9.44,9.27,9.36,5723400.0
2021-07-16,9.4,9.59,9.39,9.39,5481700.0
2021-07-15,9.55,9.55,9.37,9.39,4268900.0
2021-07-14,9.64,9.69,9.49,9.55,4106300.0
2021-07-13,9.36,9.65,9.35,9.6,7418800.0
2021-07-12,9.39,9.43,9.27,9.36,5030800.0
2021-07-08,9.29,9.47,9.24,9.35,4930900.0
2021-07-07,9.38,9.5,9.2,9.44,6413700.0
2021-07-06,9.36,9.37,9.27,9.3,3875200.0
2021-07-05,9.38,9.43,9.33,9.4,2464000.0
2021-07-02,9.38,9.51,9.33,9.36,3711900.0
2021-07-01,9.4,9.46,9.27,9.33,5240600.0
2021-06-30,9.43,9.46,9.31,9.37,6763700.0
2021-06-29,9.62,9.63,9.43,9.45,6874600.0
2021-06-28,9.66,9.75,9.56,9.61,4798700.0
2021-06-25,9.81,9.9,9.66,9.71,5487800.0
2021-06-24,9.66,9.84,9.63,9.84,6118000.0
2021-06-23,9.68,9.76,9.61,9.61,6299300.0
2021-06-22,9.69,9.8,9.61,9.7,8305000.0
2021-06-21,9.65,9.72,9.52,9.72,6261300.0
2021-06-18,9.64,9.65,9.53,9.64,6463300.0
2021-06-17,9.82,9.84,9.58,9.61,9047100.0
2021-06-16,9.96,9.96,9.78,9.81,8120200.0
2021-06-15,9.91,9.98,9.82,9.93,6121600.0
2021-06-14,9.99,10.02,9.85,9.89,8134600.0
2021-06-11,10.03,10.23,9.91,9.97,8046800.0
2021-06-10,10.12,10.18,9.95,9.98,7156500.0
2021-06-09,9.9,10.12,9.86,10.11,5864700.0
2021-06-08,10.09,10.12,9.85,9.89,6815900.0
2021-06-07,10.18,10.18,10.02,10.05,5277200.0
2021-06-04,10.17,10.24,10.05,10.13,6547600.0
2021-06-02,10.08,10.36,10.05,10.19,12767200.0
2021-06-01,9.95,10.1,9.87,10.06,8962300.0
2021-05-31,9.87,9.92,9.83,9.91,3322700.0
2021-05-28,10.06,10.08,9.83,9.87,6372600.0
2021-05-27,9.85,10.25,9.82,10.04,12567200.0
2021-05-26,9.87,9.97,9.73,9.81,8110000.0
2021-05-25,9.9,10.04,9.78,9.81,7043700.0
2021-05-24,9.69,9.89,9.67,9.83,7744000.0
2021-05-21,9.63,9.86,9.53,9.66,9611200.0
2021-05-20,9.51,9.66,9.44,9.6,7733700.0
2021-05-19,9.44,9.61,9.41,9.46,11018300.0
2021-05-18,9.8,9.83,9.36,9.49,16096400.0
2021-05-17,9.9,9.93,9.79,9.84,5607400.0
2021-05-14,9.95,10.02,9.78,9.84,8468000.0
2021-05-13,10.0,10.07,9.83,9.87,6628500.0
2021-05-12,10.23,10.28,9.9,9.91,7124300.0
2021-05-11,10.21,10.32,10.13,10.29,4251100.0
2021-05-10,10.24,10.37,10.04,10.33,6884400.0
2021-05-07,10.16,10.17,9.87,10.1,6990300.0
2021-05-06,10.5,10.58,10.06,10.12,7620400.0
2021-05-05,10.26,10.5,10.02,10.5,15831500.0
2021-05-04,10.01,10.22,9.92,10.06,12004000.0
2021-05-03,9.73,9.95,9.61,9.95,9581100.0
2021-04-30,9.85,9.88,9.66,9.68,8464000.0
2021-04-29,10.04,10.06,9.84,9.85,9586600.0
2021-04-28,10.33,10.37,9.9,9.98,10518000.0
2021-04-27,10.73,10.79,10.2,10.23,10210900.0
2021-04-26,10.81,10.84,10.52,10.67,7246300.0
2021-04-23,10.95,10.98,10.71,10.76,6837100.0
2021-04-22,11.04,11.04,10.81,10.9,8706200.0
2021-04-20,10.77,11.09,10.77,10.9,11489200.0
2021-04-19,10.83,10.95,10.69,10.77,11294100.0
2021-04-16,11.04,11.04,10.65,10.72,21542100.0
2021-04-15,11.12,11.28,10.99,11.2,12320000.0
2021-04-14,10.63,11.2,10.63,11.02,24860500.0
2021-04-13,10.51,10.91,10.42,10.61,19042600.0
2021-04-12,10.88,11.37,10.87,11.37,19851700.0
2021-04-09,10.68,10.94,10.66,10.81,10559900.0
2021-04-08,10.65,10.85,10.54,10.73,11010700.0
2021-04-07,10.18,10.68,10.15,10.61,17022600.0
2021-04-06,10.26,10.29,10.11,10.18,6705400.0
2021-04-05,10.31,10.39,10.08,10.24,8136200.0
2021-04-01,10.22,10.3,10.11,10.2,6709000.0
2021-03-31,10.35,10.4,10.12,10.2,7774700.0
2021-03-30,10.41,10.62,10.3,10.36,9932000.0
2021-03-29,9.85,10.5,9.81,10.47,22041000.0
2021-03-26,9.8,9.94,9.7,9.83,5110300.0
2021-03-25,10.01,10.01,9.66,9.8,8881600.0
2021-03-24,10.02,10.18,9.93,9.95,7279900.0
2021-03-23,10.04,10.27,9.95,9.99,8545500.0
2021-03-22,9.8,10.18,9.77,10.13,12701900.0
2021-03-19,9.65,9.89,9.6,9.81,6156100.0
2021-03-18,9.71,9.76,9.56,9.61,6979300.0
2021-03-17,9.59,9.84,9.51,9.81,7720700.0
2021-03-16,9.61,9.7,9.46,9.56,7049500.0
2021-03-15,9.67,9.69,9.51,9.52,8376800.0
2021-03-12,9.68,9.76,9.56,9.64,7489600.0
2021-03-11,9.87,9.91,9.64,9.74,11772000.0
2021-03-10,10.25,10.3,9.63,9.84,16701000.0
2021-03-09,9.76,10.25,9.7,10.2,17844100.0
2021-03-08,9.65,10.04,9.56,9.61,11737000.0
2021-03-05,9.86,10.04,9.8,9.8,7605200.0
2021-03-04,9.62,10.09,9.61,9.91,12955800.0
2021-03-03,9.58,9.84,9.31,9.61,11470700.0
2021-03-02,9.54,9.75,9.45,9.61,9844300.0
2021-03-01,9.92,9.94,9.51,9.65,13146900.0
2021-02-26,9.75,10.08,9.66,9.7,24778300.0
2021-02-25,9.8,9.95,9.35,9.39,8033100.0
2021-02-24,9.38,9.83,9.28,9.78,8481300.0
2021-02-23,9.16,9.45,9.01,9.37,12248400.0
2021-02-22,9.23,9.33,9.05,9.06,9951200.0
2021-02-19,9.61,9.7,9.32,9.41,7536600.0
2021-02-18,10.07,10.07,9.61,9.63,9245900.0
2021-02-17,9.65,10.12,9.56,10.07,14529400.0
2021-02-12,9.52,9.66,9.37,9.58,8311800.0
2021-02-11,9.36,9.53,9.34,9.51,5157700.0
2021-02-10,9.54,9.56,9.27,9.3,4621200.0
2021-02-09,9.39,9.58,9.38,9.53,5932800.0
2021-02-08,9.37,9.49,9.31,9.42,8455600.0
2021-02-05,9.4,9.46,9.3,9.35,8750000.0
2021-02-04,9.5,9.57,9.31,9.37,7949500.0
2021-02-03,9.36,9.57,9.32,9.5,9701200.0
2021-02-02,9.34,9.62,9.22,9.31,9338300.0
2021-02-01,9.42,9.47,9.15,9.26,7150600.0
2021-01-29,9.44,9.69,9.28,9.28,8774000.0
2021-01-28,9.23,9.55,9.16,9.5,7244300.0
2021-01-27,9.07,9.38,8.99,9.24,7613400.0
2021-01-26,9.2,9.28,9.02,9.06,7024200.0
2021-01-22,9.25,9.32,9.15,9.18,6454000.0
2021-01-21,9.5,9.61,9.31,9.34,6816000.0
2021-01-20,9.64,9.72,9.42,9.5,6227200.0
2021-01-19,9.84,9.88,9.57,9.58,6048700.0
2021-01-18,9.77,9.93,9.75,9.77,5816000.0
2021-01-15,9.8,9.82,9.69,9.72,6356100.0
2021-01-14,9.86,9.96,9.73,9.82,6995000.0
2021-01-13,10.05,10.06,9.68,9.8,11376500.0
2021-01-12,9.68,10.03,9.62,9.99,14238400.0
2021-01-11,9.7,9.8,9.6,9.61,10898300.0
2021-01-08,9.67,9.85,9.66,9.73,7458100.0
2021-01-07,9.75,9.81,9.62,9.65,7765900.0
2021-01-06,9.85,9.86,9.69,9.69,8358100.0
2021-01-05,10.07,10.1,9.77,9.84,13660000.0
2021-01-04,10.23,10.32,10.03,10.04,6117700.0
2020-12-30,10.42,10.47,10.15,10.18,8038000.0
2020-12-29,10.35,10.53,10.29,10.36,7628600.0
2020-12-28,10.41,10.42,10.21,10.29,7548000.0
2020-12-23,10.7,10.79,10.34,10.37,11359800.0
2020-12-22,10.32,10.78,10.3,10.64,20403900.0
2020-12-21,10.15,10.5,10.03,10.22,9940200.0
2020-12-18,10.16,10.57,10.14,10.37,12332100.0
2020-12-17,10.35,10.38,10.11,10.16,7838000.0
2020-12-16,9.9,10.33,9.89,10.29,16996900.0
2020-12-15,9.93,10.07,9.83,9.87,7773900.0
2020-12-14,9.97,9.99,9.81,9.88,4623300.0
2020-12-11,9.78,9.96,9.73,9.95,6336000.0
2020-12-10,9.96,9.97,9.72,9.85,5466300.0
2020-12-09,10.17,10.2,9.91,9.92,6005300.0
2020-12-08,10.0,10.34,9.92,10.1,8942300.0
2020-12-07,9.85,10.15,9.81,10.01,8530300.0
2020-12-04,9.85,9.99,9.78,9.83,5961800.0
2020-12-03,9.76,9.89,9.56,9.81,11335400.0
2020-12-02,9.9,9.94,9.71,9.73,9805200.0
2020-12-01,10.16,10.33,9.82,9.83,16203800.0
2020-11-30,10.16,10.22,10.01,10.03,8044300.0
2020-11-27,10.17,10.28,10.12,10.13,5762700.0
2020-11-26,10.19,10.29,10.07,10.14,5660200.0
2020-11-25,10.25,10.35,10.13,10.19,7016800.0
2020-11-24,10.1,10.39,10.01,10.27,9543900.0
2020-11-23,10.0,10.37,9.95,10.04,10493200.0
2020-11-20,9.99,10.12,9.9,9.94,6139000.0
2020-11-19,10.19,10.22,9.88,9.94,10352600.0
2020-11-18,9.82,10.18,9.78,10.15,10517300.0
