date,1. open,2. high,3. low,4. close,5. volume
2014-12-19,1.6,1.6,1.6,1.6,0.0
2014-12-18,1.59,1.6,1.59,1.6,101000.0
2014-12-17,1.59,1.6,1.59,1.6,93500.0
2014-12-15,1.6,1.61,1.59,1.59,28900.0
2014-12-12,1.59,1.6,1.59,1.59,29700.0
2014-12-11,1.59,1.61,1.59,1.59,181100.0
2014-12-10,1.59,1.61,1.59,1.59,186300.0
2014-12-09,1.59,1.6,1.59,1.59,100300.0
2014-12-08,1.6,1.6,1.59,1.59,61100.0
2014-12-05,1.49,1.6,1.47,1.6,35000.0
2014-12-04,1.6,1.61,1.6,1.6,533900.0
2014-12-03,1.6,1.61,1.6,1.6,114600.0
2014-12-02,1.61,1.62,1.6,1.6,616900.0
2014-12-01,1.61,1.62,1.61,1.61,195200.0
2014-11-28,1.61,1.62,1.61,1.61,79700.0
2014-11-27,1.61,1.62,1.61,1.61,137600.0
2014-11-26,1.61,1.62,1.6,1.62,69300.0
2014-11-25,1.61,1.62,1.6,1.6,275900.0
2014-11-24,1.6,1.61,1.6,1.6,222100.0
2014-11-21,1.61,1.62,1.6,1.6,228500.0
2014-11-20,1.61,1.61,1.61,1.61,0.0
2014-11-19,1.6,1.64,1.6,1.61,3845700.0
2014-11-18,1.6,1.6,1.59,1.59,643700.0
2014-11-17,1.59,1.6,1.58,1.59,556700.0
2014-11-14,1.59,1.6,1.59,1.59,1159900.0
2014-11-13,1.59,1.6,1.58,1.6,1151100.0
2014-11-12,1.59,1.6,1.58,1.6,241900.0
2014-11-11,1.58,1.59,1.58,1.58,1025000.0
2014-11-10,1.59,1.59,1.58,1.59,1454300.0
2014-11-07,1.58,1.59,1.58,1.59,286400.0
2014-11-06,1.59,1.59,1.58,1.59,561400.0
2014-11-05,1.57,1.59,1.57,1.58,4622200.0
2014-11-04,1.57,1.58,1.56,1.57,477100.0
2014-11-03,1.57,1.58,1.57,1.57,4349100.0
2014-10-31,1.56,1.58,1.56,1.58,4632700.0
2014-10-30,1.57,1.57,1.56,1.56,920200.0
2014-10-29,1.56,1.57,1.55,1.56,3006300.0
2014-10-28,1.56,1.57,1.56,1.57,1232100.0
2014-10-27,1.57,1.57,1.57,1.57,5012500.0
2014-10-24,1.53,1.58,1.52,1.57,8802200.0
2014-10-23,1.57,1.57,1.52,1.55,10336600.0
2014-10-22,1.57,1.57,1.56,1.57,3937500.0
2014-10-21,1.57,1.57,1.57,1.57,9825800.0
2014-10-20,1.56,1.56,1.56,1.56,1839700.0
2014-10-17,1.56,1.58,1.56,1.58,3664900.0
2014-10-16,1.57,1.58,1.55,1.57,14212300.0
2014-10-15,1.58,1.58,1.57,1.58,690300.0
2014-10-14,1.58,1.58,1.57,1.58,1480700.0
