date,1. open,2. high,3. low,4. close,5. volume
2021-09-08,61.81,62.08,60.02,60.42,2642100.0
2021-09-06,61.79,62.26,61.19,62.03,1207400.0
2021-09-03,63.13,63.5,62.08,62.56,2754400.0
2021-09-02,62.55,63.53,62.26,62.37,2314900.0
2021-09-01,61.94,63.24,61.05,62.76,1776100.0
2021-08-31,63.82,63.89,62.08,63.15,2678800.0
2021-08-30,64.37,64.81,63.6,64.07,823500.0
2021-08-27,63.8,64.79,63.69,64.37,1216200.0
2021-08-26,64.03,64.71,63.16,63.29,1431400.0
2021-08-25,64.51,64.71,63.73,64.15,993200.0
2021-08-24,64.94,65.95,64.34,64.49,1985500.0
2021-08-23,63.42,63.77,62.88,62.91,1664800.0
2021-08-20,62.97,64.03,62.62,63.47,1896100.0
2021-08-19,64.8,64.95,62.93,63.41,3789000.0
2021-08-18,68.66,68.66,66.91,66.98,2419300.0
2021-08-17,70.96,70.96,68.65,69.63,2023600.0
2021-08-16,69.92,71.16,68.37,71.07,2192200.0
2021-08-13,69.66,70.13,69.23,70.1,1714000.0
2021-08-12,70.73,71.1,69.21,69.36,1960900.0
2021-08-11,71.61,71.9,70.93,71.16,1154400.0
2021-08-10,71.73,72.39,71.04,71.23,2715300.0
2021-08-09,71.63,71.69,70.81,71.63,2850300.0
2021-08-06,72.44,73.5,71.82,72.2,2099100.0
2021-08-05,75.0,75.05,72.39,72.45,2971300.0
2021-08-04,75.5,77.25,75.5,76.35,2694700.0
2021-08-03,73.93,76.87,73.5,76.13,2529800.0
2021-08-02,75.24,75.67,73.93,73.93,1987200.0
2021-07-30,77.02,77.12,73.96,73.96,2325900.0
2021-07-29,79.16,80.08,78.04,78.4,1366100.0
2021-07-28,77.89,80.15,77.89,79.59,3265700.0
2021-07-27,78.69,79.15,77.45,77.54,1176900.0
2021-07-26,76.34,79.11,76.26,79.02,1675200.0
2021-07-23,77.64,77.87,75.99,76.34,1477100.0
2021-07-22,77.0,77.87,75.92,77.65,1328800.0
2021-07-21,75.83,77.48,75.83,77.03,1021600.0
2021-07-20,75.19,76.13,74.42,76.02,1117900.0
2021-07-19,75.22,75.54,74.19,75.5,2027100.0
