date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,25.21,26.05,25.08,25.15,11948600.0
2021-05-12,25.2,26.1,24.61,25.13,33914400.0
2021-05-11,23.41,24.12,23.01,23.92,9850500.0
2021-05-10,23.45,23.68,23.35,23.6,7273100.0
2021-05-07,22.98,23.63,22.77,23.63,7627300.0
2021-05-06,23.3,23.46,22.64,22.88,8692900.0
2021-05-05,22.71,23.29,22.55,23.2,6626600.0
2021-05-04,22.94,22.95,22.53,22.53,9244100.0
2021-05-03,22.51,22.97,22.38,22.91,6147600.0
2021-04-30,22.48,23.02,22.29,22.51,9324100.0
2021-04-29,22.8,23.1,22.74,22.75,5972100.0
2021-04-28,22.31,22.75,22.26,22.74,5860000.0
2021-04-27,22.59,22.68,22.13,22.27,6690100.0
2021-04-26,22.63,23.2,22.53,22.72,5769500.0
2021-04-23,22.41,22.8,22.37,22.71,6734100.0
2021-04-22,22.81,23.05,22.26,22.3,8100800.0
2021-04-20,22.11,22.89,22.11,22.84,13004900.0
2021-04-19,21.5,22.21,21.43,22.16,11040000.0
2021-04-16,21.93,21.98,21.5,21.6,9477100.0
2021-04-15,23.04,23.5,22.95,23.35,10622400.0
2021-04-14,22.87,23.09,22.49,22.98,8476400.0
2021-04-13,22.31,22.92,22.26,22.87,7423400.0
2021-04-12,21.9,22.53,21.84,22.43,9313800.0
2021-04-09,22.19,22.19,21.85,21.85,7647900.0
2021-04-08,22.25,22.54,21.98,22.35,7807200.0
2021-04-07,22.25,22.37,21.91,22.14,6458900.0
2021-04-06,22.73,22.8,22.24,22.33,7152600.0
2021-04-05,22.35,22.7,22.28,22.7,3366400.0
2021-04-01,22.11,22.36,21.94,22.25,5525100.0
2021-03-31,22.23,22.32,21.83,22.08,6383600.0
2021-03-30,21.51,22.5,21.51,22.25,7613900.0
2021-03-29,22.1,22.14,21.51,21.68,8412100.0
2021-03-26,22.04,22.45,21.6,22.08,7107900.0
2021-03-25,21.01,22.44,20.81,22.27,10886200.0
2021-03-24,21.78,21.82,21.11,21.29,6042400.0
2021-03-23,21.98,22.21,21.53,21.76,5266700.0
2021-03-22,22.54,22.65,21.97,21.97,9587400.0
2021-03-19,22.13,22.73,21.94,22.65,10315800.0
2021-03-18,22.0,22.48,21.76,22.11,6247200.0
2021-03-17,21.49,22.26,21.25,22.14,6381900.0
2021-03-16,21.86,21.97,21.24,21.51,4168300.0
2021-03-15,21.67,22.17,21.67,21.94,5680500.0
2021-03-12,21.35,21.95,21.11,21.68,6332700.0
2021-03-11,20.72,21.67,20.65,21.67,10569000.0
2021-03-10,20.3,20.79,19.92,20.55,21053500.0
2021-03-09,19.0,19.4,18.86,19.31,9305300.0
2021-03-08,19.85,20.06,18.9,19.09,12356400.0
2021-03-05,20.29,20.64,19.96,20.25,19372100.0
2021-03-04,19.19,20.45,19.03,20.29,14420500.0
2021-03-03,19.16,19.76,18.2,19.0,16157100.0
2021-03-02,19.31,19.65,18.71,19.39,13887100.0
2021-03-01,20.02,20.21,19.4,19.69,8024600.0
2021-02-26,20.25,20.45,19.75,19.92,11130100.0
2021-02-25,21.37,21.68,20.15,20.41,13515900.0
2021-02-24,21.45,21.46,20.88,21.1,7032600.0
2021-02-23,21.91,21.99,21.15,21.28,13582300.0
2021-02-22,22.1,22.1,20.09,21.21,33232000.0
2021-02-19,22.03,23.0,22.03,22.86,11089800.0
2021-02-18,22.01,22.53,21.83,22.42,12404300.0
2021-02-17,22.25,22.25,22.25,22.25,0.0
2021-02-12,22.58,22.65,21.88,22.25,7424600.0
2021-02-11,22.4,22.97,22.24,22.65,7874100.0
2021-02-10,22.39,22.64,21.98,22.33,12342000.0
2021-02-09,22.41,22.43,22.08,22.38,11396200.0
2021-02-08,22.59,23.04,22.24,22.43,16276700.0
2021-02-05,22.9,22.95,22.45,22.48,12059400.0
2021-02-04,23.0,23.16,22.42,22.77,6974600.0
2021-02-03,23.48,23.58,22.75,22.99,10582100.0
2021-02-02,23.98,24.28,23.34,23.34,11003900.0
2021-02-01,23.71,23.98,23.22,23.77,7952100.0
2021-01-29,23.54,23.98,23.26,23.26,10416100.0
2021-01-28,23.37,24.23,23.06,23.8,13321700.0
2021-01-27,22.9,23.75,22.81,23.27,14727800.0
2021-01-26,23.0,24.33,22.6,22.9,32466000.0
2021-01-22,20.75,20.98,20.54,20.9,7501100.0
2021-01-21,21.52,21.63,20.83,20.83,8306300.0
2021-01-20,21.79,21.92,21.33,21.53,5067600.0
2021-01-19,21.85,21.94,21.51,21.75,7091300.0
2021-01-18,21.89,22.22,21.63,21.76,4157900.0
2021-01-15,22.09,22.27,21.82,21.82,6956100.0
2021-01-14,22.34,22.69,22.2,22.33,6938500.0
2021-01-13,22.6,22.75,22.21,22.21,11337000.0
2021-01-12,22.45,22.65,22.3,22.51,5764200.0
2021-01-11,22.64,22.96,22.22,22.34,7564100.0
2021-01-08,22.22,22.8,22.1,22.8,8434100.0
2021-01-07,21.9,22.26,21.58,22.18,6954300.0
2021-01-06,22.12,22.26,21.57,21.78,10884000.0
2021-01-05,21.96,22.33,21.47,22.1,12993100.0
2021-01-04,22.3,22.33,21.65,21.85,3953500.0
2020-12-30,22.11,22.3,22.05,22.13,5924400.0
2020-12-29,22.21,22.27,22.02,22.11,4263500.0
2020-12-28,22.25,22.29,21.82,22.16,4293600.0
2020-12-23,22.04,22.45,21.98,22.1,9938200.0
2020-12-22,22.19,22.28,21.8,22.04,4788200.0
2020-12-21,22.6,22.98,22.19,22.47,16045300.0
2020-12-18,22.78,23.2,22.66,22.96,10089700.0
2020-12-17,22.94,23.0,22.55,22.8,8787700.0
2020-12-16,22.68,22.83,22.2,22.75,9630400.0
2020-12-15,22.22,22.82,21.89,22.68,10286400.0
2020-12-14,21.62,22.62,21.52,22.22,14439200.0
2020-12-11,21.3,21.52,20.95,21.43,8563200.0
2020-12-10,20.95,21.42,20.53,21.39,11845500.0
2020-12-09,20.9,21.11,20.61,20.95,5745600.0
2020-12-08,20.79,21.05,20.56,20.91,6489700.0
2020-12-07,21.34,21.51,20.58,20.77,9229900.0
2020-12-04,21.35,21.68,21.18,21.39,7585500.0
2020-12-03,21.19,21.48,21.05,21.26,5874100.0
2020-12-02,21.12,21.39,20.96,21.03,7005900.0
2020-12-01,20.82,21.13,20.57,21.0,9788500.0
2020-11-30,21.1,21.44,20.53,20.53,13052300.0
2020-11-27,20.77,21.86,20.63,21.14,16370400.0
2020-11-26,21.22,21.22,20.61,20.77,5140400.0
2020-11-25,21.0,21.3,20.86,21.04,5275600.0
2020-11-24,20.45,21.34,20.25,20.99,9634300.0
2020-11-23,20.81,20.9,20.19,20.35,11647400.0
2020-11-20,20.97,21.03,20.55,20.68,7401500.0
2020-11-19,21.21,21.25,20.78,21.01,6460900.0
2020-11-18,21.69,21.86,21.03,21.18,8294500.0
2020-11-17,21.75,21.87,21.37,21.69,7931000.0
2020-11-16,21.94,22.06,21.59,21.87,8728600.0
2020-11-13,21.62,21.8,21.26,21.59,20413700.0
2020-11-12,22.2,22.44,21.33,21.51,6712000.0
2020-11-11,22.59,22.74,22.05,22.2,11288100.0
2020-11-10,22.08,23.17,21.99,22.6,14114700.0
2020-11-09,21.51,22.19,21.51,21.87,10213300.0
2020-11-06,20.8,21.39,20.52,21.14,6689900.0
2020-11-05,20.4,20.95,20.17,20.94,9912300.0
2020-11-04,19.28,19.98,19.12,19.82,5403900.0
2020-11-03,19.42,19.62,18.81,19.15,8850700.0
2020-10-30,19.36,19.61,18.97,19.18,7418300.0
2020-10-29,19.25,19.96,18.83,19.64,25930900.0
2020-10-28,19.99,19.99,19.14,19.14,6613400.0
2020-10-27,20.51,20.73,20.16,20.23,4170300.0
2020-10-26,20.7,20.79,20.27,20.55,5707700.0
2020-10-23,20.82,20.96,20.73,20.87,3371600.0
2020-10-22,20.9,21.07,20.73,20.78,4632900.0
2020-10-21,21.02,21.02,20.5,20.84,3883100.0
2020-10-20,21.29,21.42,20.86,20.96,7092400.0
2020-10-19,20.4,21.29,20.34,21.05,5947500.0
2020-10-16,20.26,20.6,20.05,20.44,4919300.0
2020-10-15,20.28,20.45,20.15,20.27,5275600.0
2020-10-14,20.4,20.84,20.38,20.6,4682300.0
2020-10-13,20.07,20.73,19.96,20.4,8194900.0
2020-10-09,20.21,20.58,20.05,20.1,8238000.0
2020-10-08,20.01,20.56,20.0,20.33,7048300.0
2020-10-07,20.31,20.44,19.73,20.0,7162700.0
2020-10-06,20.76,20.93,20.04,20.22,4443400.0
2020-10-05,20.5,20.67,20.02,20.57,4326900.0
2020-10-02,20.88,21.23,20.31,20.36,7287600.0
2020-10-01,19.99,21.11,19.95,21.0,7794700.0
2020-09-30,20.12,20.34,19.86,20.15,5324900.0
2020-09-29,20.15,20.48,19.82,20.07,4860100.0
2020-09-28,21.06,21.35,20.11,20.25,6165500.0
2020-09-25,20.95,21.01,20.65,20.88,2894900.0
2020-09-24,20.95,21.4,20.81,21.09,5244700.0
2020-09-23,21.19,21.51,20.82,20.85,6058500.0
2020-09-22,21.25,21.77,21.17,21.35,7337200.0
2020-09-21,21.29,21.51,20.81,21.2,5854800.0
2020-09-18,21.91,21.98,21.28,21.4,7551100.0
2020-09-17,21.75,22.17,21.56,22.17,3095600.0
2020-09-16,22.2,22.49,21.96,21.99,6854100.0
2020-09-15,22.33,22.41,21.75,22.07,6016500.0
2020-09-14,22.14,22.62,22.07,22.25,5786300.0
2020-09-11,22.35,22.65,21.81,22.11,5090900.0
2020-09-10,22.99,23.23,22.35,22.49,6576600.0
2020-09-09,23.0,23.27,22.46,23.09,7962500.0
2020-09-08,21.88,23.0,21.85,22.97,10093300.0
2020-09-04,22.0,22.65,21.74,22.38,27347000.0
2020-09-03,22.05,22.5,21.78,21.91,7842900.0
2020-09-02,22.0,22.21,21.81,22.0,5688700.0
2020-09-01,21.52,22.36,21.49,22.2,7807600.0
2020-08-31,21.8,21.87,21.25,21.34,9702400.0
2020-08-28,21.15,22.19,21.07,21.97,9253100.0
2020-08-27,21.39,21.65,20.8,21.02,17342500.0
2020-08-26,22.32,22.58,21.55,21.73,6741600.0
2020-08-25,22.35,22.66,22.21,22.32,5628400.0
2020-08-24,22.57,22.98,22.3,22.35,6100600.0
2020-08-21,21.7,22.56,21.62,22.56,7458600.0
2020-08-20,20.99,21.96,20.78,21.77,5930200.0
2020-08-19,21.7,21.99,21.11,21.25,7584700.0
2020-08-18,20.8,21.54,20.76,21.5,6060200.0
2020-08-17,21.15,21.22,20.21,20.55,6370300.0
2020-08-14,21.01,21.27,20.65,21.09,6379100.0
2020-08-13,21.81,22.07,20.95,20.95,6454900.0
2020-08-12,22.1,22.68,21.24,21.61,9670700.0
2020-08-11,22.0,22.17,21.75,21.81,6563200.0
2020-08-10,22.23,22.23,21.72,22.07,3956700.0
2020-08-07,22.38,22.4,21.7,22.11,6894600.0
2020-08-06,22.15,22.49,22.03,22.49,4921900.0
2020-08-05,21.83,22.41,21.53,22.17,15184800.0
2020-08-04,21.69,21.82,21.1,21.4,7280000.0
2020-08-03,22.61,22.68,21.53,21.8,8666600.0
2020-07-31,23.19,23.34,22.57,22.7,7707300.0
2020-07-30,23.21,23.32,22.89,23.0,7325700.0
2020-07-29,23.18,23.71,23.02,23.29,7077200.0
2020-07-28,22.92,23.14,22.67,22.87,5633600.0
2020-07-27,22.95,23.52,22.9,22.92,4492100.0
2020-07-24,23.16,23.17,22.53,22.95,6375400.0
2020-07-23,23.74,23.84,22.92,23.16,5541400.0
2020-07-22,23.81,24.34,23.46,23.63,5804000.0
2020-07-21,23.77,24.05,23.39,23.87,6822700.0
2020-07-20,23.64,23.7,23.11,23.51,6445400.0
2020-07-17,22.47,23.75,22.47,23.75,8378100.0
2020-07-16,22.67,22.85,22.31,22.34,3646800.0
2020-07-15,23.0,23.08,22.46,22.81,5681400.0
2020-07-14,22.02,22.84,21.9,22.74,6650000.0
2020-07-13,22.72,22.86,22.0,22.0,3680500.0
2020-07-10,22.8,23.01,22.4,22.61,4489300.0
2020-07-09,22.9,23.09,22.45,22.8,5245500.0
2020-07-08,22.45,23.09,22.45,22.96,6759100.0
2020-07-07,22.34,22.64,22.2,22.41,5118700.0
2020-07-06,22.56,22.86,22.24,22.48,7790000.0
2020-07-03,22.05,22.36,21.62,22.2,5952000.0
2020-07-02,22.4,22.55,21.83,21.99,9374400.0
2020-07-01,21.79,22.19,21.5,21.8,8687600.0
2020-06-30,21.22,22.1,21.1,21.55,9200300.0
2020-06-29,21.5,21.63,20.87,21.47,5989700.0
2020-06-26,21.85,22.0,21.1,21.22,5696500.0
2020-06-25,21.68,22.11,21.35,22.1,16949400.0
2020-06-24,21.6,22.0,21.06,21.49,8191000.0
2020-06-23,22.08,22.33,21.56,21.6,9379000.0
2020-06-22,22.35,22.6,21.73,21.79,7380100.0
2020-06-19,23.46,23.47,22.2,22.22,14360600.0
2020-06-18,22.48,23.41,22.24,22.88,12565200.0
2020-06-17,22.53,23.72,21.95,22.99,11937100.0
2020-06-16,23.3,23.42,21.86,22.26,8891400.0
2020-06-15,21.85,22.88,21.12,22.64,10274600.0
2020-06-12,21.85,22.98,21.79,22.42,14358300.0
2020-06-10,23.85,23.85,22.38,22.4,7653000.0
2020-06-09,23.1,24.14,22.61,23.41,8739500.0
2020-06-08,23.38,24.67,23.35,24.0,12578500.0
2020-06-05,24.5,24.87,22.92,22.92,9916700.0
2020-06-04,23.5,23.93,23.2,23.39,5639600.0
2020-06-03,23.4,24.14,23.1,23.45,9433000.0
2020-06-02,21.81,23.11,21.75,22.82,8872700.0
2020-06-01,21.64,22.38,21.3,21.6,7055800.0
2020-05-29,21.91,22.24,21.32,21.64,15819100.0
2020-05-28,22.17,22.47,21.71,22.18,6348600.0
2020-05-27,21.56,22.39,21.17,22.2,6727700.0
2020-05-26,22.8,23.1,21.33,21.47,12510600.0
2020-05-25,20.9,22.22,20.77,22.22,8382800.0
2020-05-22,20.8,20.98,20.05,20.13,6050600.0
2020-05-21,19.55,21.29,19.38,21.02,9105600.0
2020-05-20,19.4,20.45,19.32,19.55,9396800.0
2020-05-19,18.9,19.79,18.7,19.35,6805200.0
2020-05-18,18.95,19.19,18.61,19.01,6211400.0
2020-05-15,18.45,19.18,18.09,18.21,7412000.0
2020-05-14,17.09,18.79,16.95,18.55,10579600.0
2020-05-13,17.77,18.08,17.12,17.3,6216100.0
2020-05-12,18.06,18.54,17.6,17.6,6257300.0
2020-05-11,18.8,18.96,17.9,17.91,6863400.0
2020-05-08,18.31,19.11,18.25,19.05,8117500.0
2020-05-07,19.68,19.71,18.2,18.2,11152300.0
2020-05-06,20.0,20.15,18.89,19.36,7973900.0
2020-05-05,19.95,20.58,19.58,19.8,6598100.0
2020-05-04,18.92,19.84,18.67,19.57,5200900.0
2020-04-30,20.8,20.8,19.26,19.53,8934600.0
2020-04-29,19.65,21.18,19.35,20.62,9051100.0
2020-04-28,18.71,19.43,18.12,19.4,10652900.0
2020-04-27,17.55,18.7,17.45,18.25,9555300.0
2020-04-24,18.01,18.14,15.26,16.94,14262100.0
2020-04-23,19.25,19.57,18.01,18.3,6845100.0
2020-04-22,18.7,19.59,18.67,19.07,6903600.0
2020-04-20,18.05,19.48,17.72,18.67,8217800.0
2020-04-17,19.4,19.5,18.08,18.41,6683100.0
2020-04-16,19.8,19.85,18.53,18.53,6931300.0
2020-04-15,18.5,19.9,18.18,19.49,9765400.0
2020-04-14,19.19,19.74,19.09,19.11,5592700.0
2020-04-13,19.32,19.5,18.36,18.9,8468000.0
2020-04-09,19.28,20.48,19.05,19.42,14403800.0
2020-04-08,18.75,19.42,18.4,19.1,9705200.0
2020-04-07,17.67,19.07,17.67,18.28,15433200.0
2020-04-06,14.5,16.46,14.5,15.9,9829500.0
2020-04-03,14.45,14.57,13.53,13.85,7261200.0
2020-04-02,14.5,14.98,14.07,14.35,8749900.0
2020-04-01,14.83,14.92,14.0,14.02,11070400.0
2020-03-31,15.8,15.97,15.4,15.51,7344900.0
2020-03-30,16.25,16.41,15.23,15.75,8662100.0
