date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,21.14,21.14,20.26,20.46,14595600.0
2021-05-12,21.02,21.2,20.94,21.05,8436000.0
2021-05-11,21.3,21.46,20.98,21.38,6914100.0
2021-05-10,21.11,21.55,20.81,21.53,6928900.0
2021-05-07,20.85,21.11,20.55,21.11,6408700.0
2021-05-06,21.09,21.5,20.86,21.02,11154500.0
2021-05-05,20.63,21.02,20.44,20.89,7689700.0
2021-05-04,20.69,21.05,20.34,20.49,7640800.0
2021-05-03,20.8,20.88,20.26,20.57,10665300.0
2021-04-30,21.28,21.28,20.79,20.79,8139700.0
2021-04-29,21.7,21.72,21.23,21.24,5718200.0
2021-04-28,22.25,22.27,21.45,21.45,8731600.0
2021-04-27,23.41,23.47,21.93,21.98,15363600.0
2021-04-26,23.76,23.8,23.25,23.36,7135000.0
2021-04-23,23.64,24.1,23.49,23.72,7097600.0
2021-04-22,24.12,24.12,23.18,23.25,7844300.0
2021-04-20,23.75,24.28,23.67,23.81,5761200.0
2021-04-19,23.58,24.54,23.3,23.87,8828900.0
2021-04-16,24.2,24.29,23.48,23.59,8128800.0
2021-04-15,24.3,24.53,23.91,24.3,6755700.0
2021-04-14,24.6,24.85,24.16,24.27,8155000.0
2021-04-13,24.5,24.64,24.15,24.58,4944400.0
2021-04-12,24.23,24.54,24.05,24.48,4001700.0
2021-04-09,24.29,24.46,23.94,24.0,4300500.0
2021-04-08,24.29,24.58,24.15,24.39,3807200.0
2021-04-07,24.44,24.69,24.04,24.27,6076400.0
2021-04-06,24.7,24.81,24.29,24.45,4774700.0
2021-04-05,24.85,25.22,24.61,24.73,4974000.0
2021-04-01,25.24,25.32,24.5,24.55,6234500.0
2021-03-31,25.07,25.47,24.78,25.22,6443600.0
2021-03-30,24.67,25.48,24.64,25.38,5643900.0
2021-03-29,24.45,24.83,24.25,24.82,3867800.0
2021-03-26,24.34,24.75,24.04,24.39,5146800.0
2021-03-25,24.0,24.4,23.68,24.28,5227300.0
2021-03-24,24.35,24.99,23.76,24.03,8354800.0
2021-03-23,25.35,25.54,24.3,24.36,8307200.0
2021-03-22,25.41,25.77,25.05,25.42,4176000.0
2021-03-19,24.9,25.8,24.84,25.62,8242500.0
2021-03-18,24.51,25.22,24.39,24.77,4409500.0
2021-03-17,24.5,25.1,24.23,24.87,4977600.0
2021-03-16,24.51,24.93,24.28,24.45,4300300.0
2021-03-15,25.05,25.34,24.45,24.72,7268100.0
2021-03-12,24.51,25.39,24.19,25.02,9582300.0
2021-03-11,24.37,25.04,23.73,24.9,10848400.0
2021-03-10,24.79,24.92,23.41,24.16,11238100.0
2021-03-09,23.3,24.68,23.27,24.65,14631900.0
2021-03-08,23.08,24.02,23.01,23.26,9237200.0
2021-03-05,22.61,24.31,22.52,23.57,15721700.0
2021-03-04,21.76,23.06,21.76,22.73,10237000.0
2021-03-03,21.44,21.96,20.91,21.71,11790000.0
2021-03-02,21.45,22.01,20.83,21.59,14384900.0
2021-03-01,22.1,22.18,20.85,21.7,14579800.0
2021-02-26,23.64,23.75,21.64,21.64,19461300.0
2021-02-25,23.85,24.73,23.06,23.31,13673100.0
2021-02-24,23.13,24.0,22.8,23.81,11228100.0
2021-02-23,22.08,23.23,21.9,23.09,12817500.0
2021-02-22,21.9,22.25,21.5,21.5,9207500.0
2021-02-19,22.55,22.92,22.45,22.46,4880600.0
2021-02-18,23.25,23.35,22.58,22.6,6960000.0
2021-02-17,23.24,23.73,22.81,23.25,6927000.0
2021-02-12,22.97,23.32,22.78,23.3,4194500.0
2021-02-11,23.13,23.46,22.72,22.98,5609400.0
2021-02-10,23.43,23.59,22.9,23.07,5686000.0
2021-02-09,22.96,23.69,22.96,23.34,8044100.0
2021-02-08,22.43,23.47,22.43,23.1,11023400.0
2021-02-05,22.4,22.77,22.32,22.41,4461900.0
2021-02-04,22.61,22.7,22.24,22.39,5754100.0
2021-02-03,22.04,22.79,21.86,22.57,10080800.0
2021-02-02,21.3,21.99,21.2,21.9,9855100.0
2021-02-01,21.5,21.5,20.86,21.05,6653700.0
2021-01-29,21.52,22.24,21.22,21.22,10738500.0
2021-01-28,20.92,21.78,20.77,21.65,9802800.0
2021-01-27,20.38,21.33,20.24,20.98,10119600.0
2021-01-26,20.63,20.79,20.37,20.41,9410100.0
2021-01-22,19.85,20.72,19.63,20.69,9565200.0
2021-01-21,20.42,20.56,19.86,20.05,8967100.0
2021-01-20,20.51,20.7,20.06,20.41,6446300.0
2021-01-19,20.51,20.57,20.25,20.41,8451200.0
2021-01-18,20.87,20.98,20.38,20.39,5375600.0
2021-01-15,21.0,21.27,20.62,20.76,9552000.0
2021-01-14,21.39,21.54,21.1,21.1,6763700.0
2021-01-13,21.4,21.56,20.93,21.24,12078100.0
2021-01-12,21.65,22.29,21.31,21.36,13413600.0
2021-01-11,21.74,21.86,21.42,21.53,9913000.0
2021-01-08,21.92,22.28,21.7,21.98,7068400.0
2021-01-07,21.25,22.03,21.15,21.93,12379900.0
2021-01-06,21.31,21.58,21.14,21.2,8883400.0
2021-01-05,21.43,21.46,21.03,21.31,6431000.0
2021-01-04,22.2,22.35,21.28,21.48,12583500.0
2020-12-30,22.59,22.65,21.97,22.04,5735300.0
2020-12-29,22.59,22.74,22.26,22.5,5019000.0
2020-12-28,22.48,22.67,22.17,22.45,5642000.0
2020-12-23,22.22,22.56,22.01,22.39,6687400.0
2020-12-22,21.83,22.57,21.83,22.22,16163000.0
2020-12-21,21.69,22.28,21.28,21.81,7366600.0
2020-12-18,21.87,22.64,21.69,22.07,10743800.0
2020-12-17,22.16,22.19,21.65,21.84,8283600.0
2020-12-16,21.83,22.35,21.81,22.14,10321500.0
2020-12-15,21.83,21.84,21.45,21.8,8608900.0
2020-12-14,22.15,22.2,21.69,21.82,6067700.0
2020-12-11,21.99,22.25,21.55,22.03,8895200.0
2020-12-10,22.74,22.87,22.04,22.11,11208000.0
2020-12-09,23.51,23.7,22.58,22.68,14960100.0
2020-12-08,22.0,23.92,21.7,23.13,43741200.0
2020-12-07,21.19,21.72,20.77,21.28,10710400.0
2020-12-04,21.7,21.96,21.19,21.2,11175000.0
2020-12-03,21.4,21.75,20.59,21.5,13229700.0
2020-12-02,21.78,21.86,21.29,21.4,9015800.0
2020-12-01,22.17,22.2,21.39,21.64,10644300.0
2020-11-30,21.87,22.19,21.74,22.03,8346100.0
2020-11-27,22.08,22.28,21.83,21.89,4312200.0
2020-11-26,22.28,22.55,21.91,21.95,4829900.0
2020-11-25,22.26,22.69,22.12,22.3,8206400.0
2020-11-24,22.05,22.45,21.72,22.37,8248500.0
2020-11-23,21.0,22.2,20.88,22.03,14703000.0
2020-11-20,20.75,20.98,20.56,20.8,4458500.0
2020-11-19,21.42,21.59,20.53,20.79,9105700.0
2020-11-18,20.76,21.66,20.73,21.32,14681200.0
2020-11-17,19.87,20.97,19.82,20.68,9444600.0
2020-11-16,19.97,20.12,19.56,19.98,10591500.0
2020-11-13,19.3,19.91,19.25,19.79,7393500.0
2020-11-12,19.28,19.9,19.12,19.23,10025100.0
2020-11-11,19.59,19.88,19.15,19.28,9017600.0
2020-11-10,19.08,19.99,18.86,19.6,26676400.0
2020-11-09,18.2,18.8,18.06,18.5,12147800.0
2020-11-06,17.55,17.85,17.45,17.8,5329300.0
2020-11-05,17.54,17.88,17.04,17.71,7766800.0
