date,1. open,2. high,3. low,4. close,5. volume
2021-09-08,66.5,67.88,64.65,65.28,4291500.0
2021-09-06,66.87,67.85,66.02,67.07,1608000.0
2021-09-03,67.98,69.16,66.2,66.78,4837700.0
2021-09-02,67.01,68.02,65.91,67.07,4228200.0
2021-09-01,66.48,68.39,65.15,67.58,7097900.0
2021-08-31,62.5,65.99,62.49,65.99,8351500.0
2021-08-30,62.69,63.12,60.93,62.49,2645500.0
2021-08-27,61.59,62.85,61.59,62.6,2687200.0
2021-08-26,63.06,63.28,61.41,61.66,2511800.0
2021-08-25,60.07,63.31,59.76,62.86,4480400.0
2021-08-24,60.36,61.4,60.18,60.49,1895900.0
2021-08-23,58.59,60.25,58.39,60.08,3106300.0
2021-08-20,56.15,59.14,56.15,58.58,2294300.0
2021-08-19,54.01,57.49,53.61,57.46,4224100.0
2021-08-18,52.89,56.2,52.89,54.71,4912100.0
2021-08-17,54.35,55.23,52.22,52.5,3067400.0
2021-08-16,56.29,56.48,54.04,54.56,2781500.0
2021-08-13,55.92,56.64,55.59,56.49,1938100.0
2021-08-12,56.78,57.08,55.9,56.14,1620200.0
2021-08-11,56.92,57.32,56.02,56.73,1471800.0
2021-08-10,57.15,58.28,56.2,56.99,2315500.0
2021-08-09,56.49,57.8,55.44,57.1,1660400.0
2021-08-06,55.4,56.79,55.29,56.47,1869000.0
2021-08-05,58.43,59.96,54.67,55.41,4213900.0
2021-08-04,57.45,58.35,56.6,57.82,1700300.0
2021-08-03,57.98,58.39,55.9,58.02,2329300.0
2021-08-02,57.21,58.95,56.79,58.23,2763600.0
2021-07-30,58.66,59.15,57.37,57.75,1844200.0
2021-07-29,59.09,60.2,58.81,59.36,1787200.0
2021-07-28,58.51,59.46,58.31,59.1,2197500.0
2021-07-27,59.8,60.0,57.08,58.0,2378200.0
2021-07-26,59.24,60.64,58.27,60.25,1985200.0
2021-07-23,62.41,62.74,58.76,58.93,3388700.0
2021-07-22,62.65,63.78,62.17,62.4,2097200.0
2021-07-21,60.0,63.0,59.78,62.87,2768400.0
2021-07-20,59.51,60.69,58.5,60.11,2819600.0
2021-07-19,59.6,59.6,58.22,59.38,2298100.0
2021-07-16,61.94,63.0,59.94,60.43,2307700.0
2021-07-15,62.13,63.79,61.74,62.09,2927800.0
2021-07-14,60.54,62.82,59.83,62.56,3355000.0
2021-07-13,60.58,61.9,59.23,59.8,1970400.0
2021-07-12,58.7,60.74,58.5,60.4,2275400.0
2021-07-08,57.08,58.58,56.55,58.39,2631600.0
2021-07-07,59.6,59.6,57.65,58.83,2192700.0
2021-07-06,61.1,61.48,58.6,59.02,2173400.0
2021-07-05,59.6,61.75,59.4,61.06,1919700.0
2021-07-02,58.91,60.47,58.72,60.0,2076300.0
2021-07-01,59.79,59.79,58.12,58.35,1801300.0
2021-06-30,59.11,60.0,58.08,59.55,3366600.0
2021-06-29,56.74,59.32,56.53,59.32,3194400.0
2021-06-28,55.58,56.61,55.02,56.3,1472200.0
2021-06-25,57.19,57.34,55.33,55.42,1616000.0
2021-06-24,56.88,57.57,56.0,56.9,2414500.0
2021-06-23,55.25,56.87,54.94,56.44,1986600.0
2021-06-22,54.54,54.93,54.07,54.89,1691400.0
2021-06-21,54.55,55.19,53.38,55.11,1857500.0
2021-06-18,54.08,54.97,52.48,54.06,2884800.0
2021-06-17,56.61,56.76,53.71,53.84,3269600.0
2021-06-16,57.66,57.74,56.03,56.9,3554700.0
2021-06-15,56.54,57.55,55.56,57.39,2455700.0
2021-06-14,57.85,58.1,55.9,56.35,2700000.0
2021-06-11,60.0,60.0,57.22,57.3,3515400.0
2021-06-10,57.6,60.19,57.53,59.46,3116900.0
2021-06-09,56.43,57.86,54.77,57.03,3935500.0
2021-06-08,60.74,61.53,56.11,56.37,4392800.0
2021-06-07,59.39,60.74,58.09,60.2,4173800.0
2021-06-04,56.68,59.36,56.02,58.91,5071300.0
2021-06-02,53.36,56.54,52.83,55.92,5413200.0
2021-06-01,50.45,53.61,50.0,53.35,5101900.0
2021-05-31,51.86,52.32,49.61,50.07,2928700.0
2021-05-28,51.7,52.4,51.33,51.74,1923000.0
2021-05-27,52.1,52.88,51.62,51.79,25412800.0
2021-05-26,50.95,51.8,49.59,51.58,3662800.0
2021-05-25,50.96,51.45,49.87,50.66,3496500.0
2021-05-24,51.1,51.33,49.62,50.6,3498000.0
