date,1. open,2. high,3. low,4. close,5. volume
2021-09-08,8.8,8.8,8.4,8.47,14076700.0
2021-09-06,8.64,8.88,8.58,8.81,6910200.0
2021-09-03,8.81,8.84,8.56,8.66,17878600.0
2021-09-02,8.94,9.01,8.74,8.77,22413400.0
2021-09-01,9.1,9.15,8.95,8.95,10073700.0
2021-08-31,9.11,9.25,8.99,9.03,12010100.0
2021-08-30,9.25,9.26,9.09,9.12,9102000.0
2021-08-27,9.1,9.37,9.04,9.25,15311400.0
2021-08-26,9.43,9.45,9.05,9.09,18539700.0
2021-08-25,9.46,9.53,9.28,9.42,14191200.0
2021-08-24,9.43,9.58,9.4,9.46,16567200.0
2021-08-23,9.54,9.58,9.3,9.33,10931200.0
2021-08-20,9.2,9.53,9.2,9.51,13883600.0
2021-08-19,9.16,9.4,9.1,9.33,16360500.0
2021-08-18,9.32,9.4,9.16,9.26,20085400.0
2021-08-17,9.42,9.42,9.09,9.24,17995000.0
2021-08-16,9.57,9.62,9.36,9.49,15752400.0
2021-08-13,9.68,9.74,9.43,9.6,15472800.0
2021-08-12,9.84,9.85,9.67,9.71,13132200.0
2021-08-11,9.87,9.99,9.78,9.9,9427500.0
2021-08-10,10.13,10.23,9.85,9.91,15405400.0
2021-08-09,10.06,10.26,10.03,10.09,12185200.0
2021-08-06,10.0,10.23,9.93,10.06,14166800.0
2021-08-05,10.14,10.24,9.9,9.98,11064200.0
2021-08-04,10.1,10.33,9.99,10.06,11322000.0
2021-08-03,10.21,10.23,9.9,10.21,13054200.0
2021-08-02,10.2,10.36,10.18,10.21,12075100.0
2021-07-30,10.35,10.5,10.01,10.03,15457100.0
2021-07-29,10.35,10.55,10.35,10.44,9371900.0
2021-07-28,10.23,10.37,10.17,10.25,11920700.0
2021-07-27,10.22,10.3,10.03,10.18,12540400.0
2021-07-26,10.37,10.4,10.18,10.28,8918800.0
2021-07-23,10.57,10.6,10.27,10.33,13891600.0
2021-07-22,10.55,10.71,10.47,10.55,9142900.0
2021-07-21,10.59,10.69,10.45,10.54,9839500.0
2021-07-20,10.41,10.68,10.34,10.6,9377200.0
2021-07-19,10.29,10.51,10.2,10.39,8751600.0
2021-07-16,10.64,10.71,10.42,10.49,10126300.0
2021-07-15,10.65,10.76,10.54,10.58,12119400.0
2021-07-14,10.69,10.78,10.53,10.64,14225400.0
2021-07-13,10.25,10.67,10.15,10.54,21623600.0
2021-07-12,10.11,10.44,10.01,10.27,18993900.0
2021-07-08,9.86,10.09,9.77,10.07,15178000.0
2021-07-07,10.0,10.09,9.86,10.02,12183300.0
2021-07-06,10.05,10.05,9.86,9.88,9443400.0
2021-07-05,10.06,10.39,10.0,10.09,16026200.0
2021-07-02,9.99,10.14,9.92,10.04,11026000.0
2021-07-01,10.2,10.22,9.83,9.92,16576900.0
2021-06-30,10.06,10.21,9.94,10.14,16497400.0
2021-06-29,10.3,10.3,9.94,10.12,27026000.0
2021-06-28,10.63,10.68,10.21,10.39,29108900.0
2021-06-25,11.0,11.02,10.54,10.6,20610100.0
2021-06-24,11.0,11.09,10.92,10.99,8954800.0
2021-06-23,10.99,11.18,10.81,10.89,17427500.0
2021-06-22,11.16,11.19,10.86,11.02,19930900.0
2021-06-21,11.19,11.36,11.16,11.3,12255000.0
2021-06-18,11.15,11.3,11.13,11.18,12095000.0
2021-06-17,11.29,11.43,11.14,11.22,9450700.0
2021-06-16,11.55,11.56,11.24,11.38,17339100.0
2021-06-15,11.79,11.84,11.47,11.55,11483300.0
2021-06-14,11.42,11.87,11.37,11.75,21530199.0
2021-06-11,11.56,11.58,11.1,11.27,13266400.0
2021-06-10,11.55,11.6,11.38,11.6,7745500.0
2021-06-09,11.63,11.68,11.44,11.55,10235100.0
2021-06-08,11.79,11.79,11.43,11.62,19290600.0
2021-06-07,11.75,12.03,11.72,11.8,15813100.0
2021-06-04,11.26,11.84,11.2,11.75,18036000.0
2021-06-02,11.16,11.4,11.16,11.26,10882800.0
2021-06-01,11.25,11.47,11.15,11.16,18153199.0
2021-05-31,11.3,11.4,10.96,11.18,8593700.0
2021-05-28,11.0,11.37,10.82,11.3,22876900.0
2021-05-27,10.99,11.19,10.99,11.0,15420000.0
2021-05-26,10.9,11.05,10.8,10.96,12735900.0
2021-05-25,10.9,11.02,10.8,10.85,11562000.0
2021-05-24,10.89,10.94,10.73,10.83,17330900.0
2021-05-21,11.15,11.15,10.78,10.85,12522800.0
2021-05-20,10.71,11.14,10.67,11.08,23140600.0
2021-05-19,10.6,10.85,10.54,10.67,14189700.0
2021-05-18,10.92,11.09,10.7,10.75,21968199.0
2021-05-17,10.64,10.99,10.47,10.91,16330900.0
2021-05-14,10.47,10.73,10.46,10.65,19044100.0
