date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,8.82,9.11,8.81,8.99,855300.0
2021-05-12,9.03,9.03,8.76,8.82,1065900.0
2021-05-11,9.08,9.09,8.94,9.08,1064200.0
2021-05-10,9.35,9.36,9.08,9.13,2697700.0
2021-05-07,9.16,9.4,9.14,9.35,1937300.0
2021-05-06,9.46,9.46,9.1,9.1,1133800.0
2021-05-05,9.39,9.44,9.22,9.22,590000.0
2021-05-04,9.32,9.48,9.27,9.36,1597100.0
2021-05-03,9.03,9.49,9.01,9.34,1990700.0
2021-04-30,9.14,9.33,8.97,8.97,1884400.0
2021-04-29,9.13,9.25,9.06,9.16,1579000.0
2021-04-28,9.02,9.14,8.89,9.11,1688900.0
2021-04-27,8.95,9.22,8.92,8.99,1434100.0
2021-04-26,9.0,9.22,8.96,9.1,1931500.0
2021-04-23,9.0,9.08,8.93,9.0,1397300.0
2021-04-22,8.94,9.06,8.83,8.96,1527300.0
2021-04-20,9.1,9.1,8.82,8.94,1461300.0
2021-04-19,8.96,9.28,8.9,9.1,2323100.0
2021-04-16,8.91,8.96,8.77,8.96,1483900.0
2021-04-15,8.8,8.98,8.77,8.89,786800.0
2021-04-14,8.88,8.95,8.79,8.79,678700.0
2021-04-13,8.8,8.9,8.7,8.87,757200.0
2021-04-12,8.82,8.88,8.77,8.8,629800.0
2021-04-09,8.84,8.95,8.79,8.8,1087000.0
2021-04-08,8.78,8.91,8.74,8.88,1712100.0
2021-04-07,9.04,9.05,8.76,8.76,2994700.0
2021-04-06,8.57,9.11,8.55,8.98,2920200.0
2021-04-05,8.56,8.74,8.5,8.6,1645000.0
2021-04-01,8.62,8.71,8.5,8.55,773000.0
2021-03-31,8.79,8.8,8.52,8.6,2284400.0
2021-03-30,8.49,8.83,8.48,8.78,1010300.0
2021-03-29,8.58,8.64,8.45,8.5,1042200.0
2021-03-26,8.84,8.85,8.54,8.7,805800.0
2021-03-25,8.56,8.89,8.43,8.82,1896500.0
2021-03-24,8.72,8.81,8.54,8.54,837100.0
2021-03-23,8.76,8.85,8.67,8.68,1252600.0
2021-03-22,8.6,8.91,8.6,8.74,1740300.0
2021-03-19,8.4,8.81,8.37,8.81,1704100.0
2021-03-18,8.66,8.66,8.36,8.41,1319900.0
2021-03-17,8.58,8.72,8.49,8.66,1576500.0
2021-03-16,8.96,8.96,8.57,8.62,1096600.0
2021-03-15,8.8,8.97,8.79,8.9,1452800.0
2021-03-12,8.73,8.9,8.54,8.83,2768300.0
2021-03-11,8.57,8.9,8.57,8.79,2059400.0
2021-03-10,8.21,8.58,8.16,8.51,3283500.0
2021-03-09,8.33,8.35,8.1,8.14,2315600.0
2021-03-08,8.46,8.59,8.2,8.3,2915400.0
2021-03-05,8.38,8.63,8.28,8.56,2685000.0
2021-03-04,8.08,8.53,8.03,8.34,2789200.0
2021-03-03,8.14,8.16,7.77,8.09,2485400.0
2021-03-02,7.88,8.27,7.6,8.17,4071400.0
2021-03-01,8.16,8.22,7.87,7.93,3689700.0
2021-02-26,8.37,8.48,8.07,8.14,2719400.0
2021-02-25,8.46,8.72,8.3,8.36,2143400.0
2021-02-24,8.57,8.7,8.45,8.45,1937100.0
2021-02-23,8.62,8.62,8.36,8.52,3425300.0
2021-02-22,8.52,8.64,8.35,8.5,2485300.0
2021-02-19,8.67,8.8,8.61,8.66,2361900.0
2021-02-18,8.82,8.82,8.58,8.65,1864100.0
2021-02-17,8.91,8.93,8.76,8.78,1771900.0
2021-02-12,8.87,8.92,8.76,8.92,1691200.0
2021-02-11,8.92,9.01,8.81,8.86,4410000.0
2021-02-10,9.05,9.15,8.8,8.87,2263600.0
2021-02-09,9.24,9.24,8.8,9.02,3864200.0
2021-02-08,9.1,9.36,9.0,9.24,2436200.0
2021-02-05,9.2,9.34,9.06,9.07,2370500.0
2021-02-04,9.15,9.36,9.05,9.12,2456500.0
2021-02-03,9.09,9.27,8.99,9.07,4267800.0
2021-02-02,9.0,9.2,8.95,9.07,3063300.0
2021-02-01,9.14,9.15,8.86,8.94,3372900.0
2021-01-29,9.15,9.26,8.82,9.0,2217500.0
2021-01-28,9.04,9.36,8.94,9.2,2446800.0
2021-01-27,9.13,9.26,8.96,9.04,936500.0
2021-01-26,8.89,9.32,8.88,9.13,2079300.0
2021-01-22,9.03,9.09,8.86,8.88,1963500.0
2021-01-21,9.47,9.55,9.11,9.11,1664300.0
2021-01-20,9.54,9.64,9.45,9.51,744100.0
2021-01-19,9.6,9.66,9.4,9.57,918000.0
2021-01-18,9.61,9.76,9.51,9.53,836400.0
2021-01-15,9.78,9.78,9.6,9.6,1030900.0
2021-01-14,9.69,9.83,9.45,9.81,1501000.0
2021-01-13,9.46,9.64,9.32,9.57,1633100.0
2021-01-12,9.2,9.51,9.06,9.5,1555500.0
2021-01-11,9.3,9.36,9.11,9.16,1413100.0
2021-01-08,9.12,9.45,9.11,9.38,1520800.0
2021-01-07,9.34,9.47,9.11,9.12,1529800.0
2021-01-06,9.66,9.66,9.3,9.3,1952500.0
2021-01-05,9.58,9.76,9.4,9.67,1874400.0
2021-01-04,9.95,10.0,9.56,9.62,1435700.0
2020-12-30,9.98,10.06,9.87,9.9,1220100.0
2020-12-29,10.14,10.16,9.84,9.98,1736100.0
2020-12-28,10.09,10.12,9.91,10.07,1271200.0
2020-12-23,10.02,10.1,9.93,10.02,1508200.0
2020-12-22,10.3,10.3,9.98,10.0,1300700.0
2020-12-21,10.2,10.39,9.9,10.25,2359800.0
2020-12-18,10.73,10.8,10.42,10.44,1716500.0
2020-12-17,10.96,11.15,10.7,10.7,3261300.0
2020-12-16,10.66,10.91,10.49,10.85,1325300.0
2020-12-15,10.59,10.65,10.41,10.63,1405100.0
2020-12-14,10.79,10.9,10.54,10.54,1375500.0
2020-12-11,10.8,10.82,10.61,10.68,919900.0
2020-12-10,10.62,10.82,10.46,10.8,1845300.0
