date,1. open,2. high,3. low,4. close,5. volume
2021-08-03,3.6,3.6,2.75,2.75,2400.0
2021-07-22,2.25,3.6,2.05,3.6,1000.0
2021-07-14,2.25,2.25,2.25,2.25,200.0
2021-07-01,3.0,3.0,3.0,3.0,100.0
2021-06-29,2.45,3.0,2.45,3.0,200.0
2021-06-18,2.5,4.2,2.5,2.5,500.0
2021-06-01,3.1,3.1,3.1,3.1,100.0
2021-05-28,2.9,2.9,2.9,2.9,100.0
2021-05-27,4.0,4.0,4.0,4.0,130.0
2021-05-26,2.5,4.2,2.4999,4.2,1101.0
2021-05-20,2.26,2.26,2.25,2.25,299.0
2021-05-17,4.0,4.0,4.0,4.0,100.0
2021-05-13,3.25,3.25,3.2,3.2,200.0
2021-05-10,4.5,4.5,4.25,4.25,300.0
2021-04-14,4.2,4.2,4.2,4.2,100.0
2021-04-06,4.85,4.85,4.85,4.85,100.0
2021-04-05,2.75,2.75,2.75,2.75,200.0
2021-04-01,4.0,4.0,4.0,4.0,200.0
2021-03-16,3.0,3.95,3.0,3.95,850.0
2021-03-11,2.75,2.75,2.75,2.75,100.0
2021-03-04,3.0,3.0,3.0,3.0,102.0
2021-03-03,3.75,3.75,3.75,3.75,100.0
2021-03-02,4.0,4.0,4.0,4.0,107.0
2021-03-01,4.75,4.75,4.75,4.75,100.0
2021-02-25,7.0,7.95,7.0,7.95,400.0
2021-02-24,3.0,6.0,3.0,6.0,1100.0
2021-02-23,2.5,3.0,2.5,3.0,701.0
2021-02-16,2.25,2.25,2.25,2.25,166.0
2021-02-11,3.25,3.25,3.25,3.25,200.0
2021-02-04,2.75,2.75,2.75,2.75,225.0
2021-02-03,2.75,2.75,2.75,2.75,100.0
2021-02-01,2.5,2.5,2.5,2.5,101.0
2021-01-28,2.0,2.0,2.0,2.0,200.0
2021-01-27,1.52,1.52,1.52,1.52,100.0
2021-01-26,2.02,2.02,0.25,0.75,1012.0
2021-01-22,2.75,2.7501,2.75,2.75,520.0
2021-01-19,2.25,2.25,2.25,2.25,100.0
2021-01-15,2.0,2.0,2.0,2.0,100.0
2021-01-14,1.75,1.75,1.75,1.75,100.0
2021-01-06,1.47,1.47,1.47,1.47,663.0
