date,1. open,2. high,3. low,4. close,5. volume
2018-03-26,25.43,25.43,25.43,25.43,0.0
2018-03-23,25.75,26.02,25.42,25.43,181308770.0
2018-03-22,26.28,26.49,25.7,25.98,153281732.0
2018-03-21,26.1,26.43,25.6,26.22,160628111.0
2018-03-20,25.63,26.08,25.6,26.06,141945509.0
2018-03-19,25.55,25.83,25.4,25.56,200323256.0
2018-03-16,26.02,26.17,25.75,25.75,275400224.0
2018-03-15,26.43,26.43,25.82,26.0,208640107.0
2018-03-14,26.92,27.13,26.24,26.44,168791599.0
2018-03-13,27.1,27.21,26.65,26.91,126355203.0
2018-03-12,27.01,27.32,26.97,26.97,153386314.0
2018-03-09,26.09,26.09,26.09,26.09,0.0
2018-03-08,26.05,26.18,25.53,26.09,241267022.0
2018-03-07,26.26,26.26,25.64,26.15,189446013.0
2018-03-06,26.4,26.64,26.2,26.25,186231512.0
2018-03-05,25.8,26.37,25.72,26.2,182490609.0
2018-03-02,25.4,25.96,25.04,25.88,275862481.0
2018-03-01,25.56,26.0,25.2,25.59,191736106.0
2018-02-28,26.44,26.45,25.62,25.62,367161742.0
2018-02-27,27.15,27.15,26.31,26.5,235338255.0
2018-02-26,27.14,27.42,27.03,27.21,236435088.0
2018-02-23,26.31,26.31,26.31,26.31,0.0
2018-02-22,26.7,27.27,26.08,26.31,553640065.0
2018-02-21,25.85,27.25,25.8,26.66,664309614.0
2018-02-20,25.29,25.92,25.01,25.85,319476011.0
2018-02-19,25.59,25.8,25.3,25.5,131106242.0
2018-02-16,25.12,25.54,24.86,25.54,226730224.0
2018-02-15,24.6,25.21,24.5,25.11,348092928.0
2018-02-14,24.51,24.82,23.96,24.44,329387012.0
2018-02-09,24.39,24.45,23.32,23.99,314515020.0
2018-02-08,24.95,25.16,24.06,24.46,262626827.0
2018-02-07,25.17,25.34,24.67,24.67,228981989.0
2018-02-06,24.56,25.37,24.46,24.99,457879494.0
2018-02-05,25.64,25.81,24.91,24.91,329612145.0
2018-02-02,25.71,26.27,25.64,26.0,186112651.0
2018-02-01,26.1,26.4,25.87,26.27,350102883.0
2018-01-31,26.51,26.54,25.94,26.08,288873316.0
2018-01-30,26.17,26.37,25.82,26.2,262412754.0
2018-01-29,26.27,26.39,25.82,26.39,231422529.0
2018-01-26,26.06,27.05,25.52,26.35,520314737.0
2018-01-24,24.7,25.88,24.55,25.87,407310644.0
2018-01-23,24.78,24.79,24.09,24.51,275952782.0
2018-01-22,24.88,24.97,24.39,24.75,213714712.0
2018-01-19,24.32,24.32,24.32,24.32,0.0
2018-01-18,23.94,24.35,23.9,24.32,206039798.0
2018-01-17,23.8,24.1,23.67,24.04,213159190.0
2018-01-16,23.7,23.89,23.59,23.84,120775594.0
2018-01-15,23.75,23.79,23.52,23.68,136651919.0
