date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,13.15,13.42,13.15,13.29,5205000.0
2021-05-12,13.18,13.21,12.88,13.09,10543100.0
2021-05-11,13.2,13.46,13.06,13.39,7829800.0
2021-05-10,13.32,13.44,13.13,13.26,7987900.0
2021-05-07,13.27,13.69,13.04,13.45,34125400.0
2021-05-06,12.19,12.68,12.11,12.2,40583300.0
2021-05-05,12.25,12.32,12.08,12.19,13704400.0
2021-05-04,12.65,12.66,12.1,12.17,17874400.0
2021-05-03,12.6,12.98,12.42,12.65,31415200.0
2021-04-30,12.34,12.41,12.04,12.04,15150300.0
2021-04-29,12.28,12.49,12.25,12.43,10275100.0
2021-04-28,12.07,12.36,12.02,12.32,17335000.0
2021-04-27,12.29,12.31,11.98,12.05,11122200.0
2021-04-26,12.37,12.47,12.2,12.3,5975600.0
2021-04-23,12.44,12.47,12.14,12.27,8801900.0
2021-04-22,12.49,12.71,12.28,12.33,8454500.0
2021-04-20,12.46,12.53,12.22,12.42,7343200.0
2021-04-19,12.28,12.54,12.21,12.5,11425000.0
2021-04-16,12.3,12.42,12.23,12.27,7344600.0
2021-04-15,12.44,12.56,12.24,12.36,14354000.0
2021-04-14,12.48,12.63,12.33,12.44,12923900.0
2021-04-13,12.54,12.54,12.39,12.47,6188200.0
2021-04-12,12.68,12.69,12.28,12.55,12860800.0
2021-04-09,12.64,12.78,12.54,12.6,13067000.0
2021-04-08,13.15,13.15,12.74,12.9,13312800.0
2021-04-07,13.4,13.52,12.87,12.96,22087400.0
2021-04-06,13.16,13.32,12.99,13.2,5534500.0
2021-04-05,13.0,13.2,12.95,13.13,6858900.0
2021-04-01,12.89,12.98,12.67,12.91,8971200.0
2021-03-31,12.15,12.95,12.12,12.92,36066100.0
2021-03-30,12.1,12.45,12.1,12.15,8456200.0
2021-03-29,11.86,12.28,11.86,12.18,6940400.0
2021-03-26,12.06,12.12,11.85,12.0,12615700.0
2021-03-25,12.3,12.3,11.92,12.04,12578100.0
2021-03-24,12.45,12.83,12.29,12.3,30033000.0
2021-03-23,12.37,12.4,12.04,12.05,6785400.0
2021-03-22,12.46,12.73,12.36,12.37,8250900.0
2021-03-19,12.28,12.67,12.19,12.6,15290300.0
2021-03-18,12.22,12.52,12.18,12.29,9115300.0
2021-03-17,12.11,12.58,12.01,12.42,10866000.0
2021-03-16,12.51,12.54,12.09,12.14,7618300.0
2021-03-15,12.53,12.78,12.52,12.53,10561000.0
2021-03-12,12.44,12.65,12.32,12.59,10846100.0
2021-03-11,11.66,12.85,11.66,12.54,24836600.0
2021-03-10,11.21,11.8,11.16,11.6,17735000.0
2021-03-09,11.14,11.36,11.08,11.13,16072800.0
2021-03-08,11.37,11.65,11.14,11.17,13305400.0
2021-03-05,11.49,11.87,11.38,11.74,12774000.0
2021-03-04,11.16,11.71,11.1,11.63,16069800.0
2021-03-03,10.76,11.31,10.59,11.03,14031200.0
2021-03-02,10.77,11.01,10.31,10.88,17453500.0
2021-03-01,11.29,11.4,10.92,10.92,8929400.0
2021-02-26,11.52,11.64,11.22,11.25,19692800.0
2021-02-25,11.65,11.79,11.36,11.44,10133300.0
2021-02-24,11.61,11.99,11.57,11.65,13937800.0
2021-02-23,11.41,11.6,11.28,11.55,10192700.0
2021-02-22,11.85,11.85,11.25,11.32,33952100.0
2021-02-19,12.2,12.28,12.06,12.17,5256900.0
2021-02-18,12.41,12.45,12.12,12.21,9533200.0
2021-02-17,12.53,12.59,12.35,12.45,14994000.0
2021-02-12,12.28,12.53,12.15,12.46,11189100.0
2021-02-11,12.15,12.43,12.09,12.32,10942500.0
2021-02-10,12.18,12.23,11.95,12.05,10924600.0
2021-02-09,12.19,12.23,12.07,12.17,7880800.0
2021-02-08,12.29,12.38,12.08,12.2,7196200.0
2021-02-05,12.44,12.53,12.27,12.27,5382700.0
2021-02-04,12.66,12.72,12.3,12.44,7446700.0
2021-02-03,12.47,12.77,12.44,12.61,11121400.0
2021-02-02,12.46,12.69,12.4,12.41,12881200.0
2021-02-01,12.3,12.44,12.1,12.21,13186800.0
2021-01-29,12.55,12.6,12.03,12.12,15203000.0
2021-01-28,12.5,12.78,12.45,12.69,15853100.0
2021-01-27,12.14,12.67,12.1,12.5,14221900.0
2021-01-26,12.47,12.66,12.15,12.15,11316600.0
2021-01-22,12.46,12.62,12.36,12.51,11000400.0
2021-01-21,12.93,13.04,12.56,12.56,11136400.0
2021-01-20,13.06,13.12,12.81,12.9,5211400.0
2021-01-19,13.26,13.31,12.9,13.01,14760100.0
2021-01-18,13.24,13.53,13.06,13.15,9233300.0
2021-01-15,13.42,13.44,13.06,13.1,6915400.0
2021-01-14,13.11,13.83,13.11,13.61,9953200.0
2021-01-13,13.1,13.2,12.89,13.04,6340300.0
2021-01-12,13.04,13.21,12.85,13.1,8355100.0
2021-01-11,12.93,13.2,12.9,12.93,8243700.0
2021-01-08,12.76,13.27,12.68,13.04,10807400.0
2021-01-07,12.68,12.81,12.43,12.63,12131500.0
2021-01-06,12.93,12.97,12.57,12.61,11890200.0
2021-01-05,13.15,13.22,12.9,13.05,7169000.0
2021-01-04,13.64,13.71,13.16,13.27,8016400.0
2020-12-30,13.77,13.91,13.38,13.47,6109000.0
2020-12-29,13.56,13.84,13.5,13.77,5241600.0
2020-12-28,13.54,13.63,13.38,13.46,3620300.0
2020-12-23,13.24,13.54,13.2,13.44,4801100.0
2020-12-22,13.21,13.43,13.12,13.2,5158400.0
2020-12-21,13.08,13.49,12.84,13.2,9174200.0
2020-12-18,13.55,13.65,13.22,13.3,12687400.0
2020-12-17,13.84,14.12,13.52,13.52,9038000.0
2020-12-16,13.65,13.82,13.35,13.75,9235800.0
2020-12-15,13.51,13.65,13.33,13.61,5621900.0
2020-12-14,13.7,13.85,13.43,13.43,6497900.0
2020-12-11,13.53,13.81,13.27,13.68,13165000.0
2020-12-10,13.21,13.72,12.81,13.62,13938400.0
2020-12-09,13.56,13.64,13.09,13.15,10223000.0
2020-12-08,13.75,14.1,13.44,13.74,13032900.0
2020-12-07,14.04,14.07,13.53,13.7,9348400.0
2020-12-04,14.33,14.42,13.92,14.07,5216000.0
2020-12-03,13.95,14.48,13.8,14.24,16009300.0
2020-12-02,13.73,14.0,13.68,13.85,12564700.0
2020-12-01,13.2,14.01,13.2,13.67,25967800.0
2020-11-30,12.91,13.32,12.84,13.04,14338200.0
2020-11-27,12.74,13.07,12.58,12.92,5262700.0
2020-11-26,12.69,12.89,12.57,12.68,7046700.0
2020-11-25,12.83,12.98,12.64,12.79,8294100.0
2020-11-24,12.31,13.08,12.26,12.83,20519800.0
2020-11-23,12.51,12.51,12.22,12.3,6138500.0
2020-11-20,12.7,12.74,12.27,12.38,7750300.0
2020-11-19,12.68,12.81,12.5,12.7,7776200.0
2020-11-18,12.62,12.71,12.41,12.62,11702000.0
2020-11-17,12.18,12.77,12.08,12.63,19781700.0
2020-11-16,11.93,12.25,11.69,12.25,13782500.0
2020-11-13,11.76,11.87,11.55,11.75,7902600.0
2020-11-12,12.3,12.33,11.6,11.7,17507100.0
2020-11-11,12.4,12.76,12.22,12.41,14195700.0
2020-11-10,12.46,12.95,12.25,12.5,18727100.0
2020-11-09,12.76,13.14,12.33,12.43,14895000.0
2020-11-06,12.15,12.39,11.98,12.34,9786000.0
2020-11-05,11.45,12.39,11.39,12.34,46893000.0
2020-11-04,11.29,11.64,11.24,11.34,27549000.0
2020-11-03,11.4,11.51,11.07,11.2,12026500.0
2020-10-30,11.38,11.42,11.05,11.16,8950300.0
2020-10-29,11.52,11.54,11.23,11.43,7704400.0
2020-10-28,11.72,11.76,11.38,11.53,8898000.0
2020-10-27,12.3,12.3,11.78,11.9,32835900.0
2020-10-26,12.32,12.44,12.13,12.27,5711400.0
2020-10-23,12.7,12.73,12.31,12.37,8949100.0
2020-10-22,12.74,12.87,12.57,12.74,13348300.0
2020-10-21,13.03,13.12,12.74,12.74,5469900.0
2020-10-20,13.0,13.2,12.96,13.02,5734200.0
2020-10-19,13.21,13.44,12.84,12.84,6390600.0
2020-10-16,13.22,13.34,13.05,13.19,5786800.0
2020-10-15,13.06,13.36,12.94,13.25,9018100.0
2020-10-14,12.69,13.24,12.67,13.24,19498600.0
2020-10-13,12.55,12.87,12.35,12.68,8499100.0
2020-10-09,12.59,12.87,12.42,12.62,7120500.0
2020-10-08,12.13,12.77,12.11,12.69,11978600.0
2020-10-07,12.5,12.51,12.04,12.11,9491600.0
2020-10-06,12.73,12.88,12.4,12.45,6418500.0
2020-10-05,12.48,12.9,12.21,12.6,11783700.0
2020-10-02,12.58,12.8,12.35,12.43,6737300.0
2020-10-01,12.8,12.92,12.48,12.81,8936700.0
2020-09-30,12.77,12.89,12.62,12.67,6604600.0
2020-09-29,13.15,13.2,12.66,12.68,9749700.0
2020-09-28,13.84,13.93,13.09,13.09,17467400.0
2020-09-25,13.74,13.9,13.55,13.72,6103200.0
2020-09-24,13.69,14.05,13.61,13.79,6301000.0
2020-09-23,13.56,13.98,13.54,13.64,5868900.0
2020-09-22,13.34,13.84,13.31,13.61,5693800.0
2020-09-21,13.56,13.64,13.35,13.35,9791600.0
2020-09-18,14.07,14.14,13.75,13.84,9461900.0
2020-09-17,14.03,14.27,13.8,14.19,5036400.0
2020-09-16,14.59,14.61,14.12,14.12,7010300.0
2020-09-15,14.86,14.9,14.44,14.55,5230000.0
2020-09-14,14.38,14.92,14.31,14.84,12089900.0
2020-09-11,14.31,14.33,13.79,14.23,14658300.0
2020-09-10,14.71,14.97,14.21,14.35,14763300.0
2020-09-09,14.63,14.8,14.53,14.8,6666800.0
2020-09-08,14.11,14.71,14.11,14.51,8507300.0
2020-09-04,13.89,14.5,13.82,14.4,15354200.0
2020-09-03,14.17,14.39,13.66,13.8,11156800.0
2020-09-02,14.13,14.22,13.91,14.11,4965800.0
2020-09-01,13.51,14.14,13.37,14.05,10510700.0
2020-08-31,13.26,13.43,13.11,13.33,12020500.0
2020-08-28,13.1,13.56,13.1,13.44,6683700.0
2020-08-27,13.28,13.48,12.96,12.98,8095700.0
2020-08-26,13.5,13.56,13.07,13.3,4918200.0
2020-08-25,13.59,13.74,13.44,13.5,5438600.0
2020-08-24,13.53,13.59,13.33,13.46,4946300.0
2020-08-21,13.66,13.69,13.33,13.45,5735000.0
2020-08-20,13.32,13.75,13.21,13.68,5353900.0
2020-08-19,13.57,13.85,13.29,13.62,7682600.0
2020-08-18,13.27,13.6,13.19,13.59,8424000.0
2020-08-17,13.46,13.55,12.81,13.03,10308700.0
2020-08-14,13.69,13.74,13.28,13.5,6717400.0
2020-08-13,13.93,14.1,13.57,13.65,5569900.0
2020-08-12,14.24,14.48,13.66,13.85,7166900.0
