date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,24.65,25.04,24.58,24.98,1583000.0
2021-05-12,25.02,25.04,24.48,24.53,2334100.0
2021-05-11,24.95,25.25,24.65,25.1,2456100.0
2021-05-10,25.86,25.91,24.89,25.05,3264300.0
2021-05-07,25.42,25.96,25.35,25.84,2676400.0
2021-05-06,25.1,25.66,24.85,25.37,2366500.0
2021-05-05,24.93,25.14,24.76,25.1,1439800.0
2021-05-04,25.14,25.17,24.63,24.92,1858500.0
2021-05-03,25.19,25.33,24.96,25.18,1383900.0
2021-04-30,25.42,25.42,24.7,25.3,4982600.0
2021-04-29,25.52,25.53,24.98,25.53,1853600.0
2021-04-28,25.49,25.65,24.96,25.4,3987300.0
2021-04-27,26.0,26.05,25.2,25.37,1605100.0
2021-04-26,26.45,26.5,25.71,25.92,2312400.0
2021-04-23,26.83,26.83,26.14,26.41,2043900.0
2021-04-22,26.94,27.14,26.47,26.69,1521800.0
2021-04-20,26.73,26.98,26.67,26.87,2015300.0
2021-04-19,26.49,27.07,26.32,26.71,2158900.0
2021-04-16,26.06,26.7,25.93,26.6,3700500.0
2021-04-15,25.4,26.1,25.39,26.05,2917000.0
2021-04-14,25.4,25.5,25.29,25.37,1307900.0
2021-04-13,25.42,25.57,25.25,25.48,860800.0
2021-04-12,25.49,25.51,24.97,25.51,1962000.0
2021-04-09,25.03,25.38,24.91,25.23,1286500.0
2021-04-08,25.64,25.66,24.9,25.09,2906200.0
2021-04-07,25.81,25.82,25.54,25.58,1366500.0
2021-04-06,26.04,26.06,25.68,25.85,1643000.0
2021-04-05,26.36,26.4,25.9,25.98,2805700.0
2021-04-01,28.27,28.66,28.27,28.58,4239800.0
2021-03-31,28.0,28.17,27.76,28.16,3019200.0
2021-03-30,28.01,28.12,27.84,27.88,2215200.0
2021-03-29,27.96,28.36,27.65,27.88,3048800.0
2021-03-26,27.95,28.61,27.79,28.09,4743900.0
2021-03-25,27.4,27.95,27.12,27.81,2781000.0
2021-03-24,27.94,27.94,27.32,27.33,2427200.0
2021-03-23,27.9,28.14,27.57,27.7,1520900.0
2021-03-22,28.0,28.2,27.62,27.98,1526000.0
2021-03-19,27.32,28.5,27.17,28.13,8711300.0
2021-03-18,27.82,27.84,27.06,27.19,2756700.0
2021-03-17,27.52,27.86,27.22,27.75,1823700.0
2021-03-16,27.96,28.19,27.45,27.5,1794200.0
2021-03-15,27.38,28.01,27.18,27.86,3182400.0
2021-03-12,27.16,27.38,26.83,27.17,2650800.0
2021-03-11,26.84,27.13,26.5,27.09,1650700.0
2021-03-10,26.02,26.93,25.67,26.79,4473600.0
2021-03-09,26.6,26.88,25.61,25.78,2767800.0
2021-03-08,27.29,27.29,26.44,26.48,2008400.0
2021-03-05,27.28,27.56,26.92,27.44,2260100.0
2021-03-04,26.81,27.52,26.65,27.24,2619800.0
2021-03-03,26.93,27.03,25.96,26.8,2551200.0
2021-03-02,26.42,27.1,25.78,26.86,2510100.0
2021-03-01,27.79,27.79,26.42,26.49,2089300.0
2021-02-26,27.25,27.51,26.86,27.28,2709600.0
2021-02-25,28.4,28.4,26.81,27.15,3283100.0
2021-02-24,28.42,28.42,28.05,28.2,987200.0
2021-02-23,28.02,28.43,27.72,28.24,2508300.0
2021-02-22,28.8,28.81,27.8,27.8,4579000.0
2021-02-19,29.15,29.69,29.05,29.44,1874500.0
2021-02-18,29.49,29.85,29.12,29.12,3848600.0
2021-02-17,29.62,29.87,29.18,29.58,3280200.0
2021-02-12,30.99,30.99,29.32,29.62,5044500.0
2021-02-11,31.07,31.07,29.67,30.4,4459900.0
2021-02-10,31.13,31.18,30.8,30.9,1486900.0
2021-02-09,31.04,31.49,30.74,31.11,1467100.0
2021-02-08,31.2,31.68,30.84,31.13,1769100.0
2021-02-05,30.8,31.3,30.44,31.16,2933300.0
2021-02-04,30.64,31.07,30.37,30.68,2123100.0
2021-02-03,29.87,30.65,29.62,30.51,1734500.0
2021-02-02,29.64,30.06,29.56,29.7,1162300.0
2021-02-01,29.42,29.61,28.9,29.5,3187900.0
2021-01-29,29.82,30.09,29.01,29.25,2137900.0
2021-01-28,29.4,30.02,29.25,29.99,2696600.0
2021-01-27,29.43,29.84,29.14,29.44,1487800.0
2021-01-26,29.73,29.98,29.42,29.42,1134400.0
2021-01-22,29.66,29.89,29.34,29.81,1487200.0
2021-01-21,30.12,30.18,29.5,30.0,2031300.0
2021-01-20,30.88,30.88,29.81,30.1,2503600.0
2021-01-19,30.73,31.06,30.27,30.75,2034500.0
2021-01-18,30.59,30.78,30.36,30.58,1168000.0
2021-01-15,30.65,30.74,30.09,30.59,2502100.0
2021-01-14,29.77,30.35,29.61,30.35,1159300.0
2021-01-13,29.11,29.87,29.08,29.68,2144100.0
2021-01-12,28.99,29.15,28.78,29.15,1059100.0
2021-01-11,28.96,29.3,28.71,28.85,2338000.0
2021-01-08,28.12,29.21,28.01,29.17,1005300.0
2021-01-07,28.5,28.79,28.0,28.11,1630600.0
2021-01-06,28.68,28.76,28.13,28.13,1700700.0
2021-01-05,28.92,29.1,28.37,28.69,1562400.0
2021-01-04,29.15,29.15,28.43,28.92,2540300.0
2020-12-30,29.22,29.24,28.73,28.97,1550800.0
2020-12-29,29.39,29.39,28.93,29.16,1025000.0
2020-12-28,28.9,29.4,28.64,29.18,1255800.0
2020-12-23,28.28,28.74,28.1,28.74,1593200.0
2020-12-22,28.84,28.92,27.9,28.22,2938400.0
2020-12-21,29.24,29.27,28.84,29.08,1520400.0
2020-12-18,29.59,29.89,29.5,29.65,1673000.0
2020-12-17,29.76,29.98,29.34,29.57,2735200.0
2020-12-16,29.26,29.64,28.78,29.54,1598500.0
2020-12-15,28.53,29.96,28.22,29.27,4091600.0
2020-12-14,28.58,28.66,28.35,28.38,1455800.0
2020-12-11,27.97,28.4,27.68,28.4,1189100.0
2020-12-10,27.97,28.22,27.41,27.92,1933700.0
2020-12-09,28.24,28.34,27.9,27.97,1612200.0
2020-12-08,28.27,28.44,27.92,28.15,1551200.0
2020-12-07,28.58,28.77,28.06,28.26,1424000.0
2020-12-04,28.42,28.55,28.16,28.5,1409200.0
2020-12-03,28.11,28.5,28.01,28.35,1596100.0
2020-12-02,27.81,28.15,27.81,28.1,1997200.0
2020-12-01,28.07,28.24,27.79,27.8,3118900.0
2020-11-30,28.02,28.1,27.65,27.91,2431200.0
2020-11-27,28.19,28.28,27.93,28.17,940700.0
2020-11-26,27.87,28.2,27.85,28.09,1165000.0
2020-11-25,27.71,28.42,27.65,28.03,2990200.0
2020-11-24,27.95,28.08,27.34,27.49,1924000.0
2020-11-23,28.2,28.37,27.71,27.91,1948800.0
2020-11-20,28.2,28.38,27.83,27.84,1382400.0
