date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,3.49,3.6,3.48,3.59,26182300.0
2021-05-12,3.47,3.56,3.45,3.49,18949100.0
2021-05-11,3.46,3.5,3.43,3.48,10169800.0
2021-05-10,3.5,3.52,3.47,3.49,12450300.0
2021-05-07,3.49,3.54,3.48,3.51,13519400.0
2021-05-06,3.46,3.51,3.43,3.49,18862400.0
2021-05-05,3.51,3.56,3.46,3.47,45377800.0
2021-05-04,3.43,3.44,3.36,3.4,22018700.0
2021-05-03,3.49,3.51,3.41,3.42,25194500.0
2021-04-30,3.49,3.51,3.45,3.45,31989900.0
2021-04-29,3.54,3.55,3.47,3.51,22877600.0
2021-04-28,3.65,3.65,3.48,3.53,62146700.0
2021-04-27,3.77,3.78,3.6,3.65,32807500.0
2021-04-26,3.75,3.79,3.73,3.78,14717300.0
2021-04-23,3.88,3.89,3.74,3.75,23012500.0
2021-04-22,3.66,3.88,3.63,3.87,52456100.0
2021-04-20,3.68,3.69,3.6,3.65,21970800.0
2021-04-19,3.69,3.75,3.67,3.68,24454700.0
2021-04-16,3.68,3.69,3.64,3.68,15110800.0
2021-04-15,3.7,3.72,3.66,3.68,18192300.0
2021-04-14,3.76,3.77,3.69,3.69,19674700.0
2021-04-13,3.83,3.84,3.74,3.75,25695400.0
2021-04-12,3.83,3.95,3.81,3.83,32604600.0
2021-04-09,3.81,3.85,3.76,3.81,19368800.0
2021-04-08,3.76,3.88,3.74,3.83,39294100.0
2021-04-07,3.68,3.72,3.65,3.69,19368100.0
2021-04-06,3.69,3.74,3.67,3.68,13504400.0
2021-04-05,3.66,3.72,3.64,3.7,16503300.0
2021-04-01,3.76,3.79,3.61,3.62,25332400.0
2021-03-31,3.71,3.93,3.7,3.72,88741000.0
2021-03-30,3.54,3.6,3.53,3.58,20867000.0
2021-03-29,3.59,3.62,3.54,3.56,14265900.0
2021-03-26,3.69,3.72,3.55,3.61,27490200.0
2021-03-25,3.6,3.65,3.53,3.63,21700700.0
2021-03-24,3.65,3.74,3.6,3.6,24321800.0
2021-03-23,3.66,3.72,3.62,3.65,19569500.0
2021-03-22,3.62,3.7,3.62,3.69,16365700.0
2021-03-19,3.55,3.67,3.54,3.67,31514000.0
2021-03-18,3.64,3.67,3.5,3.54,28670600.0
2021-03-17,3.45,3.7,3.43,3.66,44070000.0
2021-03-16,3.48,3.52,3.39,3.46,13592800.0
2021-03-15,3.5,3.54,3.47,3.48,17019800.0
2021-03-12,3.44,3.56,3.43,3.5,15168900.0
2021-03-11,3.43,3.57,3.41,3.48,31552600.0
2021-03-10,3.34,3.41,3.28,3.41,40319700.0
2021-03-09,3.4,3.44,3.28,3.31,31489600.0
2021-03-08,3.51,3.64,3.36,3.36,41105000.0
2021-03-05,3.45,3.59,3.42,3.57,29931900.0
2021-03-04,3.43,3.52,3.38,3.46,42949000.0
2021-03-03,3.32,3.46,3.24,3.4,41798100.0
2021-03-02,3.36,3.43,3.15,3.36,77876200.0
2021-03-01,3.65,3.68,3.38,3.38,69961700.0
2021-02-26,3.65,3.71,3.45,3.6,64205500.0
2021-02-25,3.85,3.92,3.61,3.63,41227800.0
2021-02-24,3.82,3.88,3.72,3.86,30459700.0
2021-02-23,3.74,3.83,3.64,3.81,39163500.0
2021-02-22,3.54,3.89,3.46,3.74,80664300.0
2021-02-19,3.58,3.61,3.53,3.57,26283400.0
2021-02-18,3.67,3.68,3.56,3.59,47738600.0
2021-02-17,3.68,3.72,3.57,3.68,50982800.0
2021-02-12,3.89,3.9,3.65,3.66,97276400.0
2021-02-11,3.93,3.99,3.9,3.92,25892100.0
2021-02-10,4.06,4.09,3.91,3.91,28617900.0
2021-02-09,4.06,4.11,3.99,4.06,39138500.0
