date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,3.81,3.91,3.79,3.87,34354700.0
2021-05-12,3.9,3.91,3.77,3.78,30244800.0
2021-05-11,3.93,3.96,3.89,3.92,22773700.0
2021-05-10,3.89,3.99,3.88,3.97,33591700.0
2021-05-07,3.85,3.91,3.82,3.87,18004800.0
2021-05-06,3.86,3.92,3.79,3.85,31395500.0
2021-05-05,3.79,3.95,3.78,3.88,44429500.0
2021-05-04,3.88,3.89,3.76,3.77,31237700.0
2021-05-03,3.9,3.95,3.83,3.86,33388300.0
2021-04-30,3.93,3.97,3.85,3.87,34302600.0
2021-04-29,4.0,4.08,3.91,3.93,37209900.0
2021-04-28,3.98,4.01,3.88,4.0,30798300.0
2021-04-27,3.99,4.05,3.94,3.96,29228400.0
2021-04-26,3.98,4.11,3.94,3.99,44711700.0
2021-04-23,3.97,4.02,3.94,3.96,35911000.0
2021-04-22,4.03,4.06,3.93,3.96,42778400.0
2021-04-20,4.09,4.14,3.99,3.99,40619900.0
2021-04-19,4.2,4.21,4.09,4.1,47428700.0
2021-04-16,4.11,4.22,4.09,4.19,32985500.0
2021-04-15,4.15,4.27,4.09,4.11,44282200.0
2021-04-14,4.36,4.39,4.13,4.13,68009200.0
2021-04-13,4.08,4.4,4.07,4.33,95691600.0
2021-04-12,4.1,4.15,4.05,4.09,34357200.0
2021-04-09,4.03,4.13,4.01,4.11,44089600.0
2021-04-08,4.02,4.18,4.0,4.05,46995800.0
2021-04-07,4.06,4.13,3.99,4.0,37613800.0
2021-04-06,4.08,4.14,4.03,4.05,35354500.0
2021-04-05,3.89,4.14,3.87,4.07,59418200.0
2021-04-01,3.99,4.03,3.84,3.84,48010300.0
2021-03-31,3.8,4.11,3.76,3.98,125228000.0
2021-03-30,3.74,3.91,3.71,3.86,45151600.0
2021-03-29,3.83,3.85,3.72,3.77,41849300.0
2021-03-26,4.0,4.0,3.81,3.81,66711800.0
2021-03-25,3.89,4.02,3.81,3.99,40521200.0
2021-03-24,3.99,4.02,3.87,3.88,36021000.0
2021-03-23,4.02,4.12,3.95,3.96,43254800.0
2021-03-22,4.11,4.21,4.04,4.05,43967700.0
2021-03-19,3.98,4.18,3.96,4.16,51112800.0
2021-03-18,4.06,4.1,3.92,3.97,37909700.0
2021-03-17,3.96,4.16,3.93,4.12,39294200.0
2021-03-16,4.1,4.17,3.92,3.97,37800900.0
2021-03-15,4.2,4.21,4.1,4.12,34065600.0
2021-03-12,4.1,4.22,4.09,4.19,32455700.0
2021-03-11,4.1,4.33,4.08,4.14,65006000.0
2021-03-10,3.8,4.08,3.75,4.05,62394800.0
2021-03-09,3.83,3.92,3.73,3.75,42802700.0
2021-03-08,3.96,4.13,3.8,3.83,82068100.0
2021-03-05,3.67,4.09,3.62,4.07,97627100.0
2021-03-04,3.65,3.82,3.64,3.7,66162700.0
