date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,27.39,28.19,27.27,27.86,1660200.0
2021-05-12,27.84,27.89,27.16,27.21,1909100.0
2021-05-11,27.48,28.25,27.27,28.23,1895700.0
2021-05-10,28.18,28.2,27.64,27.65,2207700.0
2021-05-07,27.53,28.27,27.42,28.05,2149700.0
2021-05-06,27.22,27.44,27.02,27.44,2367000.0
2021-05-05,27.65,27.66,26.9,27.3,2660000.0
2021-05-04,27.63,27.85,27.27,27.52,3014100.0
2021-05-03,27.97,28.26,27.63,27.63,2470500.0
2021-04-30,30.4,30.57,29.35,29.35,3296500.0
2021-04-29,30.23,30.81,30.2,30.52,2290800.0
2021-04-28,30.14,30.3,29.92,30.28,3002600.0
2021-04-27,30.37,30.51,30.0,30.0,2366700.0
2021-04-26,31.19,31.19,30.25,30.45,1321800.0
2021-04-23,30.63,30.71,30.29,30.68,2742700.0
2021-04-22,30.98,31.03,30.37,30.49,1930100.0
2021-04-20,30.89,31.17,30.46,30.72,3787600.0
2021-04-19,31.0,31.39,30.74,31.0,1822400.0
2021-04-16,30.23,31.25,30.23,31.23,2428900.0
2021-04-15,30.28,30.89,30.22,30.55,2180700.0
2021-04-14,30.3,30.75,30.24,30.48,2580600.0
2021-04-13,30.26,30.73,30.18,30.45,2134600.0
2021-04-12,30.15,30.83,30.02,30.65,1895900.0
2021-04-09,30.18,30.55,29.93,30.0,2604100.0
2021-04-08,30.79,30.88,30.35,30.49,2070400.0
2021-04-07,30.98,31.27,30.54,30.64,1465800.0
2021-04-06,30.65,31.33,30.56,31.12,2158300.0
2021-04-05,30.4,31.0,30.14,30.6,2123100.0
2021-04-01,30.62,30.7,29.9,30.02,3250500.0
2021-03-31,30.49,30.81,30.27,30.42,2885900.0
2021-03-30,29.61,30.33,29.61,30.09,2385500.0
2021-03-29,29.68,30.01,29.41,29.82,1429500.0
2021-03-26,30.5,30.5,29.57,30.27,4037900.0
2021-03-25,29.85,30.95,29.7,30.77,4392700.0
2021-03-24,30.75,30.8,29.93,30.0,2218100.0
2021-03-23,30.68,31.2,30.63,30.75,1823900.0
2021-03-22,31.21,31.85,30.84,31.1,1562900.0
2021-03-19,30.72,31.71,30.49,31.68,2488900.0
2021-03-18,30.94,31.3,30.44,30.56,1601700.0
2021-03-17,30.31,31.44,30.07,31.25,3250800.0
2021-03-16,29.89,30.51,29.87,30.37,1819100.0
2021-03-15,29.71,30.2,29.71,29.89,1059100.0
2021-03-12,29.35,29.98,29.25,29.86,1413100.0
2021-03-11,29.83,30.06,29.47,29.71,2514200.0
2021-03-10,28.73,29.7,28.66,29.5,3805100.0
2021-03-09,28.26,28.91,28.26,28.58,3928200.0
2021-03-08,28.93,29.2,28.29,28.47,2011800.0
2021-03-05,29.52,29.64,28.88,29.39,2722400.0
2021-03-04,29.34,30.17,29.05,29.5,3514100.0
2021-03-03,28.47,29.27,28.01,29.04,3466200.0
2021-03-02,28.05,28.83,27.38,28.68,2711900.0
2021-03-01,28.97,29.14,27.92,28.05,3190400.0
2021-02-26,29.58,29.86,28.7,28.86,2983800.0
2021-02-25,29.99,30.2,29.39,29.46,2225900.0
2021-02-24,30.72,30.86,29.94,29.99,3502100.0
2021-02-23,30.5,30.8,29.88,30.48,5049600.0
2021-02-22,31.43,31.63,29.91,30.35,8972300.0
2021-02-19,32.66,33.15,32.5,32.63,2586900.0
2021-02-18,32.72,33.08,32.33,32.75,2288400.0
2021-02-17,33.47,33.47,32.5,32.86,2308100.0
2021-02-12,33.86,33.86,33.37,33.5,1362700.0
2021-02-11,33.67,33.95,33.47,33.75,1572200.0
2021-02-10,33.68,34.07,33.35,33.6,2775500.0
2021-02-09,33.48,33.97,33.36,33.78,2002500.0
2021-02-08,33.43,33.87,33.04,33.5,2727800.0
2021-02-05,33.22,33.77,33.04,33.43,2905000.0
2021-02-04,32.7,33.29,32.52,33.13,2999800.0
2021-02-03,32.47,32.98,32.42,32.72,2452900.0
2021-02-02,31.77,32.75,31.46,32.37,3150700.0
2021-02-01,31.54,31.75,31.03,31.56,1794600.0
2021-01-29,31.13,31.54,30.99,31.11,2711800.0
2021-01-28,30.85,31.65,30.74,31.4,4641500.0
2021-01-27,30.47,31.33,30.31,30.85,2954300.0
2021-01-26,30.46,30.88,30.22,30.37,1519600.0
2021-01-22,30.54,30.83,30.15,30.48,1517000.0
2021-01-21,31.39,31.6,30.82,31.01,1378200.0
2021-01-20,31.75,31.76,31.0,31.41,1343300.0
2021-01-19,32.19,32.19,31.42,31.69,1255000.0
2021-01-18,32.33,32.59,31.81,31.95,1219700.0
2021-01-15,31.46,32.5,31.16,32.24,2873900.0
2021-01-14,31.15,32.07,31.0,31.76,2649200.0
2021-01-13,30.7,31.1,30.31,31.03,1582900.0
2021-01-12,30.66,30.93,30.33,30.68,1789000.0
2021-01-11,31.12,31.29,30.22,30.53,2150400.0
2021-01-08,30.27,31.42,30.16,31.42,2774000.0
2021-01-07,31.5,31.55,30.15,30.25,2662200.0
2021-01-06,31.21,31.7,31.0,31.33,1651900.0
2021-01-05,31.4,31.63,30.76,31.37,1801200.0
2021-01-04,32.41,32.63,31.3,31.52,2165500.0
2020-12-30,32.37,32.56,32.12,32.55,2004100.0
2020-12-29,32.5,32.5,31.96,32.33,1314400.0
2020-12-28,32.04,32.35,31.72,32.21,804400.0
2020-12-23,32.01,32.16,31.8,31.86,1346000.0
2020-12-22,31.81,32.19,31.58,32.06,1445000.0
2020-12-21,32.01,32.24,31.48,31.66,883400.0
2020-12-18,32.7,32.93,32.13,32.38,1675800.0
2020-12-17,32.4,33.14,31.88,32.7,2427500.0
2020-12-16,31.77,32.69,31.54,32.32,4498800.0
2020-12-15,30.53,31.95,30.25,31.93,4063100.0
2020-12-14,30.7,30.95,30.38,30.38,2335400.0
2020-12-11,30.4,30.81,30.13,30.65,3013500.0
2020-12-10,30.42,30.81,29.85,30.81,2746700.0
2020-12-09,30.35,30.53,29.83,30.4,3019200.0
