date,1. open,2. high,3. low,4. close,5. volume
2021-09-08,7.12,7.14,6.8,6.8,15573000.0
2021-09-06,6.83,7.22,6.79,7.13,15176300.0
2021-09-03,7.01,7.09,6.79,6.79,48581800.0
2021-09-02,7.04,7.17,6.89,6.98,18608400.0
2021-09-01,6.84,7.12,6.8,7.1,21928900.0
2021-08-31,6.59,6.84,6.5,6.84,44839000.0
2021-08-30,6.59,6.69,6.5,6.57,7259800.0
2021-08-27,6.55,6.61,6.41,6.58,9228100.0
2021-08-26,6.68,6.7,6.5,6.5,12004200.0
2021-08-25,6.66,6.72,6.63,6.72,6104400.0
2021-08-24,6.67,6.73,6.65,6.7,7149700.0
2021-08-23,6.74,6.75,6.59,6.64,6737700.0
2021-08-20,6.55,6.74,6.55,6.71,8562900.0
2021-08-19,6.38,6.65,6.35,6.64,13606500.0
2021-08-18,6.38,6.51,6.26,6.45,14263600.0
2021-08-17,6.42,6.43,6.23,6.38,14400100.0
2021-08-16,6.37,6.55,6.35,6.44,15480900.0
2021-08-13,6.43,6.44,6.26,6.38,13839000.0
2021-08-12,6.6,6.62,6.37,6.44,15977900.0
2021-08-11,6.58,6.74,6.52,6.69,11270400.0
2021-08-10,6.67,6.72,6.54,6.56,6660500.0
2021-08-09,6.55,6.74,6.5,6.68,8312700.0
2021-08-06,6.42,6.62,6.4,6.55,11364200.0
2021-08-05,6.38,6.47,6.37,6.38,11787400.0
2021-08-04,6.3,6.46,6.3,6.34,12907900.0
2021-08-03,6.32,6.34,6.21,6.3,7390800.0
2021-08-02,6.2,6.37,6.15,6.35,14235200.0
2021-07-30,6.18,6.22,6.1,6.12,9916000.0
2021-07-29,6.18,6.23,6.11,6.21,6221600.0
2021-07-28,6.09,6.18,6.09,6.17,6388000.0
2021-07-27,6.02,6.12,6.0,6.07,5257200.0
2021-07-26,6.06,6.09,6.03,6.03,5808600.0
2021-07-23,6.12,6.13,6.03,6.05,3018600.0
2021-07-22,6.03,6.13,6.02,6.1,3734700.0
2021-07-21,6.01,6.06,5.98,6.04,3823800.0
2021-07-20,6.02,6.06,5.98,6.01,5851800.0
2021-07-19,5.98,6.03,5.95,6.02,7061400.0
2021-07-16,5.97,6.04,5.96,6.03,7721700.0
2021-07-15,6.0,6.04,5.95,5.95,9147000.0
2021-07-14,6.01,6.02,5.96,5.99,8125200.0
2021-07-13,5.99,6.01,5.95,5.99,7439000.0
2021-07-12,5.98,6.03,5.97,6.03,7397000.0
2021-07-08,5.98,6.03,5.91,5.95,11290600.0
2021-07-07,6.07,6.1,5.97,6.08,7461900.0
2021-07-06,6.06,6.08,5.94,6.05,6107300.0
2021-07-05,5.99,6.1,5.93,6.08,3919500.0
2021-07-02,5.98,5.99,5.9,5.97,4241700.0
2021-07-01,5.94,6.01,5.87,5.93,11316300.0
2021-06-30,5.91,5.97,5.85,5.93,9212500.0
2021-06-29,6.05,6.08,5.91,5.92,8434800.0
2021-06-28,6.13,6.14,6.01,6.05,5733700.0
2021-06-25,6.18,6.21,6.07,6.11,5475400.0
2021-06-24,6.24,6.24,6.16,6.17,5487100.0
2021-06-23,6.24,6.32,6.17,6.18,6511600.0
2021-06-22,6.25,6.26,6.18,6.22,6466700.0
2021-06-21,6.22,6.27,6.16,6.27,8592200.0
2021-06-18,6.28,6.35,6.2,6.2,15535800.0
2021-06-17,6.22,6.32,6.2,6.24,8010600.0
2021-06-16,6.38,6.38,6.22,6.23,9570800.0
2021-06-15,6.43,6.48,6.32,6.36,5548400.0
2021-06-14,6.29,6.42,6.26,6.4,5340200.0
2021-06-11,6.27,6.3,6.21,6.25,4648100.0
2021-06-10,6.2,6.28,6.18,6.23,6647600.0
2021-06-09,6.29,6.33,6.17,6.17,8455200.0
2021-06-08,6.38,6.4,6.26,6.28,5882700.0
2021-06-07,6.41,6.44,6.35,6.37,6609600.0
2021-06-04,6.47,6.47,6.32,6.43,7946900.0
2021-06-02,6.38,6.5,6.38,6.5,7641600.0
2021-06-01,6.35,6.46,6.35,6.37,8603500.0
2021-05-31,6.45,6.45,6.29,6.38,7317100.0
2021-05-28,6.27,6.47,6.24,6.47,11049700.0
2021-05-27,6.23,6.32,6.15,6.32,17971300.0
2021-05-26,6.22,6.24,6.14,6.23,7832000.0
2021-05-25,6.22,6.28,6.16,6.21,8289400.0
2021-05-24,6.1,6.22,6.1,6.19,6164400.0
2021-05-21,6.1,6.15,6.06,6.08,4167900.0
2021-05-20,6.03,6.12,6.0,6.11,5820300.0
2021-05-19,5.99,6.12,5.97,6.03,5332800.0
2021-05-18,5.97,6.04,5.9,6.03,4714200.0
2021-05-17,5.83,5.97,5.81,5.94,8759700.0
2021-05-14,5.85,5.88,5.81,5.83,5326000.0
2021-05-13,5.8,5.88,5.76,5.8,7565300.0
2021-05-12,5.99,5.99,5.73,5.77,14170600.0
2021-05-11,5.89,6.01,5.85,5.99,6055600.0
2021-05-10,6.05,6.06,5.93,5.95,6656400.0
2021-05-07,6.01,6.07,5.95,6.02,7162000.0
2021-05-06,6.05,6.12,5.93,5.98,6520100.0
2021-05-05,6.04,6.04,5.88,6.03,11066400.0
2021-05-04,6.13,6.13,5.97,6.0,23784400.0
2021-05-03,6.26,6.32,5.99,6.13,23327600.0
2021-04-30,6.26,6.45,6.09,6.26,37229500.0
2021-04-29,6.37,6.46,6.2,6.38,12450100.0
2021-04-28,6.49,6.52,6.34,6.37,7577300.0
2021-04-27,6.51,6.52,6.42,6.47,4939900.0
2021-04-26,6.49,6.55,6.41,6.48,4985100.0
2021-04-23,6.51,6.58,6.41,6.5,8372100.0
2021-04-22,6.73,6.73,6.46,6.46,6964500.0
2021-04-20,6.54,6.74,6.52,6.66,7617800.0
2021-04-19,6.54,6.59,6.42,6.59,12161400.0
2021-04-16,6.41,6.55,6.35,6.54,16308300.0
2021-04-15,6.32,6.42,6.28,6.42,10120700.0
2021-04-14,6.26,6.42,6.24,6.3,15003400.0
2021-04-13,6.19,6.3,6.13,6.23,13599500.0
2021-04-12,6.25,6.28,6.04,6.18,13690900.0
2021-04-09,6.26,6.32,6.2,6.25,13132400.0
2021-04-08,6.33,6.37,6.24,6.28,15728800.0
2021-04-07,6.34,6.49,6.29,6.32,11145000.0
2021-04-06,6.33,6.38,6.2,6.32,12048900.0
2021-04-05,6.38,6.44,6.3,6.31,11866900.0
2021-04-01,6.62,6.62,6.33,6.36,26463900.0
2021-03-31,7.1,7.26,7.09,7.13,20170300.0
2021-03-30,7.07,7.1,6.97,7.07,19901600.0
2021-03-29,7.0,7.16,6.99,7.06,13131000.0
2021-03-26,6.89,7.01,6.87,6.98,10001700.0
2021-03-25,6.87,6.95,6.76,6.87,18167500.0
2021-03-24,7.09,7.1,6.78,6.82,15816900.0
2021-03-23,7.07,7.16,7.05,7.08,9810600.0
2021-03-22,7.04,7.15,6.99,7.1,12822700.0
2021-03-19,7.01,7.21,6.99,6.99,20875400.0
2021-03-18,7.2,7.33,6.91,6.95,20048000.0
2021-03-17,6.85,7.07,6.79,6.98,16271700.0
2021-03-16,6.79,7.03,6.65,6.88,16776600.0
