date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,20.45,20.91,20.33,20.72,4374600.0
2021-05-12,21.18,21.18,20.3,20.38,7503000.0
2021-05-11,21.05,21.5,20.97,21.5,2594400.0
2021-05-10,21.9,21.9,21.1,21.38,6203400.0
2021-05-07,21.21,21.59,20.94,21.49,3223800.0
2021-05-06,21.65,21.67,21.07,21.1,2500700.0
2021-05-05,21.14,21.67,20.96,21.65,4686600.0
2021-05-04,21.27,21.36,20.93,21.13,2718700.0
2021-05-03,21.72,21.85,21.12,21.27,3704100.0
2021-04-30,21.98,22.17,21.61,21.72,3481600.0
2021-04-29,21.91,22.18,21.78,22.18,2114700.0
2021-04-28,21.77,22.01,21.7,21.91,2769100.0
2021-04-27,22.09,22.14,21.6,21.74,2252600.0
2021-04-26,22.61,22.68,21.84,22.09,3231300.0
2021-04-23,22.36,22.63,22.21,22.59,2699300.0
2021-04-22,23.07,23.07,22.18,22.21,5848200.0
2021-04-20,22.38,23.21,22.37,22.93,7662200.0
2021-04-19,22.76,22.85,22.11,22.2,4825400.0
2021-04-16,22.91,23.19,22.87,23.19,1884500.0
2021-04-15,22.79,23.03,22.67,23.03,1884900.0
2021-04-14,23.12,23.2,22.52,22.71,4465500.0
2021-04-13,23.19,23.26,22.9,23.02,3056400.0
2021-04-12,23.1,23.27,22.9,23.2,3459300.0
2021-04-09,23.4,23.67,22.9,23.1,3628500.0
2021-04-08,23.25,23.62,23.07,23.62,3747100.0
2021-04-07,23.29,23.53,22.94,23.25,3897100.0
2021-04-06,23.5,23.57,23.07,23.38,3614700.0
2021-04-05,23.05,23.66,22.98,23.66,3494500.0
2021-04-01,23.28,23.3,22.63,22.81,3375100.0
2021-03-31,22.85,23.31,22.47,23.22,4630400.0
2021-03-30,22.16,22.92,22.16,22.89,4527700.0
2021-03-29,22.09,22.42,22.02,22.32,3818900.0
2021-03-26,22.03,22.45,21.95,22.22,4350400.0
2021-03-25,21.7,22.35,21.56,22.14,8539800.0
2021-03-24,21.89,22.4,21.35,21.73,24004800.0
2021-03-23,19.11,19.58,18.98,19.27,2941300.0
2021-03-22,19.02,19.38,19.02,19.27,3182300.0
2021-03-19,18.95,19.27,18.82,19.22,3282100.0
2021-03-18,18.98,19.09,18.73,18.84,2472900.0
2021-03-17,18.85,19.23,18.73,19.13,3184700.0
2021-03-16,19.06,19.08,18.75,18.88,1860700.0
2021-03-15,19.2,19.2,18.87,19.07,3401900.0
2021-03-12,19.12,19.23,18.85,19.23,3408300.0
2021-03-11,19.2,19.38,18.76,19.27,6122400.0
2021-03-10,19.05,19.2,18.52,19.14,4898800.0
2021-03-09,18.71,19.02,18.62,19.02,5055800.0
2021-03-08,19.34,19.38,18.57,18.79,5115000.0
2021-03-05,19.56,19.64,18.93,19.59,4886600.0
2021-03-04,19.0,19.71,18.83,19.4,4626100.0
