date,1. open,2. high,3. low,4. close,5. volume
2015-11-30,27.67,27.67,27.59,27.59,331400.0
2015-11-27,27.61,27.75,27.59,27.6,24900.0
2015-11-26,28.09,28.1,27.89,28.05,2200.0
2015-11-25,27.56,28.08,27.55,27.55,1087600.0
2015-11-24,27.54,28.2,27.54,27.6,104800.0
2015-11-23,27.52,28.2,27.52,27.9,977800.0
2015-11-20,27.51,27.51,27.51,27.51,0.0
2015-11-19,29.78,29.79,27.51,27.51,800300.0
2015-11-18,27.49,30.0,27.49,30.0,1053100.0
2015-11-17,27.65,27.7,27.49,27.58,5700.0
2015-11-16,27.45,27.46,27.45,27.45,50800.0
2015-11-13,27.43,27.44,27.43,27.43,224600.0
2015-11-12,27.44,27.5,27.42,27.42,81300.0
2015-11-11,27.4,27.52,27.4,27.52,48900.0
2015-11-10,27.39,27.55,27.39,27.39,184500.0
2015-11-09,27.38,27.4,27.38,27.38,101600.0
2015-11-06,27.37,27.4,27.36,27.36,39600.0
2015-11-05,27.35,27.5,27.35,27.41,131900.0
2015-11-04,27.33,27.35,27.33,27.33,118300.0
2015-11-03,27.32,27.5,27.32,27.32,525300.0
2015-11-02,27.3,27.3,27.3,27.3,0.0
2015-10-30,27.22,27.31,27.22,27.3,209900.0
2015-10-29,27.29,27.3,27.29,27.29,275900.0
2015-10-28,27.28,27.3,27.28,27.28,643900.0
2015-10-27,27.26,27.31,27.26,27.26,5114300.0
2015-10-26,27.13,27.2,27.13,27.2,16500.0
2015-10-23,27.1,27.28,27.09,27.2,675600.0
2015-10-22,27.14,27.26,27.14,27.16,992500.0
2015-10-21,27.05,27.2,27.04,27.16,3527100.0
2015-10-20,27.01,27.1,27.01,27.1,5317100.0
2015-10-19,27.03,27.08,26.95,27.06,1020800.0
2015-10-16,27.06,27.14,27.03,27.11,661900.0
2015-10-15,27.08,27.15,27.06,27.13,1743300.0
2015-10-14,26.9,27.3,26.9,27.16,2996200.0
2015-10-13,26.98,26.98,26.79,26.96,1096300.0
2015-10-12,26.92,26.92,26.92,26.92,0.0
2015-10-09,26.9,26.94,26.66,26.92,1151900.0
2015-10-08,26.86,26.93,26.75,26.85,1592600.0
2015-10-07,26.9,26.99,26.76,26.91,91137500.0
2015-10-06,26.76,27.0,26.75,26.9,2408700.0
2015-10-05,26.8,26.87,26.61,26.87,1319100.0
2015-10-02,26.7,26.78,26.54,26.78,949700.0
2015-10-01,26.8,26.84,26.46,26.66,1212700.0
2015-09-30,26.7,26.8,26.44,26.8,1561100.0
2015-09-29,26.74,26.74,26.24,26.48,6177400.0
2015-09-28,26.42,26.56,26.3,26.41,853200.0
2015-09-25,26.45,26.69,26.34,26.55,585300.0
2015-09-24,26.22,26.77,26.16,26.5,855900.0
2015-09-23,26.15,26.6,26.1,26.4,1168400.0
2015-09-22,26.06,26.23,25.98,26.16,5635700.0
2015-09-21,26.5,26.58,26.37,26.49,1055100.0
2015-09-18,26.51,26.55,26.26,26.55,1787800.0
2015-09-17,26.54,26.69,26.49,26.55,4459500.0
2015-09-16,26.55,26.68,26.47,26.57,2994400.0
2015-09-15,26.65,26.65,26.45,26.55,1340000.0
2015-09-14,26.55,26.66,26.5,26.55,4531600.0
2015-09-11,26.59,26.69,26.47,26.54,1459000.0
2015-09-10,26.41,26.78,26.41,26.55,5239200.0
2015-09-09,26.79,26.79,26.5,26.7,2118600.0
2015-09-08,26.27,26.8,26.27,26.75,3518300.0
2015-09-07,26.5,26.5,26.5,26.5,0.0
2015-09-04,26.32,26.6,26.32,26.5,3845500.0
2015-09-03,26.48,26.57,26.26,26.54,2992300.0
2015-09-02,26.3,26.45,26.3,26.35,972500.0
2015-09-01,26.26,26.48,26.15,26.4,2566600.0
2015-08-31,26.41,26.54,26.33,26.54,2340700.0
2015-08-28,26.33,26.63,26.33,26.6,2195300.0
2015-08-27,26.6,26.68,26.25,26.51,1376500.0
2015-08-26,26.39,26.6,26.12,26.45,938400.0
2015-08-25,26.3,26.45,26.2,26.4,3356800.0
2015-08-24,26.21,26.42,26.0,26.2,5338500.0
2015-08-21,26.4,26.57,26.4,26.43,3015400.0
2015-08-20,26.6,26.63,26.35,26.42,4242400.0
2015-08-19,23.16,23.42,23.06,23.41,962100.0
2015-08-18,23.5,23.58,23.32,23.38,800500.0
2015-08-17,23.52,23.78,23.5,23.5,272700.0
2015-08-14,23.47,23.74,23.31,23.67,518700.0
2015-08-13,23.8,23.83,23.5,23.6,484600.0
2015-08-12,24.02,24.16,23.59,23.7,1027200.0
2015-08-11,24.0,24.19,23.72,24.19,661500.0
2015-08-10,23.98,24.35,23.79,24.35,311200.0
2015-08-07,24.08,24.25,23.81,23.81,626700.0
2015-08-06,24.18,24.4,24.05,24.24,624200.0
2015-08-05,24.35,24.39,24.19,24.35,338900.0
2015-08-04,24.11,24.35,24.08,24.2,907700.0
2015-08-03,24.12,24.42,24.02,24.09,1368300.0
2015-07-31,24.02,24.5,24.01,24.29,1056100.0
2015-07-30,24.25,24.36,23.87,24.17,671500.0
2015-07-29,23.51,24.21,23.37,24.2,2292200.0
2015-07-28,23.27,23.74,23.15,23.74,1176000.0
2015-07-27,23.83,23.9,23.0,23.0,1444500.0
2015-07-24,23.96,24.05,23.6,23.96,682400.0
2015-07-23,24.09,24.24,24.0,24.04,848700.0
2015-07-22,24.24,24.38,24.12,24.26,406500.0
2015-07-21,24.33,24.4,24.26,24.4,363600.0
2015-07-20,24.41,24.7,24.22,24.28,401800.0
2015-07-17,24.7,24.95,24.41,24.5,388100.0
2015-07-16,24.69,24.76,24.35,24.65,430200.0
2015-07-15,24.28,24.73,24.26,24.69,736400.0
2015-07-14,24.17,24.5,24.04,24.35,633900.0
2015-07-13,24.3,24.49,24.11,24.15,651700.0
2015-07-10,24.47,24.47,24.1,24.3,366300.0
2015-07-09,24.13,24.13,24.13,24.13,0.0
2015-07-08,24.18,24.4,24.11,24.13,379100.0
2015-07-07,24.19,24.34,24.03,24.3,1529800.0
2015-07-06,24.08,24.5,24.02,24.3,511600.0
2015-07-03,24.22,24.39,24.17,24.25,307200.0
2015-07-02,24.55,24.64,24.21,24.34,632900.0
2015-07-01,24.36,24.72,24.31,24.38,544700.0
2015-06-30,24.31,24.55,24.31,24.43,549700.0
2015-06-29,24.3,24.45,24.24,24.4,430400.0
2015-06-26,24.28,24.73,24.27,24.4,730000.0
2015-06-25,24.32,24.41,24.21,24.34,1493300.0
2015-06-24,24.45,24.56,24.32,24.35,676400.0
2015-06-23,24.47,24.54,24.2,24.35,678800.0
2015-06-22,24.61,24.62,24.26,24.35,421800.0
2015-06-19,24.38,24.5,24.3,24.44,848700.0
2015-06-18,24.72,24.96,24.51,24.55,459600.0
2015-06-17,24.35,24.78,24.2,24.72,911100.0
2015-06-16,24.52,24.54,24.34,24.4,719000.0
2015-06-15,24.5,24.58,24.33,24.4,593100.0
2015-06-12,24.64,24.7,24.35,24.7,1863900.0
2015-06-11,25.2,25.2,24.51,24.75,774000.0
2015-06-10,24.74,25.17,24.61,25.17,1710100.0
2015-06-09,24.64,24.75,24.41,24.75,806800.0
2015-06-08,24.47,24.78,24.41,24.71,591300.0
2015-06-05,24.36,24.65,24.31,24.5,640800.0
2015-06-04,24.72,24.72,24.72,24.72,0.0
2015-06-03,24.28,24.79,24.28,24.72,1189200.0
2015-06-02,24.36,24.47,24.27,24.35,3298800.0
2015-06-01,24.25,24.48,24.25,24.31,454500.0
2015-05-29,24.17,24.41,24.11,24.3,2335600.0
2015-05-28,24.51,24.55,24.3,24.35,693800.0
2015-05-27,24.3,24.72,24.21,24.7,1072900.0
2015-05-26,24.3,24.52,24.15,24.22,785300.0
2015-05-25,24.37,24.44,24.2,24.3,1056300.0
2015-05-22,24.75,24.79,24.11,24.3,1813300.0
2015-05-21,24.65,24.8,24.5,24.63,531400.0
2015-05-20,24.74,24.91,24.65,24.66,486200.0
2015-05-19,24.66,24.96,24.65,24.65,442600.0
2015-05-18,25.01,25.04,24.65,24.65,529800.0
2015-05-15,25.09,25.21,24.7,24.84,726600.0
2015-05-14,25.29,25.48,25.1,25.18,670000.0
2015-05-13,24.9,25.18,24.75,25.18,1089400.0
2015-05-12,24.85,25.15,24.8,24.99,1544200.0
2015-05-11,26.0,26.36,24.81,24.95,1613500.0
2015-05-08,26.4,26.67,26.07,26.36,444200.0
2015-05-07,26.01,26.51,26.0,26.15,309800.0
2015-05-06,25.9,26.34,25.86,26.3,860900.0
2015-05-05,26.95,27.41,26.0,26.1,724500.0
2015-05-04,27.25,27.39,26.73,27.2,932700.0
2015-05-01,25.85,25.85,25.85,25.85,0.0
2015-04-30,25.87,27.5,25.8,25.85,2902900.0
2015-04-29,26.2,26.5,25.8,26.0,1308800.0
2015-04-28,25.99,26.03,25.71,26.0,1222000.0
2015-04-27,25.61,26.0,25.4,25.99,1124800.0
2015-04-24,25.98,25.98,25.26,25.5,1257500.0
2015-04-23,25.4,26.0,25.4,25.7,934900.0
2015-04-22,25.5,25.78,25.25,25.7,811200.0
2015-04-21,25.45,25.45,25.45,25.45,0.0
2015-04-20,25.51,25.68,25.1,25.45,608000.0
2015-04-17,25.77,25.92,25.4,25.4,557300.0
2015-04-16,25.65,26.03,25.65,26.0,454600.0
2015-04-15,26.0,26.03,25.73,25.75,558800.0
2015-04-14,26.05,26.05,25.7,25.85,411300.0
2015-04-13,25.73,26.0,25.61,26.0,492000.0
2015-04-10,25.78,26.03,25.64,26.0,426200.0
2015-04-09,25.69,26.07,25.41,25.6,565200.0
2015-04-08,25.73,26.09,25.54,26.0,956900.0
2015-04-07,25.6,25.73,25.41,25.55,432700.0
2015-04-06,25.6,25.7,25.51,25.65,713500.0
2015-04-03,25.6,25.6,25.6,25.6,0.0
2015-04-02,25.6,25.65,25.25,25.6,1623100.0
2015-04-01,25.39,25.6,25.3,25.59,856200.0
2015-03-31,25.32,25.55,25.09,25.4,1965500.0
2015-03-30,24.96,25.5,24.93,25.5,723600.0
2015-03-27,24.85,25.3,24.72,24.79,571100.0
2015-03-26,25.21,25.33,24.95,24.95,817200.0
2015-03-25,25.06,25.75,24.98,25.43,789900.0
2015-03-24,25.38,25.53,24.81,24.85,558500.0
2015-03-23,25.2,25.44,25.15,25.35,551500.0
2015-03-20,25.45,25.8,25.12,25.12,1539300.0
2015-03-19,25.87,25.9,25.53,25.8,538400.0
