date,1. open,2. high,3. low,4. close,5. volume
2021-09-08,22.2,22.29,21.6,21.7,9114900.0
2021-09-06,22.07,22.53,21.94,22.35,4809600.0
2021-09-03,22.31,22.39,21.9,22.13,10613800.0
2021-09-02,22.29,22.46,22.07,22.29,10066700.0
2021-09-01,21.88,22.76,21.53,22.57,12427700.0
2021-08-31,22.24,22.36,21.73,22.05,9487000.0
2021-08-30,22.49,22.5,22.02,22.2,8057800.0
2021-08-27,22.27,22.56,22.03,22.49,8130400.0
2021-08-26,22.49,22.56,21.76,22.16,12235000.0
2021-08-25,22.7,22.7,22.12,22.59,10677500.0
2021-08-24,22.71,23.29,22.4,22.48,10317100.0
2021-08-23,22.6,22.61,22.1,22.12,5809900.0
2021-08-20,22.14,22.7,21.9,22.6,5758600.0
2021-08-19,22.0,22.75,21.8,22.44,9891100.0
2021-08-18,22.55,22.89,21.75,22.3,13487200.0
2021-08-17,22.85,22.97,21.9,22.79,14116200.0
2021-08-16,23.65,23.74,22.7,23.07,9031300.0
2021-08-13,24.08,24.1,23.48,23.59,8233100.0
2021-08-12,24.17,24.31,23.88,23.95,7748800.0
2021-08-11,24.15,24.55,23.83,24.29,5930000.0
2021-08-10,24.45,24.72,24.05,24.3,7736300.0
2021-08-09,24.0,24.55,23.95,24.29,4508400.0
2021-08-06,24.36,24.44,23.95,24.2,8238300.0
2021-08-05,25.3,25.3,24.05,24.33,10969300.0
2021-08-04,25.58,25.58,24.26,24.55,18567200.0
2021-08-03,25.7,25.82,24.9,25.59,10515700.0
2021-08-02,25.91,26.25,25.61,25.75,13056900.0
2021-07-30,26.13,26.26,24.95,25.55,15730900.0
2021-07-29,27.1,27.2,26.27,26.45,6956000.0
2021-07-28,26.47,26.82,26.11,26.82,16819900.0
2021-07-27,26.59,26.79,25.84,26.31,6874500.0
2021-07-26,26.9,27.29,26.57,26.59,5415900.0
2021-07-23,27.25,27.3,26.47,27.0,4877500.0
2021-07-22,26.36,27.39,26.17,27.2,7697300.0
2021-07-21,26.0,26.54,25.63,26.36,7024400.0
2021-07-20,26.05,26.2,25.7,25.98,5603500.0
2021-07-19,26.08,26.23,25.71,26.14,6106700.0
2021-07-16,27.07,27.23,26.4,26.4,4749900.0
2021-07-15,26.86,27.13,26.61,26.9,7108900.0
2021-07-14,26.9,26.97,26.25,26.97,11063500.0
2021-07-13,25.94,26.93,25.83,26.39,12219800.0
2021-07-12,25.2,26.5,25.2,26.13,16858400.0
2021-07-08,24.45,24.88,24.29,24.65,6717700.0
2021-07-07,24.51,24.9,24.1,24.72,7626700.0
2021-07-06,24.6,24.67,24.11,24.38,5791500.0
2021-07-05,24.34,24.79,24.11,24.79,4795500.0
2021-07-02,24.3,24.55,23.83,24.43,8640200.0
2021-07-01,23.81,24.1,23.26,24.04,9857900.0
2021-06-30,23.64,24.0,23.41,23.96,14804800.0
2021-06-29,24.28,24.36,23.78,23.88,4577500.0
2021-06-28,24.96,24.96,24.1,24.25,5760000.0
2021-06-25,25.03,25.39,24.53,24.73,9164600.0
2021-06-24,24.93,25.19,24.6,25.19,10720000.0
2021-06-23,25.21,25.22,24.53,24.64,10712500.0
2021-06-22,24.95,25.59,24.51,25.25,54998398.0
2021-06-21,24.61,25.48,24.51,25.02,16455000.0
2021-06-18,24.87,25.0,24.06,24.5,48562602.0
2021-06-17,24.88,25.24,24.6,24.97,12019200.0
2021-06-16,25.32,25.64,24.77,24.87,16870801.0
2021-06-15,25.36,25.4,24.89,25.31,9517400.0
2021-06-14,25.8,25.92,25.15,25.4,9833300.0
2021-06-11,25.55,25.75,24.98,25.7,10558700.0
2021-06-10,24.92,25.51,24.46,25.51,10577800.0
2021-06-09,24.99,25.34,24.61,24.82,11110600.0
2021-06-08,24.7,25.16,24.26,24.94,10786800.0
2021-06-07,24.43,25.05,24.08,24.91,7772000.0
2021-06-04,24.58,24.75,24.15,24.6,6503100.0
2021-06-02,24.1,24.34,23.76,24.25,5531700.0
2021-06-01,24.0,24.75,23.61,24.04,12070100.0
2021-05-31,22.32,23.84,22.27,23.37,15958600.0
2021-05-28,21.98,22.08,21.62,21.92,3330500.0
2021-05-27,21.92,21.92,21.54,21.91,10925200.0
2021-05-26,22.0,22.0,21.45,21.95,6660300.0
2021-05-25,22.55,22.55,21.63,21.87,5145200.0
2021-05-24,22.0,22.53,21.64,22.52,7134000.0
2021-05-21,22.37,22.47,21.89,21.91,3564700.0
2021-05-20,22.4,22.51,21.78,22.36,8823500.0
2021-05-19,22.24,22.75,22.03,22.38,4570900.0
2021-05-18,22.73,22.75,22.3,22.43,2523100.0
2021-05-17,22.41,22.75,21.95,22.71,4908200.0
2021-05-14,21.89,22.62,21.73,22.34,7072500.0
2021-05-13,21.31,21.8,21.3,21.59,4995000.0
2021-05-12,21.5,21.58,21.17,21.36,4969700.0
2021-05-11,21.57,21.7,21.23,21.7,5534100.0
2021-05-10,22.0,22.22,21.65,21.86,4531100.0
2021-05-07,21.64,22.32,21.37,22.22,5285600.0
2021-05-06,22.0,22.15,21.28,21.54,7430600.0
2021-05-05,88.3,89.32,87.64,89.17,2778500.0
2021-05-04,91.19,91.2,88.23,88.3,1754100.0
2021-05-03,91.01,91.4,88.38,90.9,2508200.0
2021-04-30,90.78,92.66,90.06,90.06,6988500.0
2021-04-29,91.29,93.24,91.09,91.52,1750700.0
