date,1. open,2. high,3. low,4. close,5. volume
2021-09-08,33.94,34.02,33.21,33.21,9270500.0
2021-09-06,34.1,34.45,33.72,34.15,6052100.0
2021-09-03,35.04,35.34,34.29,34.81,13684400.0
2021-09-02,34.98,35.76,34.22,34.22,11208100.0
2021-09-01,34.0,35.49,33.47,34.88,14325800.0
2021-08-31,36.57,36.57,34.69,34.86,15204100.0
2021-08-30,37.48,37.67,36.57,36.69,9161800.0
2021-08-27,36.8,37.73,36.8,37.45,9458500.0
2021-08-26,37.61,37.94,36.5,36.56,8818800.0
2021-08-25,38.5,38.68,37.57,37.7,9339200.0
2021-08-24,38.0,38.96,37.94,38.59,12540400.0
2021-08-23,37.2,37.43,36.63,36.63,7305100.0
2021-08-20,36.99,37.9,36.7,36.94,10910700.0
2021-08-19,37.4,37.93,36.6,37.0,17934600.0
2021-08-18,39.55,40.09,38.85,39.27,14705000.0
2021-08-17,41.06,41.49,39.62,40.2,12472400.0
2021-08-16,42.18,42.18,40.99,41.45,11310100.0
2021-08-13,43.77,43.82,42.3,42.61,8935700.0
2021-08-12,43.91,44.4,43.57,43.62,7975200.0
2021-08-11,44.07,44.93,43.93,44.1,11658800.0
2021-08-10,43.36,44.42,43.22,43.79,11892700.0
2021-08-09,42.8,43.68,42.15,43.33,14769800.0
2021-08-06,43.69,44.92,43.39,43.42,10588800.0
2021-08-05,45.05,45.08,43.19,43.63,15191000.0
2021-08-04,44.89,45.83,44.64,45.43,11773900.0
2021-08-03,44.84,45.4,44.16,44.95,12248600.0
2021-08-02,46.69,46.69,44.75,44.84,12882300.0
2021-07-30,47.2,47.64,46.38,46.75,14347500.0
2021-07-29,45.83,48.54,45.65,48.13,24720900.0
2021-07-28,47.77,48.03,45.38,45.57,19699200.0
2021-07-27,47.16,47.27,46.15,46.88,9342700.0
2021-07-26,46.02,47.91,46.0,47.36,12092100.0
2021-07-23,45.89,46.46,45.17,45.74,6791900.0
2021-07-22,44.98,46.15,44.93,45.9,8930400.0
2021-07-21,44.49,45.58,44.01,45.56,9253200.0
2021-07-20,44.25,44.73,43.36,44.57,7213700.0
2021-07-19,43.86,44.1,42.41,44.1,17351400.0
2021-07-16,46.5,46.72,44.53,44.7,11262100.0
2021-07-15,45.65,46.94,45.57,46.3,9739300.0
2021-07-14,47.62,47.65,45.05,45.4,16620300.0
2021-07-13,46.61,47.69,46.34,47.28,10790300.0
2021-07-12,44.79,46.91,44.53,46.81,17821100.0
2021-07-08,44.7,44.9,43.71,44.09,17359100.0
2021-07-07,45.4,46.28,45.13,46.13,11961700.0
2021-07-06,45.51,45.65,43.97,44.59,7733900.0
2021-07-05,45.55,46.21,45.36,45.56,6337700.0
2021-07-02,43.8,45.13,43.53,45.07,7821900.0
2021-07-01,44.19,44.79,43.05,43.43,7235900.0
2021-06-30,44.42,45.23,43.36,43.99,8574600.0
2021-06-29,42.99,44.85,42.91,44.69,9451900.0
2021-06-28,43.75,44.1,42.31,42.93,8164800.0
2021-06-25,45.1,45.54,43.24,43.55,16061400.0
2021-06-24,43.79,44.94,43.2,44.6,7469000.0
2021-06-23,42.91,43.54,42.58,43.17,6963400.0
2021-06-22,42.46,42.83,42.15,42.51,6198600.0
2021-06-21,40.5,42.26,40.17,42.04,7577900.0
2021-06-18,40.44,41.62,40.3,41.4,11375000.0
2021-06-17,42.2,42.39,40.0,40.3,16161000.0
2021-06-16,44.64,44.64,42.0,42.4,19232200.0
2021-06-15,45.34,45.5,43.75,44.5,8042700.0
2021-06-14,45.9,46.18,44.91,45.12,7609200.0
2021-06-11,45.28,46.0,45.05,45.5,7159500.0
2021-06-10,45.31,45.37,44.48,44.83,6160000.0
2021-06-09,44.21,45.1,43.15,44.78,10374400.0
2021-06-08,44.47,44.74,43.75,43.8,8382900.0
2021-06-07,45.41,45.49,44.07,44.27,10472500.0
2021-06-04,46.63,46.63,45.16,45.62,8230300.0
2021-06-02,47.71,47.98,46.33,46.59,9820800.0
2021-06-01,45.93,47.55,45.9,47.41,15690000.0
2021-05-31,45.2,45.57,44.4,44.92,7162200.0
2021-05-28,45.5,45.68,43.9,44.64,9636900.0
2021-05-27,45.33,45.9,44.96,44.96,12303500.0
2021-05-26,43.52,44.92,43.39,44.92,10903300.0
2021-05-25,45.45,45.84,43.65,44.15,10732700.0
2021-05-24,45.19,45.42,44.21,45.23,11831900.0
2021-05-21,47.02,47.37,45.41,45.7,11430200.0
2021-05-20,46.75,47.75,46.66,47.2,8434900.0
2021-05-19,48.2,48.25,46.42,47.25,15222700.0
2021-05-18,49.31,49.77,48.65,49.21,11969000.0
2021-05-17,47.56,48.48,47.05,48.41,7729800.0
2021-05-14,47.57,47.75,45.85,47.0,10178000.0
2021-05-13,48.76,48.9,47.22,47.93,11935600.0
2021-05-12,51.24,52.34,49.25,49.42,14225700.0
2021-05-11,50.12,51.87,49.22,51.77,15499200.0
2021-05-10,52.21,53.9,50.74,50.74,14919600.0
2021-05-07,51.11,51.42,49.62,50.63,10860300.0
2021-05-06,51.19,51.37,49.06,50.5,11794500.0
2021-05-05,48.74,50.14,48.74,49.69,9531200.0
2021-05-04,47.52,49.25,46.81,48.14,11708000.0
2021-05-03,49.0,49.0,46.93,47.82,11608600.0
2021-04-30,49.62,50.12,48.78,49.19,11724200.0
2021-04-29,51.6,52.55,49.35,50.24,13529700.0
2021-04-28,51.09,51.77,50.7,51.37,7178000.0
2021-04-27,51.8,51.84,50.05,50.99,11387700.0
2021-04-26,49.85,51.52,49.62,51.52,10677300.0
2021-04-23,49.62,50.09,47.41,49.03,17105600.0
2021-04-22,47.14,49.85,46.7,48.72,16065600.0
2021-04-20,47.95,48.22,46.06,46.66,9432800.0
2021-04-19,48.08,48.54,47.15,47.43,9124700.0
2021-04-16,47.08,48.0,45.69,48.0,12758900.0
2021-04-15,47.8,48.16,46.61,47.05,12714200.0
2021-04-14,45.44,47.2,45.28,46.51,15652600.0
2021-04-13,43.96,45.3,43.45,45.08,13472800.0
2021-04-12,43.55,44.23,42.91,43.88,15983700.0
2021-04-09,40.81,43.44,40.61,43.09,18432100.0
2021-04-08,39.99,41.26,39.86,41.1,14315500.0
2021-04-07,39.33,40.0,38.9,39.89,11595500.0
2021-04-06,37.94,39.74,37.89,39.17,14720600.0
2021-04-05,37.33,38.08,37.25,37.8,8477200.0
2021-04-01,38.28,38.37,36.44,36.8,10877000.0
2021-03-31,36.94,37.93,36.64,37.9,13319000.0
2021-03-30,36.48,36.99,35.77,36.87,9946000.0
2021-03-29,35.3,36.53,35.3,36.43,15578600.0
2021-03-26,34.12,35.2,33.83,35.14,16332700.0
2021-03-25,33.62,34.17,32.85,33.47,17721500.0
2021-03-24,34.09,34.55,33.14,33.3,16322100.0
