date,1. open,2. high,3. low,4. close,5. volume
2017-04-07,49.5,49.5,49.5,49.5,0.0
2017-04-06,49.5,49.5,49.5,49.5,0.0
2017-04-04,49.5,49.5,49.5,49.5,0.0
2017-04-03,49.5,49.5,49.5,49.5,0.0
2017-03-31,49.5,49.5,49.5,49.5,0.0
2017-03-30,49.5,49.5,49.5,49.5,0.0
2017-03-29,49.0,49.88,48.91,49.5,37154700.0
2017-03-28,48.97,49.39,48.8,49.05,14225200.0
2017-03-27,48.99,49.02,48.65,49.0,6484900.0
2017-03-24,49.0,49.13,48.75,49.05,14184900.0
2017-03-23,48.3,49.3,48.3,49.1,25011800.0
2017-03-22,47.72,49.05,47.3,48.3,9564100.0
2017-03-21,47.97,48.0,47.01,47.81,1809400.0
2017-03-20,47.79,48.0,47.53,48.0,4834500.0
2017-03-17,47.86,47.92,47.33,47.75,3603900.0
2017-03-16,47.71,48.13,47.37,47.82,2993800.0
2017-03-15,46.8,47.52,46.7,47.52,2008500.0
2017-03-14,46.81,47.09,46.45,46.8,1045400.0
2017-03-13,46.94,47.12,46.83,47.12,585100.0
2017-03-10,46.61,47.17,46.36,46.9,1980100.0
2017-03-09,46.0,46.64,45.45,46.64,1077700.0
2017-03-08,46.61,46.7,46.31,46.6,584900.0
2017-03-06,46.75,46.77,46.51,46.73,890400.0
2017-03-03,46.6,46.79,46.6,46.71,802300.0
2017-03-02,46.9,46.9,46.53,46.6,864300.0
2017-03-01,47.2,47.27,46.6,46.88,637700.0
2017-02-28,46.85,46.85,46.85,46.85,0.0
2017-02-27,46.85,46.85,46.85,46.85,0.0
2017-02-24,46.83,47.11,46.6,46.85,1087600.0
2017-02-23,47.1,47.25,46.83,47.12,805600.0
2017-02-22,47.4,47.59,47.1,47.3,784600.0
2017-02-21,47.38,47.49,47.25,47.4,768200.0
2017-02-20,47.26,47.41,47.05,47.3,560300.0
2017-02-17,47.33,47.44,47.15,47.25,1506200.0
2017-02-16,47.31,47.49,47.13,47.34,1576100.0
2017-02-15,47.4,47.4,46.9,47.25,1442800.0
2017-02-14,47.26,47.48,46.87,47.01,917100.0
2017-02-13,47.51,47.6,47.1,47.25,1175500.0
2017-02-10,47.16,47.51,47.16,47.5,1246200.0
2017-02-09,47.55,47.59,47.1,47.45,673500.0
2017-02-08,47.62,47.63,47.2,47.39,970200.0
2017-02-07,47.43,47.56,47.0,47.56,827600.0
2017-02-06,47.44,47.52,46.9,47.19,1116800.0
2017-02-03,47.25,47.65,47.25,47.4,677000.0
2017-02-02,46.93,47.53,46.89,47.3,617400.0
2017-02-01,47.07,47.36,46.78,47.2,1166800.0
2017-01-31,46.55,47.1,46.45,47.05,1026100.0
2017-01-30,46.56,46.87,46.33,46.62,1117600.0
2017-01-27,46.65,46.89,46.53,46.78,1286100.0
2017-01-26,46.3,46.88,46.3,46.7,1954600.0
2017-01-25,46.39,46.39,46.39,46.39,0.0
2017-01-24,46.73,46.9,46.39,46.39,1419900.0
2017-01-23,46.7,47.2,46.47,46.78,1237200.0
2017-01-20,46.4,46.75,46.4,46.55,1409800.0
2017-01-19,46.49,46.67,46.3,46.4,2204100.0
2017-01-18,46.65,46.94,46.31,46.49,1393900.0
2017-01-17,46.53,46.79,46.3,46.65,1177800.0
2017-01-16,46.7,46.75,46.26,46.53,564100.0
2017-01-13,46.84,47.06,46.39,46.7,1024200.0
2017-01-12,46.94,47.54,46.09,46.44,2320000.0
2017-01-11,46.04,46.5,45.88,46.09,1335200.0
2017-01-10,45.87,46.03,45.5,46.03,1320600.0
2017-01-09,45.65,45.94,44.68,45.64,1149800.0
2017-01-06,45.86,45.97,45.52,45.65,1498600.0
2017-01-05,45.62,45.85,45.31,45.76,1538200.0
2017-01-04,44.81,45.61,44.78,45.47,1057500.0
2017-01-03,44.4,45.0,44.4,45.0,3295300.0
2017-01-02,44.19,44.64,44.19,44.4,323100.0
2016-12-30,44.6,44.6,44.6,44.6,0.0
2016-12-29,44.59,44.65,44.35,44.6,2164900.0
2016-12-28,44.29,44.59,44.12,44.59,1667700.0
2016-12-27,44.3,44.35,43.98,44.3,412400.0
2016-12-26,43.95,44.23,43.89,44.15,349500.0
2016-12-23,43.4,44.05,43.32,43.99,801800.0
2016-12-22,43.16,43.48,43.16,43.37,637000.0
2016-12-21,43.6,43.65,43.17,43.25,1458500.0
2016-12-20,43.8,43.95,43.37,43.6,1760400.0
2016-12-19,43.64,43.96,43.46,43.63,2627300.0
2016-12-16,43.28,44.14,43.1,43.83,3236000.0
2016-12-15,43.14,43.42,42.9,43.12,974100.0
2016-12-14,43.75,43.75,43.15,43.15,2339800.0
2016-12-13,43.4,43.76,43.35,43.7,2638600.0
2016-12-12,44.0,44.0,43.21,43.51,1494100.0
2016-12-09,43.98,44.01,43.56,43.85,2717500.0
2016-12-08,43.8,43.97,43.45,43.88,1395900.0
2016-12-07,43.85,43.95,43.34,43.7,1051000.0
2016-12-06,43.1,43.69,43.1,43.68,2168300.0
2016-12-05,43.52,43.58,43.21,43.27,657400.0
2016-12-02,43.49,43.78,42.82,43.53,2013700.0
2016-12-01,43.49,43.49,43.49,43.49,2240200.0
2016-11-30,43.86,44.6,43.79,44.36,3011800.0
2016-11-29,43.6,44.1,43.6,43.69,857800.0
2016-11-28,43.5,44.1,43.49,43.99,831900.0
2016-11-25,43.09,43.62,43.09,43.62,439900.0
2016-11-24,43.39,43.6,43.35,43.43,233200.0
2016-11-23,43.35,43.6,43.24,43.6,702400.0
2016-11-22,43.35,43.9,43.14,43.64,1585500.0
2016-11-21,43.41,43.65,43.18,43.55,853600.0
2016-11-18,43.19,43.5,43.19,43.35,1654400.0
2016-11-17,43.63,43.79,43.25,43.5,1245100.0
2016-11-16,42.7,43.43,42.53,43.43,1639800.0
2016-11-15,42.74,42.74,42.74,42.74,0.0
2016-11-14,42.8,43.15,42.31,42.74,1759100.0
2016-11-11,43.1,43.67,42.46,43.2,3771200.0
2016-11-10,43.93,44.18,42.99,43.5,3838700.0
2016-11-09,43.6,44.2,43.5,44.2,1944800.0
2016-11-08,44.27,44.39,43.88,44.3,946100.0
2016-11-07,43.85,44.5,43.8,44.27,1046900.0
2016-11-04,43.73,44.05,43.33,43.66,1559300.0
2016-11-03,44.3,44.45,43.83,43.83,791300.0
2016-11-02,44.3,44.3,44.3,44.3,0.0
2016-11-01,44.85,44.85,44.0,44.3,1213900.0
2016-10-31,44.46,44.89,44.1,44.87,1018200.0
2016-10-28,44.31,44.52,43.81,44.3,956700.0
2016-10-27,44.28,44.64,44.22,44.49,798500.0
2016-10-26,44.3,44.49,44.02,44.49,519600.0
2016-10-25,44.32,44.55,44.13,44.4,983600.0
2016-10-24,44.8,44.82,44.37,44.45,655500.0
2016-10-21,44.78,44.9,44.39,44.6,1257900.0
2016-10-20,44.26,45.02,44.05,44.9,1168600.0
2016-10-19,44.2,44.71,43.97,44.51,1473400.0
2016-10-18,43.82,44.19,43.73,44.19,1050100.0
2016-10-17,43.93,44.03,43.53,43.9,1034900.0
2016-10-14,43.63,44.03,43.53,43.77,1312800.0
2016-10-13,43.44,43.77,43.12,43.77,1220400.0
2016-10-12,43.49,43.49,43.49,43.49,0.0
2016-10-11,43.65,43.65,43.38,43.49,999800.0
2016-10-10,43.65,43.69,43.5,43.65,477900.0
2016-10-07,43.58,43.64,42.97,43.53,740500.0
2016-10-06,43.21,43.57,43.21,43.5,592100.0
