date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,24.34,24.77,23.26,23.69,6939600.0
2021-05-12,24.95,25.42,24.12,24.22,4578800.0
2021-05-11,24.85,25.5,24.56,25.22,5498800.0
2021-05-10,24.31,25.86,23.9,25.15,12278000.0
2021-05-07,23.43,23.94,23.17,23.94,4326900.0
2021-05-06,23.48,23.59,22.88,23.35,4623200.0
2021-05-05,23.11,24.2,23.11,23.45,4589600.0
2021-05-04,23.13,23.45,22.7,23.04,5146700.0
2021-05-03,24.5,24.79,22.78,22.95,11646600.0
2021-04-30,24.92,25.23,23.67,23.97,10355400.0
2021-04-29,25.11,26.59,24.76,25.0,14213700.0
2021-04-28,24.76,25.13,24.15,25.09,7427200.0
2021-04-27,23.37,24.75,23.32,24.64,9943700.0
2021-04-26,22.31,23.57,22.31,23.32,8888400.0
2021-04-23,22.23,23.37,21.91,22.18,10310700.0
2021-04-22,21.9,22.49,21.69,22.06,6568100.0
2021-04-20,22.12,22.54,21.54,21.66,4230900.0
2021-04-19,22.07,22.48,21.9,22.12,4762900.0
2021-04-16,21.37,22.06,21.27,22.0,5435600.0
2021-04-15,21.4,21.71,21.26,21.38,3771800.0
2021-04-14,20.35,21.5,20.32,21.43,9063000.0
2021-04-13,20.65,20.78,20.11,20.34,5066500.0
2021-04-12,20.45,20.95,20.28,20.65,4675300.0
2021-04-09,20.09,20.55,19.82,20.31,4960200.0
2021-04-08,20.1,20.32,19.9,20.1,4294000.0
2021-04-07,20.3,20.6,19.9,20.1,4291700.0
2021-04-06,20.23,20.5,19.95,20.36,5535800.0
2021-04-05,19.49,20.36,19.43,20.3,7986800.0
2021-04-01,19.73,19.99,19.16,19.26,4479000.0
2021-03-31,20.02,20.02,19.23,19.72,5652100.0
2021-03-30,18.96,20.3,18.85,20.08,11472800.0
2021-03-29,19.05,19.25,18.71,19.02,4538500.0
2021-03-26,19.3,19.36,18.7,18.93,3774300.0
2021-03-25,18.75,19.24,18.33,19.19,5546400.0
2021-03-24,19.36,19.54,18.63,18.69,6229400.0
2021-03-23,18.11,19.64,18.0,19.36,13308500.0
2021-03-22,18.13,18.84,17.81,18.34,6895000.0
2021-03-19,17.5,18.68,17.36,18.55,7267600.0
2021-03-18,17.89,18.2,17.36,17.36,4455600.0
2021-03-17,17.32,18.1,17.14,18.1,8207600.0
2021-03-16,18.8,19.0,17.37,17.5,6811300.0
2021-03-15,18.09,19.06,17.97,18.91,7386000.0
2021-03-12,17.8,18.45,17.63,18.35,6604900.0
2021-03-11,16.58,18.12,16.38,18.12,16180200.0
2021-03-10,14.95,16.36,14.88,16.33,9410400.0
2021-03-09,15.06,15.45,14.84,14.87,5277900.0
2021-03-08,15.75,16.32,15.0,15.12,7284700.0
2021-03-05,15.29,16.32,15.04,16.3,6966500.0
2021-03-04,14.86,15.8,14.77,15.41,8522800.0
2021-03-03,15.59,15.6,14.18,14.98,10493200.0
2021-03-02,15.63,15.8,14.88,15.69,7401100.0
2021-03-01,16.7,16.95,15.88,15.96,4731500.0
2021-02-26,17.39,17.5,16.44,16.53,4389600.0
2021-02-25,18.16,18.27,17.07,17.39,4315700.0
2021-02-24,18.04,18.35,17.75,18.15,3416900.0
2021-02-23,17.9,18.25,17.34,17.93,5531200.0
2021-02-22,18.0,18.1,17.45,17.71,7521100.0
2021-02-19,19.05,19.05,18.52,18.64,5492100.0
2021-02-18,19.43,19.53,18.88,19.0,6427800.0
2021-02-17,19.82,19.82,19.24,19.5,3930000.0
2021-02-12,18.79,20.04,18.64,19.9,8099300.0
2021-02-11,19.41,19.57,18.83,18.85,6057700.0
2021-02-10,19.71,20.09,19.11,19.23,4819000.0
