date,1. open,2. high,3. low,4. close,5. volume
2021-09-08,19.36,19.36,18.15,18.19,9047400.0
2021-09-06,18.89,19.41,18.82,19.41,2806000.0
2021-09-03,19.45,19.52,18.88,18.89,6051100.0
2021-09-02,19.96,20.03,19.19,19.28,6238400.0
2021-09-01,20.41,20.53,19.95,19.95,5242800.0
2021-08-31,20.5,21.09,20.01,20.22,8951200.0
2021-08-30,21.28,21.28,20.35,20.45,5997400.0
2021-08-27,19.98,21.31,19.98,21.31,7498500.0
2021-08-26,21.05,21.06,19.94,19.94,9548600.0
2021-08-25,20.19,21.4,20.11,21.2,20967600.0
2021-08-24,18.55,20.51,18.43,20.41,19107100.0
2021-08-23,18.59,18.8,18.06,18.17,5226700.0
2021-08-20,18.2,18.84,18.15,18.54,6792400.0
2021-08-19,17.97,18.51,17.9,18.4,6181200.0
2021-08-18,18.46,18.77,18.11,18.31,12136300.0
2021-08-17,18.96,18.96,18.05,18.32,7306900.0
2021-08-16,18.92,19.29,18.49,19.07,8186200.0
2021-08-13,19.56,20.06,18.97,19.04,8308000.0
2021-08-12,19.65,19.72,19.31,19.33,4570300.0
2021-08-11,20.06,20.12,19.57,19.7,5739000.0
2021-08-10,20.41,20.48,19.96,20.05,5141000.0
2021-08-09,20.05,20.61,19.95,20.35,6186100.0
2021-08-06,19.67,20.23,19.6,20.08,5471000.0
2021-08-05,20.32,20.48,19.57,19.63,7218300.0
2021-08-04,20.51,20.81,20.1,20.22,4707100.0
2021-08-03,20.9,20.9,19.85,20.53,8933800.0
2021-08-02,21.15,21.49,20.87,20.9,5394200.0
2021-07-30,21.15,21.29,20.71,20.85,4466700.0
2021-07-29,21.9,22.11,21.26,21.32,4914700.0
2021-07-28,21.53,21.82,21.23,21.74,4045600.0
2021-07-27,21.5,21.52,20.99,21.4,7181900.0
2021-07-26,21.86,21.96,21.4,21.56,4894000.0
2021-07-23,22.34,22.44,21.68,21.9,6344100.0
2021-07-22,22.36,22.58,22.22,22.39,3474100.0
2021-07-21,22.49,22.54,22.06,22.32,4458000.0
2021-07-20,22.63,22.63,22.19,22.44,3527300.0
2021-07-19,22.35,22.67,22.06,22.64,4675000.0
2021-07-16,23.36,23.52,22.67,22.8,4689600.0
2021-07-15,23.56,23.72,22.96,23.19,4974600.0
2021-07-14,23.67,23.91,23.44,23.58,5172400.0
2021-07-13,23.75,23.75,23.17,23.38,7044400.0
2021-07-12,22.92,23.69,22.79,23.46,6135600.0
2021-07-08,22.8,22.98,22.46,22.69,11078300.0
2021-07-07,23.2,23.52,22.84,23.23,5289400.0
2021-07-06,23.2,23.2,22.65,22.94,4542900.0
2021-07-05,23.29,23.43,23.05,23.26,2696900.0
2021-07-02,22.99,23.42,22.82,23.42,4547700.0
2021-07-01,23.45,23.51,22.71,22.76,7111200.0
2021-06-30,22.83,23.66,22.71,23.34,7328100.0
2021-06-29,22.62,23.1,22.18,22.97,7380700.0
2021-06-28,22.93,23.29,22.52,22.7,6089100.0
2021-06-25,23.71,23.72,22.77,22.87,5716200.0
2021-06-24,23.6,24.15,23.5,23.53,7540100.0
2021-06-23,23.7,23.7,23.1,23.32,6926700.0
2021-06-22,23.86,23.86,23.52,23.73,4145600.0
2021-06-21,24.32,24.32,23.76,24.09,3818100.0
2021-06-18,24.07,24.33,23.97,24.17,3641800.0
2021-06-17,24.21,24.46,23.8,24.15,6100000.0
2021-06-16,24.63,24.71,24.12,24.35,9071700.0
2021-06-15,24.83,24.83,24.44,24.67,2994200.0
2021-06-14,24.67,25.03,24.48,24.74,5899000.0
2021-06-11,24.81,24.89,24.16,24.53,6140700.0
2021-06-10,25.63,25.74,24.52,24.95,9419700.0
2021-06-09,26.13,26.15,25.31,25.57,8450600.0
2021-06-08,25.95,26.54,25.81,26.18,7489300.0
2021-06-07,26.2,26.33,25.88,25.99,6641100.0
2021-06-04,25.95,26.33,25.77,26.2,7312900.0
2021-06-02,25.41,26.2,25.19,25.9,12361800.0
2021-06-01,24.1,25.67,24.02,25.47,13533500.0
2021-05-31,23.63,24.07,23.49,23.9,3431000.0
2021-05-28,23.34,23.83,23.22,23.7,5131100.0
2021-05-27,23.23,23.37,22.9,23.26,5230800.0
2021-05-26,22.83,23.32,22.81,23.28,9871900.0
2021-05-25,22.39,22.87,22.28,22.64,7344400.0
2021-05-24,22.05,22.24,21.57,22.17,8983100.0
2021-05-21,23.27,23.28,21.84,21.95,16986600.0
2021-05-20,23.23,23.45,23.02,23.2,5202500.0
2021-05-19,23.81,24.4,23.06,23.1,7948800.0
2021-05-18,24.32,24.39,23.82,24.07,3658800.0
2021-05-17,23.71,24.49,23.64,24.4,4031000.0
2021-05-14,23.66,24.4,22.91,23.72,11097200.0
2021-05-13,22.88,23.45,22.73,23.32,4313300.0
2021-05-12,23.18,23.3,22.56,22.73,6003800.0
2021-05-11,23.39,23.72,23.15,23.31,5704500.0
2021-05-10,24.01,24.08,23.49,23.67,3805200.0
2021-05-07,23.67,24.18,23.67,24.11,3589700.0
2021-05-06,23.32,23.86,23.29,23.61,3911800.0
2021-05-05,23.44,23.88,23.08,23.31,7825100.0
2021-05-04,23.56,23.67,23.29,23.3,5599000.0
2021-05-03,23.63,24.09,23.41,23.51,4636600.0
2021-04-30,24.0,24.28,23.52,23.53,7303900.0
2021-04-29,24.49,24.76,23.94,24.08,4427400.0
2021-04-28,24.36,24.53,23.72,24.47,4552800.0
2021-04-27,24.46,24.69,24.2,24.34,2850700.0
2021-04-26,24.58,25.08,24.31,24.55,4044400.0
2021-04-23,25.25,25.7,25.14,25.49,3072800.0
2021-04-22,25.44,25.97,24.98,25.19,5393600.0
2021-04-20,25.15,25.47,25.02,25.29,4389000.0
2021-04-19,25.75,26.23,25.1,25.1,8530900.0
2021-04-16,25.28,25.91,25.24,25.62,3584800.0
2021-04-15,25.85,25.98,25.26,25.26,5439200.0
2021-04-14,25.66,26.05,25.39,25.59,5369800.0
2021-04-13,25.65,26.03,25.28,25.51,5315300.0
2021-04-12,25.71,25.99,25.02,25.63,4588600.0
2021-04-09,24.84,25.92,24.75,25.61,5467800.0
2021-04-08,24.83,25.35,24.73,25.19,3642700.0
2021-04-07,25.1,25.4,24.5,24.78,3351700.0
2021-04-06,24.89,25.65,24.76,25.1,4170800.0
2021-04-05,24.44,25.1,24.32,24.86,3962900.0
2021-04-01,24.74,24.85,24.13,24.13,3830500.0
2021-03-31,24.53,25.07,24.06,24.65,6811000.0
2021-03-30,23.05,24.64,23.0,24.53,5628900.0
2021-03-29,23.54,23.78,22.78,23.07,7826700.0
2021-03-26,24.2,24.36,23.33,23.68,4160800.0
2021-03-25,23.35,24.44,22.9,24.19,8487100.0
2021-03-24,24.81,24.85,23.41,23.48,4820000.0
2021-03-23,24.85,25.42,24.38,24.64,5223000.0
2021-03-22,24.56,25.66,24.54,25.05,7767400.0
2021-03-19,24.41,25.26,24.3,24.92,6748800.0
2021-03-18,25.09,25.13,23.98,24.3,5823400.0
2021-03-17,23.73,25.45,23.47,25.35,5673000.0
2021-03-16,24.9,25.0,23.52,23.9,4354100.0
2021-03-15,24.3,25.24,23.89,24.8,5703600.0
2021-03-12,23.72,24.38,23.41,24.38,6553500.0
2021-03-11,23.0,24.14,22.82,23.94,17662200.0
2021-03-10,22.33,22.94,21.83,22.76,11241500.0
2021-03-09,23.09,23.22,21.88,22.15,17575400.0
2021-03-08,24.49,24.49,22.65,22.98,8271900.0
2021-03-05,23.86,24.89,23.44,24.88,6745800.0
2021-03-04,23.86,24.88,23.46,23.86,10640600.0
2021-03-03,24.5,24.52,23.03,23.7,10989900.0
2021-03-02,24.18,25.0,22.82,24.71,10437100.0
2021-03-01,25.01,25.42,24.29,24.49,7905100.0
2021-02-26,25.07,25.63,24.43,24.8,7497400.0
2021-02-25,25.67,26.04,24.91,25.15,7106100.0
2021-02-24,26.1,26.14,25.3,25.71,5222200.0
2021-02-23,26.13,26.21,25.5,25.97,8197200.0
2021-02-22,27.05,27.05,25.24,25.94,15910900.0
2021-02-19,27.92,27.95,27.29,27.58,4326100.0
2021-02-18,28.2,28.65,27.62,27.88,8253900.0
2021-02-17,28.3,28.37,27.92,28.21,2512200.0
2021-02-12,27.89,28.45,27.76,28.35,2901400.0
2021-02-11,27.86,28.31,27.65,28.03,2679000.0
2021-02-10,28.1,28.29,27.26,27.65,3490100.0
2021-02-09,28.57,28.7,27.7,28.08,5231700.0
2021-02-08,27.49,28.75,27.22,28.75,6452500.0
2021-02-05,27.9,28.01,27.22,27.44,4643200.0
2021-02-04,28.14,28.48,27.55,27.86,4468000.0
2021-02-03,27.13,28.25,26.93,28.14,9120700.0
2021-02-02,26.9,27.38,26.56,27.1,5275600.0
2021-02-01,26.0,26.6,25.64,26.42,4343400.0
2021-01-29,26.29,26.78,25.43,25.63,5672000.0
2021-01-28,25.82,26.72,25.53,26.65,4191900.0
2021-01-27,25.61,26.17,25.16,25.79,5635300.0
2021-01-26,26.01,26.62,25.45,25.54,5629700.0
2021-01-22,26.51,26.91,25.65,26.0,10653000.0
2021-01-21,28.4,28.48,26.76,26.9,7027100.0
2021-01-20,28.39,28.78,27.96,28.42,2834500.0
2021-01-19,29.5,29.5,27.78,28.26,5906100.0
2021-01-18,28.73,29.06,28.24,28.55,2340400.0
2021-01-15,29.35,29.67,28.42,28.58,5315100.0
2021-01-14,28.86,30.22,28.75,29.78,5902600.0
2021-01-13,29.1,29.25,28.38,28.78,6222700.0
2021-01-12,27.91,29.08,27.37,28.96,5691500.0
2021-01-11,28.57,28.62,27.51,27.6,4725700.0
2021-01-08,27.46,28.9,27.31,28.71,5161900.0
2021-01-07,27.02,27.66,26.51,27.4,7641900.0
2021-01-06,28.17,28.17,27.09,27.12,5227600.0
2021-01-05,28.25,28.43,27.4,27.95,4541200.0
2021-01-04,29.49,29.56,28.05,28.5,4928200.0
2020-12-30,29.14,29.54,28.77,29.48,5146700.0
2020-12-29,29.04,29.3,28.63,29.17,2678000.0
2020-12-28,28.81,29.1,28.22,29.03,2100100.0
2020-12-23,28.79,29.14,28.5,28.8,2575700.0
2020-12-22,28.79,28.98,28.17,28.7,3824000.0
2020-12-21,28.18,29.16,27.79,28.71,5558500.0
2020-12-18,29.18,29.67,28.72,28.88,4546000.0
2020-12-17,29.58,29.98,29.19,29.25,3730500.0
2020-12-16,30.24,30.25,29.13,29.83,7175500.0
2020-12-15,31.5,31.89,31.07,31.71,6624400.0
2020-12-14,31.19,31.9,31.0,31.05,8648600.0
2020-12-11,30.27,31.03,30.01,30.8,7204900.0
2020-12-10,29.59,30.46,28.84,30.25,7229700.0
2020-12-09,30.14,31.08,29.17,29.47,10500600.0
2020-12-08,29.68,30.12,29.32,30.04,3029900.0
2020-12-07,29.25,29.99,29.2,29.67,3426600.0
2020-12-04,30.77,30.8,28.95,29.42,8323000.0
2020-12-03,29.76,31.08,29.36,30.52,12037300.0
2020-12-02,28.85,29.71,28.47,29.71,8016400.0
2020-12-01,27.72,29.04,27.2,28.79,15760400.0
2020-11-30,27.49,28.44,26.86,27.06,12006500.0
2020-11-27,26.5,27.72,26.49,27.33,7220200.0
2020-11-26,26.85,26.98,25.97,26.4,5289200.0
2020-11-25,26.37,27.12,26.33,26.84,4542000.0
2020-11-24,26.1,26.81,25.75,26.28,5147800.0
2020-11-23,26.64,26.78,25.88,26.09,4372000.0
2020-11-20,26.45,26.72,26.17,26.49,4489000.0
2020-11-19,25.99,26.58,25.47,26.58,6884600.0
2020-11-18,26.97,27.4,25.89,25.91,6306500.0
2020-11-17,26.24,27.45,26.02,27.04,9385500.0
2020-11-16,26.12,26.42,25.22,26.27,6345800.0
2020-11-13,25.4,25.96,25.14,25.79,9823600.0
2020-11-12,26.12,26.2,24.67,24.78,6107800.0
2020-11-11,26.27,26.34,25.6,26.12,3766600.0
2020-11-10,26.04,26.9,25.9,26.3,9495700.0
2020-11-09,26.68,27.22,25.78,25.89,8000800.0
2020-11-06,25.56,26.3,25.14,26.29,5133600.0
2020-11-05,24.8,25.98,24.76,25.91,9463600.0
2020-11-04,23.01,24.59,22.91,24.5,7567600.0
2020-11-03,23.23,23.54,22.42,22.84,5017600.0
2020-10-30,23.6,23.68,22.47,22.79,5277600.0
2020-10-29,23.14,23.82,22.49,23.76,8114300.0
2020-10-28,24.18,24.18,23.2,23.23,6039300.0
2020-10-27,25.48,25.56,24.69,24.69,4235700.0
2020-10-26,26.1,26.1,24.91,25.42,5714100.0
2020-10-23,26.52,26.54,25.92,26.14,5653100.0
2020-10-22,26.89,27.09,26.48,26.53,8914700.0
2020-10-21,27.27,27.58,26.63,26.96,12453100.0
2020-10-20,26.01,26.75,25.64,26.73,6663600.0
2020-10-19,25.86,26.32,25.4,25.82,5499400.0
2020-10-16,26.3,26.41,25.59,25.68,6054700.0
2020-10-15,25.88,26.58,25.66,26.29,3997600.0
2020-10-14,26.42,26.66,25.85,26.01,4354200.0
2020-10-13,26.13,26.5,25.92,26.42,4850200.0
2020-10-09,25.0,26.43,24.95,26.23,12594200.0
2020-10-08,24.6,25.1,24.44,25.08,5958400.0
2020-10-07,24.51,24.68,23.93,24.5,5819200.0
2020-10-06,23.93,25.0,23.86,24.3,11625700.0
2020-10-05,23.56,23.9,23.18,23.56,6742300.0
2020-10-02,24.1,24.6,23.37,23.44,9868700.0
2020-10-01,23.3,24.4,23.06,24.3,9904300.0
2020-09-30,22.68,23.55,22.26,23.24,12035200.0
2020-09-29,22.46,22.65,22.01,22.4,10007800.0
2020-09-28,23.87,23.94,22.47,22.58,10713300.0
2020-09-25,23.23,23.95,22.94,23.6,6245500.0
2020-09-24,22.81,24.05,22.61,23.42,9099900.0
2020-09-23,23.43,23.68,22.69,22.88,5190100.0
2020-09-22,22.91,23.63,22.47,23.53,8089500.0
2020-09-21,22.54,22.84,22.06,22.81,5503200.0
2020-09-18,23.69,23.71,22.68,23.02,7349700.0
2020-09-17,23.69,23.96,23.23,23.63,8918200.0
