date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,57.1,58.9,56.83,58.9,144900.0
2021-05-12,57.24,58.15,56.8,57.2,82200.0
2021-05-11,58.02,58.12,55.5,57.56,315500.0
2021-05-10,58.52,58.71,57.6,58.0,251300.0
2021-05-07,59.45,59.93,58.09,58.5,739200.0
2021-05-06,57.91,59.95,57.9,58.79,155400.0
2021-05-05,58.0,58.24,57.83,57.9,289800.0
2021-05-04,57.85,57.97,57.78,57.8,202900.0
2021-05-03,58.0,58.43,57.72,57.8,525600.0
2021-04-30,57.76,58.19,57.16,57.7,448900.0
2021-04-29,58.31,58.96,57.46,57.9,441900.0
2021-04-28,58.25,58.74,57.85,58.39,130100.0
2021-04-27,58.02,58.65,57.7,57.74,112900.0
2021-04-26,57.75,59.95,57.7,57.8,187500.0
2021-04-23,57.72,59.0,57.35,57.7,513700.0
2021-04-22,57.66,58.25,57.62,57.7,260300.0
2021-04-20,57.6,57.75,57.5,57.6,299700.0
2021-04-19,57.97,58.24,57.0,57.7,287000.0
2021-04-16,58.81,58.81,57.15,57.8,430700.0
2021-04-15,57.89,59.92,57.87,57.95,586600.0
2021-04-14,57.75,58.0,57.33,57.74,420300.0
2021-04-13,58.01,58.3,57.3,57.75,708100.0
2021-04-12,58.5,58.8,57.14,57.65,1005500.0
2021-04-09,60.66,61.0,58.0,58.0,1087200.0
2021-04-08,63.5,64.0,59.25,60.0,2554700.0
2021-04-07,78.39,95.0,70.09,71.99,670800.0
2021-04-06,149.97,149.97,144.01,144.01,900.0
2021-04-05,145.0,145.0,145.0,145.0,200.0
2021-04-01,143.47,143.47,140.12,143.45,600.0
2021-03-31,140.6,143.5,140.6,143.47,500.0
2021-03-30,147.96,149.49,144.2,148.9,900.0
2021-03-29,140.04,144.3,140.0,144.3,1300.0
2021-03-26,141.2,141.2,140.0,141.01,1000.0
2021-03-25,129.99,144.0,129.99,143.3,3800.0
2021-03-24,149.0,151.0,148.0,149.99,800.0
2021-03-23,151.0,155.0,151.0,154.0,300.0
2021-03-22,153.5,153.55,150.01,150.01,400.0
2021-03-19,160.0,160.0,153.5,153.5,900.0
2021-03-18,158.2,159.99,156.0,159.99,500.0
2021-03-17,158.2,160.0,156.3,158.2,1200.0
2021-03-16,160.0,160.0,158.08,158.08,300.0
2021-03-15,160.0,160.0,155.5,155.5,200.0
2021-03-12,155.0,155.0,155.0,155.0,100.0
2021-03-11,153.82,155.0,148.0,148.0,800.0
2021-03-10,142.02,157.0,142.02,152.0,1100.0
2021-03-09,155.0,155.0,146.0,146.0,200.0
2021-03-08,152.52,153.0,146.0,146.0,900.0
2021-03-05,162.0,162.92,160.0,160.0,300.0
2021-03-04,156.1,163.0,156.0,162.92,1200.0
2021-03-03,169.99,175.0,158.0,158.0,1700.0
2021-03-02,159.0,169.99,158.0,169.0,5500.0
2021-03-01,148.2,154.0,148.2,150.0,1100.0
2021-02-26,150.0,150.0,147.7,150.0,900.0
2021-02-25,145.0,148.0,142.51,142.51,500.0
2021-02-24,140.0,142.0,139.9,142.0,1500.0
2021-02-23,155.99,155.99,131.5,140.0,4400.0
2021-02-22,158.0,158.0,150.0,155.99,2000.0
2021-02-19,158.0,158.0,158.0,158.0,200.0
2021-02-18,157.6,167.0,157.6,158.0,300.0
2021-02-17,163.0,167.9,163.0,167.9,1900.0
2021-02-12,163.5,163.9,163.0,163.0,400.0
2021-02-11,159.0,159.0,159.0,159.0,300.0
2021-02-10,167.99,167.99,155.0,155.0,4200.0
2021-02-09,161.04,168.0,160.0,168.0,2200.0
2021-02-08,170.0,170.0,161.04,161.04,400.0
2021-02-05,170.0,170.1,170.0,170.1,600.0
2021-02-04,163.0,168.99,160.0,168.99,900.0
2021-02-03,165.01,168.0,164.8,168.0,1300.0
2021-02-02,173.0,173.0,163.0,166.99,3200.0
2021-02-01,173.0,173.0,173.0,173.0,100.0
2021-01-29,178.0,178.0,172.0,172.0,500.0
2021-01-28,178.0,199.0,168.0,182.0,8900.0
2021-01-27,164.0,180.0,164.0,175.85,5500.0
2021-01-26,155.01,185.0,135.0,150.0,10800.0
2021-01-22,150.0,150.0,122.0,128.0,3600.0
2021-01-21,175.0,175.0,138.11,150.0,7100.0
2021-01-20,199.0,199.0,160.0,175.0,10300.0
2021-01-19,150.0,242.0,150.0,199.0,17900.0
2021-01-18,130.01,150.0,122.23,149.0,4500.0
2021-01-15,121.98,130.0,121.98,130.0,3100.0
