date,1. open,2. high,3. low,4. close,5. volume
2021-09-08,20.76,20.76,20.76,20.76,0.0
2021-09-06,20.76,20.76,20.76,20.76,0.0
2021-09-03,20.76,20.76,20.76,20.76,0.0
2021-09-02,20.76,20.76,20.76,20.76,0.0
2021-09-01,20.76,20.76,20.76,20.76,0.0
2021-08-31,20.76,20.76,20.76,20.76,0.0
2021-08-30,20.76,20.76,20.76,20.76,0.0
2021-08-27,20.76,20.76,20.76,20.76,0.0
2021-08-26,20.76,20.76,20.76,20.76,0.0
2021-08-25,20.76,20.76,20.76,20.76,0.0
2021-08-24,20.76,20.76,20.76,20.76,0.0
2021-08-23,20.76,20.76,20.76,20.76,0.0
2021-08-20,20.76,20.76,20.76,20.76,0.0
2021-08-19,20.19,21.32,20.19,20.76,1357600.0
2021-08-18,21.3,21.42,20.63,20.63,2875600.0
2021-08-17,21.36,21.71,20.78,21.29,2363400.0
2021-08-16,22.46,23.02,21.42,21.7,3101700.0
2021-08-13,22.04,22.68,21.92,22.54,1751700.0
2021-08-12,22.28,22.79,22.02,22.02,2001900.0
2021-08-11,21.91,22.35,21.86,22.2,2076900.0
2021-08-10,21.86,22.32,21.81,21.92,1487500.0
2021-08-09,21.51,22.17,21.37,21.85,2201000.0
2021-08-06,21.55,21.91,21.23,21.62,1905600.0
2021-08-05,22.16,22.38,21.46,21.46,1781100.0
2021-08-04,21.53,22.25,21.46,22.08,3195700.0
2021-08-03,21.82,21.85,21.07,21.55,2630100.0
2021-08-02,22.05,22.51,21.64,21.88,3005800.0
2021-07-30,21.25,22.27,21.2,22.03,3851700.0
2021-07-29,21.7,21.72,21.06,21.4,2009500.0
2021-07-28,21.38,21.68,21.29,21.4,2697900.0
2021-07-27,21.45,21.49,21.0,21.3,2148200.0
2021-07-26,21.12,21.56,21.09,21.53,1449700.0
2021-07-23,21.3,21.34,20.97,21.14,2365100.0
2021-07-22,21.17,21.47,21.07,21.25,2007800.0
2021-07-21,21.13,21.39,20.75,21.24,2361900.0
2021-07-20,21.51,21.61,21.02,21.13,2416400.0
2021-07-19,21.69,21.71,21.09,21.46,2534300.0
2021-07-16,23.04,23.25,22.02,22.03,3461000.0
2021-07-15,22.59,23.11,22.17,22.53,2412100.0
2021-07-14,21.95,22.71,21.95,22.59,3513400.0
2021-07-13,21.81,22.27,21.67,21.87,3015800.0
2021-07-12,21.53,22.05,21.34,21.85,2707200.0
2021-07-08,21.85,22.06,21.5,21.63,2121300.0
2021-07-07,22.27,22.42,21.91,22.18,2651100.0
2021-07-06,22.51,22.51,21.94,22.06,2624400.0
2021-07-05,23.3,23.4,22.53,22.55,2048400.0
2021-07-02,22.89,23.53,22.52,23.25,2459700.0
2021-07-01,24.09,24.15,22.55,22.78,2974400.0
2021-06-30,23.18,23.85,22.83,23.8,3699200.0
2021-06-29,23.18,23.49,22.68,23.27,2267200.0
2021-06-28,23.07,23.57,22.74,23.23,2827000.0
2021-06-25,22.63,23.05,22.4,23.0,2662900.0
2021-06-24,22.09,23.3,22.03,22.74,4869700.0
2021-06-23,21.32,21.92,21.27,21.8,1628900.0
2021-06-22,21.71,21.71,21.29,21.35,1160300.0
2021-06-21,21.25,21.78,21.04,21.71,1214400.0
2021-06-18,20.8,21.35,20.67,21.35,2647100.0
2021-06-17,21.26,21.56,20.55,20.8,2945800.0
2021-06-16,21.17,21.34,21.06,21.24,2118100.0
2021-06-15,21.35,21.45,21.07,21.11,1522700.0
2021-06-14,21.24,21.53,21.15,21.37,1293700.0
2021-06-11,21.39,21.45,21.05,21.21,1319500.0
2021-06-10,22.04,22.17,21.09,21.32,4179300.0
2021-06-09,22.2,22.69,21.94,22.05,1558800.0
2021-06-08,22.05,22.36,21.84,22.24,1828000.0
2021-06-07,22.58,22.62,22.02,22.1,1841600.0
2021-06-04,22.11,23.06,22.07,22.64,3074800.0
2021-06-02,21.53,22.29,21.45,22.15,3358500.0
2021-06-01,20.72,21.58,20.7,21.53,2537300.0
2021-05-31,20.7,20.85,20.32,20.58,2575200.0
2021-05-28,20.7,20.76,20.16,20.66,2450900.0
2021-05-27,21.34,21.53,20.5,20.61,4532600.0
2021-05-26,21.33,21.55,20.97,21.31,2478600.0
2021-05-25,22.28,22.33,21.15,21.15,2448500.0
2021-05-24,22.35,22.7,21.86,22.28,2615200.0
2021-05-21,21.2,22.5,20.95,22.2,5551700.0
2021-05-20,21.07,21.46,20.81,21.17,936800.0
2021-05-19,21.57,21.72,21.21,21.21,997800.0
2021-05-18,21.64,22.04,21.22,21.87,2340900.0
2021-05-17,20.98,21.58,20.76,21.52,1250000.0
2021-05-14,20.8,21.01,20.56,20.88,1884300.0
2021-05-13,20.48,21.08,20.46,20.65,3049300.0
2021-05-12,21.21,21.4,20.41,20.57,1838600.0
2021-05-11,21.16,21.78,21.1,21.44,2199600.0
2021-05-10,21.85,21.93,21.02,21.31,4480100.0
2021-05-07,22.24,22.51,21.82,21.82,1505600.0
2021-05-06,22.07,22.15,21.64,22.02,1595100.0
2021-05-05,22.1,22.36,21.82,22.0,1512200.0
2021-05-04,22.13,22.76,21.72,21.96,2628800.0
2021-05-03,23.7,23.7,21.9,22.13,3346300.0
2021-04-30,22.39,24.45,22.2,23.7,7761400.0
2021-04-29,21.5,22.24,21.38,21.96,2344600.0
2021-04-28,21.03,21.43,20.98,21.39,999200.0
2021-04-27,21.56,21.61,20.94,20.97,1850500.0
2021-04-26,21.9,21.99,21.32,21.5,1005300.0
2021-04-23,21.85,21.9,21.48,21.71,1106900.0
2021-04-22,22.21,22.41,21.63,21.64,1533100.0
2021-04-20,21.5,22.36,21.45,22.12,2437800.0
2021-04-19,21.49,22.0,21.36,21.44,2462700.0
2021-04-16,21.11,21.63,21.02,21.43,2299200.0
2021-04-15,20.87,21.2,20.86,21.1,1217700.0
2021-04-14,20.68,21.39,20.58,20.85,1990700.0
2021-04-13,20.56,21.17,20.55,20.68,2613300.0
2021-04-12,20.73,20.92,20.46,20.54,1350300.0
2021-04-09,20.56,21.0,20.14,20.74,2432300.0
2021-04-08,19.25,20.84,19.21,20.72,4941600.0
2021-04-07,19.48,19.55,19.2,19.2,1262700.0
2021-04-06,19.34,19.64,19.34,19.46,1082100.0
2021-04-05,19.39,19.45,19.02,19.24,1258400.0
2021-04-01,18.82,19.32,18.69,19.14,2310200.0
2021-03-31,18.69,19.29,18.58,18.69,2911100.0
2021-03-30,18.68,18.88,18.58,18.67,1105800.0
2021-03-29,18.76,18.9,18.31,18.75,2098800.0
2021-03-26,19.19,19.23,18.62,18.76,1252000.0
2021-03-25,18.61,19.19,18.35,19.11,2379300.0
2021-03-24,19.46,19.57,18.58,18.58,1526900.0
2021-03-23,19.75,19.96,19.34,19.34,3021700.0
2021-03-22,19.63,20.1,19.59,19.91,2665500.0
2021-03-19,19.63,19.89,19.13,19.6,2830500.0
2021-03-18,19.85,19.97,19.55,19.64,2899600.0
2021-03-17,18.83,19.93,18.78,19.9,2496100.0
2021-03-16,18.82,19.15,18.59,18.89,2088600.0
2021-03-15,18.66,18.96,18.44,18.83,1769100.0
2021-03-12,18.21,18.76,18.01,18.66,2622000.0
2021-03-11,17.82,18.28,17.61,18.24,2288100.0
2021-03-10,17.77,18.07,17.65,17.84,3266500.0
2021-03-09,17.5,17.86,17.2,17.7,3133400.0
2021-03-08,18.43,18.47,17.26,17.33,3754400.0
2021-03-05,18.24,18.69,18.0,18.56,2474200.0
2021-03-04,18.7,19.13,18.32,18.36,4288000.0
2021-03-03,17.94,18.79,17.84,18.6,3769300.0
2021-03-02,18.26,18.27,17.62,18.06,4684400.0
2021-03-01,18.6,18.66,18.26,18.36,2830100.0
2021-02-26,18.08,18.76,17.91,18.41,4652400.0
2021-02-25,18.15,18.62,17.91,17.99,3111900.0
2021-02-24,18.43,18.87,18.1,18.27,4680400.0
