date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,11.98,12.3,11.92,12.09,4717000.0
2021-05-12,12.07,12.15,11.84,11.9,3655800.0
2021-05-11,12.1,12.24,11.98,12.21,2597700.0
2021-05-10,12.24,12.4,12.12,12.21,3845600.0
2021-05-07,11.85,12.58,11.72,12.24,8373500.0
2021-05-06,11.86,12.25,11.75,11.75,5720300.0
2021-05-05,11.84,11.93,11.58,11.85,4565300.0
2021-05-04,12.02,12.03,11.62,11.86,6362100.0
2021-05-03,12.65,13.15,11.88,12.0,20444100.0
2021-04-30,12.13,12.23,11.89,12.03,6014300.0
2021-04-29,11.66,12.4,11.58,12.18,11382400.0
2021-04-28,11.28,11.66,11.22,11.65,4917300.0
2021-04-27,11.41,11.53,11.2,11.25,4054700.0
2021-04-26,11.4,11.46,11.25,11.4,2221100.0
2021-04-23,11.37,11.52,11.23,11.3,2594100.0
2021-04-22,11.59,11.71,11.26,11.31,4203100.0
2021-04-20,11.35,11.57,11.27,11.57,2602700.0
2021-04-19,11.34,11.59,11.22,11.35,3596900.0
2021-04-16,11.25,11.35,11.2,11.34,3194500.0
2021-04-15,11.48,11.54,11.21,11.3,4609500.0
2021-04-14,11.48,11.66,11.41,11.47,2450900.0
2021-04-13,11.67,11.67,11.45,11.47,2754700.0
2021-04-12,11.75,11.79,11.5,11.7,2519200.0
2021-04-09,11.63,11.8,11.56,11.76,3034100.0
2021-04-08,11.88,11.92,11.62,11.75,2584500.0
2021-04-07,11.98,12.03,11.68,11.82,5236500.0
2021-04-06,11.77,11.96,11.73,11.95,5101900.0
2021-04-05,11.72,11.78,11.6,11.75,2939500.0
2021-04-01,11.74,11.74,11.48,11.58,3169800.0
2021-03-31,11.4,11.74,11.27,11.72,4262100.0
2021-03-30,11.13,11.56,11.11,11.46,4467700.0
2021-03-29,11.09,11.26,10.97,11.21,4085000.0
2021-03-26,11.16,11.38,10.93,11.22,4219400.0
2021-03-25,11.26,11.45,11.05,11.14,4670800.0
2021-03-24,11.41,11.84,11.3,11.3,4788200.0
2021-03-23,11.61,11.62,11.22,11.26,3111900.0
2021-03-22,11.47,11.9,11.47,11.65,4471400.0
2021-03-19,11.4,11.63,11.24,11.58,2946100.0
2021-03-18,11.47,11.64,11.27,11.4,2988500.0
2021-03-17,11.22,11.54,11.02,11.54,3012400.0
2021-03-16,11.63,11.65,11.19,11.27,2063100.0
2021-03-15,11.51,11.8,11.43,11.65,3221600.0
2021-03-12,11.43,11.61,11.31,11.59,3811200.0
2021-03-11,10.67,11.73,10.64,11.57,8138800.0
2021-03-10,10.25,10.65,10.12,10.65,7002900.0
2021-03-09,10.5,10.54,10.12,10.2,6823900.0
2021-03-08,10.94,11.0,10.37,10.44,4776000.0
2021-03-05,10.9,11.26,10.85,11.2,3779900.0
2021-03-04,10.62,11.04,10.52,11.0,4659600.0
2021-03-03,10.48,10.73,10.07,10.55,5702400.0
2021-03-02,10.62,10.71,10.11,10.55,5477900.0
2021-03-01,11.1,11.14,10.63,10.65,4277300.0
2021-02-26,11.38,11.43,10.88,11.03,4124100.0
2021-02-25,11.51,11.59,11.24,11.38,4174700.0
2021-02-24,11.7,11.86,11.5,11.5,3087300.0
2021-02-23,11.45,11.64,11.33,11.62,3289400.0
2021-02-22,11.79,11.79,11.38,11.41,5129300.0
2021-02-19,12.02,12.12,11.91,12.07,2369100.0
2021-02-18,12.32,12.32,11.92,12.03,3278400.0
2021-02-17,12.5,12.51,12.24,12.35,3502700.0
2021-02-12,12.37,12.53,12.18,12.5,2243200.0
2021-02-11,12.3,12.44,12.23,12.37,1699900.0
2021-02-10,12.47,12.54,12.13,12.22,2647000.0
2021-02-09,12.77,12.85,12.42,12.49,2654800.0
2021-02-08,12.5,12.77,12.41,12.74,3213100.0
2021-02-05,12.58,12.7,12.44,12.5,1901300.0
2021-02-04,12.76,12.91,12.47,12.54,2038800.0
2021-02-03,12.55,12.94,12.54,12.75,3436200.0
2021-02-02,12.33,12.73,12.33,12.53,4012500.0
2021-02-01,12.31,12.45,12.03,12.22,4703100.0
2021-01-29,12.7,12.7,12.07,12.13,7325300.0
2021-01-28,12.53,12.94,12.44,12.91,3620400.0
2021-01-27,12.16,12.72,12.04,12.54,4883700.0
2021-01-26,12.6,12.67,12.11,12.16,2772500.0
2021-01-22,12.51,12.55,12.25,12.52,3767900.0
2021-01-21,12.85,12.95,12.5,12.66,5206100.0
2021-01-20,13.0,13.06,12.67,12.75,2781900.0
2021-01-19,13.18,13.18,12.79,12.98,2194700.0
2021-01-18,13.16,13.38,12.94,13.04,1911100.0
2021-01-15,13.35,13.35,13.03,13.09,2922500.0
2021-01-14,12.91,13.75,12.88,13.55,7203600.0
2021-01-13,12.78,12.93,12.58,12.83,3569200.0
2021-01-12,12.87,12.9,12.65,12.83,3777900.0
2021-01-11,12.79,12.98,12.67,12.81,2543300.0
2021-01-08,12.62,13.25,12.56,12.94,5298900.0
2021-01-07,12.54,12.62,12.19,12.6,4395000.0
2021-01-06,13.0,13.04,12.42,12.48,5067600.0
2021-01-05,13.2,13.21,12.86,13.02,3678100.0
2021-01-04,13.5,13.53,13.09,13.25,2794300.0
2020-12-30,13.44,13.58,13.23,13.37,2101800.0
2020-12-29,13.27,13.46,13.21,13.46,1747800.0
2020-12-28,13.24,13.31,13.02,13.19,1839500.0
2020-12-23,12.84,13.21,12.8,13.15,3459100.0
2020-12-22,12.97,13.05,12.68,12.83,2200400.0
2020-12-21,12.67,13.05,12.31,12.94,2239100.0
2020-12-18,13.07,13.15,12.87,13.0,2774500.0
2020-12-17,13.19,13.52,13.0,13.09,4372200.0
2020-12-16,13.11,13.25,12.9,13.18,4864100.0
2020-12-15,13.22,13.29,12.86,13.1,4762600.0
2020-12-14,13.12,13.25,12.96,13.14,2819700.0
2020-12-11,13.03,13.13,12.75,13.02,3238600.0
2020-12-10,12.77,13.2,12.42,13.2,4668100.0
2020-12-09,12.9,13.0,12.52,12.68,3456800.0
2020-12-08,12.96,13.21,12.74,12.97,3039700.0
2020-12-07,13.23,13.29,12.8,12.98,2546800.0
2020-12-04,13.46,13.57,13.13,13.2,2771100.0
2020-12-03,13.11,13.68,12.95,13.43,7279900.0
2020-12-02,12.97,13.14,12.57,13.0,5628500.0
2020-12-01,12.17,13.22,12.17,12.9,9932200.0
2020-11-30,12.08,12.65,11.91,12.03,5161700.0
2020-11-27,12.07,12.34,11.93,12.06,3279000.0
2020-11-26,12.12,12.12,11.8,12.0,2236700.0
2020-11-25,11.93,12.25,11.83,12.13,3816400.0
2020-11-24,11.53,12.4,11.43,12.01,7932600.0
2020-11-23,11.64,11.66,11.37,11.5,2342300.0
2020-11-20,11.91,11.96,11.48,11.5,2982900.0
2020-11-19,11.72,12.0,11.64,11.91,2244300.0
2020-11-18,12.08,12.1,11.67,11.79,3748300.0
2020-11-17,11.71,12.01,11.57,12.01,3950800.0
2020-11-16,11.71,11.77,11.45,11.77,3895300.0
2020-11-13,11.38,11.58,11.25,11.52,2196500.0
2020-11-12,11.86,11.95,11.18,11.33,6169400.0
2020-11-11,11.8,12.1,11.55,11.91,7026900.0
2020-11-10,11.56,12.08,11.45,11.89,5549300.0
2020-11-09,12.11,12.39,11.5,11.54,4908300.0
2020-11-06,11.42,11.85,11.16,11.84,7619000.0
2020-11-05,10.79,11.58,10.72,11.5,9312600.0
2020-11-04,10.05,10.62,10.01,10.58,5993100.0
2020-11-03,10.24,10.33,9.83,9.93,6236900.0
2020-10-30,10.3,10.34,9.9,9.99,2974600.0
2020-10-29,10.27,10.4,9.97,10.34,3003500.0
2020-10-28,10.66,10.67,10.27,10.3,5517200.0
2020-10-27,11.23,11.24,10.81,10.81,3049200.0
2020-10-26,11.15,11.28,11.01,11.19,3363400.0
