date,1. open,2. high,3. low,4. close,5. volume
2021-09-08,39.23,39.24,38.0,38.27,1632900.0
2021-09-06,39.0,39.63,38.91,39.5,1093900.0
2021-09-03,39.27,39.3,38.58,39.3,2303200.0
2021-09-02,38.6,39.53,38.08,39.08,2440900.0
2021-09-01,37.74,39.14,37.65,38.68,1625200.0
2021-08-31,38.14,38.19,37.41,37.55,1754900.0
2021-08-30,38.3,38.3,37.8,37.94,1064400.0
2021-08-27,38.01,38.5,37.62,38.31,915100.0
2021-08-26,38.58,38.67,37.9,37.97,1371200.0
2021-08-25,38.9,38.91,38.41,38.64,1037700.0
2021-08-24,38.65,38.92,38.15,38.9,1339100.0
2021-08-23,38.5,38.57,38.0,38.31,1069700.0
2021-08-20,37.85,38.69,37.56,38.5,1316900.0
2021-08-19,36.8,38.26,36.62,38.0,1900800.0
2021-08-18,37.15,37.38,36.76,36.97,1666300.0
2021-08-17,37.2,37.37,36.65,37.03,1621300.0
2021-08-16,37.95,38.35,37.81,38.17,1489200.0
2021-08-13,37.26,37.99,37.17,37.96,1246900.0
2021-08-12,37.18,37.43,36.91,37.15,1302400.0
2021-08-11,37.67,37.76,37.14,37.16,1696100.0
2021-08-10,38.28,38.5,37.54,37.55,1180200.0
2021-08-09,37.67,38.32,37.67,38.08,1042500.0
2021-08-06,37.45,37.91,37.31,37.67,1614800.0
2021-08-05,37.99,38.39,37.09,37.1,1748700.0
2021-08-04,37.63,38.14,37.38,37.82,1619700.0
2021-08-03,37.83,38.12,37.19,37.8,1327900.0
2021-08-02,38.27,38.49,37.73,37.73,1645100.0
2021-07-30,38.24,38.45,37.91,37.93,1373400.0
2021-07-29,39.05,39.14,38.24,38.27,1361000.0
2021-07-28,38.88,39.0,38.33,39.0,1490800.0
2021-07-27,38.95,39.17,38.67,38.79,1096700.0
2021-07-26,39.07,39.23,38.68,38.9,1239700.0
2021-07-23,39.7,39.71,38.9,39.0,1207300.0
2021-07-22,39.26,39.78,39.26,39.68,770300.0
2021-07-21,39.48,39.53,39.12,39.29,858400.0
2021-07-20,39.46,39.63,39.04,39.48,1127500.0
2021-07-19,39.4,39.88,39.09,39.39,1340900.0
2021-07-16,39.98,40.37,39.68,39.68,1569100.0
2021-07-15,39.65,40.0,39.34,40.0,1510600.0
2021-07-14,39.89,39.9,39.38,39.69,1656900.0
2021-07-13,39.47,39.7,39.24,39.55,886600.0
2021-07-12,39.39,39.75,38.95,39.65,1217800.0
2021-07-08,39.17,39.56,38.95,39.18,882200.0
2021-07-07,39.3,39.54,39.07,39.32,1527600.0
2021-07-06,39.18,39.23,38.83,39.15,1068600.0
2021-07-05,39.35,39.37,39.03,39.18,683000.0
2021-07-02,39.4,39.46,38.95,39.43,1187100.0
2021-07-01,39.15,39.33,38.67,39.11,1551700.0
2021-06-30,39.5,39.58,38.91,39.15,1555600.0
2021-06-29,39.96,40.05,39.05,39.58,1578600.0
2021-06-28,40.47,40.47,39.75,40.05,1447300.0
2021-06-25,40.65,40.75,39.65,40.13,1418000.0
2021-06-24,40.65,40.72,40.29,40.7,1180400.0
