date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,39.08,40.4,38.51,40.03,4797600.0
2021-05-12,39.49,40.2,37.8,38.44,5341900.0
2021-05-11,37.79,40.08,37.4,39.82,3741500.0
2021-05-10,38.6,38.6,37.82,38.09,1732400.0
2021-05-07,37.51,38.84,37.2,38.84,2968300.0
2021-05-06,35.55,37.78,35.48,37.25,3010900.0
2021-05-05,35.57,35.92,35.24,35.79,1494400.0
2021-05-04,36.82,37.01,35.01,35.38,2319600.0
2021-05-03,36.98,37.32,36.46,37.08,1130600.0
2021-04-30,36.54,37.59,36.37,36.98,2184100.0
2021-04-29,36.69,37.03,36.34,36.56,971100.0
2021-04-28,36.33,37.04,35.97,36.77,2510700.0
2021-04-27,37.46,37.95,36.51,36.69,1710800.0
2021-04-26,37.19,37.67,36.79,37.44,1183400.0
2021-04-23,36.14,37.68,36.0,36.95,3184200.0
2021-04-22,36.24,36.36,35.51,35.95,1245100.0
2021-04-20,36.03,36.89,35.63,35.66,2446100.0
2021-04-19,36.29,36.36,35.4,35.73,2117200.0
2021-04-16,34.55,36.9,34.21,36.33,4015000.0
2021-04-15,34.85,35.12,34.25,34.55,1599100.0
2021-04-14,35.1,35.53,34.43,34.68,2303400.0
2021-04-13,34.89,35.17,34.31,35.01,1949400.0
2021-04-12,36.15,36.39,34.63,34.94,2833800.0
2021-04-09,36.35,36.6,35.55,35.96,3350400.0
2021-04-08,35.97,36.94,35.64,36.18,2776100.0
2021-04-07,35.41,36.73,35.23,35.97,4653200.0
2021-04-06,35.06,35.66,34.59,35.38,1823800.0
2021-04-05,34.39,35.34,34.23,34.79,2282800.0
2021-04-01,34.61,34.66,33.9,34.15,932700.0
2021-03-31,34.0,34.81,34.0,34.81,1902800.0
2021-03-30,33.9,34.2,33.73,34.01,1200500.0
2021-03-29,34.04,34.39,33.72,33.95,945600.0
2021-03-26,34.34,34.75,33.79,34.26,1319000.0
2021-03-25,33.65,34.69,33.17,34.35,3050400.0
2021-03-24,33.6,34.47,33.02,33.15,1678200.0
2021-03-23,33.15,34.08,32.89,33.89,1834900.0
2021-03-22,33.97,33.99,32.88,33.33,1527700.0
2021-03-19,34.6,35.13,33.59,34.02,2902100.0
2021-03-18,34.41,34.76,34.07,34.45,2290300.0
2021-03-17,33.95,34.57,33.31,34.4,2262400.0
2021-03-16,33.2,33.83,33.04,33.63,2487500.0
2021-03-15,32.45,33.56,32.37,33.11,3217900.0
2021-03-12,31.78,32.82,31.65,32.36,1828800.0
2021-03-11,32.16,32.37,31.51,32.0,2675900.0
2021-03-10,32.12,32.74,31.62,32.08,2680600.0
2021-03-09,32.01,32.34,31.1,31.79,2634200.0
2021-03-08,31.86,33.94,31.66,32.02,3993100.0
2021-03-05,32.74,33.38,32.34,32.63,2163600.0
2021-03-04,32.77,34.05,32.34,32.84,3226800.0
2021-03-03,32.26,33.21,31.31,32.86,4535500.0
2021-03-02,31.5,32.86,30.19,32.55,5305800.0
2021-03-01,33.19,33.19,31.88,32.02,3413900.0
2021-02-26,33.89,34.37,32.71,32.77,5697200.0
2021-02-25,34.78,35.08,33.1,33.83,7469100.0
2021-02-24,34.82,36.48,31.84,34.0,16199100.0
