date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,18.4,18.66,18.34,18.4,3898900.0
2021-05-12,18.41,18.46,18.13,18.27,3314800.0
2021-05-11,18.3,18.56,18.11,18.41,6930700.0
2021-05-10,18.53,18.55,18.25,18.35,5118100.0
2021-05-07,18.44,18.54,18.34,18.48,8148400.0
2021-05-06,18.52,18.6,18.35,18.38,3466800.0
2021-05-05,18.73,18.74,18.33,18.5,4185600.0
2021-05-04,18.87,18.91,18.63,18.65,2623500.0
2021-05-03,18.79,19.11,18.73,18.75,2661100.0
2021-04-30,19.0,19.19,18.72,18.79,5284300.0
2021-04-29,18.84,19.2,18.76,19.12,4397300.0
2021-04-28,18.66,18.86,18.54,18.76,2656500.0
2021-04-27,18.81,18.88,18.57,18.58,2678600.0
2021-04-26,19.17,19.25,18.71,18.86,2690600.0
2021-04-23,18.97,19.13,18.78,19.13,2918000.0
2021-04-22,19.15,19.21,18.88,18.91,2356700.0
2021-04-20,18.84,19.2,18.79,19.1,2271500.0
2021-04-19,18.91,19.02,18.77,18.85,2848800.0
2021-04-16,18.75,19.0,18.68,19.0,4101900.0
2021-04-15,18.68,18.81,18.55,18.75,4304900.0
2021-04-14,19.08,19.14,18.55,18.6,4859600.0
2021-04-13,18.92,19.13,18.77,19.01,2435600.0
2021-04-12,18.82,19.02,18.73,18.95,2411500.0
2021-04-09,19.63,19.8,19.56,19.61,3712400.0
2021-04-08,19.71,19.88,19.63,19.7,3610200.0
2021-04-07,19.81,19.97,19.56,19.69,2979400.0
2021-04-06,19.92,20.06,19.76,19.81,3202600.0
2021-04-05,19.86,20.04,19.84,19.88,2447300.0
2021-04-01,19.82,20.06,19.62,19.72,3263700.0
2021-03-31,19.8,19.94,19.65,19.79,2573400.0
2021-03-30,19.29,19.9,19.22,19.78,3740500.0
2021-03-29,19.4,19.52,19.18,19.32,3243400.0
2021-03-26,19.33,19.57,19.19,19.41,3052800.0
2021-03-25,18.87,19.54,18.77,19.32,4379500.0
2021-03-24,19.35,19.44,18.86,18.92,2979200.0
2021-03-23,19.45,19.65,19.27,19.3,2761600.0
2021-03-22,19.47,19.76,19.35,19.5,1582400.0
2021-03-19,19.23,19.64,19.13,19.55,3937800.0
2021-03-18,19.37,19.51,18.99,19.23,4076900.0
2021-03-17,18.98,19.43,18.83,19.4,4069100.0
2021-03-16,19.11,19.4,18.94,19.16,3908600.0
2021-03-15,19.11,19.39,19.04,19.11,3842200.0
2021-03-12,18.95,19.25,18.82,19.12,2374200.0
2021-03-11,18.95,19.3,18.91,18.95,4667800.0
2021-03-10,18.41,19.03,18.36,18.89,6183400.0
2021-03-09,18.08,18.52,18.01,18.35,4642800.0
2021-03-08,18.49,18.64,18.05,18.05,3946400.0
2021-03-05,18.49,18.67,18.29,18.54,3058600.0
2021-03-04,18.08,18.74,17.97,18.47,3541000.0
2021-03-03,17.75,18.1,17.32,17.9,3589100.0
2021-03-02,17.46,17.86,17.11,17.78,3400400.0
2021-03-01,18.24,18.31,17.53,17.59,3620100.0
2021-02-26,18.37,18.5,18.0,18.01,3022000.0
2021-02-25,18.31,18.66,18.2,18.28,4043500.0
2021-02-24,18.36,18.55,18.18,18.31,2712900.0
2021-02-23,18.17,18.52,18.08,18.26,5192600.0
2021-02-22,18.27,18.38,17.81,18.05,6804700.0
2021-02-19,18.66,18.85,18.57,18.63,2291300.0
2021-02-18,18.83,18.95,18.57,18.66,2909400.0
2021-02-17,18.92,18.98,18.61,18.76,2338800.0
2021-02-12,19.07,19.08,18.87,18.92,2143400.0
2021-02-11,19.12,19.31,19.02,19.02,2196300.0
2021-02-10,19.32,19.34,18.94,19.01,2208100.0
2021-02-09,19.4,19.57,19.23,19.36,1934000.0
2021-02-08,19.66,19.71,19.29,19.5,1783300.0
2021-02-05,19.93,19.94,19.57,19.66,2264600.0
2021-02-04,19.98,20.07,19.74,19.9,1879600.0
2021-02-03,19.85,20.19,19.78,19.91,3183600.0
2021-02-02,19.73,20.2,19.73,19.83,2573000.0
2021-02-01,19.54,19.64,19.22,19.5,2029800.0
2021-01-29,19.75,19.9,19.28,19.29,2888500.0
2021-01-28,19.29,19.96,19.28,19.86,2711300.0
2021-01-27,19.14,19.62,19.13,19.36,2289400.0
2021-01-26,19.39,19.61,19.08,19.19,3442800.0
2021-01-22,19.5,19.69,19.19,19.46,4493400.0
2021-01-21,20.04,20.13,19.6,19.68,1381400.0
2021-01-20,20.2,20.26,19.77,20.05,1788200.0
2021-01-19,20.24,20.4,20.02,20.17,1792500.0
2021-01-18,20.49,20.58,20.08,20.16,1354600.0
2021-01-15,20.38,20.64,20.18,20.42,2408900.0
2021-01-14,19.97,20.65,19.96,20.5,4522600.0
2021-01-13,19.68,19.94,19.54,19.89,3088400.0
2021-01-12,19.4,19.8,19.33,19.68,3173500.0
2021-01-11,19.24,19.54,19.13,19.31,3203100.0
2021-01-08,18.63,19.48,18.61,19.36,3803600.0
2021-01-07,19.07,19.07,18.51,18.56,3339200.0
2021-01-06,19.13,19.22,18.8,18.98,2809500.0
2021-01-05,19.25,19.32,18.9,19.1,4229500.0
2021-01-04,19.97,19.99,19.41,19.56,2749900.0
2020-12-30,19.85,19.95,19.64,19.65,4501700.0
2020-12-29,20.02,20.06,19.74,19.83,1960700.0
2020-12-28,19.69,19.89,19.55,19.83,1616500.0
2020-12-23,19.56,19.73,19.47,19.54,1265900.0
2020-12-22,19.54,19.69,19.45,19.51,1449400.0
2020-12-21,19.48,19.72,19.1,19.5,2325200.0
2020-12-18,19.92,19.97,19.67,19.72,2374500.0
2020-12-17,19.92,20.17,19.76,19.84,2678100.0
2020-12-16,19.89,20.07,19.62,19.86,3288700.0
2020-12-15,19.6,19.98,19.36,19.86,3696900.0
2020-12-14,19.75,20.0,19.48,19.51,2198300.0
2020-12-11,19.3,19.82,19.19,19.73,3305200.0
2020-12-10,19.31,19.47,19.0,19.3,2630400.0
2020-12-09,19.2,19.29,19.0,19.24,2643300.0
2020-12-08,19.17,19.34,19.07,19.15,2007000.0
2020-12-07,19.2,19.3,18.95,19.17,4145600.0
2020-12-04,19.5,19.55,19.11,19.2,2259500.0
2020-12-03,19.0,19.65,19.0,19.39,3617100.0
2020-12-02,18.82,19.21,18.78,18.91,2326400.0
2020-12-01,18.73,18.86,18.55,18.82,3447700.0
2020-11-30,18.89,19.03,18.55,18.55,3621700.0
2020-11-27,18.83,18.92,18.63,18.89,2696100.0
2020-11-26,18.5,18.86,18.36,18.82,2650700.0
2020-11-25,18.53,18.68,18.46,18.5,2248800.0
2020-11-24,18.31,18.6,18.26,18.52,3311700.0
2020-11-23,18.5,18.55,18.25,18.3,2473400.0
2020-11-20,18.77,18.87,18.44,18.44,2562300.0
2020-11-19,18.92,19.08,18.76,18.76,2908500.0
2020-11-18,19.0,19.13,18.8,18.84,2401000.0
2020-11-17,18.95,19.17,18.71,18.99,2914700.0
2020-11-16,19.11,19.3,18.92,18.97,4113400.0
2020-11-13,18.64,19.06,18.6,18.98,2541100.0
2020-11-12,18.78,19.23,18.57,18.6,5298900.0
2020-11-11,18.69,18.88,18.48,18.78,3574900.0
2020-11-10,18.8,18.93,18.55,18.71,2598700.0
2020-11-09,18.9,19.09,18.65,18.77,3610400.0
2020-11-06,18.34,18.65,18.27,18.52,2067200.0
2020-11-05,18.08,18.5,18.07,18.39,2815700.0
2020-11-04,17.44,17.89,17.36,17.85,2307500.0
2020-11-03,17.3,17.42,17.18,17.33,4646900.0
2020-10-30,17.45,17.45,16.99,17.0,4568300.0
2020-10-29,17.51,17.53,17.07,17.47,3710900.0
2020-10-28,17.95,17.96,17.39,17.5,2899400.0
2020-10-27,18.08,18.37,18.03,18.11,2569900.0
2020-10-26,18.12,18.36,17.95,18.03,3544200.0
2020-10-23,18.23,18.25,18.04,18.08,3896100.0
2020-10-22,18.18,18.37,18.01,18.24,4053900.0
2020-10-21,18.14,18.21,17.98,18.15,3758600.0
2020-10-20,18.0,18.16,17.87,18.1,3845300.0
2020-10-19,18.05,18.15,17.86,17.92,3212600.0
2020-10-16,17.98,18.17,17.9,17.93,3219500.0
2020-10-15,17.87,18.22,17.81,17.98,5441400.0
2020-10-14,17.8,18.19,17.74,18.03,3403200.0
2020-10-13,17.78,18.05,17.61,17.76,2643700.0
2020-10-09,17.8,18.02,17.68,17.74,2775100.0
2020-10-08,17.61,17.98,17.51,17.84,3195700.0
2020-10-07,17.6,17.75,17.33,17.53,2408600.0
2020-10-06,17.59,17.76,17.47,17.55,2734200.0
2020-10-05,17.68,17.68,17.26,17.5,5989500.0
2020-10-02,17.65,17.81,17.41,17.5,1806700.0
2020-10-01,17.54,17.69,17.27,17.64,3123500.0
2020-09-30,17.64,17.69,17.31,17.41,4484400.0
2020-09-29,17.7,17.72,17.36,17.54,4475900.0
2020-09-28,18.09,18.15,17.51,17.64,3057400.0
2020-09-25,17.9,18.04,17.75,18.04,3542400.0
2020-09-24,17.94,18.23,17.83,17.96,2171600.0
2020-09-23,18.22,18.36,17.82,17.87,2192600.0
2020-09-22,18.25,18.4,18.06,18.24,1875400.0
2020-09-21,18.0,18.32,17.76,18.26,3560900.0
2020-09-18,18.5,18.53,18.07,18.08,2913400.0
2020-09-17,18.49,18.64,18.4,18.55,2019000.0
2020-09-16,18.66,18.77,18.53,18.57,1787400.0
2020-09-15,18.54,18.8,18.37,18.6,2609600.0
2020-09-14,18.44,18.66,18.31,18.47,2001400.0
2020-09-11,18.72,18.77,18.07,18.3,2801200.0
2020-09-10,19.22,19.31,18.68,18.68,1757900.0
2020-09-09,18.96,19.43,18.96,19.12,2380200.0
2020-09-08,18.84,18.98,18.71,18.81,3218300.0
2020-09-04,18.8,18.99,18.49,18.9,3289600.0
2020-09-03,18.92,19.11,18.44,18.78,8191800.0
2020-09-02,19.03,19.1,18.65,18.81,3497300.0
2020-09-01,18.77,19.73,18.77,18.99,5155700.0
2020-08-31,18.1,18.92,18.1,18.69,10983100.0
2020-08-28,17.21,17.63,17.15,17.53,2546700.0
2020-08-27,17.33,17.46,17.1,17.14,2115200.0
2020-08-26,17.69,17.8,17.11,17.3,2279300.0
2020-08-25,17.73,17.74,17.45,17.69,4289000.0
2020-08-24,17.58,17.66,17.3,17.66,2971400.0
2020-08-21,17.27,17.57,17.15,17.5,1422100.0
2020-08-20,17.15,17.43,17.03,17.31,1638500.0
2020-08-19,17.52,17.6,17.3,17.39,1608700.0
2020-08-18,17.5,17.62,17.14,17.55,2062200.0
2020-08-17,17.57,17.65,16.93,17.24,2398400.0
2020-08-14,17.47,17.67,17.3,17.59,1657900.0
2020-08-13,17.74,17.84,17.38,17.43,2331200.0
2020-08-12,17.75,17.87,17.46,17.67,3534100.0
2020-08-11,17.99,18.08,17.57,17.76,2145300.0
2020-08-10,18.03,18.04,17.66,17.9,1724800.0
2020-08-07,18.11,18.25,17.84,17.98,2257400.0
2020-08-06,17.85,18.29,17.74,18.29,1874900.0
2020-08-05,18.06,18.15,17.65,17.82,2235800.0
2020-08-04,18.29,18.41,17.74,17.93,2718700.0
2020-08-03,18.64,18.68,18.24,18.34,2368700.0
2020-07-31,18.64,18.94,18.38,18.56,2686300.0
2020-07-30,18.28,18.68,18.18,18.52,2187700.0
2020-07-29,18.21,18.54,18.14,18.4,1854700.0
2020-07-28,18.48,18.5,18.1,18.13,1799000.0
2020-07-27,18.33,18.72,18.25,18.49,3366000.0
2020-07-24,17.9,18.47,17.7,18.36,3281500.0
