date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,42.7,44.44,42.7,44.27,2142500.0
2021-05-12,43.5,43.74,42.49,42.66,1806100.0
2021-05-11,43.18,44.05,43.0,43.93,1800500.0
2021-05-10,44.85,44.85,43.25,43.71,1452400.0
2021-05-07,43.92,44.58,43.49,44.52,1389100.0
2021-05-06,43.44,43.84,43.12,43.65,2216600.0
2021-05-05,43.37,43.9,43.0,43.9,1571600.0
2021-05-04,43.75,43.86,42.75,43.57,1090400.0
2021-05-03,44.08,44.69,43.18,43.68,1879700.0
2021-04-30,44.85,45.28,43.88,44.06,1823800.0
2021-04-29,44.89,45.33,44.6,45.08,1411200.0
2021-04-28,44.13,44.89,43.56,44.89,1371400.0
2021-04-27,43.35,44.9,43.35,44.14,1560800.0
2021-04-26,44.09,44.17,42.93,43.59,852600.0
2021-04-23,43.76,44.07,43.17,43.99,2224800.0
2021-04-22,44.07,44.4,43.28,43.55,1686800.0
2021-04-20,43.6,44.43,43.44,44.1,1340900.0
2021-04-19,43.42,44.26,43.0,43.84,2020800.0
2021-04-16,43.1,43.64,42.23,43.42,2391600.0
2021-04-15,42.85,43.42,42.58,43.02,1775800.0
2021-04-14,43.31,43.54,42.61,43.03,2153300.0
2021-04-13,43.44,43.77,42.43,43.55,2605200.0
2021-04-12,43.14,43.9,42.76,43.48,1107600.0
2021-04-09,43.32,43.48,42.57,42.94,707700.0
2021-04-08,43.44,43.72,42.63,43.47,1669200.0
2021-04-07,44.45,44.45,43.23,43.58,1502900.0
2021-04-06,44.45,45.03,43.96,44.59,1397000.0
2021-04-05,44.52,44.67,43.97,44.33,1104800.0
2021-04-01,44.86,45.38,43.51,44.22,1649200.0
2021-03-31,44.58,45.45,44.3,45.22,3092000.0
2021-03-30,43.82,45.0,43.55,44.55,1435900.0
2021-03-29,44.02,44.68,43.3,43.95,1171100.0
2021-03-26,43.9,44.5,43.46,44.29,1674100.0
2021-03-25,41.51,44.74,41.5,44.0,3994600.0
2021-03-24,43.91,43.95,41.52,41.86,1338700.0
2021-03-23,44.0,44.49,43.44,43.86,1207300.0
2021-03-22,44.53,45.32,43.85,44.14,1195300.0
2021-03-19,45.49,46.2,45.2,46.05,2454100.0
2021-03-18,45.25,46.07,44.94,45.33,1814400.0
2021-03-17,44.63,45.81,44.26,45.4,1663200.0
2021-03-16,44.78,45.28,43.85,44.63,1854300.0
2021-03-15,44.37,45.66,44.1,44.81,1580700.0
2021-03-12,44.41,44.7,43.75,43.82,1939300.0
2021-03-11,42.74,44.63,42.52,44.1,2207200.0
2021-03-10,41.92,43.0,41.71,42.51,3093300.0
2021-03-09,41.53,43.18,41.53,41.9,3287000.0
2021-03-08,43.09,43.63,41.4,41.57,2504400.0
2021-03-05,43.93,44.52,42.9,44.14,1957400.0
2021-03-04,43.9,45.6,43.13,44.22,1985400.0
2021-03-03,43.1,44.0,40.96,43.4,3155100.0
2021-03-02,41.71,43.43,40.78,43.1,2857200.0
2021-03-01,43.83,44.22,42.43,42.71,1949200.0
2021-02-26,44.91,45.4,43.25,43.67,2141500.0
2021-02-25,46.1,46.58,44.36,44.92,1069600.0
2021-02-24,46.89,47.15,46.01,46.13,1108400.0
2021-02-23,46.9,47.37,46.14,46.9,1628000.0
2021-02-22,47.41,47.64,46.2,46.9,2793400.0
2021-02-19,49.54,49.89,49.05,49.39,860900.0
2021-02-18,50.57,50.71,48.7,49.56,1651700.0
2021-02-17,51.0,51.37,50.23,50.56,1271100.0
2021-02-12,51.12,51.47,50.54,51.14,882100.0
2021-02-11,50.69,51.25,50.47,51.11,1153800.0
2021-02-10,51.17,51.37,49.74,50.62,1875400.0
2021-02-09,50.73,51.95,50.2,51.25,1782400.0
2021-02-08,49.98,51.24,49.5,50.78,997600.0
2021-02-05,50.77,51.11,49.87,50.11,838500.0
2021-02-04,51.98,51.98,50.44,50.76,838700.0
2021-02-03,51.15,52.21,50.79,52.0,1837700.0
2021-02-02,49.8,51.43,49.65,50.78,1706500.0
2021-02-01,50.01,50.09,48.37,49.4,1537300.0
2021-01-29,50.49,50.91,48.92,49.25,1304000.0
2021-01-28,49.61,51.16,49.46,50.69,2435800.0
2021-01-27,48.09,50.3,47.93,49.54,2666300.0
2021-01-26,47.64,49.49,47.38,47.67,1788200.0
2021-01-22,47.2,47.91,46.41,47.66,1240100.0
2021-01-21,47.64,48.13,46.44,47.84,1143300.0
2021-01-20,47.9,48.04,47.05,47.63,1034800.0
2021-01-19,48.0,48.11,47.32,47.76,1024100.0
2021-01-18,48.65,48.97,47.19,47.65,873000.0
2021-01-15,48.7,49.0,47.5,48.4,1503700.0
2021-01-14,47.99,49.54,47.48,48.9,2885200.0
2021-01-13,47.2,47.64,46.34,47.25,2073400.0
2021-01-12,47.15,47.42,46.52,47.17,4264000.0
2021-01-11,49.07,49.07,46.85,47.02,1742700.0
2021-01-08,47.54,49.43,47.3,49.43,1733200.0
2021-01-07,49.56,49.57,47.41,47.58,2159700.0
2021-01-06,51.07,51.33,48.88,49.34,1943200.0
2021-01-05,50.63,51.1,49.6,50.99,1356000.0
2021-01-04,52.51,53.48,50.6,50.6,1645200.0
2020-12-30,50.85,52.71,50.85,52.36,1522700.0
2020-12-29,51.1,51.41,50.19,51.37,1058500.0
2020-12-28,50.14,51.11,49.5,51.1,884100.0
2020-12-23,49.41,49.9,49.13,49.9,1212700.0
2020-12-22,49.05,49.5,48.6,49.5,681200.0
2020-12-21,50.0,50.24,48.58,49.04,827600.0
2020-12-18,50.8,51.56,50.47,50.6,5265000.0
2020-12-17,50.63,51.74,49.93,50.64,1650800.0
2020-12-16,50.0,50.82,49.34,50.63,2351600.0
2020-12-15,48.53,50.2,48.2,49.75,1786300.0
2020-12-14,49.14,49.14,48.39,48.66,1423500.0
2020-12-11,47.13,49.15,46.83,49.07,1485800.0
2020-12-10,47.1,47.72,45.97,47.72,1293200.0
2020-12-09,46.82,46.89,46.08,46.87,1019400.0
2020-12-08,47.04,47.52,46.14,46.8,944600.0
2020-12-07,47.14,48.39,46.78,47.3,1345800.0
2020-12-04,47.19,47.89,46.91,47.17,892600.0
2020-12-03,46.96,47.9,46.65,47.66,1060800.0
2020-12-02,46.49,47.34,46.1,46.95,1527900.0
2020-12-01,46.86,46.88,45.6,46.43,1807500.0
2020-11-30,46.04,47.02,45.53,46.54,3361700.0
2020-11-27,46.14,46.41,45.52,45.83,767600.0
2020-11-26,45.68,46.52,45.15,46.28,751800.0
2020-11-25,44.98,45.7,44.78,45.7,835800.0
2020-11-24,45.06,45.31,44.11,45.0,1187700.0
2020-11-23,46.18,46.2,44.78,44.78,1345600.0
2020-11-20,46.05,46.82,45.5,45.76,1552400.0
2020-11-19,47.11,47.31,46.59,46.8,1354500.0
2020-11-18,47.19,47.46,46.22,46.84,1117600.0
2020-11-17,46.8,47.3,45.9,47.3,1706300.0
2020-11-16,46.06,47.13,45.96,46.4,1686900.0
2020-11-13,44.77,46.36,44.77,45.5,1638500.0
2020-11-12,46.27,46.43,44.48,44.61,1267300.0
2020-11-11,46.6,46.6,45.16,46.18,1237900.0
2020-11-10,46.2,47.64,45.84,46.61,1350500.0
2020-11-09,48.0,48.45,46.01,46.29,1569500.0
2020-11-06,46.24,46.92,45.55,46.6,1240200.0
2020-11-05,44.33,46.68,44.14,46.45,2295300.0
2020-11-04,42.62,43.99,42.13,43.89,1165300.0
2020-11-03,42.19,43.09,41.55,42.1,1598400.0
2020-10-30,42.0,42.32,41.14,41.97,7352600.0
2020-10-29,41.7,42.5,41.24,42.5,1131800.0
2020-10-28,42.89,43.18,41.73,42.13,900000.0
2020-10-27,44.04,44.17,43.22,43.46,929000.0
2020-10-26,43.01,44.46,42.83,43.9,1716900.0
2020-10-23,43.05,43.51,42.86,42.99,926900.0
2020-10-22,43.47,43.62,42.52,43.62,1320900.0
2020-10-21,42.65,43.47,42.3,43.47,1168500.0
2020-10-20,42.42,43.21,42.15,42.65,1653900.0
2020-10-19,41.82,42.34,41.41,42.21,997900.0
2020-10-16,41.66,41.82,40.97,41.73,1477700.0
2020-10-15,40.29,41.68,40.17,41.68,1717500.0
2020-10-14,40.47,40.96,40.21,40.8,1087600.0
2020-10-13,40.0,40.7,39.55,40.56,860200.0
2020-10-09,40.37,40.79,39.89,39.95,1029900.0
2020-10-08,40.13,40.88,39.85,40.5,1369100.0
2020-10-07,40.66,40.75,39.42,40.15,1867800.0
2020-10-06,41.06,41.58,40.09,40.48,1310600.0
2020-10-05,40.05,41.23,39.26,40.91,1089300.0
2020-10-02,40.94,41.34,39.83,40.0,999200.0
2020-10-01,41.29,41.29,40.44,41.05,1791300.0
2020-09-30,40.36,41.8,40.36,41.12,2098000.0
2020-09-29,40.99,41.07,39.9,40.85,1443200.0
2020-09-28,42.33,42.89,40.39,41.11,1915100.0
2020-09-25,42.25,42.42,41.31,42.28,996800.0
2020-09-24,41.56,42.69,41.42,42.24,1899900.0
2020-09-23,42.75,42.94,41.32,41.54,1076300.0
2020-09-22,43.0,43.09,41.97,42.75,955200.0
2020-09-21,42.49,43.32,41.73,42.68,1240900.0
2020-09-18,44.83,45.08,42.8,43.0,7009300.0
2020-09-17,45.13,45.21,44.48,44.73,1189100.0
