date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,23.31,24.5,23.25,24.3,9209000.0
2021-05-12,23.7,23.9,23.07,23.2,7171700.0
2021-05-11,23.62,24.05,23.49,24.05,4116800.0
2021-05-10,24.6,24.77,23.75,23.83,4872800.0
2021-05-07,23.76,24.63,23.58,24.51,4551000.0
2021-05-06,23.78,23.78,23.42,23.7,3788400.0
2021-05-05,23.63,23.85,23.36,23.74,4576700.0
2021-05-04,23.71,23.75,23.2,23.54,4706100.0
2021-05-03,23.96,24.22,23.34,23.72,13127300.0
2021-04-30,25.7,26.96,24.41,25.09,18685300.0
2021-04-29,25.26,25.91,25.04,25.89,10425000.0
2021-04-28,24.95,25.61,24.85,25.46,7644500.0
2021-04-27,24.79,24.99,24.63,24.9,2887200.0
2021-04-26,25.31,25.46,24.67,25.03,4449500.0
2021-04-23,25.25,25.49,24.95,25.28,4981900.0
2021-04-22,24.85,25.6,24.85,25.04,6198700.0
2021-04-20,24.37,25.18,24.32,24.9,4375100.0
2021-04-19,24.88,25.01,24.44,24.65,4273000.0
2021-04-16,24.55,25.21,24.31,24.94,10463400.0
2021-04-15,24.18,24.72,23.96,24.55,12509300.0
2021-04-14,24.44,24.55,23.84,24.19,9764600.0
2021-04-13,24.21,24.44,24.12,24.37,5355000.0
2021-04-12,24.57,24.75,24.17,24.5,7994100.0
2021-04-09,24.42,24.73,24.29,24.5,4158400.0
2021-04-08,24.88,24.9,24.43,24.71,7599600.0
2021-04-07,25.05,25.43,24.5,24.82,6620100.0
2021-04-06,25.2,25.43,24.9,25.3,4360000.0
2021-04-05,25.05,25.34,24.85,25.2,7548000.0
2021-04-01,24.87,25.13,24.63,24.99,10347200.0
2021-03-31,23.6,24.85,23.56,24.8,26693800.0
2021-03-30,22.5,22.98,22.42,22.88,5660500.0
2021-03-29,22.78,23.0,22.4,22.63,8320400.0
2021-03-26,22.34,23.08,22.31,22.83,12874300.0
2021-03-25,21.14,22.72,20.74,22.48,19880700.0
2021-03-24,21.75,21.83,20.85,21.02,8407800.0
2021-03-23,21.64,22.02,21.56,21.57,3691400.0
2021-03-22,22.1,22.3,21.68,21.81,4341200.0
2021-03-19,21.81,22.42,21.79,22.26,8604500.0
2021-03-18,21.66,21.97,21.51,21.73,5239500.0
2021-03-17,21.2,22.01,21.1,21.94,8631000.0
2021-03-16,21.39,21.65,21.07,21.24,3971800.0
2021-03-15,21.15,21.68,21.14,21.4,5705100.0
2021-03-12,20.96,21.31,20.95,21.19,4199700.0
2021-03-11,21.09,21.4,20.95,21.13,4528100.0
2021-03-10,20.7,21.14,20.51,20.95,9180000.0
2021-03-09,20.49,21.05,20.44,20.59,12695200.0
2021-03-08,20.55,21.29,20.51,20.58,12707000.0
2021-03-05,20.92,21.28,20.73,21.14,8756000.0
2021-03-04,20.44,21.45,20.34,20.93,11819300.0
2021-03-03,20.04,20.5,19.43,20.24,14398800.0
2021-03-02,19.6,20.3,19.08,20.11,12652500.0
2021-03-01,20.37,20.59,19.84,19.87,7314700.0
