date,1. open,2. high,3. low,4. close,5. volume
2019-07-22,33.04,33.7,32.65,33.52,4763400.0
2019-07-19,33.63,33.72,32.71,33.02,3376900.0
2019-07-18,31.94,33.81,31.6,33.64,5534400.0
2019-07-17,31.55,32.21,31.27,31.9,2429400.0
2019-07-16,32.29,32.5,30.98,31.22,3839600.0
2019-07-15,31.52,32.27,30.71,32.0,2579800.0
2019-07-12,31.99,32.5,31.2,31.53,4186800.0
2019-07-11,31.92,32.54,31.6,31.91,2794300.0
2019-07-10,31.76,32.9,31.76,32.17,5973900.0
2019-07-08,30.33,31.99,30.05,31.68,4215300.0
2019-07-05,29.8,30.72,29.63,30.24,2253500.0
2019-07-04,29.25,30.12,29.21,29.93,1345000.0
2019-07-03,28.86,29.34,28.72,29.01,2537500.0
2019-07-02,28.5,29.28,27.93,28.86,3457400.0
2019-07-01,29.28,29.35,28.35,28.35,1751200.0
2019-06-28,29.05,29.39,28.63,29.0,3343100.0
2019-06-27,28.08,29.01,27.9,29.01,1592200.0
2019-06-26,28.74,28.87,28.0,28.27,1938800.0
2019-06-25,29.54,29.54,28.2,28.49,2272900.0
2019-06-24,29.78,30.59,29.61,29.65,1861900.0
2019-06-21,29.32,30.18,28.81,29.85,3563900.0
2019-06-19,28.87,29.3,28.3,29.18,1513800.0
2019-06-18,28.93,29.28,28.57,28.62,1632300.0
2019-06-17,29.38,29.86,28.63,28.81,1835800.0
2019-06-14,30.1,30.17,29.18,29.38,1864000.0
2019-06-13,29.58,30.61,29.55,30.0,4145100.0
2019-06-12,29.42,29.69,29.1,29.1,3104500.0
2019-06-11,30.0,30.22,29.24,29.5,1797300.0
2019-06-10,29.51,30.59,29.28,29.85,2512400.0
2019-06-07,28.05,29.75,28.03,29.45,4920900.0
2019-06-06,28.63,28.66,27.41,27.41,2159300.0
2019-06-05,28.81,28.94,28.2,28.29,1641900.0
2019-06-04,29.2,29.5,28.41,28.61,2046500.0
2019-06-03,29.4,29.84,28.75,28.92,2003900.0
2019-05-31,28.6,29.68,28.59,29.45,4695000.0
2019-05-30,29.01,29.28,28.82,28.93,2972700.0
2019-05-29,28.85,29.59,28.71,28.82,1940000.0
2019-05-28,29.38,29.62,28.64,28.84,3919600.0
2019-05-27,28.3,29.42,28.21,29.35,1725300.0
2019-05-24,28.32,28.43,27.78,28.2,1881600.0
2019-05-23,28.68,28.73,27.92,28.1,3598000.0
2019-05-22,28.2,28.87,28.2,28.7,3025300.0
2019-05-21,27.55,28.2,27.47,28.1,2651000.0
2019-05-20,26.56,27.7,26.27,27.53,1773000.0
2019-05-17,26.57,26.99,26.16,26.4,2398100.0
2019-05-16,27.01,27.27,26.6,26.7,2599800.0
2019-05-15,27.5,27.91,26.87,27.38,2986600.0
2019-05-14,28.7,28.7,28.0,28.15,2870200.0
2019-05-13,27.7,28.9,27.55,28.3,2686400.0
2019-05-10,27.9,28.87,27.7,28.5,4223600.0
2019-05-09,27.0,27.91,26.7,27.91,1617900.0
2019-05-08,26.91,28.2,26.65,27.31,3747700.0
2019-05-07,26.02,26.92,25.8,26.65,3075700.0
2019-05-06,26.05,26.39,26.01,26.1,1403500.0
2019-05-03,27.05,27.16,26.41,26.44,1552900.0
2019-05-02,27.26,27.39,26.88,27.05,1204000.0
2019-04-30,27.39,27.73,26.91,27.18,1303400.0
2019-04-29,27.9,28.0,27.04,27.15,1868900.0
2019-04-26,28.3,28.49,27.86,27.95,908100.0
2019-04-25,27.6,28.35,27.44,28.11,1668400.0
2019-04-24,26.96,27.87,26.9,27.85,2249400.0
2019-04-23,27.72,28.09,26.76,26.9,1679500.0
2019-04-22,27.78,27.87,27.14,27.34,1458300.0
2019-04-18,27.18,27.95,27.01,27.95,1464300.0
2019-04-17,27.05,27.74,26.95,27.09,2337600.0
2019-04-16,27.11,27.42,26.79,27.0,1750100.0
2019-04-15,26.87,27.34,26.64,27.16,1910500.0
2019-04-12,26.61,27.5,26.27,26.61,5018900.0
2019-04-11,26.9,27.45,26.61,26.95,2377300.0
2019-04-10,28.03,28.14,26.82,26.98,2478500.0
2019-04-09,28.34,28.35,27.65,27.88,1782400.0
