date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,30.7,31.44,30.53,30.92,1549700.0
2021-05-12,31.74,31.77,30.47,30.5,2440600.0
2021-05-11,32.01,32.2,31.49,31.92,1229100.0
2021-05-10,33.24,33.24,31.99,32.33,1783700.0
2021-05-07,32.46,33.34,32.37,32.78,1737700.0
2021-05-06,32.34,32.67,32.09,32.22,908200.0
2021-05-05,32.29,32.86,32.12,32.33,1252300.0
2021-05-04,32.34,32.48,31.82,32.15,1470900.0
2021-05-03,32.45,33.03,32.11,32.38,1762400.0
2021-04-30,32.56,32.87,32.07,32.31,2268100.0
2021-04-29,33.06,33.62,32.53,32.8,2072800.0
2021-04-28,33.4,33.42,32.42,33.04,1446300.0
2021-04-27,33.31,33.45,32.74,33.18,1865100.0
2021-04-26,34.2,34.46,33.15,33.51,2541500.0
2021-04-23,33.05,34.35,32.87,34.23,2080000.0
2021-04-22,33.55,34.18,33.01,33.2,1585200.0
2021-04-20,33.79,33.85,33.08,33.39,1824300.0
2021-04-19,34.16,34.65,33.4,33.98,2701800.0
2021-04-16,33.47,34.08,33.41,34.08,1423400.0
2021-04-15,33.0,33.63,32.8,33.63,2344100.0
2021-04-14,33.06,33.74,32.5,32.81,2188500.0
2021-04-13,32.95,33.4,32.6,32.97,2259000.0
2021-04-12,33.49,33.66,32.46,33.0,1993000.0
2021-04-09,32.49,33.65,32.19,33.49,2440800.0
2021-04-08,33.06,33.2,32.4,32.66,1854100.0
2021-04-07,33.56,33.69,32.7,32.98,1833000.0
2021-04-06,33.27,33.99,32.83,33.56,3431700.0
2021-04-05,31.83,33.52,31.8,33.31,3232200.0
2021-04-01,32.22,32.36,31.57,31.6,2238200.0
2021-03-31,32.13,32.72,31.52,32.05,3180300.0
2021-03-30,30.35,32.43,30.27,32.21,4260300.0
2021-03-29,30.99,31.07,29.97,30.25,3061100.0
2021-03-26,31.82,31.83,30.59,31.2,1655000.0
2021-03-25,30.7,31.99,30.19,31.86,1828400.0
2021-03-24,32.04,32.04,30.72,30.78,1143900.0
2021-03-23,32.31,32.5,31.35,31.92,1570600.0
2021-03-22,32.05,32.87,31.87,32.35,1866900.0
2021-03-19,30.87,32.35,30.66,32.17,3108800.0
2021-03-18,32.07,32.09,30.42,30.81,2721400.0
2021-03-17,30.38,32.2,29.92,31.91,2490100.0
2021-03-16,31.83,31.96,29.99,30.36,1999900.0
2021-03-15,31.5,32.12,30.94,31.89,1752100.0
2021-03-12,30.57,31.87,29.81,31.66,3729800.0
2021-03-11,30.07,31.54,29.86,30.73,4997800.0
2021-03-10,29.21,29.89,28.8,29.79,3519200.0
2021-03-09,30.17,30.4,28.8,28.87,4145500.0
2021-03-08,32.7,32.7,29.89,30.05,3667500.0
2021-03-05,31.07,33.01,30.84,32.92,3073200.0
2021-03-04,30.85,32.03,30.7,31.13,2635500.0
2021-03-03,30.88,31.2,29.36,30.78,3434200.0
2021-03-02,30.82,31.44,29.9,30.96,3429700.0
2021-03-01,31.74,31.97,30.92,30.95,2187000.0
2021-02-26,32.12,32.67,31.33,31.5,3297400.0
2021-02-25,33.1,33.76,31.85,31.87,3710700.0
2021-02-24,33.25,33.4,32.39,33.05,2193700.0
2021-02-23,33.86,33.86,32.9,33.0,3620600.0
2021-02-22,34.26,34.26,32.55,33.46,6530000.0
2021-02-19,34.84,35.13,34.56,34.94,1983700.0
2021-02-18,35.09,35.28,34.6,34.85,2432600.0
2021-02-17,35.79,35.8,34.61,35.1,2844700.0
2021-02-12,35.71,35.88,35.29,35.7,1484100.0
2021-02-11,35.7,36.23,35.4,35.71,2702400.0
2021-02-10,36.84,37.05,35.36,35.4,3348700.0
2021-02-09,37.82,37.9,36.6,36.84,3257100.0
2021-02-08,38.28,39.07,37.47,38.12,3328800.0
2021-02-05,38.72,38.86,37.91,38.2,1989200.0
2021-02-04,39.21,39.56,38.13,38.65,2073500.0
2021-02-03,38.93,39.31,38.5,39.18,2342300.0
2021-02-02,38.34,39.33,38.33,38.69,2610700.0
2021-02-01,37.31,38.23,36.62,37.93,1994500.0
2021-01-29,37.5,38.15,36.44,36.68,1750200.0
2021-01-28,36.8,38.17,36.54,37.94,1923500.0
2021-01-27,35.52,37.26,35.18,36.83,4795700.0
2021-01-26,36.5,37.15,35.32,35.4,3230000.0
2021-01-22,36.4,36.92,35.71,36.14,2889600.0
2021-01-21,39.0,39.17,36.71,36.8,5467700.0
2021-01-20,39.73,40.13,38.92,39.0,1385900.0
2021-01-19,39.46,39.94,39.03,39.6,2256500.0
2021-01-18,39.86,40.3,39.02,39.24,2331900.0
2021-01-15,40.48,40.48,38.95,39.39,2043500.0
2021-01-14,39.64,41.51,39.48,40.81,2833200.0
2021-01-13,39.89,40.04,38.81,39.24,1945500.0
2021-01-12,38.91,40.0,38.41,40.0,2758600.0
2021-01-11,40.16,40.37,38.4,38.59,2516800.0
2021-01-08,38.7,40.62,38.34,40.44,2779300.0
2021-01-07,39.05,39.36,38.26,38.32,3234300.0
2021-01-06,40.8,41.0,38.81,38.82,3617900.0
2021-01-05,41.7,41.79,40.08,40.7,2940600.0
2021-01-04,43.08,43.22,41.15,41.7,1483200.0
2020-12-30,43.26,43.73,42.41,42.9,1461800.0
2020-12-29,42.9,43.35,42.32,43.27,1721400.0
2020-12-28,42.73,42.89,42.0,42.8,997300.0
2020-12-23,43.35,43.56,42.36,42.49,1097500.0
2020-12-22,43.35,43.43,42.53,43.1,1337300.0
2020-12-21,42.68,44.04,42.21,43.15,1208400.0
2020-12-18,44.87,45.41,43.5,43.98,2006700.0
2020-12-17,45.6,45.85,44.59,44.88,1474900.0
2020-12-16,45.33,45.58,44.22,45.58,1698700.0
2020-12-15,45.41,45.84,44.69,45.1,1963600.0
2020-12-14,44.29,46.0,44.16,45.26,2821300.0
2020-12-11,43.13,44.17,42.33,44.05,1515300.0
2020-12-10,43.21,43.61,41.56,43.3,2938000.0
2020-12-09,42.62,44.55,42.4,42.9,4104800.0
2020-12-08,42.44,43.13,41.89,42.55,972900.0
2020-12-07,42.65,43.34,41.82,42.51,1406700.0
2020-12-04,43.88,43.89,42.53,43.02,2339600.0
2020-12-03,42.0,44.08,41.78,43.5,3185900.0
2020-12-02,41.65,42.64,41.33,41.89,2684900.0
2020-12-01,41.6,42.35,41.1,42.07,2371500.0
2020-11-30,42.63,43.5,40.95,40.95,3874000.0
2020-11-27,40.5,42.86,40.17,42.76,3931400.0
2020-11-26,39.9,40.55,39.12,40.34,1207500.0
2020-11-25,38.81,40.37,38.81,39.89,1821400.0
2020-11-24,38.89,39.52,38.24,38.8,1686400.0
2020-11-23,39.3,39.52,38.15,38.84,1222100.0
2020-11-20,39.56,39.91,38.99,39.06,1258000.0
2020-11-19,39.4,39.93,38.75,39.56,1831500.0
2020-11-18,40.48,41.12,39.2,39.44,1701600.0
2020-11-17,39.97,40.83,39.53,40.62,1958500.0
2020-11-16,40.09,40.58,38.72,40.32,1890000.0
2020-11-13,37.85,39.65,37.35,39.65,3315900.0
2020-11-12,38.79,39.16,37.35,37.65,1886500.0
2020-11-11,39.22,39.42,38.46,38.84,1297700.0
2020-11-10,38.89,40.5,38.86,39.18,2446700.0
2020-11-09,39.1,40.15,38.45,38.99,2545400.0
2020-11-06,37.68,38.71,36.86,38.19,1417200.0
2020-11-05,37.42,38.14,37.07,37.93,1597000.0
2020-11-04,35.04,37.18,34.95,36.85,2167300.0
2020-11-03,35.82,36.12,34.21,34.79,2585400.0
2020-10-30,36.37,36.48,34.74,35.1,2038200.0
2020-10-29,37.04,37.04,35.32,36.39,5900600.0
