date,1. open,2. high,3. low,4. close,5. volume
2019-01-03,66.96,68.04,65.0,66.3,42525300.0
2019-01-02,67.6,68.23,66.93,67.7,3044900.0
2018-12-28,66.87,67.6,66.68,67.6,4641500.0
2018-12-27,67.64,67.64,66.78,67.02,1560700.0
2018-12-26,67.44,68.22,67.22,67.62,747100.0
2018-12-21,66.5,67.82,66.5,67.82,3279600.0
2018-12-20,67.0,67.12,66.29,66.98,1304300.0
2018-12-19,67.83,67.83,66.82,67.0,1447400.0
2018-12-18,66.9,67.1,66.4,67.1,2100000.0
2018-12-17,66.16,67.0,66.16,66.52,2223700.0
2018-12-14,66.5,67.32,66.42,66.76,3704700.0
2018-12-13,66.3,66.9,66.2,66.84,907300.0
2018-12-12,66.31,66.56,65.98,66.25,1166900.0
2018-12-11,66.95,67.11,65.89,66.09,1670600.0
2018-12-10,66.61,67.45,66.35,66.68,2295700.0
2018-12-07,67.2,67.25,66.54,66.99,1808200.0
2018-12-06,67.3,67.77,66.9,67.59,1331400.0
2018-12-05,67.55,68.05,67.33,67.8,536600.0
2018-12-04,68.89,68.94,67.28,67.55,1817300.0
2018-12-03,74.01,74.1,72.73,73.77,3499700.0
2018-11-30,72.16,73.82,72.16,73.22,3365600.0
2018-11-29,70.83,72.42,70.83,72.28,1266400.0
2018-11-28,70.63,71.35,70.6,71.09,2220200.0
2018-11-27,71.5,71.51,70.86,71.03,1092900.0
2018-11-26,71.66,71.68,70.79,71.67,1399800.0
2018-11-23,71.34,71.43,70.63,71.3,685200.0
2018-11-22,70.87,71.37,70.53,71.37,31904305.0
2018-11-21,71.03,71.56,70.38,70.71,65277288.0
2018-11-19,71.87,72.11,70.85,71.04,133944337.0
2018-11-16,72.34,72.43,71.36,71.84,54251351.0
2018-11-14,70.3,72.2,70.3,72.2,115502765.0
2018-11-13,69.6,70.84,69.5,70.79,96989913.0
2018-11-12,70.1,70.29,69.41,69.51,62566016.0
2018-11-09,70.35,70.75,69.33,69.7,169477185.0
2018-11-08,71.1,71.25,70.28,70.59,118455188.0
2018-11-07,71.02,71.3,70.69,70.98,92537008.0
2018-11-06,70.69,71.82,70.62,71.03,172194659.0
2018-11-05,71.04,71.86,70.53,71.31,134038237.0
2018-11-01,71.87,72.16,71.01,71.24,110387971.0
2018-10-31,70.34,72.04,69.94,71.85,142120257.0
2018-10-30,71.78,71.78,70.2,70.67,143246840.0
