date,1. open,2. high,3. low,4. close,5. volume
2021-09-08,24.06,24.13,23.49,23.55,1987300.0
2021-09-06,23.75,24.15,23.48,24.15,1570900.0
2021-09-03,23.43,24.08,23.29,23.81,2764900.0
2021-09-02,23.88,23.95,23.32,23.37,1307700.0
2021-09-01,23.7,24.14,23.52,23.91,1664600.0
2021-08-31,23.79,24.31,23.51,23.66,2308200.0
2021-08-30,24.07,24.15,23.73,23.76,1294300.0
2021-08-27,24.13,24.13,23.81,23.9,1301400.0
2021-08-26,24.2,24.41,24.02,24.02,1323400.0
2021-08-25,24.1,24.4,24.01,24.2,1291500.0
2021-08-24,24.42,24.83,24.15,24.3,2967300.0
2021-08-23,24.26,24.41,23.73,24.18,2954900.0
2021-08-20,23.41,24.3,23.15,24.2,1784100.0
2021-08-19,22.57,23.84,22.46,23.64,2184000.0
2021-08-18,22.92,23.14,22.42,22.73,1897000.0
2021-08-17,23.03,23.22,22.51,22.95,2022500.0
2021-08-16,23.29,23.55,22.94,23.17,2286800.0
2021-08-13,23.73,23.8,23.06,23.43,2300600.0
2021-08-12,22.66,23.9,22.45,23.61,6647200.0
2021-08-11,23.29,23.29,22.47,22.7,3424200.0
2021-08-10,23.35,23.62,23.25,23.4,1600200.0
2021-08-09,22.9,23.41,22.83,23.22,2579000.0
2021-08-06,23.11,23.31,22.87,22.9,1722900.0
2021-08-05,23.4,23.74,23.04,23.12,2828500.0
2021-08-04,23.5,23.63,23.16,23.19,2268600.0
2021-08-03,23.9,23.96,23.35,23.74,1962500.0
2021-08-02,23.66,24.37,23.62,23.9,1986300.0
2021-07-30,24.09,24.09,23.23,23.36,2388500.0
2021-07-29,24.29,24.29,23.81,24.06,1502700.0
2021-07-28,24.01,24.35,23.79,24.33,1196400.0
2021-07-27,24.04,24.2,23.64,23.91,1183200.0
2021-07-26,24.59,24.73,24.01,24.13,1384900.0
2021-07-23,24.52,24.73,24.38,24.49,721700.0
2021-07-22,24.4,24.7,24.33,24.47,1460900.0
2021-07-21,25.04,25.04,24.14,24.33,2190900.0
2021-07-20,24.9,25.24,24.81,25.05,1045800.0
2021-07-19,24.92,25.08,24.61,24.91,1217200.0
