date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,4.36,4.44,4.25,4.29,4120800.0
2021-05-12,4.42,4.47,4.33,4.33,3286300.0
2021-05-11,4.47,4.48,4.4,4.44,2209200.0
2021-05-10,4.51,4.55,4.44,4.48,3369900.0
2021-05-07,4.37,4.51,4.36,4.51,4084300.0
2021-05-06,4.47,4.49,4.34,4.36,3410800.0
2021-05-05,4.42,4.53,4.41,4.48,3488600.0
2021-05-04,4.49,4.5,4.38,4.4,3735000.0
2021-05-03,4.56,4.6,4.45,4.48,4764000.0
2021-04-30,4.68,4.72,4.56,4.56,3534900.0
2021-04-29,4.63,4.77,4.6,4.7,5008000.0
2021-04-28,4.7,4.71,4.56,4.6,3203600.0
2021-04-27,4.77,4.81,4.64,4.65,3298400.0
2021-04-26,4.7,4.85,4.69,4.77,3718000.0
2021-04-23,4.69,4.76,4.61,4.7,3726100.0
2021-04-22,4.81,4.87,4.63,4.66,5899200.0
2021-04-20,4.83,4.84,4.67,4.74,3924100.0
2021-04-19,4.79,4.9,4.74,4.83,5684900.0
2021-04-16,4.64,4.74,4.6,4.74,3053400.0
2021-04-15,4.52,4.74,4.52,4.66,7123000.0
2021-04-14,4.54,4.66,4.48,4.49,6419300.0
2021-04-13,4.49,4.6,4.46,4.54,4152700.0
2021-04-12,4.49,4.55,4.45,4.48,3786100.0
2021-04-09,4.48,4.57,4.45,4.49,6101700.0
2021-04-08,4.55,4.56,4.45,4.48,4601600.0
2021-04-07,4.62,4.67,4.5,4.5,6714700.0
2021-04-06,4.63,4.7,4.57,4.63,4199200.0
2021-04-05,4.61,4.68,4.57,4.62,4966000.0
2021-04-01,4.62,4.72,4.59,4.59,4377100.0
2021-03-31,4.78,4.81,4.58,4.6,5939200.0
2021-03-30,4.66,4.86,4.66,4.77,7016400.0
2021-03-29,4.6,4.72,4.57,4.68,4326100.0
2021-03-26,4.81,4.85,4.59,4.66,3939900.0
2021-03-25,4.71,4.81,4.63,4.8,5784000.0
2021-03-24,4.92,4.99,4.69,4.71,4811700.0
2021-03-23,5.01,5.17,4.89,4.9,6948300.0
2021-03-22,5.12,5.17,5.0,5.04,3724600.0
2021-03-19,4.98,5.2,4.94,5.12,6065900.0
2021-03-18,5.21,5.24,4.95,4.97,9038300.0
2021-03-17,4.87,5.29,4.81,5.24,11551900.0
2021-03-16,5.08,5.1,4.77,4.87,9410800.0
2021-03-15,4.95,5.14,4.94,5.04,5120600.0
2021-03-12,4.81,4.98,4.8,4.98,6331800.0
2021-03-11,4.57,4.91,4.57,4.87,8476200.0
2021-03-10,4.46,4.57,4.35,4.55,10553000.0
2021-03-09,4.52,4.61,4.37,4.41,6704100.0
2021-03-08,4.77,4.9,4.48,4.5,8946400.0
2021-03-05,4.6,4.86,4.55,4.84,8940000.0
2021-03-04,4.46,4.7,4.45,4.63,8809500.0
2021-03-03,4.6,4.66,4.24,4.44,16681600.0
2021-03-02,4.66,4.71,4.43,4.65,10417700.0
2021-03-01,4.8,4.85,4.61,4.69,11694700.0
2021-02-26,4.86,4.96,4.59,4.6,12545600.0
2021-02-25,5.23,5.34,4.8,4.8,14864100.0
2021-02-24,5.17,5.34,5.09,5.22,7791200.0
2021-02-23,5.24,5.31,5.09,5.12,7448400.0
2021-02-22,5.53,5.57,5.15,5.15,20754400.0
2021-02-19,5.72,5.85,5.61,5.73,7910200.0
2021-02-18,5.85,6.13,5.67,5.71,16104500.0
2021-02-17,5.8,5.86,5.64,5.86,11114100.0
2021-02-12,5.58,5.79,5.51,5.71,8883500.0
2021-02-11,5.75,5.83,5.56,5.62,9344200.0
2021-02-10,5.86,5.95,5.58,5.69,12387400.0
2021-02-09,5.84,6.02,5.66,5.86,13764500.0
2021-02-08,5.3,5.97,5.25,5.91,24544500.0
2021-02-05,5.42,5.47,5.07,5.32,32786600.0
2021-02-04,5.47,5.51,5.22,5.39,22482600.0
2021-02-03,4.81,5.62,4.79,5.42,47919200.0
2021-02-02,4.95,5.01,4.76,4.82,16653100.0
2021-02-01,4.65,5.01,4.53,4.89,28307800.0
2021-01-29,4.5,4.67,4.45,4.53,9371900.0
2021-01-28,4.28,4.58,4.25,4.52,18340500.0
2021-01-27,4.33,4.41,4.18,4.26,11097200.0
2021-01-26,4.37,4.7,4.28,4.34,19946300.0
2021-01-22,4.17,4.5,4.13,4.35,15614900.0
2021-01-21,4.31,4.36,4.14,4.19,5637400.0
2021-01-20,4.15,4.34,4.09,4.29,7513800.0
2021-01-19,4.17,4.18,4.05,4.11,4039400.0
2021-01-18,4.21,4.32,4.13,4.13,7214900.0
2021-01-15,4.19,4.21,4.08,4.18,5462100.0
2021-01-14,4.25,4.32,4.17,4.21,11893200.0
2021-01-13,4.15,4.42,4.09,4.25,17276000.0
2021-01-12,4.09,4.17,4.06,4.11,5888000.0
2021-01-11,4.17,4.18,4.04,4.07,3650000.0
2021-01-08,4.03,4.23,4.03,4.18,4756100.0
2021-01-07,4.21,4.23,4.02,4.03,5344400.0
2021-01-06,4.22,4.25,4.18,4.19,4022400.0
2021-01-05,4.26,4.28,4.15,4.23,3820800.0
2021-01-04,4.4,4.43,4.22,4.27,5176700.0
2020-12-30,4.4,4.44,4.35,4.35,4230300.0
2020-12-29,4.42,4.47,4.37,4.41,3188000.0
2020-12-28,4.46,4.48,4.34,4.41,3563800.0
2020-12-23,4.48,4.54,4.4,4.42,3736700.0
2020-12-22,4.62,4.67,4.4,4.46,6054700.0
2020-12-21,4.66,4.71,4.48,4.6,5391800.0
2020-12-18,4.73,4.88,4.7,4.77,8532700.0
2020-12-17,4.72,4.81,4.67,4.71,3479700.0
2020-12-16,4.73,4.76,4.58,4.71,3187800.0
2020-12-15,4.82,4.85,4.73,4.73,3845900.0
2020-12-14,4.82,4.95,4.76,4.78,4838300.0
2020-12-11,4.73,4.81,4.62,4.81,4086000.0
2020-12-10,4.83,4.89,4.7,4.77,6853800.0
2020-12-09,4.65,4.93,4.63,4.81,10551000.0
2020-12-08,4.49,4.65,4.43,4.62,3968000.0
2020-12-07,4.48,4.66,4.41,4.51,4440400.0
2020-12-04,4.61,4.67,4.44,4.48,3316500.0
2020-12-03,4.38,4.62,4.34,4.54,7907100.0
2020-12-02,4.33,4.43,4.31,4.36,2867100.0
2020-12-01,4.31,4.36,4.26,4.31,5355000.0
2020-11-30,4.43,4.51,4.21,4.25,5183500.0
2020-11-27,4.54,4.65,4.38,4.43,5286100.0
2020-11-26,4.6,4.65,4.44,4.52,8068900.0
2020-11-25,4.25,4.67,4.19,4.65,19683800.0
2020-11-24,4.25,4.3,4.2,4.26,4547400.0
2020-11-23,4.32,4.32,4.22,4.23,2926500.0
2020-11-20,4.28,4.31,4.23,4.28,2076500.0
2020-11-19,4.28,4.4,4.23,4.28,4281200.0
2020-11-18,4.25,4.44,4.24,4.3,6997000.0
2020-11-17,4.27,4.44,4.19,4.21,8262800.0
2020-11-16,4.23,4.41,4.18,4.35,6254800.0
2020-11-13,4.01,4.19,4.01,4.18,3518300.0
2020-11-12,4.12,4.16,3.96,3.98,5098400.0
2020-11-11,4.08,4.2,4.03,4.13,3445900.0
2020-11-10,4.19,4.23,4.08,4.08,4894800.0
2020-11-09,4.25,4.32,4.13,4.16,4230800.0
2020-11-06,3.98,4.19,3.95,4.1,5895000.0
2020-11-05,4.01,4.09,3.93,4.02,3944000.0
2020-11-04,3.87,4.01,3.83,3.95,4101600.0
2020-11-03,3.92,4.07,3.81,3.81,4897500.0
2020-10-30,3.94,3.97,3.81,3.81,4408600.0
2020-10-29,3.86,4.03,3.7,3.96,7711500.0
2020-10-28,4.26,4.26,3.85,3.86,12063800.0
2020-10-27,4.33,4.45,4.21,4.33,5225200.0
2020-10-26,4.39,4.41,4.23,4.33,3004600.0
2020-10-23,4.41,4.45,4.36,4.42,2150100.0
2020-10-22,4.47,4.5,4.36,4.39,3059800.0
2020-10-21,4.49,4.54,4.44,4.48,2583300.0
2020-10-20,4.46,4.51,4.4,4.48,3532900.0
2020-10-19,4.34,4.53,4.34,4.44,3778800.0
2020-10-16,4.35,4.41,4.3,4.31,3629000.0
2020-10-15,4.26,4.38,4.24,4.33,3002900.0
2020-10-14,4.38,4.44,4.27,4.31,4631500.0
2020-10-13,4.53,4.57,4.34,4.37,5229300.0
2020-10-09,4.47,4.65,4.41,4.5,7075100.0
2020-10-08,4.25,4.52,4.19,4.43,11437800.0
2020-10-07,4.26,4.32,4.14,4.22,8821500.0
2020-10-06,4.35,4.47,4.21,4.21,7923100.0
2020-10-05,4.33,4.34,4.17,4.28,6291000.0
2020-10-02,4.48,4.55,4.26,4.27,6948900.0
2020-10-01,4.33,4.57,4.32,4.54,5242500.0
2020-09-30,4.26,4.41,4.22,4.33,4470100.0
2020-09-29,4.21,4.31,4.15,4.23,4847600.0
2020-09-28,4.6,4.65,4.17,4.19,10890500.0
2020-09-25,4.22,4.58,4.16,4.56,6886700.0
2020-09-24,4.25,4.37,4.19,4.25,4314300.0
2020-09-23,4.4,4.46,4.23,4.24,4182500.0
2020-09-22,4.22,4.36,4.13,4.31,3554800.0
2020-09-21,4.22,4.26,4.12,4.22,4747400.0
2020-09-18,4.5,4.53,4.3,4.31,5301900.0
2020-09-17,4.51,4.57,4.44,4.5,4589500.0
2020-09-16,4.65,4.71,4.52,4.54,5529800.0
