date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,36.2,36.95,35.55,35.63,18073000.0
2021-05-12,37.42,37.55,36.41,36.65,15645800.0
2021-05-11,35.82,37.84,35.54,37.65,20601900.0
2021-05-10,37.1,37.43,36.17,36.38,13635100.0
2021-05-07,36.3,36.56,35.45,36.37,15495200.0
2021-05-06,34.7,36.05,34.7,36.02,16963100.0
2021-05-05,33.75,35.0,33.62,34.45,27926800.0
2021-05-04,32.46,33.06,32.26,32.65,11555900.0
2021-05-03,33.25,33.26,32.14,32.5,19091200.0
2021-04-30,33.96,34.26,33.15,33.22,19147300.0
2021-04-29,34.75,35.01,33.71,34.39,10809700.0
2021-04-28,34.48,34.82,34.13,34.67,12434700.0
2021-04-27,34.3,34.64,33.9,34.43,11265300.0
2021-04-26,33.74,34.37,33.51,34.3,10008500.0
2021-04-23,33.97,34.33,32.91,33.52,11784600.0
2021-04-22,32.66,33.7,32.36,33.3,15099700.0
2021-04-20,32.63,32.85,31.78,32.27,8423900.0
2021-04-19,32.85,33.08,32.21,32.51,11142900.0
2021-04-16,32.72,32.85,31.93,32.53,11175100.0
2021-04-15,32.75,33.24,32.15,32.62,11771300.0
2021-04-14,32.01,32.76,32.01,32.39,14616800.0
2021-04-13,31.3,32.17,30.96,31.94,14815500.0
2021-04-12,31.28,31.48,30.87,31.22,9579300.0
2021-04-09,30.5,31.38,30.41,31.12,10957500.0
2021-04-08,30.8,31.18,30.53,30.81,13856500.0
2021-04-07,30.13,30.94,30.08,30.71,18315400.0
2021-04-06,29.74,30.24,29.43,30.14,18491700.0
2021-04-05,29.8,30.16,29.32,29.44,26243000.0
2021-04-01,30.52,30.77,29.12,29.38,30463600.0
2021-03-31,29.48,30.52,29.47,30.22,22663900.0
2021-03-30,28.92,29.67,28.67,29.46,11044100.0
2021-03-29,28.68,29.5,28.64,29.0,10262300.0
2021-03-26,27.46,29.04,27.32,28.6,19613100.0
2021-03-25,26.63,27.4,26.33,27.17,9808500.0
2021-03-24,26.83,27.45,26.65,26.77,10751000.0
2021-03-23,27.65,27.94,26.33,26.56,20890400.0
2021-03-22,28.21,28.35,27.16,27.77,14537400.0
2021-03-19,28.65,28.9,28.05,28.64,13833800.0
2021-03-18,28.89,29.47,28.23,28.61,12007000.0
2021-03-17,28.77,29.47,28.54,29.12,16418900.0
2021-03-16,28.5,29.07,28.25,28.78,20118800.0
2021-03-15,27.31,28.49,27.28,28.49,17292800.0
2021-03-12,27.66,28.59,27.28,27.5,15865000.0
2021-03-11,27.5,28.47,27.38,27.99,22874300.0
2021-03-10,27.37,27.73,26.27,26.97,13023100.0
2021-03-09,26.7,28.11,26.12,27.33,20635500.0
2021-03-08,27.2,28.43,26.81,26.96,18089500.0
2021-03-05,26.84,27.97,26.48,27.62,21959900.0
2021-03-04,26.94,27.79,26.58,26.91,21293500.0
2021-03-03,27.01,27.58,26.36,26.94,22429900.0
2021-03-02,26.47,27.5,26.02,27.03,22726000.0
2021-03-01,26.28,27.19,26.07,26.67,16692900.0
2021-02-26,26.11,26.62,25.43,25.87,19494500.0
2021-02-25,27.16,28.17,25.75,26.12,19906300.0
2021-02-24,26.75,27.39,26.41,27.14,35435300.0
2021-02-23,25.13,25.85,24.46,25.73,18558500.0
2021-02-22,24.21,25.46,23.46,24.78,20435100.0
2021-02-19,24.39,24.98,24.14,24.9,11671600.0
2021-02-18,24.77,25.13,24.22,24.39,11617000.0
2021-02-17,24.4,24.91,24.3,24.46,17888400.0
2021-02-12,24.11,24.35,23.87,24.11,8468700.0
2021-02-11,23.76,24.47,23.68,24.11,10187200.0
2021-02-10,24.25,24.55,23.36,23.57,12601900.0
2021-02-09,24.01,24.44,23.61,24.15,10691200.0
2021-02-08,24.38,24.78,23.86,24.0,10495600.0
2021-02-05,23.39,24.5,23.22,24.2,16335700.0
2021-02-04,23.71,24.07,23.19,23.19,10551700.0
2021-02-03,23.14,23.93,23.08,23.53,12217800.0
2021-02-02,23.45,23.59,22.82,22.97,14084100.0
2021-02-01,23.69,23.74,22.86,23.24,16099200.0
2021-01-29,23.84,24.24,23.11,23.25,15461600.0
2021-01-28,23.51,24.53,23.34,24.29,12737400.0
2021-01-27,23.98,24.18,23.02,23.61,23287200.0
2021-01-26,25.3,25.42,24.01,24.05,13370800.0
2021-01-22,24.6,25.48,24.16,25.36,10417200.0
2021-01-21,25.14,25.63,24.83,25.02,9479500.0
2021-01-20,25.92,25.96,24.82,25.14,10947800.0
2021-01-19,26.6,26.6,24.85,25.67,19170200.0
2021-01-18,26.25,26.9,26.06,26.45,11990700.0
2021-01-15,27.08,27.42,25.71,26.08,23816700.0
2021-01-14,26.87,27.82,26.48,27.72,17415000.0
2021-01-13,27.4,27.61,26.35,26.61,19459100.0
2021-01-12,28.45,28.52,27.38,27.52,16219200.0
2021-01-11,28.4,29.1,27.84,28.3,17953100.0
2021-01-08,29.83,30.0,28.44,29.1,18035200.0
2021-01-07,28.31,29.55,28.25,29.54,20996500.0
2021-01-06,26.77,28.62,26.67,27.99,26790200.0
2021-01-05,25.97,26.85,25.73,26.67,17564800.0
2021-01-04,24.8,26.04,24.8,26.04,22156100.0
2020-12-30,24.53,24.76,24.29,24.45,10580700.0
2020-12-29,24.31,24.93,24.22,24.5,8692900.0
2020-12-28,24.46,24.47,24.06,24.23,5519900.0
2020-12-23,24.2,24.3,23.86,24.24,7724700.0
2020-12-22,24.36,24.66,23.73,24.06,7698500.0
2020-12-21,24.49,24.84,23.76,24.39,13496300.0
2020-12-18,24.52,25.25,24.4,24.83,19745600.0
2020-12-17,23.81,24.77,23.75,24.4,15879200.0
2020-12-16,23.91,24.1,23.42,23.78,10164500.0
2020-12-15,23.0,24.29,22.91,23.8,16048300.0
2020-12-14,23.02,23.12,22.59,22.81,7906900.0
2020-12-11,22.87,23.14,22.72,22.96,6550100.0
2020-12-10,22.77,23.25,22.47,23.0,12193300.0
2020-12-09,23.09,23.32,22.41,22.63,9908400.0
2020-12-08,23.2,23.29,22.74,23.07,8787900.0
2020-12-07,22.96,23.52,22.6,23.27,11964600.0
2020-12-04,22.66,23.25,22.52,22.94,16797000.0
2020-12-03,23.53,23.56,22.4,22.48,23772300.0
2020-12-02,23.8,23.92,23.22,23.44,17073400.0
2020-12-01,22.86,24.0,22.77,23.8,23405400.0
2020-11-30,22.76,22.96,22.51,22.6,13568700.0
2020-11-27,22.97,23.25,22.51,22.76,11581600.0
2020-11-26,22.49,22.99,22.4,22.97,7634300.0
2020-11-25,22.58,22.83,22.22,22.54,14236800.0
2020-11-24,22.15,22.95,21.98,22.62,14714900.0
2020-11-23,21.56,22.14,21.44,22.05,12948500.0
2020-11-20,21.25,21.57,21.15,21.41,9564900.0
2020-11-19,21.03,21.43,20.89,21.24,8328900.0
2020-11-18,21.53,21.66,20.88,20.97,13745900.0
2020-11-17,20.98,21.72,20.85,21.39,16792200.0
2020-11-16,21.11,21.16,20.72,20.99,11659800.0
2020-11-13,20.85,21.02,20.54,20.93,7403900.0
2020-11-12,20.95,21.3,20.56,20.68,13253700.0
2020-11-11,20.83,21.4,20.72,20.93,13635900.0
2020-11-10,22.06,22.22,20.61,20.83,33759500.0
2020-11-09,23.21,23.33,21.72,22.0,21049700.0
2020-11-06,22.16,22.77,22.1,22.51,11133900.0
2020-11-05,22.58,22.61,21.75,22.35,17421200.0
2020-11-04,23.37,23.62,22.08,22.28,15971600.0
2020-11-03,22.26,23.35,21.98,23.18,19276300.0
2020-10-30,22.33,22.47,21.61,21.81,13133400.0
2020-10-29,22.24,22.87,21.33,22.5,21787800.0
2020-10-28,23.49,23.49,22.14,22.22,18540600.0
2020-10-27,23.11,24.06,23.06,23.61,18024900.0
2020-10-26,23.27,23.55,22.85,23.06,9478800.0
2020-10-23,23.05,23.45,22.82,23.28,11226600.0
2020-10-22,23.15,23.41,23.0,23.18,11790500.0
2020-10-21,23.0,23.32,22.88,23.06,8338400.0
2020-10-20,22.95,23.2,22.73,23.0,9074100.0
2020-10-19,23.01,23.59,22.48,22.75,17001200.0
2020-10-16,22.85,23.18,22.67,22.82,12503300.0
2020-10-15,21.84,22.83,21.66,22.67,11173700.0
2020-10-14,22.12,22.3,21.92,22.11,8042700.0
2020-10-13,21.89,22.16,21.58,21.98,12967800.0
2020-10-09,22.26,22.51,21.56,21.8,18629000.0
2020-10-08,22.44,22.89,22.05,22.25,16316100.0
2020-10-07,22.3,22.85,22.2,22.4,19053500.0
2020-10-06,22.03,22.16,21.46,21.7,13470800.0
2020-10-05,20.69,21.9,20.56,21.8,12370200.0
2020-10-02,20.58,20.92,20.29,20.6,10342600.0
2020-10-01,20.92,21.35,20.27,20.75,15756500.0
2020-09-30,20.47,21.32,20.44,20.8,16876700.0
2020-09-29,20.66,20.9,20.1,20.21,12438600.0
2020-09-28,20.68,21.05,20.34,20.54,12458700.0
2020-09-25,20.5,20.67,20.26,20.51,12547700.0
2020-09-24,20.69,20.91,20.43,20.68,12409600.0
2020-09-23,20.6,21.05,20.42,20.65,11520300.0
2020-09-22,20.66,21.0,20.5,20.72,7765800.0
2020-09-21,20.69,21.32,20.43,20.59,20512000.0
2020-09-18,21.38,21.77,20.8,20.96,22436500.0
2020-09-17,20.81,21.84,20.8,21.44,14132900.0
