date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,79.84,83.03,79.84,81.51,3740900.0
2021-05-12,80.43,81.29,79.1,79.27,6030600.0
2021-05-11,82.89,83.81,80.9,83.49,2782100.0
2021-05-10,84.5,85.08,81.81,83.6,2405300.0
2021-05-07,82.77,85.29,82.57,85.1,1858100.0
2021-05-06,83.1,83.14,81.72,82.86,2335800.0
2021-05-05,83.32,83.67,82.04,83.39,3052100.0
2021-05-04,83.0,83.43,81.69,82.54,3377800.0
2021-05-03,81.18,83.48,80.6,83.24,2955600.0
2021-04-30,81.0,82.18,80.7,81.27,3065000.0
2021-04-29,82.39,83.62,81.31,82.31,2766700.0
2021-04-28,81.23,82.94,79.73,82.32,3894000.0
2021-04-27,81.8,82.34,80.81,81.39,2364200.0
2021-04-26,81.55,82.4,80.68,81.81,2249400.0
2021-04-23,81.82,82.25,80.26,81.8,8513300.0
2021-04-22,83.95,84.19,80.53,81.44,6510700.0
2021-04-20,81.67,84.57,81.5,83.98,4475200.0
2021-04-19,82.0,82.58,81.18,81.94,3026100.0
2021-04-16,82.05,82.97,80.71,82.7,5521800.0
2021-04-15,83.49,83.9,81.71,82.03,5395800.0
2021-04-14,83.35,84.17,81.51,83.08,4466100.0
2021-04-13,82.0,83.62,80.78,83.62,4155500.0
2021-04-12,82.0,82.53,81.24,82.05,3894100.0
2021-04-09,81.66,82.49,80.37,82.01,4415400.0
2021-04-08,83.78,84.17,81.97,82.78,7775300.0
2021-04-07,81.85,85.27,81.52,83.85,5907700.0
2021-04-06,82.25,82.7,80.18,81.75,4881800.0
2021-04-05,81.69,83.06,81.5,82.0,5011100.0
2021-04-01,82.85,83.95,81.3,81.9,3589400.0
2021-03-31,84.14,84.14,82.13,82.8,5567800.0
2021-03-30,82.71,84.38,82.71,83.7,3174800.0
2021-03-29,83.44,84.84,81.92,84.11,3110700.0
2021-03-26,86.66,86.86,84.16,84.99,2409900.0
2021-03-25,82.18,87.52,81.84,87.1,7306400.0
2021-03-24,85.7,86.09,82.45,83.0,3731400.0
2021-03-23,82.85,86.43,82.85,85.38,3025100.0
2021-03-22,83.45,84.76,81.06,83.9,2709800.0
2021-03-19,84.0,86.8,83.5,84.95,5253900.0
2021-03-18,84.0,84.36,82.25,84.01,3101600.0
2021-03-17,84.63,85.68,82.75,85.04,4898000.0
2021-03-16,84.5,88.17,83.4,86.27,3264700.0
2021-03-15,83.0,85.29,82.0,84.77,1906000.0
2021-03-12,82.51,83.66,81.92,83.05,2809000.0
2021-03-11,83.3,85.49,82.06,84.59,3843000.0
2021-03-10,81.97,83.94,79.15,83.3,4667400.0
2021-03-09,79.18,83.2,77.08,82.14,6902400.0
2021-03-08,82.02,83.66,78.83,79.96,8737600.0
2021-03-05,85.0,86.9,82.69,85.83,7551900.0
2021-03-04,87.3,87.5,83.8,85.85,6724900.0
2021-03-03,87.99,88.5,83.83,87.0,8348700.0
2021-03-02,88.05,91.44,83.5,88.86,6628500.0
2021-03-01,94.8,95.53,89.68,89.68,7470100.0
