date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,16.04,16.13,15.61,15.79,12318700.0
2021-05-12,16.5,16.53,15.93,16.11,10717400.0
2021-05-11,15.98,16.65,15.78,16.61,12896900.0
2021-05-10,16.5,16.6,16.06,16.18,9895100.0
2021-05-07,16.4,16.42,15.87,16.2,9152600.0
2021-05-06,15.52,16.25,15.49,16.25,9859100.0
2021-05-05,15.15,15.68,15.13,15.45,12604300.0
2021-05-04,14.53,14.82,14.46,14.65,6471100.0
2021-05-03,14.86,14.9,14.4,14.59,8866100.0
2021-04-30,15.0,15.15,14.8,14.86,9418300.0
2021-04-29,15.38,15.55,15.08,15.25,8977200.0
2021-04-28,15.35,15.48,15.21,15.44,9397700.0
2021-04-27,15.39,15.48,15.05,15.31,12328400.0
2021-04-26,15.28,15.41,15.01,15.41,9391900.0
2021-04-23,15.25,15.44,14.86,15.11,9877800.0
2021-04-22,14.7,15.19,14.65,15.08,13339200.0
2021-04-20,14.74,14.85,14.3,14.62,8127700.0
2021-04-19,14.8,14.88,14.56,14.76,8297800.0
2021-04-16,14.63,14.81,14.36,14.81,7160700.0
2021-04-15,14.7,14.87,14.42,14.67,9806100.0
2021-04-14,14.34,14.61,14.3,14.6,9832400.0
2021-04-13,13.95,14.35,13.85,14.3,11185900.0
2021-04-12,13.99,14.04,13.77,13.96,8272200.0
2021-04-09,13.7,13.98,13.5,13.88,12426400.0
2021-04-08,13.67,13.87,13.6,13.71,6979300.0
2021-04-07,13.39,13.7,13.36,13.63,7664000.0
2021-04-06,13.19,13.51,13.14,13.37,6767400.0
2021-04-05,13.14,13.34,13.08,13.13,9947100.0
2021-04-01,13.5,13.6,12.93,12.94,13366500.0
2021-03-31,13.09,13.48,13.09,13.41,14416000.0
2021-03-30,12.89,13.13,12.76,13.09,7040700.0
2021-03-29,12.71,13.09,12.68,12.96,9373900.0
2021-03-26,12.26,12.9,12.22,12.74,13792600.0
2021-03-25,11.96,12.29,11.82,12.2,13069800.0
2021-03-24,12.03,12.26,11.94,12.0,9042300.0
2021-03-23,12.34,12.49,11.8,11.93,9856400.0
2021-03-22,12.66,12.67,12.09,12.38,8979600.0
2021-03-19,12.86,12.93,12.61,12.72,21320700.0
2021-03-18,12.91,13.18,12.64,12.82,6888800.0
2021-03-17,12.82,13.11,12.72,13.03,8423800.0
2021-03-16,12.63,12.93,12.62,12.84,10397700.0
2021-03-15,12.21,12.61,12.14,12.61,10411200.0
2021-03-12,12.27,12.71,12.17,12.2,11514400.0
2021-03-11,12.26,12.77,12.26,12.42,20164700.0
2021-03-10,12.26,12.41,11.8,12.17,10374500.0
2021-03-09,12.1,12.52,11.76,12.26,12507900.0
2021-03-08,12.29,12.76,12.07,12.14,13544500.0
2021-03-05,12.09,12.58,11.96,12.48,14074400.0
2021-03-04,12.08,12.44,11.85,12.13,19101300.0
2021-03-03,12.09,12.3,11.7,12.03,17765800.0
2021-03-02,11.72,12.2,11.57,12.05,17134500.0
2021-03-01,11.73,12.13,11.6,11.91,15045800.0
2021-02-26,11.66,11.91,11.38,11.58,17152300.0
2021-02-25,12.23,12.52,11.49,11.72,18880300.0
2021-02-24,12.08,12.27,11.78,12.21,28742600.0
2021-02-23,11.37,11.7,11.09,11.7,19211400.0
