date,1. open,2. high,3. low,4. close,5. volume
2021-09-08,19.37,19.99,18.88,18.94,8390400.0
2021-09-06,18.88,19.48,18.72,19.48,2195500.0
2021-09-03,19.7,19.74,18.95,19.03,4812200.0
2021-09-02,19.71,20.11,19.36,19.47,7488400.0
2021-09-01,19.99,20.05,19.69,19.69,3746400.0
2021-08-31,19.96,20.13,19.62,19.96,6390200.0
2021-08-30,20.71,20.74,20.0,20.13,4484600.0
2021-08-27,20.3,21.0,20.2,20.78,5741500.0
2021-08-26,20.48,20.87,20.08,20.17,4572300.0
2021-08-25,20.31,20.71,20.11,20.62,6487500.0
2021-08-24,18.75,20.54,18.75,20.54,14532500.0
2021-08-23,18.5,18.72,18.09,18.51,6274400.0
2021-08-20,17.25,18.2,17.11,18.2,7499800.0
2021-08-19,16.7,17.75,16.6,17.67,6803600.0
2021-08-18,17.11,17.63,16.76,17.23,6773600.0
2021-08-17,17.33,17.33,16.92,17.05,6101400.0
2021-08-16,18.22,18.22,17.35,17.45,6336900.0
2021-08-13,18.86,19.03,18.36,18.39,4430200.0
2021-08-12,19.49,19.56,18.76,18.76,6369500.0
2021-08-11,19.61,19.78,19.42,19.54,5218500.0
2021-08-10,19.97,20.22,19.61,19.68,7406500.0
2021-08-09,19.85,20.17,19.65,19.94,5414500.0
2021-08-06,20.03,20.35,19.82,20.1,3630800.0
2021-08-05,20.01,20.42,19.97,20.02,5605600.0
2021-08-04,20.42,20.7,19.89,19.96,6820100.0
2021-08-03,20.19,20.32,19.5,20.22,5517400.0
2021-08-02,20.94,21.03,20.28,20.34,5723700.0
2021-07-30,21.2,21.24,20.6,20.6,5052400.0
2021-07-29,22.05,22.36,21.31,21.4,5818400.0
2021-07-28,21.43,21.91,21.33,21.9,5542800.0
2021-07-27,21.75,21.78,21.12,21.3,5317600.0
2021-07-26,21.22,21.91,21.1,21.87,4583700.0
2021-07-23,21.43,21.85,21.18,21.22,4331500.0
2021-07-22,21.66,21.76,21.31,21.44,3557500.0
2021-07-21,21.6,21.81,21.24,21.66,4493700.0
2021-07-20,20.92,21.68,20.61,21.53,5944600.0
2021-07-19,21.0,21.13,20.47,20.8,8088600.0
2021-07-16,22.23,22.4,21.46,21.58,6094500.0
2021-07-15,22.43,22.55,22.04,22.13,4810800.0
2021-07-14,22.4,23.02,22.4,22.59,5825100.0
2021-07-13,22.2,22.36,21.98,22.25,4208600.0
2021-07-12,22.2,22.49,21.97,22.31,7634900.0
2021-07-08,22.01,22.34,21.9,22.02,7741800.0
2021-07-07,22.89,22.92,22.2,22.76,6652900.0
2021-07-06,23.4,23.41,22.51,22.63,8351700.0
2021-07-05,23.44,23.54,23.16,23.39,2669200.0
2021-07-02,22.99,23.72,22.95,23.45,6647800.0
2021-07-01,23.24,23.27,22.48,22.75,5905300.0
2021-06-30,23.1,23.3,22.84,22.96,6471900.0
2021-06-29,23.55,23.7,23.0,23.27,5628400.0
2021-06-28,23.78,24.11,23.51,23.66,5678100.0
2021-06-25,24.9,24.93,23.82,24.0,5970800.0
2021-06-24,25.18,25.3,24.69,24.78,4000200.0
2021-06-23,24.84,25.26,24.52,24.98,6054700.0
2021-06-22,25.46,25.46,24.65,24.82,5051300.0
2021-06-21,25.05,25.46,24.78,25.45,6359500.0
2021-06-18,24.5,24.9,24.29,24.9,4664000.0
2021-06-17,24.99,25.11,24.45,24.6,6421500.0
2021-06-16,25.2,25.7,24.81,25.11,8949200.0
2021-06-15,25.74,25.91,25.08,25.23,6481800.0
2021-06-14,26.07,26.15,25.66,25.7,5282600.0
2021-06-11,26.33,26.5,25.61,25.79,7060800.0
2021-06-10,27.64,27.68,26.07,26.25,11868900.0
2021-06-09,27.98,28.75,27.12,27.45,12531500.0
2021-06-08,27.55,27.77,27.05,27.2,5710100.0
2021-06-07,27.14,28.07,27.1,27.52,11732600.0
2021-06-04,27.0,27.15,26.41,26.48,7934300.0
2021-06-02,26.5,27.21,26.19,27.03,5758400.0
2021-06-01,27.4,27.51,26.37,26.45,7594200.0
2021-05-31,26.78,26.87,26.42,26.81,2405100.0
2021-05-28,27.38,27.38,26.35,26.59,7031000.0
2021-05-27,27.66,27.75,26.81,27.42,6871400.0
2021-05-26,25.91,27.75,25.91,27.59,16103000.0
2021-05-25,25.21,26.13,25.19,25.75,7477000.0
2021-05-24,25.68,25.75,24.91,25.03,5399500.0
2021-05-21,26.07,26.23,25.45,25.5,5209600.0
2021-05-20,25.98,26.52,25.73,25.94,4474400.0
2021-05-19,25.31,26.03,25.24,25.91,5065100.0
2021-05-18,25.53,25.95,25.15,25.59,4397200.0
2021-05-17,25.5,25.58,24.89,25.23,4018900.0
2021-05-14,24.5,25.48,24.21,25.39,7794000.0
2021-05-13,24.19,24.66,23.8,24.09,5069100.0
2021-05-12,24.7,24.83,23.9,23.99,6051200.0
2021-05-11,24.8,25.2,24.46,24.94,6464400.0
2021-05-10,25.2,25.43,24.92,25.33,4808400.0
2021-05-07,24.04,25.1,23.95,24.95,8858600.0
2021-05-06,24.12,24.58,23.53,23.91,6210400.0
2021-05-05,23.49,24.35,22.87,24.19,8183700.0
2021-05-04,23.37,23.53,22.78,23.17,4985600.0
2021-05-03,23.67,23.78,23.04,23.44,5696000.0
2021-04-30,23.76,24.37,23.4,23.45,6204700.0
2021-04-29,24.08,24.95,23.41,23.84,9890200.0
2021-04-28,24.07,24.36,23.76,24.14,5189500.0
2021-04-27,24.32,24.52,23.71,23.85,5299800.0
2021-04-26,24.3,24.75,24.05,24.22,9291300.0
2021-04-23,23.24,24.15,22.98,24.02,10288900.0
2021-04-22,22.64,23.37,22.42,23.07,11121500.0
2021-04-20,23.18,23.28,22.05,22.22,10210300.0
2021-04-19,22.77,23.53,22.59,23.13,6212800.0
2021-04-16,22.99,23.06,22.7,22.76,4229400.0
2021-04-15,23.05,23.27,22.75,22.96,5383300.0
2021-04-14,23.2,23.56,22.84,22.89,7996300.0
2021-04-13,23.32,23.32,22.51,23.18,6059800.0
2021-04-12,23.38,23.65,22.77,23.22,7199900.0
2021-04-09,23.06,23.8,22.6,23.34,7270200.0
2021-04-08,22.5,23.33,22.35,23.29,6724900.0
2021-04-07,22.55,22.96,22.23,22.38,6340100.0
2021-04-06,22.35,22.93,22.05,22.53,6751800.0
2021-04-05,22.21,22.62,21.97,22.6,7812600.0
2021-04-01,21.76,22.25,21.64,21.68,7190900.0
2021-03-31,22.36,22.36,21.44,21.51,9339100.0
2021-03-30,20.53,22.44,20.5,22.33,14400900.0
2021-03-29,20.51,21.3,20.43,20.57,9125500.0
2021-03-26,21.27,21.45,20.32,20.66,9580000.0
2021-03-25,21.15,21.2,19.95,21.01,12503600.0
2021-03-24,20.79,22.1,20.51,20.8,18052900.0
2021-03-23,20.2,21.27,19.85,20.3,13584300.0
2021-03-22,21.11,21.34,20.66,20.71,8729700.0
2021-03-19,21.35,21.75,20.95,21.49,10982500.0
2021-03-18,22.81,22.85,21.19,21.36,14150300.0
2021-03-17,22.42,23.25,22.41,23.1,6600900.0
2021-03-16,24.07,24.14,22.4,22.54,7586100.0
2021-03-15,22.43,24.31,22.39,24.07,9694600.0
2021-03-12,22.74,22.99,22.1,22.78,5946200.0
2021-03-11,21.85,23.08,21.55,23.03,9143500.0
2021-03-10,19.71,21.49,19.5,21.49,10705300.0
2021-03-09,19.78,20.11,19.1,19.55,7698600.0
2021-03-08,19.98,21.32,19.29,19.58,11700300.0
2021-03-05,19.3,20.6,18.83,20.45,12011200.0
2021-03-04,20.23,20.99,19.31,19.47,15577000.0
2021-03-03,20.59,20.95,19.6,20.5,10051500.0
2021-03-02,21.19,21.19,20.24,20.74,8622000.0
2021-03-01,22.03,22.31,21.25,21.37,6173800.0
2021-02-26,22.58,22.67,21.5,21.63,5853300.0
2021-02-25,23.55,23.74,22.21,22.51,5701800.0
2021-02-24,23.01,23.77,22.76,23.61,7658200.0
2021-02-23,22.93,23.11,22.05,22.83,5928800.0
2021-02-22,23.0,23.3,22.4,22.58,7282600.0
2021-02-19,23.52,24.14,23.41,23.79,4628400.0
2021-02-18,24.2,24.35,23.43,23.57,4715100.0
2021-02-17,24.22,24.46,23.87,24.23,2933100.0
2021-02-12,23.7,24.35,23.54,24.14,4655400.0
2021-02-11,24.43,24.92,23.93,24.11,6585300.0
2021-02-10,25.0,25.12,24.02,24.26,5349200.0
2021-02-09,25.58,25.73,24.65,25.0,7561900.0
2021-02-08,25.02,26.2,24.92,25.76,8464500.0
2021-02-05,25.59,25.59,24.85,25.09,5639100.0
2021-02-04,25.25,25.68,25.05,25.23,5617200.0
2021-02-03,25.37,25.66,24.9,25.0,6128800.0
2021-02-02,25.35,25.7,24.62,25.37,9624500.0
2021-02-01,24.5,25.14,23.92,24.82,8473200.0
2021-01-29,24.24,25.2,23.44,23.95,10211000.0
2021-01-28,23.3,25.76,23.3,24.61,24592800.0
2021-01-27,22.11,23.45,22.05,23.04,8780000.0
2021-01-26,22.82,23.04,22.06,22.21,6414700.0
2021-01-22,22.04,23.12,21.72,22.95,6524200.0
2021-01-21,23.13,23.25,22.41,22.76,5807400.0
2021-01-20,23.46,23.7,22.53,23.23,6392100.0
2021-01-19,24.09,24.28,23.03,23.24,6863200.0
2021-01-18,24.01,24.94,23.58,23.79,8911200.0
2021-01-15,23.75,24.14,23.24,23.55,7255600.0
2021-01-14,23.36,24.5,23.36,24.2,11561000.0
2021-01-13,24.27,24.4,23.05,23.16,8616500.0
2021-01-12,23.61,24.43,23.31,24.28,7713200.0
2021-01-11,23.19,23.87,23.09,23.36,6619400.0
2021-01-08,23.75,24.05,23.22,23.51,6121800.0
2021-01-07,23.32,24.05,23.15,23.4,6249400.0
2021-01-06,23.78,24.26,23.07,23.23,7861400.0
2021-01-05,23.78,24.36,23.35,23.95,7493300.0
2021-01-04,25.21,25.37,23.63,23.96,9646000.0
2020-12-30,24.58,25.47,24.45,24.94,7274100.0
2020-12-29,24.4,24.98,24.15,24.48,5420900.0
2020-12-28,25.24,25.3,24.12,24.25,6782500.0
2020-12-23,23.43,24.97,23.33,24.54,12870100.0
2020-12-22,24.17,24.29,22.86,23.3,9226400.0
2020-12-21,22.97,24.52,22.82,23.95,13544700.0
2020-12-18,26.22,26.44,25.02,25.15,9087400.0
2020-12-17,26.7,26.98,26.07,26.21,6599000.0
2020-12-16,27.3,27.36,26.32,26.68,6847700.0
2020-12-15,26.66,27.19,26.11,27.01,8438800.0
2020-12-14,27.53,27.64,26.28,26.48,7416000.0
2020-12-11,26.78,27.56,26.6,27.05,8041100.0
2020-12-10,27.32,27.75,26.44,27.31,7964500.0
2020-12-09,28.18,28.5,26.89,27.31,8850100.0
2020-12-08,28.05,29.03,27.54,27.69,11716700.0
2020-12-07,27.61,28.81,27.5,27.94,16701700.0
2020-12-04,28.13,28.61,26.66,27.05,13061000.0
2020-12-03,25.6,27.83,25.53,27.36,17039100.0
2020-12-02,24.0,25.41,23.7,25.15,13026600.0
2020-12-01,24.38,24.6,23.51,23.87,12504200.0
2020-11-30,22.9,24.77,22.86,23.52,18679900.0
2020-11-27,23.31,23.61,22.85,22.96,7620400.0
2020-11-26,23.44,23.66,22.82,23.24,11452500.0
2020-11-25,23.35,23.73,23.03,23.56,8517300.0
2020-11-24,23.05,23.59,22.57,23.47,12193000.0
2020-11-23,22.7,23.26,22.4,22.71,11993000.0
2020-11-20,22.95,23.35,21.94,22.12,12366000.0
2020-11-19,22.05,23.15,21.33,23.02,17341900.0
2020-11-18,21.49,23.38,21.49,21.94,24831200.0
2020-11-17,20.97,21.66,20.52,21.28,11988200.0
2020-11-16,20.5,21.78,19.95,21.22,18755100.0
2020-11-13,19.34,19.98,19.11,19.56,6874900.0
2020-11-12,19.95,20.82,18.88,19.06,13564100.0
2020-11-11,20.79,21.19,19.66,20.26,12337100.0
2020-11-10,20.71,22.12,20.45,20.78,20635800.0
2020-11-09,20.1,21.43,19.55,21.05,43680500.0
2020-11-06,17.12,17.75,16.6,17.55,13320900.0
2020-11-05,16.25,17.54,15.94,17.44,16168600.0
2020-11-04,15.82,16.17,15.35,15.87,11685900.0
2020-11-03,16.47,16.52,15.38,15.62,10657500.0
2020-10-30,16.45,16.6,15.54,15.69,12418700.0
2020-10-29,16.7,17.01,15.4,16.61,19317200.0
2020-10-28,17.9,18.05,16.82,16.92,13051100.0
2020-10-27,18.94,19.2,18.5,18.6,7321400.0
2020-10-26,19.35,19.46,18.73,18.96,8290300.0
2020-10-23,19.63,20.06,19.48,19.67,5040600.0
2020-10-22,19.5,19.77,19.38,19.6,7052700.0
2020-10-21,19.78,19.95,19.28,19.41,7518200.0
2020-10-20,20.08,20.28,19.46,19.72,10179600.0
2020-10-19,19.15,20.48,19.15,19.91,15498900.0
2020-10-16,19.56,19.75,18.97,19.05,7018400.0
2020-10-15,19.0,19.77,18.84,19.53,7022000.0
2020-10-14,19.2,20.12,19.13,19.62,10191400.0
2020-10-13,19.37,19.53,18.63,19.16,8344800.0
2020-10-09,18.56,19.77,18.41,19.11,13938000.0
2020-10-08,18.44,18.71,18.22,18.51,6698400.0
2020-10-07,19.3,19.42,18.14,18.3,11851100.0
2020-10-06,17.86,19.56,17.84,18.95,23926300.0
2020-10-05,17.64,17.85,17.32,17.66,6357800.0
2020-10-02,17.58,17.87,17.21,17.39,7442400.0
2020-10-01,17.7,18.16,17.35,17.9,11575900.0
2020-09-30,16.51,17.38,16.45,17.08,10485500.0
2020-09-29,17.52,17.62,16.3,16.47,11632000.0
2020-09-28,18.24,18.69,17.37,17.47,10477000.0
2020-09-25,17.81,18.05,17.47,17.84,7108500.0
2020-09-24,17.81,18.19,17.4,17.94,10229800.0
2020-09-23,18.32,18.55,17.8,17.86,10619300.0
2020-09-22,18.6,18.81,17.94,18.18,12063300.0
2020-09-21,19.49,19.64,18.34,18.4,16798600.0
