date,1. open,2. high,3. low,4. close,5. volume
2021-09-08,36.47,36.47,34.79,35.13,1454500.0
2021-09-06,36.45,37.0,36.01,36.21,5104900.0
2021-09-03,36.02,37.04,35.07,36.44,3789000.0
2021-09-02,36.7,36.98,35.66,35.95,3195700.0
2021-09-01,37.32,37.38,36.28,36.98,1401000.0
2021-08-31,38.23,38.4,36.53,37.23,1727700.0
2021-08-30,38.24,38.58,37.67,38.23,770900.0
2021-08-27,38.04,38.47,37.66,38.38,849100.0
2021-08-26,39.15,39.94,37.89,38.03,2291600.0
2021-08-25,38.86,39.42,38.36,39.4,983600.0
2021-08-24,38.97,39.6,38.82,39.1,1011900.0
2021-08-23,39.44,39.7,38.5,38.62,1114900.0
2021-08-20,37.51,39.6,37.51,39.26,1274800.0
2021-08-19,37.6,38.89,37.1,38.35,1580700.0
2021-08-18,38.4,39.1,37.18,38.16,1694700.0
2021-08-17,38.42,38.56,36.84,38.45,2080100.0
2021-08-16,40.53,40.53,38.51,38.88,1526600.0
2021-08-13,38.88,41.02,38.59,40.57,4136900.0
2021-08-12,37.69,39.61,37.59,38.49,2242300.0
2021-08-11,36.51,37.92,36.14,37.81,1428200.0
2021-08-10,37.26,37.41,36.44,36.52,645900.0
2021-08-09,37.14,37.65,36.47,37.06,1047200.0
2021-08-06,36.2,37.5,35.93,37.2,1615600.0
2021-08-05,37.64,37.84,36.2,36.4,811800.0
2021-08-04,37.67,37.67,36.69,37.23,812500.0
2021-08-03,37.78,37.92,36.34,37.81,918600.0
2021-08-02,37.31,38.19,37.26,37.75,1106200.0
2021-07-30,38.06,38.14,36.8,37.2,1699900.0
2021-07-29,39.16,39.83,38.1,38.25,1501000.0
2021-07-28,38.05,39.11,37.74,38.98,2124400.0
2021-07-27,38.7,38.76,37.13,37.91,1974700.0
2021-07-26,38.95,38.99,38.07,38.88,1327900.0
2021-07-23,39.83,40.25,38.77,38.95,881000.0
2021-07-22,39.39,39.74,38.91,39.67,1766700.0
2021-07-21,40.08,40.08,38.73,39.27,1591900.0
2021-07-20,40.14,41.39,39.43,39.89,1831400.0
2021-07-19,40.0,40.29,39.27,40.05,1975900.0
2021-07-16,40.0,40.95,39.64,40.5,2000800.0
2021-07-15,39.79,40.03,38.84,40.0,2629900.0
2021-07-14,38.56,40.01,37.59,40.01,3212200.0
2021-07-13,36.29,38.68,36.07,38.54,2996000.0
2021-07-12,35.76,36.51,35.35,36.51,1073700.0
2021-07-08,35.31,35.6,34.37,35.58,1424400.0
2021-07-07,35.18,35.99,35.02,35.89,2067500.0
2021-07-06,35.12,35.12,34.42,34.91,1159900.0
2021-07-05,34.86,35.64,34.45,35.18,827900.0
2021-07-02,33.89,35.08,33.61,34.86,1818100.0
2021-07-01,34.22,35.0,33.81,33.87,2794900.0
2021-06-30,34.06,34.44,33.35,34.21,1454700.0
2021-06-29,34.6,35.13,33.88,34.17,905600.0
2021-06-28,33.87,34.88,33.75,34.71,910800.0
2021-06-25,35.1,35.16,33.63,33.92,1773200.0
2021-06-24,34.59,35.74,34.59,35.2,1657200.0
2021-06-23,34.9,35.19,34.05,34.43,938200.0
2021-06-22,35.41,35.42,34.61,34.96,1145900.0
2021-06-21,35.44,36.0,35.06,35.6,1341900.0
2021-06-18,34.79,35.8,34.71,35.5,2577400.0
2021-06-17,34.99,35.08,34.47,34.8,1574300.0
2021-06-16,34.5,35.23,34.35,35.15,2161400.0
2021-06-15,35.46,35.46,34.24,34.55,1447100.0
