date,1. open,2. high,3. low,4. close,5. volume
2021-09-08,34.78,34.82,33.54,33.6,2324000.0
2021-09-06,34.22,35.19,34.22,34.77,1202700.0
2021-09-03,34.09,34.91,34.03,34.48,4194200.0
2021-09-02,34.81,34.92,34.01,34.08,2384200.0
2021-09-01,35.3,36.53,34.64,35.03,4369200.0
2021-08-31,34.38,35.57,34.12,35.57,6840200.0
2021-08-30,34.2,34.41,33.95,34.37,1793200.0
2021-08-27,34.55,34.63,34.11,34.49,2006000.0
2021-08-26,35.03,35.09,34.45,34.54,2066100.0
2021-08-25,34.63,35.03,34.57,35.03,2495500.0
2021-08-24,35.31,35.65,34.65,34.79,2841100.0
2021-08-23,35.45,35.68,35.0,35.31,2246100.0
2021-08-20,34.57,35.6,34.56,35.46,3309700.0
2021-08-19,34.03,35.37,33.65,35.08,5849100.0
2021-08-18,34.54,35.09,33.51,34.02,6367700.0
2021-08-17,35.49,35.65,33.42,34.54,6531000.0
2021-08-16,36.58,36.61,35.1,35.49,2918400.0
2021-08-13,36.28,36.73,35.96,36.57,4464600.0
2021-08-12,36.64,36.93,36.1,36.18,2511700.0
2021-08-11,36.36,36.74,35.63,36.64,2892100.0
2021-08-10,36.44,36.82,36.2,36.37,2084500.0
2021-08-09,36.29,36.97,36.24,36.67,1705300.0
2021-08-06,36.32,36.67,36.2,36.38,2017800.0
2021-08-05,37.06,37.25,36.21,36.45,1742300.0
2021-08-04,36.54,37.19,36.48,36.88,2741600.0
2021-08-03,37.4,37.4,36.29,36.77,3412200.0
2021-08-02,36.48,37.6,36.04,37.0,4936400.0
2021-07-30,36.12,36.34,35.53,35.65,2170300.0
2021-07-29,36.31,36.68,36.1,36.48,2422700.0
2021-07-28,35.58,36.49,35.37,36.2,2489200.0
2021-07-27,36.25,36.36,35.15,35.4,2341400.0
2021-07-26,36.65,36.85,36.01,36.25,4192200.0
2021-07-23,35.44,36.27,35.24,36.27,3832500.0
2021-07-22,34.45,35.3,34.43,35.3,2859700.0
2021-07-21,34.53,35.01,34.11,34.51,3011000.0
2021-07-20,34.8,35.29,34.43,34.5,2008000.0
2021-07-19,34.89,35.11,34.45,34.9,3015100.0
2021-07-16,35.18,35.59,35.04,35.13,1916400.0
2021-07-15,35.46,35.62,34.88,35.0,1581600.0
2021-07-14,36.59,36.74,35.37,35.38,5160200.0
2021-07-13,35.03,36.45,34.45,36.45,5934100.0
