date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,119711.29,121426.34,119711.29,120705.91,9356169000.0
2021-05-12,122963.96,122963.96,119458.43,119710.03,9405158000.0
2021-05-11,121903.82,122964.01,120145.44,122964.01,7988634000.0
2021-05-10,122038.11,122772.37,121794.5,121909.03,8219074000.0
2021-05-07,119921.69,122038.11,119921.69,122038.11,8865100000.0
2021-05-06,119576.79,119966.42,119071.04,119920.61,8779561000.0
2021-05-05,117724.64,119733.86,117724.64,119564.44,9060872000.0
2021-05-04,119209.48,119293.42,117630.62,117712.0,8765477000.0
2021-05-03,118951.28,119903.87,118527.51,119209.48,8888327000.0
2021-04-30,120064.34,120124.61,118893.84,118893.84,11093221000.0
2021-04-29,121052.82,121497.86,119702.87,120065.75,8500170000.0
2021-04-28,119391.7,121275.86,119391.7,121052.52,9081459000.0
2021-04-27,120594.61,121012.34,119003.27,119388.37,8362282000.0
2021-04-26,120533.72,121392.72,119859.6,120594.61,7095303000.0
2021-04-23,119372.04,120814.83,119372.04,120530.06,7615455000.0
2021-04-22,120064.36,120994.84,119203.2,119371.48,8598592000.0
2021-04-20,120925.06,121353.82,119841.33,120061.99,7811501000.0
2021-04-19,121116.05,121974.21,120682.17,120933.78,10028085000.0
2021-04-16,120700.67,121333.36,120198.9,121113.93,7945608000.0
2021-04-15,120290.26,121408.72,120083.97,120700.67,7948059000.0
2021-04-14,119297.53,120871.45,119297.53,120294.68,10076639000.0
2021-04-13,118809.35,119529.16,118041.14,119297.13,8977550000.0
2021-04-12,117660.77,118811.74,117660.77,118811.74,7000545000.0
2021-04-09,118312.63,118643.03,117336.12,117669.9,7739352000.0
2021-04-08,117623.75,118849.75,117486.01,118313.23,8778222000.0
2021-04-07,117498.87,118303.28,116747.95,117623.58,8542475000.0
2021-04-06,117519.41,118212.6,117175.98,117498.87,6800818000.0
2021-04-05,115262.3,117667.85,115262.3,117518.44,7245076000.0
2021-04-01,116644.46,117087.69,114990.54,115253.31,8023842000.0
2021-03-31,116849.67,117248.51,115932.42,116633.72,10659247000.0
2021-03-30,115413.73,117090.07,114999.15,116849.67,8144100000.0
2021-03-29,114776.48,115552.84,114095.7,115418.72,7463334000.0
2021-03-26,113750.08,115415.6,113305.43,114780.62,8659454000.0
2021-03-25,112064.63,114024.3,110926.74,113749.9,10306458000.0
2021-03-24,113272.08,114822.6,112064.19,112064.19,9833956000.0
2021-03-23,114976.94,115598.66,113061.89,113261.8,8301484000.0
2021-03-22,116222.06,116224.73,113619.52,114978.86,8160612000.0
2021-03-19,114837.21,116446.09,114610.07,116221.58,12341809000.0
2021-03-18,116549.08,116750.66,114301.95,114835.43,9920105000.0
2021-03-17,114017.62,116736.36,113428.1,116549.44,9425378000.0
2021-03-16,114845.17,114974.22,113370.08,114018.78,7801351000.0
2021-03-15,114092.94,114903.23,113634.95,114850.74,8224651000.0
2021-03-12,114983.76,114983.76,113253.1,114160.4,8110669000.0
2021-03-11,112781.82,115126.94,112775.5,114983.76,12092094000.0
2021-03-10,111331.26,112928.14,109998.86,112776.49,12511773000.0
2021-03-09,110611.42,112524.5,109343.23,111330.62,12135298000.0
2021-03-08,115202.23,115202.23,110267.8,110611.58,13702489000.0
2021-03-05,112690.44,115503.58,112503.93,115202.23,13254819000.0
2021-03-04,111190.75,114433.38,111163.12,112690.17,14221649000.0
2021-03-03,111529.18,112398.24,107465.78,111183.95,15144314000.0
2021-03-02,110328.47,112428.08,107319.15,111539.8,14823239000.0
2021-03-01,110035.82,112445.12,110035.72,110334.83,11239893000.0
2021-02-26,112260.21,113466.21,109827.09,110035.17,14618453000.0
2021-02-25,115668.39,116506.22,111764.3,112256.36,12466500000.0
2021-02-24,115229.45,116207.59,114668.41,115667.78,11399282000.0
2021-02-23,112675.98,115380.38,112667.4,115227.46,15174886000.0
2021-02-22,118388.07,118388.07,111650.26,112667.7,21768690000.0
2021-02-19,119199.18,119249.77,117867.3,118430.53,10402811000.0
2021-02-18,120360.7,120845.47,118514.98,119198.97,10720595000.0
2021-02-17,119421.13,120597.33,118879.97,120355.79,8326103000.0
2021-02-12,119299.83,119763.36,118162.68,119428.72,7655925000.0
2021-02-11,118439.75,120282.76,118439.75,119299.83,7567351000.0
2021-02-10,119471.83,119738.13,117969.94,118435.33,8644623000.0
2021-02-09,119695.64,119974.93,118245.64,119471.62,7913521000.0
2021-02-08,120239.34,120844.42,119140.08,119696.36,8619109000.0
2021-02-05,119260.62,121116.6,119260.62,120240.26,8208410000.0
2021-02-04,119727.75,120559.98,118917.65,119260.82,8100715000.0
2021-02-03,118234.99,120210.38,118234.28,119724.72,8704338000.0
2021-02-02,117520.36,119805.18,117519.17,118233.81,11625902000.0
2021-02-01,115093.16,117861.51,115093.16,117517.57,8716494000.0
2021-01-29,118879.9,118879.9,114973.0,115067.55,10965207000.0
2021-01-28,115882.3,119355.23,115733.6,118883.25,12065907000.0
2021-01-27,116463.45,117839.79,114886.51,115882.3,12380379000.0
2021-01-26,117380.89,119167.14,116109.1,116464.06,10681402000.0
2021-01-22,118317.52,118317.52,116108.9,117380.49,9373070000.0
2021-01-21,119628.41,120242.86,117785.13,118328.99,8573886000.0
2021-01-20,120644.5,121449.1,118739.87,119646.4,7947314000.0
2021-01-19,121249.84,122120.24,119257.03,120636.39,7885989000.0
2021-01-18,120351.43,122585.82,120351.43,121241.63,7223096000.0
2021-01-15,123471.59,123471.59,120185.13,120348.8,9387631000.0
2021-01-14,121946.67,123896.35,121946.67,123480.52,8974446000.0
2021-01-13,123996.2,124031.68,121015.6,121933.08,10291535000.0
2021-01-12,123255.13,124584.33,123227.47,123998.0,8948960000.0
2021-01-11,125075.18,125075.18,122505.58,123255.13,9537637000.0
2021-01-08,122387.43,125323.53,122385.76,125076.63,11085793000.0
2021-01-07,119103.07,122696.64,119100.76,122385.92,11774778000.0
2021-01-06,119376.91,120924.32,118916.94,119100.08,11638206000.0
2021-01-05,118834.88,119790.06,116756.08,119376.21,9257120000.0
2021-01-04,119024.29,120353.81,118061.77,118854.71,8741352000.0
2020-12-30,119409.85,120149.85,118919.43,119017.24,8235705000.0
2020-12-29,119130.06,119860.91,118750.1,119409.15,6769747000.0
2020-12-28,117805.56,119212.79,117804.95,119123.7,7171740000.0
2020-12-23,116636.18,118311.44,116636.18,117806.85,6483254000.0
2020-12-22,115824.66,116902.54,115648.34,116636.18,6947939000.0
2020-12-21,118020.94,118020.94,114730.05,115822.57,10347104000.0
2020-12-18,118395.23,119370.48,117638.24,118023.67,8636040000.0
2020-12-17,117863.58,119027.05,117856.26,118400.57,7701390000.0
2020-12-16,116148.97,118178.44,115495.75,117857.35,9808055000.0
2020-12-15,114613.42,116389.82,114613.42,116148.63,8195119000.0
2020-12-14,115136.91,115740.1,114431.0,114611.12,8190934000.0
2020-12-11,115127.74,115526.57,113949.39,115128.0,8372307000.0
2020-12-10,113002.26,115261.71,112731.76,115128.63,11803632000.0
2020-12-09,113798.53,114020.4,112566.73,113001.16,8431113000.0
2020-12-08,113589.77,114381.14,112820.31,113793.06,8810880000.0
2020-12-07,113750.5,114531.04,112629.18,113589.77,9633909000.0
2020-12-04,112293.77,113863.73,112293.76,113750.22,8892900000.0
2020-12-03,111873.88,113377.33,111873.88,112291.59,11474202000.0
2020-12-02,111401.76,112315.42,110579.16,111878.53,9814327000.0
2020-12-01,108897.29,111839.86,108897.29,111399.91,11324807000.0
2020-11-30,110598.01,110933.68,108829.15,108893.32,19299997000.0
2020-11-27,110228.62,111603.41,110161.1,110575.47,8790310000.0
2020-11-26,110132.53,110244.5,109418.33,110227.09,6166802000.0
2020-11-25,109786.37,110595.81,109315.21,110132.53,8564717000.0
2020-11-24,107377.95,109956.18,107360.58,109786.3,11934823000.0
2020-11-23,106050.48,107495.35,106050.48,107378.92,9686034000.0
2020-11-20,106669.9,106763.96,105680.28,105963.51,6408577000.0
2020-11-19,106117.26,106972.88,105545.37,106669.9,8555672000.0
2020-11-18,107245.54,107467.25,106043.35,106119.09,10337264000.0
2020-11-17,106430.04,107810.31,105846.62,107248.63,10310972000.0
2020-11-16,104728.51,106518.16,104728.51,106429.92,11724324000.0
2020-11-13,102508.77,104725.79,102508.77,104723.0,9772056000.0
2020-11-12,104810.06,105018.66,102033.75,102507.01,10860299000.0
2020-11-11,105066.96,105462.33,104143.47,104808.83,10840995000.0
2020-11-10,103516.37,105758.29,103452.64,105066.96,16665223000.0
2020-11-09,100953.95,105146.56,100953.95,103515.16,17410524000.0
2020-11-06,100750.59,101104.29,99837.04,100925.11,8382822000.0
2020-11-05,97872.82,100921.63,97872.27,100751.4,10455296000.0
2020-11-04,95991.57,98296.35,95987.42,97866.81,10704554000.0
2020-11-03,93967.64,96350.23,93967.64,95979.71,10191751000.0
2020-10-30,96578.75,96578.75,93559.19,93952.4,10643211000.0
2020-10-29,95368.43,96688.25,93386.55,96582.16,12704413000.0
2020-10-28,99597.75,99597.75,95368.76,95368.76,11051624000.0
2020-10-27,101017.38,101660.37,99413.93,99605.54,8672268000.0
2020-10-26,101259.86,101783.79,99761.84,101016.96,8070436000.0
2020-10-23,101917.73,102217.62,101188.38,101259.75,7561070000.0
2020-10-22,100552.99,102020.44,100456.83,101917.73,9556940000.0
2020-10-21,100541.25,101585.92,100148.97,100552.44,8661136000.0
2020-10-20,98663.89,100721.83,98663.89,100539.83,8796029000.0
2020-10-19,98310.35,99917.22,98309.8,98657.65,9929440000.0
2020-10-16,99054.06,99171.96,98309.12,98309.12,7840174000.0
2020-10-15,99328.02,99485.5,97778.26,99054.06,8335222000.0
2020-10-14,98501.58,99570.8,98501.44,99334.43,8898501000.0
2020-10-13,97483.49,98998.47,97336.3,98502.82,7867502000.0
2020-10-09,97924.18,98641.91,97161.37,97483.31,10810473000.0
2020-10-08,95529.57,97937.72,95529.57,97919.73,11163561000.0
2020-10-07,95615.82,96379.57,94880.65,95526.26,9829860000.0
