date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,40.71,42.27,40.71,41.68,1650500.0
2021-05-12,43.06,43.34,40.47,40.65,3368600.0
2021-05-11,42.57,43.6,41.91,43.59,1976600.0
2021-05-10,42.48,43.56,42.02,43.09,2799100.0
2021-05-07,39.99,42.64,39.99,42.64,5117500.0
2021-05-06,39.0,40.28,38.73,39.91,2665300.0
2021-05-05,39.15,39.77,38.84,39.0,3090900.0
2021-05-04,38.74,39.13,38.33,38.51,2185100.0
2021-05-03,37.25,39.35,36.9,38.7,3828500.0
2021-04-30,37.19,37.8,36.8,36.8,3096400.0
2021-04-29,37.49,37.69,36.73,37.16,2740200.0
2021-04-28,37.9,37.9,36.96,37.48,2794400.0
2021-04-27,38.32,38.55,37.57,37.7,2049100.0
2021-04-26,37.41,38.99,37.22,38.21,2486000.0
2021-04-23,36.83,37.79,36.5,37.32,2661400.0
2021-04-22,38.01,38.05,36.75,36.75,2257600.0
2021-04-20,37.6,38.14,37.44,37.73,1600800.0
2021-04-19,38.09,38.83,37.57,37.91,2751500.0
2021-04-16,37.77,38.2,37.51,37.72,2183300.0
2021-04-15,36.95,38.0,36.92,37.71,2811000.0
2021-04-14,38.3,38.76,36.82,36.82,3400000.0
2021-04-13,37.01,38.3,36.52,38.03,4332400.0
2021-04-12,36.97,37.36,36.34,36.61,1893200.0
2021-04-09,35.78,37.11,35.55,36.92,2772700.0
2021-04-08,36.23,36.46,35.63,35.99,2602700.0
2021-04-07,36.93,37.14,35.65,36.24,2611300.0
2021-04-06,37.43,37.67,36.65,36.94,1641600.0
2021-04-05,37.2,37.81,36.69,37.3,1498300.0
2021-04-01,37.56,37.8,36.72,37.08,1656400.0
2021-03-31,37.88,37.91,37.04,37.4,1779600.0
2021-03-30,35.78,38.22,35.78,37.84,1948000.0
2021-03-29,36.05,36.65,35.86,36.13,1287700.0
2021-03-26,36.94,36.94,36.13,36.45,2237800.0
2021-03-25,35.61,37.07,34.9,36.76,2998100.0
2021-03-24,36.27,36.81,35.83,36.01,2156800.0
2021-03-23,35.69,36.64,35.02,36.03,1632400.0
2021-03-22,36.09,37.41,35.58,35.81,4155500.0
2021-03-19,34.37,36.5,34.17,36.21,2695100.0
2021-03-18,35.25,35.35,34.09,34.49,1026400.0
2021-03-17,34.81,35.62,34.42,35.45,1424600.0
2021-03-16,35.71,35.74,34.56,34.82,1567000.0
2021-03-15,34.81,36.05,34.43,35.69,3322300.0
2021-03-12,33.91,35.15,33.65,34.82,3454100.0
2021-03-11,32.25,34.53,32.12,34.27,3944000.0
2021-03-10,31.4,32.24,31.0,32.16,1997000.0
2021-03-09,31.0,31.65,30.87,31.37,2280000.0
2021-03-08,32.34,32.35,30.95,31.11,2329900.0
2021-03-05,31.52,33.14,31.18,32.89,3654300.0
2021-03-04,30.9,31.88,30.58,31.47,2708200.0
2021-03-03,30.99,31.05,29.44,30.54,3996000.0
2021-03-02,30.53,31.41,29.28,30.99,3549400.0
2021-03-01,31.87,31.87,30.58,30.63,2226900.0
2021-02-26,32.8,32.93,31.2,31.55,2892100.0
2021-02-25,32.79,33.58,32.38,32.65,2076700.0
2021-02-24,33.01,33.14,32.56,32.79,1487100.0
2021-02-23,33.13,33.44,32.58,32.93,1458100.0
2021-02-22,33.31,33.4,32.28,32.88,3085800.0
2021-02-19,33.9,34.33,33.61,34.0,1328300.0
2021-02-18,34.3,34.57,33.71,33.96,1307300.0
2021-02-17,34.89,34.89,34.13,34.36,1051400.0
2021-02-12,34.38,35.0,34.0,35.0,1267400.0
2021-02-11,34.64,35.26,34.25,34.48,1513400.0
2021-02-10,35.0,35.08,34.28,34.43,1153400.0
2021-02-09,35.47,35.47,34.76,34.96,1125400.0
2021-02-08,35.27,35.79,34.82,35.5,1529100.0
2021-02-05,36.05,36.07,35.03,35.19,1680200.0
2021-02-04,36.6,37.09,35.46,35.63,2111300.0
2021-02-03,35.01,36.83,34.93,36.39,3303600.0
2021-02-02,34.95,35.95,34.86,34.98,2723400.0
2021-02-01,35.22,35.22,34.13,34.72,2693100.0
2021-01-29,35.09,35.77,34.26,34.31,1515700.0
2021-01-28,33.08,35.69,32.96,35.47,3159800.0
2021-01-27,33.17,33.92,32.81,33.15,1509700.0
2021-01-26,32.67,34.39,32.55,33.19,3102000.0
2021-01-22,32.5,33.07,32.45,32.65,2199500.0
2021-01-21,34.02,34.28,33.03,33.1,1731800.0
2021-01-20,34.67,34.79,33.6,34.01,1860900.0
2021-01-19,34.98,34.98,34.2,34.6,2260500.0
2021-01-18,34.35,34.95,34.28,34.57,1957700.0
2021-01-15,34.24,34.3,33.56,34.14,2331200.0
2021-01-14,33.8,34.87,33.67,34.72,1838600.0
2021-01-13,34.11,34.11,33.35,33.64,2648400.0
2021-01-12,33.86,34.13,33.18,34.13,2255100.0
2021-01-11,34.62,34.88,33.41,33.7,2765000.0
2021-01-08,33.68,35.34,33.62,35.23,2743600.0
2021-01-07,34.06,35.08,33.42,33.5,3243900.0
2021-01-06,35.31,35.4,33.87,33.87,2868800.0
2021-01-05,35.4,35.74,34.57,35.34,2380100.0
2021-01-04,37.29,37.41,35.46,35.46,2365700.0
2020-12-30,37.05,37.5,36.78,37.15,1963200.0
2020-12-29,37.66,37.77,36.86,36.86,1904800.0
2020-12-28,37.07,37.75,36.86,37.58,1101600.0
2020-12-23,36.59,37.09,36.5,36.96,851200.0
2020-12-22,37.17,37.4,36.36,36.49,1422300.0
2020-12-21,37.34,37.87,36.63,37.07,2228500.0
2020-12-18,38.93,39.25,38.15,38.27,1579400.0
2020-12-17,39.43,39.77,38.71,38.93,1278300.0
2020-12-16,39.72,39.8,38.81,39.42,1066900.0
2020-12-15,39.91,39.91,39.16,39.55,1034100.0
2020-12-14,39.44,40.24,39.3,39.66,1642900.0
2020-12-11,39.81,39.88,39.12,39.2,1765900.0
2020-12-10,39.24,40.14,38.67,40.1,2539000.0
2020-12-09,38.48,39.39,38.13,39.21,3249900.0
2020-12-08,38.65,39.06,37.44,38.4,1088200.0
2020-12-07,38.3,39.48,38.27,38.62,1917100.0
2020-12-04,39.69,40.1,38.1,38.3,2989200.0
2020-12-03,38.54,39.88,38.33,39.27,2408200.0
2020-12-02,38.15,38.64,37.84,38.52,1755100.0
2020-12-01,36.53,38.7,36.53,38.07,4133700.0
2020-11-30,36.85,37.26,35.88,36.16,3463600.0
2020-11-27,36.28,37.48,36.08,36.98,2822000.0
2020-11-26,36.83,37.13,36.17,36.29,1299000.0
2020-11-25,36.3,37.49,36.0,36.91,2459600.0
2020-11-24,34.55,36.85,34.55,36.3,3652700.0
2020-11-23,34.31,34.35,33.32,34.25,1347600.0
2020-11-20,34.43,34.89,33.7,33.7,1150500.0
2020-11-19,34.66,34.96,34.01,34.6,1826700.0
2020-11-18,36.1,36.6,34.65,34.66,1990700.0
2020-11-17,35.4,36.48,34.86,36.22,3150500.0
2020-11-16,35.9,35.97,34.73,35.51,2910200.0
2020-11-13,35.76,35.93,34.62,35.15,2352500.0
2020-11-12,37.04,37.26,34.91,35.56,3833900.0
2020-11-11,37.69,38.31,36.61,37.13,3904200.0
2020-11-10,38.06,39.12,37.31,37.69,4934300.0
2020-11-09,37.2,38.68,36.04,38.17,12855100.0
2020-11-06,31.98,33.99,31.53,33.98,4246400.0
2020-11-05,31.14,32.59,31.1,32.33,2335100.0
2020-11-04,29.7,30.84,29.55,30.82,1867900.0
2020-11-03,30.61,30.85,29.22,29.48,1872900.0
2020-10-30,30.45,30.45,29.52,29.99,2152500.0
2020-10-29,29.86,30.7,28.73,30.34,3943900.0
2020-10-28,31.16,31.16,29.95,30.0,2235800.0
2020-10-27,32.3,32.52,31.7,31.7,1728600.0
2020-10-26,33.36,33.43,31.94,32.29,2800300.0
2020-10-23,33.8,33.82,33.13,33.45,1183800.0
2020-10-22,34.25,34.34,33.55,33.7,1421000.0
2020-10-21,33.07,34.7,32.79,34.16,3257100.0
2020-10-20,32.61,33.1,32.24,33.06,1863100.0
2020-10-19,32.39,33.56,32.2,32.4,2107500.0
2020-10-16,32.48,32.56,31.77,32.14,1784000.0
2020-10-15,31.68,32.63,31.56,32.53,2584100.0
2020-10-14,32.02,32.72,31.69,32.09,1928500.0
2020-10-13,32.48,32.65,31.9,32.08,1922000.0
2020-10-09,32.45,33.21,32.02,32.4,1682100.0
2020-10-08,32.48,32.63,32.0,32.55,1585700.0
2020-10-07,32.35,33.02,31.72,32.32,1748000.0
2020-10-06,31.8,32.81,31.61,32.09,1989100.0
2020-10-05,31.34,31.91,30.91,31.4,1715100.0
2020-10-02,31.86,32.46,31.25,31.25,1842300.0
2020-10-01,30.71,32.23,30.34,32.12,1929500.0
2020-09-30,30.55,30.8,29.94,30.75,1760400.0
2020-09-29,30.9,31.04,30.15,30.34,1600100.0
2020-09-28,32.04,32.48,30.66,30.91,2039400.0
