date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,10.26,10.53,10.26,10.43,37892100.0
2021-05-12,10.36,10.37,10.21,10.25,23043500.0
2021-05-11,10.33,10.5,10.3,10.45,29957200.0
2021-05-10,10.3,10.45,10.25,10.45,30509500.0
2021-05-07,10.21,10.34,10.16,10.34,23877900.0
2021-05-06,10.15,10.25,10.09,10.2,24911600.0
2021-05-05,9.97,10.22,9.88,10.21,34616300.0
2021-05-04,10.26,10.26,9.9,9.92,59753300.0
2021-05-03,10.14,10.3,10.07,10.19,29608100.0
2021-04-30,10.15,10.22,10.01,10.06,42841900.0
2021-04-29,10.39,10.43,10.13,10.16,30609000.0
2021-04-28,10.16,10.4,10.15,10.4,54148500.0
2021-04-27,10.23,10.3,10.05,10.05,23809300.0
2021-04-26,10.33,10.42,10.17,10.27,18910200.0
2021-04-23,10.23,10.37,10.2,10.32,27176500.0
2021-04-22,10.23,10.26,10.11,10.22,27747200.0
2021-04-20,10.18,10.25,10.12,10.22,24236200.0
2021-04-19,10.25,10.3,10.13,10.2,23640400.0
2021-04-16,10.17,10.37,10.17,10.3,18474500.0
2021-04-15,10.27,10.36,10.15,10.26,25322100.0
2021-04-14,10.22,10.38,10.11,10.26,33713700.0
2021-04-13,10.14,10.24,10.04,10.19,31471300.0
2021-04-12,10.08,10.21,10.07,10.21,20128500.0
2021-04-09,10.05,10.15,10.02,10.04,25099600.0
2021-04-08,10.15,10.15,10.04,10.09,24367600.0
2021-04-07,10.12,10.21,10.06,10.12,22580900.0
2021-04-06,10.21,10.28,10.11,10.13,18463300.0
2021-04-05,10.18,10.24,10.1,10.23,18462200.0
2021-04-01,10.34,10.34,10.07,10.1,21246000.0
2021-03-31,10.39,10.42,10.17,10.32,30323100.0
2021-03-30,10.27,10.47,10.27,10.47,22201600.0
2021-03-29,10.28,10.39,10.17,10.32,18094000.0
2021-03-26,10.18,10.38,10.17,10.36,21190200.0
2021-03-25,10.02,10.26,9.97,10.26,24738300.0
2021-03-24,10.3,10.31,10.03,10.05,23601000.0
2021-03-23,10.41,10.54,10.26,10.26,21295400.0
2021-03-22,10.36,10.55,10.23,10.52,30066000.0
2021-03-19,10.54,10.58,10.32,10.44,46118800.0
2021-03-18,10.32,10.6,10.32,10.47,33386600.0
2021-03-17,10.04,10.38,9.99,10.37,26328500.0
2021-03-16,10.2,10.27,10.0,10.08,19378100.0
2021-03-15,10.14,10.29,10.1,10.23,18708500.0
2021-03-12,10.16,10.28,10.12,10.2,18526700.0
2021-03-11,10.37,10.45,10.11,10.28,28645800.0
2021-03-10,10.07,10.31,9.93,10.31,41919600.0
2021-03-09,10.04,10.22,9.85,10.05,28985800.0
2021-03-08,10.17,10.4,9.93,9.96,38257900.0
2021-03-05,10.3,10.49,10.2,10.37,33296800.0
2021-03-04,10.0,10.43,9.98,10.21,58054700.0
2021-03-03,9.85,10.08,9.59,9.99,55470400.0
2021-03-02,9.5,9.98,9.32,9.9,47103800.0
2021-03-01,10.1,10.15,9.62,9.62,41486600.0
2021-02-26,10.12,10.27,9.92,9.95,42484400.0
2021-02-25,10.43,10.52,10.06,10.08,49216800.0
2021-02-24,10.6,10.62,10.37,10.42,38282400.0
2021-02-23,9.92,10.55,9.92,10.52,63721000.0
2021-02-22,10.01,10.02,9.72,9.78,67078100.0
2021-02-19,10.35,10.43,10.23,10.25,29277900.0
2021-02-18,10.51,10.61,10.35,10.35,44200800.0
2021-02-17,10.6,10.62,10.45,10.54,32909100.0
2021-02-12,10.62,10.67,10.47,10.6,21744700.0
2021-02-11,10.69,10.77,10.59,10.64,14802200.0
2021-02-10,10.69,10.78,10.55,10.62,32311100.0
2021-02-09,10.58,10.84,10.49,10.69,26912500.0
2021-02-08,10.73,10.75,10.58,10.6,26015400.0
2021-02-05,10.84,10.89,10.7,10.76,18731500.0
2021-02-04,10.85,10.9,10.75,10.82,32973100.0
2021-02-03,10.82,11.02,10.77,10.82,27407500.0
2021-02-02,10.85,10.92,10.55,10.81,76871000.0
2021-02-01,10.79,10.95,10.75,10.79,34193000.0
2021-01-29,10.85,10.97,10.61,10.61,30921700.0
2021-01-28,10.56,10.99,10.56,10.97,26435900.0
2021-01-27,10.59,10.73,10.44,10.58,31746800.0
2021-01-26,10.86,11.06,10.54,10.62,40748800.0
2021-01-22,10.84,10.96,10.79,10.88,27850300.0
