date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,27.61,28.57,27.57,28.37,42619700.0
2021-05-12,27.7,27.8,27.38,27.57,22938400.0
2021-05-11,27.74,28.16,27.72,27.98,25238000.0
2021-05-10,27.67,28.24,27.52,28.04,28657200.0
2021-05-07,27.41,27.7,27.24,27.63,26593900.0
2021-05-06,27.36,27.62,27.09,27.3,23775900.0
2021-05-05,26.9,27.65,26.52,27.47,50089100.0
2021-05-04,28.1,28.35,26.65,26.71,78697700.0
2021-05-03,27.7,28.19,27.58,27.9,41304300.0
2021-04-30,27.18,27.59,26.95,27.53,42266700.0
2021-04-29,28.18,28.35,27.27,27.32,33380700.0
2021-04-28,27.52,28.3,27.44,28.21,37227100.0
2021-04-27,27.47,27.75,27.02,27.09,29520900.0
2021-04-26,27.67,27.85,27.28,27.51,20351000.0
2021-04-23,27.45,27.9,27.4,27.53,17102600.0
2021-04-22,27.53,27.72,27.23,27.4,24084500.0
2021-04-20,27.41,27.78,27.27,27.39,19709700.0
2021-04-19,27.88,27.96,27.45,27.53,26912900.0
2021-04-16,27.49,28.1,27.49,27.95,20124100.0
2021-04-15,27.66,28.08,27.39,27.64,29824900.0
2021-04-14,27.36,28.09,27.05,27.64,40550900.0
2021-04-13,27.17,27.44,26.88,27.29,26909700.0
2021-04-12,26.8,27.3,26.77,27.3,24735500.0
2021-04-09,26.53,26.99,26.5,26.64,20442300.0
2021-04-08,27.01,27.1,26.67,26.68,26535700.0
2021-04-07,27.02,27.35,26.65,26.89,31170400.0
2021-04-06,27.5,27.63,26.95,27.13,23033700.0
2021-04-05,27.36,27.59,27.12,27.45,23892300.0
2021-04-01,28.13,28.13,27.1,27.1,31542100.0
2021-03-31,28.31,28.48,27.68,27.97,29329900.0
2021-03-30,27.84,28.55,27.83,28.52,23500500.0
2021-03-29,28.12,28.21,27.6,28.06,22816700.0
2021-03-26,27.52,28.11,27.49,28.07,32630900.0
2021-03-25,27.0,27.68,26.87,27.65,51970400.0
2021-03-24,27.64,27.8,27.17,27.17,39958100.0
2021-03-23,28.0,28.52,27.64,27.65,31609300.0
2021-03-22,27.99,28.38,27.5,28.37,35682900.0
2021-03-19,28.24,28.58,27.75,28.21,47049800.0
2021-03-18,27.93,28.72,27.84,28.15,45649500.0
2021-03-17,26.86,28.05,26.77,27.99,35865600.0
2021-03-16,27.51,27.54,26.61,26.94,21756600.0
2021-03-15,27.15,27.59,26.98,27.5,27970100.0
2021-03-12,27.15,27.51,27.06,27.18,24567200.0
2021-03-11,27.6,27.88,26.98,27.36,34540300.0
2021-03-10,27.11,27.49,26.61,27.32,37352800.0
2021-03-09,26.62,27.56,26.35,27.12,37490800.0
2021-03-08,26.9,27.98,26.56,26.75,57142300.0
2021-03-05,26.73,27.82,26.52,27.63,77661000.0
2021-03-04,26.02,27.1,25.93,26.64,65736300.0
2021-03-03,25.77,26.29,24.82,25.83,61550400.0
2021-03-02,24.33,26.32,23.92,25.77,66482700.0
2021-03-01,25.9,25.97,24.77,24.77,45127500.0
2021-02-26,26.2,26.39,25.51,25.55,48297700.0
2021-02-25,26.9,27.06,25.98,26.08,40973600.0
2021-02-24,27.43,27.52,26.61,26.85,35645700.0
2021-02-23,25.91,27.43,25.85,27.25,76464200.0
2021-02-22,26.55,26.61,25.53,25.61,86487800.0
2021-02-19,27.89,28.2,27.34,27.62,26924200.0
2021-02-18,27.92,28.5,27.81,27.91,49322800.0
2021-02-17,27.8,28.28,27.64,28.11,24638700.0
2021-02-12,27.53,28.1,27.4,27.76,24866200.0
2021-02-11,27.99,28.13,27.5,27.69,22401600.0
2021-02-10,27.9,28.19,27.38,27.69,28662100.0
2021-02-09,27.49,28.41,27.23,27.89,37756700.0
2021-02-08,28.0,28.2,27.51,27.56,28937500.0
2021-02-05,28.31,28.45,27.89,28.08,39293900.0
2021-02-04,28.53,28.56,27.88,28.2,65454600.0
2021-02-03,28.76,28.9,28.21,28.32,41438600.0
2021-02-02,29.08,29.3,28.0,28.46,100327800.0
2021-02-01,29.0,29.42,28.74,29.08,46368000.0
2021-01-29,29.22,29.55,28.29,28.34,46309700.0
2021-01-28,28.29,29.63,28.23,29.39,52028200.0
2021-01-27,28.11,28.99,27.86,28.23,42970700.0
2021-01-26,28.99,29.85,28.14,28.25,50992800.0
2021-01-22,29.25,29.47,28.98,29.27,36801600.0
2021-01-21,30.32,30.46,29.65,29.91,34671600.0
