date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,27.81,27.95,27.22,27.28,8064700.0
2021-05-12,27.96,28.21,27.64,27.64,4402000.0
2021-05-11,27.7,28.3,27.42,28.3,6381700.0
2021-05-10,28.0,28.12,27.57,28.02,4341600.0
2021-05-07,28.0,28.01,27.45,27.9,4485400.0
2021-05-06,27.73,27.95,27.06,27.95,7235900.0
2021-05-05,27.68,27.97,27.22,27.89,5084500.0
2021-05-04,27.44,27.94,27.3,27.38,5273500.0
2021-05-03,27.9,28.02,27.09,27.53,6723100.0
2021-04-30,28.08,28.58,27.75,27.86,12509000.0
2021-04-29,28.13,28.79,28.04,28.2,5909500.0
2021-04-28,29.32,29.32,28.03,28.12,6854700.0
2021-04-27,28.91,29.54,28.89,29.28,6967800.0
2021-04-26,29.24,29.29,28.75,28.97,3895000.0
2021-04-23,29.5,29.5,28.83,29.06,5948900.0
2021-04-22,30.2,30.35,29.3,29.3,4773400.0
2021-04-20,29.7,30.39,29.7,30.09,6184400.0
2021-04-19,29.5,30.15,29.34,29.84,4903400.0
2021-04-16,30.05,30.63,29.4,29.45,4818700.0
2021-04-15,29.65,30.15,29.53,30.05,5334600.0
2021-04-14,30.0,30.15,29.41,29.7,5914800.0
2021-04-13,29.98,30.0,29.47,29.96,5752800.0
2021-04-12,29.44,30.1,29.44,29.95,7538900.0
2021-04-09,29.08,29.9,28.94,29.44,8814900.0
2021-04-08,28.82,29.4,28.64,29.18,6757200.0
2021-04-07,28.62,28.96,28.35,28.83,5451100.0
2021-04-06,28.09,28.69,27.91,28.6,6908400.0
2021-04-05,28.31,28.33,27.56,28.08,7262200.0
2021-04-01,27.61,28.51,27.29,28.05,10153500.0
2021-03-31,28.3,28.38,27.41,27.63,10573900.0
2021-03-30,28.45,28.72,28.12,28.32,5996600.0
2021-03-29,28.35,28.84,28.22,28.63,3411400.0
2021-03-26,28.61,29.07,28.25,28.6,4976200.0
2021-03-25,28.61,28.78,28.2,28.56,5702300.0
2021-03-24,28.65,29.53,28.62,28.77,8871300.0
2021-03-23,28.1,28.94,28.02,28.52,4897900.0
2021-03-22,28.4,29.08,27.61,28.46,9502700.0
2021-03-19,28.71,29.05,28.06,28.25,10830400.0
2021-03-18,29.2,29.42,28.48,28.7,7315600.0
2021-03-17,29.55,30.07,29.16,29.56,10324400.0
2021-03-16,28.45,29.82,28.3,29.61,9269000.0
2021-03-15,29.02,29.27,28.11,28.37,7671500.0
2021-03-12,28.79,29.65,28.62,29.08,7253100.0
2021-03-11,29.5,29.58,27.94,28.93,18414200.0
2021-03-10,30.61,30.87,29.13,29.28,9305100.0
2021-03-09,29.53,31.16,29.5,30.51,10954000.0
2021-03-08,30.32,30.53,29.2,29.56,8794100.0
2021-03-05,30.02,31.15,29.81,30.7,7441800.0
2021-03-04,30.2,31.2,29.64,30.02,9687600.0
2021-03-03,29.92,30.82,29.54,30.09,11411100.0
2021-03-02,30.45,31.23,29.78,29.91,9221700.0
2021-03-01,30.2,31.46,29.82,30.76,12982200.0
2021-02-26,29.91,30.7,29.07,29.47,17232000.0
2021-02-25,31.1,31.54,29.46,29.78,9369800.0
2021-02-24,30.68,31.35,29.9,31.18,12341300.0
2021-02-23,30.45,31.09,30.05,30.68,14513800.0
2021-02-22,29.47,30.98,28.88,30.57,26161600.0
2021-02-19,28.96,29.88,28.41,29.62,14547700.0
2021-02-18,28.29,29.28,27.93,28.9,36013800.0
2021-02-17,28.0,28.73,27.79,28.48,5782400.0
2021-02-12,28.26,28.26,27.92,28.11,4724800.0
2021-02-11,28.41,28.66,27.94,28.26,5933200.0
2021-02-10,27.87,28.52,27.63,28.08,8736400.0
2021-02-09,28.17,28.4,27.52,27.86,5467800.0
2021-02-08,28.46,28.9,27.82,28.16,6097300.0
2021-02-05,28.25,28.66,28.06,28.46,7109500.0
2021-02-04,28.26,28.6,28.0,28.01,3020600.0
2021-02-03,28.33,28.8,28.15,28.29,3779800.0
2021-02-02,29.15,29.24,27.92,28.14,5698200.0
2021-02-01,28.52,28.87,27.85,28.7,7251900.0
2021-01-29,28.01,28.53,27.73,28.1,5767200.0
2021-01-28,28.03,28.72,27.78,28.12,5256200.0
2021-01-27,29.34,29.53,28.08,28.2,6414300.0
2021-01-26,28.6,29.58,28.58,29.3,5239500.0
2021-01-22,28.78,29.22,28.45,28.73,4390700.0
2021-01-21,29.1,29.64,28.58,29.14,4448300.0
2021-01-20,29.25,30.16,29.11,29.11,6466800.0
2021-01-19,29.23,29.48,28.35,29.13,5272500.0
2021-01-18,28.86,30.04,28.71,29.1,3786700.0
2021-01-15,28.3,29.22,28.3,28.73,5832200.0
2021-01-14,28.89,29.11,28.22,28.6,3665500.0
2021-01-13,29.65,29.83,28.34,28.73,5381800.0
2021-01-12,29.27,29.99,28.9,29.59,6183100.0
2021-01-11,28.99,29.88,28.79,29.27,8004700.0
2021-01-08,28.32,29.36,28.06,29.28,10392100.0
2021-01-07,26.27,28.3,26.18,28.13,9768200.0
2021-01-06,26.0,26.43,25.56,26.14,4827900.0
2021-01-05,25.95,26.11,25.4,25.88,4435500.0
2021-01-04,26.62,26.64,25.81,25.94,6077100.0
2020-12-30,25.58,26.57,25.53,26.47,11112600.0
2020-12-29,25.48,25.64,25.29,25.58,2823100.0
2020-12-28,25.3,25.54,25.08,25.46,2826000.0
2020-12-23,25.85,25.86,25.0,25.27,3984200.0
2020-12-22,24.96,25.83,24.85,25.77,4699200.0
2020-12-21,25.2,25.41,24.71,24.9,3386000.0
2020-12-18,25.1,26.48,24.98,25.49,9082900.0
2020-12-17,24.84,25.19,24.7,25.12,3261900.0
2020-12-16,24.5,24.93,24.35,24.84,6070400.0
2020-12-15,24.0,24.61,23.83,24.49,4045200.0
2020-12-14,23.8,24.04,23.63,23.9,3106600.0
2020-12-11,23.68,24.02,23.5,23.9,3805700.0
2020-12-10,23.81,24.2,23.52,23.82,4763300.0
2020-12-09,23.86,23.99,23.56,23.75,4791300.0
2020-12-08,24.01,24.22,23.66,23.91,3294700.0
2020-12-07,24.19,24.45,23.76,23.91,4437600.0
2020-12-04,24.1,24.54,23.8,24.16,4727500.0
2020-12-03,24.95,25.01,23.77,24.05,8482500.0
2020-12-02,25.5,25.75,24.76,24.85,6739400.0
2020-12-01,25.22,25.77,25.12,25.51,5761600.0
2020-11-30,25.01,25.3,24.64,25.08,8783400.0
2020-11-27,24.29,25.2,24.11,24.83,8528200.0
2020-11-26,23.3,24.29,23.3,23.95,5528800.0
2020-11-25,23.38,23.54,23.06,23.3,4411300.0
2020-11-24,23.44,23.63,23.16,23.37,5565200.0
2020-11-23,23.55,23.74,23.17,23.45,4323000.0
2020-11-20,23.29,23.57,23.01,23.42,4527600.0
2020-11-19,23.87,23.9,23.26,23.35,3824600.0
2020-11-18,23.69,23.92,23.48,23.72,4705300.0
2020-11-17,24.25,24.52,23.47,23.69,9422600.0
2020-11-16,24.71,24.84,23.92,24.12,7522200.0
2020-11-13,23.4,24.54,23.4,24.44,7302100.0
2020-11-12,23.19,23.58,22.83,23.4,5795700.0
2020-11-11,23.43,23.51,22.96,23.19,6481300.0
2020-11-10,23.53,23.68,23.1,23.3,7422900.0
2020-11-09,24.0,24.09,22.65,23.54,7998400.0
2020-11-06,23.9,24.44,23.72,23.76,4348200.0
2020-11-05,24.33,24.38,23.45,23.96,4750100.0
2020-11-04,24.42,24.52,23.66,24.08,3425800.0
2020-11-03,24.06,24.4,23.66,24.2,5004600.0
2020-10-30,23.86,24.42,23.57,23.74,6838600.0
2020-10-29,23.72,24.23,23.52,23.83,5921200.0
2020-10-28,24.4,24.61,23.7,23.72,5326700.0
2020-10-27,25.34,25.48,24.56,24.63,4287800.0
2020-10-26,25.38,25.75,25.01,25.25,3678300.0
2020-10-23,25.15,25.59,24.82,25.37,3974300.0
2020-10-22,25.15,25.57,25.06,25.23,5812900.0
2020-10-21,25.37,25.44,25.06,25.14,3918500.0
2020-10-20,25.26,25.63,25.06,25.38,4434600.0
2020-10-19,26.02,26.33,25.12,25.17,5980600.0
2020-10-16,24.87,26.17,24.64,25.81,7456600.0
2020-10-15,24.49,25.06,24.02,24.82,4850000.0
2020-10-14,24.7,24.94,24.39,24.45,3798500.0
2020-10-13,24.35,24.74,23.99,24.66,4408600.0
2020-10-09,24.79,24.84,24.09,24.18,5104800.0
2020-10-08,24.55,25.09,24.3,24.89,5361600.0
2020-10-07,24.1,24.98,24.07,24.44,5661700.0
2020-10-06,24.32,24.59,23.68,24.03,5318000.0
2020-10-05,23.87,24.45,23.75,24.27,4233400.0
2020-10-02,23.85,24.34,23.66,23.88,5134600.0
2020-10-01,23.77,24.41,23.33,24.32,6497800.0
2020-09-30,24.16,24.3,23.51,23.8,6491200.0
2020-09-29,23.79,24.9,23.62,24.07,6654100.0
2020-09-28,24.61,24.86,23.68,23.81,5845400.0
2020-09-25,24.59,24.67,23.89,24.55,3716300.0
2020-09-24,24.29,24.7,23.85,24.43,4869100.0
2020-09-23,24.17,24.39,23.77,24.26,5259200.0
2020-09-22,24.76,24.91,24.17,24.33,3691500.0
2020-09-21,25.08,25.48,24.25,24.78,4641400.0
2020-09-18,25.42,26.32,25.07,25.19,12418900.0
2020-09-17,24.8,25.48,24.52,25.41,3266500.0
2020-09-16,25.86,26.08,24.67,25.07,4869200.0
2020-09-15,24.84,25.59,24.48,25.5,5183100.0
2020-09-14,24.23,24.82,24.12,24.75,3459500.0
2020-09-11,24.52,24.65,23.94,24.2,4349200.0
2020-09-10,24.75,25.0,24.4,24.62,3804100.0
2020-09-09,24.58,25.0,24.38,24.84,2710100.0
2020-09-08,24.98,25.03,24.27,24.43,3775400.0
2020-09-04,25.13,25.24,24.58,24.95,4802500.0
2020-09-03,25.33,25.77,24.72,25.2,3974600.0
2020-09-02,26.06,26.19,25.18,25.39,5131600.0
2020-09-01,25.89,26.21,25.61,26.09,3724000.0
2020-08-31,26.36,26.36,25.51,25.7,8710500.0
2020-08-28,26.18,26.29,25.71,26.17,4347000.0
2020-08-27,26.18,26.5,25.81,26.08,2791800.0
2020-08-26,25.99,26.44,25.53,26.18,5528600.0
2020-08-25,26.64,26.77,25.9,26.13,5019400.0
2020-08-24,26.22,26.61,25.84,26.58,4087900.0
2020-08-21,26.02,26.31,25.67,26.11,2840700.0
2020-08-20,25.84,26.45,25.66,26.18,7310500.0
2020-08-19,26.06,26.45,25.58,25.77,5658100.0
2020-08-18,25.87,26.08,25.64,25.87,4281900.0
2020-08-17,24.99,26.09,24.73,25.68,8538400.0
2020-08-14,25.19,26.04,24.96,25.15,8268600.0
2020-08-13,24.49,25.59,24.2,25.25,12533500.0
2020-08-12,24.05,24.64,23.69,24.52,7370300.0
2020-08-11,23.51,24.14,23.19,23.95,9645100.0
2020-08-10,23.07,23.6,22.94,23.38,4054800.0
2020-08-07,22.93,23.55,22.87,23.07,5641300.0
2020-08-06,23.0,23.5,22.78,23.25,8122300.0
2020-08-05,21.09,22.9,20.91,22.89,12183700.0
2020-08-04,20.94,21.19,20.26,20.85,6439400.0
2020-08-03,20.85,21.25,20.59,20.87,6509700.0
2020-07-31,21.3,21.36,20.45,20.66,6270500.0
2020-07-30,20.91,21.48,20.91,21.29,3216800.0
2020-07-29,21.14,21.3,20.94,21.05,2566200.0
2020-07-28,21.45,21.45,20.99,21.14,2731800.0
2020-07-27,21.47,21.75,21.28,21.44,3750800.0
2020-07-24,21.35,21.9,21.12,21.45,6102200.0
2020-07-23,21.2,21.49,20.94,21.36,5459900.0
2020-07-22,21.15,21.65,20.87,21.15,5342300.0
2020-07-21,21.5,21.5,20.68,20.99,5595100.0
2020-07-20,20.94,21.49,20.78,21.27,5756600.0
2020-07-17,20.77,21.12,20.65,20.94,4317300.0
2020-07-16,20.9,21.25,20.57,20.68,4774800.0
2020-07-15,20.46,21.11,20.27,20.96,7737500.0
2020-07-14,20.0,20.56,19.83,20.4,6756300.0
2020-07-13,20.51,20.62,19.95,20.02,4001300.0
2020-07-10,20.68,20.73,20.31,20.45,2381700.0
2020-07-09,20.92,20.99,20.43,20.64,4225900.0
2020-07-08,20.64,21.11,20.52,21.0,5610500.0
2020-07-07,20.44,20.8,20.27,20.59,7538300.0
2020-07-06,20.96,21.06,20.41,20.64,6302400.0
2020-07-03,20.67,20.97,20.49,20.87,3403200.0
2020-07-02,21.01,21.15,20.41,20.72,7293200.0
2020-07-01,20.36,21.05,20.34,20.84,9755500.0
2020-06-30,20.26,20.7,20.11,20.33,11038000.0
2020-06-29,20.6,20.82,20.22,20.25,6349100.0
2020-06-26,20.53,21.11,20.38,20.51,7847700.0
2020-06-25,20.55,20.7,20.1,20.36,7234900.0
2020-06-24,20.12,20.58,19.9,20.48,6808700.0
2020-06-23,20.3,20.46,19.8,19.97,8529300.0
2020-06-22,20.72,20.74,20.05,20.36,5382900.0
2020-06-19,20.2,20.8,20.13,20.51,19273200.0
2020-06-18,19.65,20.11,19.37,20.08,6430800.0
2020-06-17,19.25,19.8,19.15,19.55,4314400.0
2020-06-16,19.38,19.56,19.01,19.11,6093000.0
2020-06-15,19.4,19.75,19.07,19.28,8010100.0
2020-06-12,19.4,19.58,18.7,19.24,10245300.0
2020-06-10,19.7,19.82,19.36,19.69,7925200.0
2020-06-09,19.7,19.93,19.3,19.68,7464900.0
2020-06-08,19.18,19.6,18.8,19.6,5825200.0
2020-06-05,19.77,19.83,19.0,19.1,11454700.0
2020-06-04,19.48,20.04,19.44,19.71,8063700.0
2020-06-03,19.76,19.99,19.31,19.48,8483500.0
2020-06-02,19.7,19.9,19.45,19.71,5796900.0
2020-06-01,19.7,20.32,18.98,19.65,9463800.0
2020-05-29,19.55,19.87,19.16,19.71,10785200.0
2020-05-28,19.9,19.97,19.35,19.49,6668000.0
2020-05-27,18.95,19.79,18.76,19.61,11893300.0
2020-05-26,18.95,19.08,18.68,18.85,8508000.0
2020-05-25,19.36,19.36,18.7,18.87,10899900.0
2020-05-22,19.0,19.53,18.96,19.2,8379900.0
2020-05-21,19.75,19.92,18.82,19.07,10412700.0
2020-05-20,20.2,20.49,19.43,19.85,8011400.0
2020-05-19,20.03,20.83,19.54,20.04,11856400.0
2020-05-18,21.51,21.69,19.7,20.0,11991500.0
2020-05-15,22.28,22.55,21.0,21.73,12089800.0
2020-05-14,23.35,23.42,21.57,22.4,13648400.0
2020-05-13,21.68,23.38,21.55,23.25,16789600.0
2020-05-12,21.82,21.97,21.31,21.6,8166400.0
2020-05-11,21.5,22.53,21.22,21.66,7950300.0
2020-05-08,20.87,21.74,20.76,21.49,10683700.0
2020-05-07,18.89,21.36,18.87,20.61,20654700.0
2020-05-06,18.83,19.21,18.42,18.58,6788700.0
2020-05-05,18.05,18.99,17.55,18.7,9042800.0
2020-05-04,17.43,18.29,17.38,17.78,8782500.0
2020-04-30,17.4,18.27,17.38,17.81,8850700.0
2020-04-29,17.94,18.19,17.33,17.55,8166000.0
2020-04-28,18.19,18.32,17.61,17.94,5896900.0
2020-04-27,17.44,18.19,17.35,17.82,6759400.0
2020-04-24,17.06,17.46,15.82,17.25,11581800.0
2020-04-23,16.58,17.27,16.28,16.96,6958900.0
2020-04-22,16.01,16.66,16.01,16.53,10306200.0
2020-04-20,15.68,16.21,15.55,15.95,5705600.0
2020-04-17,16.18,16.26,15.66,15.85,4453400.0
2020-04-16,16.15,16.29,15.7,15.94,6888500.0
2020-04-15,16.26,16.78,15.9,15.97,8395800.0
2020-04-14,16.52,17.1,16.28,16.45,4637000.0
2020-04-13,15.95,16.42,15.77,16.2,3740900.0
2020-04-09,16.43,16.65,15.76,16.0,6949000.0
2020-04-08,16.25,16.58,15.72,16.24,9277700.0
2020-04-07,16.9,17.28,15.51,16.1,11009600.0
2020-04-06,16.87,17.35,16.25,16.49,5958200.0
2020-04-03,17.0,17.1,15.83,16.61,9800000.0
2020-04-02,15.92,17.26,15.61,16.85,10613200.0
2020-04-01,15.99,16.24,15.25,15.75,8760300.0
2020-03-31,16.06,17.05,15.76,15.99,10428000.0
2020-03-30,16.1,16.97,15.54,15.73,8826100.0
2020-03-27,13.7,16.15,13.4,14.98,10917600.0
2020-03-26,14.11,14.84,13.58,14.13,9342600.0
2020-03-25,13.35,14.93,13.35,13.88,5475700.0
2020-03-24,14.48,14.85,13.04,13.39,8671600.0
2020-03-23,13.7,14.42,12.84,13.51,8230200.0
2020-03-20,14.64,15.3,12.4,13.76,20337500.0
2020-03-19,12.3,14.68,11.74,14.42,13736800.0
2020-03-18,13.26,13.54,11.79,12.81,22252000.0
2020-03-17,14.1,15.32,13.68,14.28,10474400.0
2020-03-16,13.9,15.33,13.4,13.79,13078400.0
2020-03-13,17.31,17.62,15.0,16.16,9848400.0
2020-03-12,16.56,16.8,14.5,15.8,14978100.0
2020-03-11,19.37,19.59,16.56,18.2,14650000.0
2020-03-10,20.29,20.68,19.11,19.71,7684500.0
2020-03-09,20.8,20.8,19.31,19.59,9374100.0
2020-03-06,20.8,21.68,20.54,20.98,7585200.0
2020-03-05,22.1,22.66,21.2,21.59,9505200.0
2020-03-04,21.25,22.35,21.18,22.06,10211000.0
2020-03-03,20.51,21.25,20.39,20.8,8015600.0
2020-03-02,19.79,20.91,19.56,20.33,10233900.0
2020-02-28,19.21,19.5,18.49,19.25,9846500.0
2020-02-27,19.8,20.0,19.24,19.33,7118700.0
2020-02-26,20.07,20.92,20.0,20.0,8951900.0
2020-02-21,20.99,22.08,20.84,21.82,5947400.0
2020-02-20,20.96,21.26,20.87,21.03,3453100.0
2020-02-19,20.81,21.26,20.77,21.0,3093600.0
2020-02-18,20.87,21.06,20.53,21.0,2793800.0
2020-02-17,21.41,21.41,20.96,20.96,2549000.0
2020-02-14,21.63,21.92,21.07,21.34,3690200.0
2020-02-13,21.5,22.14,21.31,21.68,5260300.0
2020-02-12,20.91,21.99,20.86,21.72,8356400.0
2020-02-11,20.4,20.89,20.3,20.78,5842200.0
2020-02-10,20.51,20.85,20.01,20.18,6736200.0
2020-02-07,21.0,21.2,20.51,20.56,3958800.0
2020-02-06,21.45,21.98,20.97,21.09,7013800.0
2020-02-05,21.1,21.57,20.66,20.91,5868700.0
2020-02-04,20.82,21.09,20.73,20.96,3092400.0
2020-02-03,20.9,20.97,20.45,20.59,5875000.0
2020-01-31,20.94,21.24,20.69,20.75,5490400.0
2020-01-30,21.03,21.19,20.18,21.19,4498800.0
2020-01-29,20.95,21.27,20.65,21.15,3278800.0
2020-01-28,20.86,21.2,20.58,20.83,3198900.0
2020-01-27,21.38,21.38,20.68,20.81,5570800.0
2020-01-24,21.89,21.9,21.51,21.76,2968100.0
2020-01-23,21.7,21.95,21.25,21.78,3856200.0
2020-01-22,20.77,22.0,20.75,21.7,6982900.0
2020-01-21,20.8,21.0,20.61,20.61,3401400.0
2020-01-20,20.71,20.99,20.62,20.9,2616600.0
2020-01-17,20.6,20.92,20.6,20.76,2277600.0
2020-01-16,20.72,20.96,20.48,20.61,3762400.0
2020-01-15,21.1,21.12,20.49,20.63,5875600.0
2020-01-14,20.5,21.1,20.34,21.08,6003400.0
2020-01-13,19.53,20.49,19.53,20.45,6228900.0
2020-01-10,19.55,19.83,19.44,19.52,2901100.0
2020-01-09,19.23,19.63,19.2,19.44,2876800.0
2020-01-08,19.21,19.53,19.07,19.22,2969700.0
2020-01-07,19.1,19.24,18.95,19.16,3638600.0
2020-01-06,19.31,19.38,18.93,19.13,4914800.0
2020-01-03,18.67,19.39,18.46,19.39,8131400.0
2020-01-02,18.52,18.86,18.41,18.76,3878700.0
2019-12-30,18.57,18.75,18.41,18.41,2212900.0
2019-12-27,18.56,18.73,18.24,18.53,2986400.0
2019-12-26,18.59,18.69,18.43,18.56,3509900.0
2019-12-23,18.6,18.72,18.31,18.59,2474900.0
2019-12-20,18.88,18.88,18.65,18.7,5819400.0
2019-12-19,18.93,19.2,18.55,18.79,5615800.0
2019-12-18,18.86,18.91,18.56,18.84,7694300.0
2019-12-17,18.62,18.98,18.58,18.75,4177600.0
2019-12-16,18.83,19.05,18.51,18.52,4575800.0
2019-12-13,18.83,18.95,18.63,18.83,3499200.0
2019-12-12,18.65,18.88,18.57,18.73,3713500.0
2019-12-11,18.34,18.64,18.12,18.64,3746000.0
2019-12-10,18.1,18.44,18.01,18.25,4263400.0
2019-12-09,18.39,18.6,17.91,17.97,5514000.0
2019-12-06,18.23,18.49,18.1,18.39,3646300.0
2019-12-05,18.09,18.29,18.01,18.13,2541900.0
2019-12-04,18.18,18.27,17.9,18.06,2534800.0
2019-12-03,18.2,18.4,17.92,18.08,3541500.0
2019-12-02,17.76,18.1,17.76,18.1,4510400.0
2019-11-29,17.7,17.92,17.51,17.72,3456100.0
2019-11-28,17.87,18.02,17.61,17.64,3339500.0
2019-11-27,17.61,18.12,17.54,17.86,4842500.0
2019-11-26,17.43,17.7,17.21,17.58,6950600.0
2019-11-25,17.75,17.77,17.45,17.46,4427600.0
2019-11-22,17.7,18.22,17.5,17.7,6558400.0
2019-11-21,17.61,17.8,17.43,17.66,3657300.0
2019-11-19,17.68,17.79,17.44,17.61,2209800.0
2019-11-18,17.79,17.8,17.52,17.6,5494100.0
2019-11-14,17.5,17.68,17.44,17.55,3065000.0
2019-11-13,17.68,17.8,17.47,17.51,4924600.0
2019-11-12,17.81,18.1,17.6,17.7,4809700.0
2019-11-11,17.48,18.02,17.32,17.8,6939100.0
2019-11-08,17.6,17.76,17.43,17.59,3688400.0
2019-11-07,16.78,17.89,16.71,17.68,12983900.0
2019-11-06,17.25,17.27,16.93,16.93,4862400.0
2019-11-05,16.94,17.34,16.81,17.25,4940600.0
2019-11-04,16.25,17.2,16.21,16.92,7930800.0
2019-11-01,15.85,16.3,15.84,16.14,4538700.0
2019-10-31,15.68,16.01,15.57,15.82,3691000.0
2019-10-30,15.48,15.74,15.38,15.66,3287600.0
2019-10-29,15.65,15.65,15.37,15.48,2620200.0
2019-10-28,16.05,16.05,15.51,15.59,4036800.0
2019-10-25,16.09,16.1,15.78,15.78,3175300.0
2019-10-24,16.05,16.14,15.91,16.06,3387500.0
2019-10-23,15.95,16.11,15.8,16.04,2434600.0
2019-10-22,15.81,16.0,15.77,15.96,2228200.0
2019-10-21,15.68,15.8,15.6,15.8,1889500.0
2019-10-18,15.85,15.88,15.64,15.69,5219300.0
2019-10-17,15.96,16.04,15.75,15.85,2668400.0
2019-10-16,15.6,16.0,15.56,15.94,3493200.0
2019-10-15,15.4,15.72,15.32,15.7,2586200.0
2019-10-14,15.33,15.52,15.25,15.43,3033500.0
2019-10-11,14.8,15.37,14.75,15.29,5296100.0
2019-10-10,14.5,14.87,14.5,14.65,4586300.0
2019-10-09,14.49,14.6,14.42,14.55,6840800.0
2019-10-08,14.75,14.79,14.43,14.43,3650300.0
2019-10-07,14.93,14.96,14.7,14.72,2712300.0
2019-10-04,14.87,14.92,14.67,14.9,2382900.0
2019-10-03,14.9,14.93,14.64,14.81,2785400.0
2019-10-02,15.12,15.17,14.84,14.84,3107700.0
2019-10-01,15.44,15.44,15.13,15.15,2218600.0
2019-09-30,15.17,15.39,15.07,15.39,2516200.0
2019-09-27,15.22,15.26,15.12,15.14,1645100.0
2019-09-26,15.34,15.34,15.15,15.22,1974100.0
2019-09-25,15.2,15.31,15.05,15.29,2410700.0
