date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,19.4,19.82,19.21,19.43,9921900.0
2021-05-12,19.57,19.66,19.17,19.34,9806600.0
2021-05-11,19.64,19.79,19.21,19.6,11310100.0
2021-05-10,20.39,20.49,19.65,19.69,12983100.0
2021-05-07,20.34,20.58,19.92,20.5,18720900.0
2021-05-06,21.0,21.02,20.25,20.45,11217100.0
2021-05-05,21.08,21.4,20.9,20.91,8236000.0
2021-05-04,20.95,21.63,20.93,21.0,13752100.0
2021-05-03,20.88,21.39,20.81,20.95,11915700.0
2021-04-30,21.3,21.87,20.64,20.86,29402200.0
2021-04-29,23.04,23.08,20.68,21.46,59771200.0
2021-04-28,21.9,22.63,21.66,22.63,9384400.0
2021-04-27,22.29,22.31,21.7,21.83,6895100.0
2021-04-26,22.96,22.97,22.22,22.35,7065900.0
2021-04-23,22.27,23.04,22.1,22.8,8697700.0
2021-04-22,23.6,23.65,22.07,22.12,16759900.0
2021-04-20,23.25,23.34,22.72,22.85,6084400.0
2021-04-19,23.66,23.99,23.24,23.35,7338600.0
2021-04-16,23.18,23.74,22.94,23.6,9806400.0
2021-04-15,23.35,23.77,23.16,23.26,8315800.0
2021-04-14,24.01,24.41,23.31,23.31,14469400.0
2021-04-13,22.1,24.3,21.96,24.07,23047800.0
2021-04-12,21.98,22.36,21.76,22.02,13563600.0
2021-04-09,22.25,22.32,21.76,21.91,7519600.0
2021-04-08,22.21,22.79,22.15,22.39,6719800.0
2021-04-07,22.64,22.82,22.07,22.19,6601200.0
2021-04-06,22.83,23.0,22.4,22.7,6485600.0
2021-04-05,22.6,22.86,22.37,22.84,4880900.0
2021-04-01,22.37,22.82,22.21,22.4,6460500.0
2021-03-31,22.4,22.66,22.11,22.36,5525600.0
2021-03-30,21.62,22.74,21.54,22.5,11556500.0
2021-03-29,21.56,21.79,21.41,21.65,4490400.0
2021-03-26,21.79,22.26,21.37,21.6,8038200.0
2021-03-25,21.32,21.97,21.03,21.76,7287200.0
2021-03-24,22.07,22.11,21.22,21.44,6697000.0
2021-03-23,22.0,22.64,21.87,21.99,6490800.0
2021-03-22,22.03,22.53,21.88,22.21,6506900.0
2021-03-19,21.64,22.32,21.54,22.14,11045500.0
2021-03-18,22.33,22.54,21.31,21.7,15999600.0
2021-03-17,22.09,22.93,21.92,22.65,12303100.0
2021-03-16,22.24,22.54,21.95,22.36,11522100.0
2021-03-15,21.71,22.27,21.36,22.19,10949400.0
2021-03-12,22.33,22.34,21.56,21.67,18858300.0
2021-03-11,22.14,22.6,21.59,22.47,14511300.0
2021-03-10,21.19,22.13,20.91,21.97,19596900.0
2021-03-09,22.3,22.44,20.95,21.0,26476400.0
2021-03-08,23.68,23.68,21.9,22.27,25750000.0
2021-03-05,24.5,24.5,23.35,23.92,19280400.0
2021-03-04,24.11,25.2,24.03,24.56,15046800.0
2021-03-03,24.24,24.44,22.64,23.91,22545000.0
2021-03-02,24.23,24.79,23.37,24.25,14144900.0
2021-03-01,25.27,25.68,24.61,24.68,8992500.0
2021-02-26,26.1,26.31,24.7,24.91,13418000.0
2021-02-25,26.92,28.04,25.75,25.98,17796800.0
2021-02-24,27.3,27.41,26.25,26.6,11749300.0
2021-02-23,28.5,28.6,27.01,27.23,20005500.0
2021-02-22,27.1,29.26,25.83,28.95,64140200.0
2021-02-19,23.77,24.56,23.68,24.15,8139500.0
2021-02-18,24.22,24.31,23.63,23.82,8870400.0
2021-02-17,24.51,24.63,24.11,24.4,7343000.0
2021-02-12,24.24,24.74,24.18,24.61,8903100.0
2021-02-11,23.97,24.59,23.82,24.3,7800700.0
2021-02-10,24.27,24.28,23.68,23.82,15284100.0
2021-02-09,24.59,24.74,24.01,24.27,9143600.0
2021-02-08,24.8,24.96,24.27,24.52,5805900.0
2021-02-05,24.89,25.03,24.56,24.8,5207800.0
2021-02-04,25.27,25.42,24.45,24.81,8797300.0
2021-02-03,25.36,25.57,25.01,25.25,7363400.0
2021-02-02,24.28,25.63,24.14,25.25,17164000.0
2021-02-01,24.33,24.41,23.68,23.93,8131700.0
2021-01-29,24.6,24.74,24.0,24.09,6449600.0
2021-01-28,24.07,25.12,23.93,24.85,6720600.0
2021-01-27,24.12,25.0,24.1,24.4,8973200.0
2021-01-26,24.9,25.19,24.08,24.35,6982500.0
2021-01-22,24.8,25.5,24.33,24.77,8863900.0
2021-01-21,25.65,25.88,25.05,25.29,6466400.0
2021-01-20,24.76,25.82,24.57,25.65,15428300.0
2021-01-19,24.51,25.18,24.41,24.65,10956700.0
2021-01-18,24.59,24.76,24.2,24.37,7940200.0
2021-01-15,23.61,24.46,23.45,24.3,13961000.0
2021-01-14,23.61,24.3,23.48,23.98,8420900.0
