date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,16.09,16.86,16.08,16.67,2058800.0
2021-05-12,16.67,16.75,15.94,16.07,2649000.0
2021-05-11,16.5,16.97,16.25,16.8,2475500.0
2021-05-10,17.01,17.05,16.43,16.54,2089900.0
2021-05-07,17.1,17.26,16.85,16.92,1625900.0
2021-05-06,17.27,17.33,16.95,17.02,1774100.0
2021-05-05,17.41,17.59,17.21,17.25,3891400.0
2021-05-04,17.52,17.6,17.22,17.39,2143200.0
2021-05-03,17.62,17.67,17.28,17.45,2447500.0
2021-04-30,17.76,17.93,17.31,17.52,2922500.0
2021-04-29,18.1,18.2,17.87,18.05,1313200.0
2021-04-28,18.13,18.25,17.7,18.03,2782700.0
2021-04-27,18.85,18.96,17.99,17.99,2533600.0
2021-04-26,18.73,18.92,18.62,18.85,873200.0
2021-04-23,18.69,18.85,18.41,18.74,1486800.0
2021-04-22,19.33,19.42,18.51,18.58,1614400.0
2021-04-20,19.14,19.33,19.0,19.18,1089100.0
2021-04-19,19.0,19.25,18.65,19.2,1958900.0
2021-04-16,18.92,19.13,18.76,18.99,2099600.0
2021-04-15,19.1,19.18,18.69,18.92,1980800.0
2021-04-14,19.59,19.59,19.03,19.03,2212000.0
2021-04-13,19.91,20.06,19.52,19.55,3812500.0
2021-04-12,19.91,19.97,19.65,19.89,1216500.0
2021-04-09,19.78,20.23,19.61,19.86,1700900.0
2021-04-08,19.94,19.98,19.57,19.77,1631900.0
2021-04-07,20.25,20.45,19.77,19.94,1591300.0
2021-04-06,20.18,20.42,19.79,20.25,1726300.0
2021-04-05,20.57,20.85,20.01,20.16,2323000.0
2021-04-01,20.37,20.55,20.0,20.31,1965900.0
2021-03-31,20.4,20.4,19.91,20.14,2484700.0
2021-03-30,19.13,20.55,18.89,20.44,4570900.0
2021-03-29,19.06,19.49,18.97,19.16,1557000.0
2021-03-26,19.16,19.25,18.98,19.23,2208600.0
2021-03-25,18.5,19.5,18.16,19.15,4055400.0
2021-03-24,18.97,19.0,18.5,18.59,2155700.0
2021-03-23,19.3,19.41,18.81,18.85,3582200.0
2021-03-22,19.05,19.57,18.84,19.29,2878100.0
2021-03-19,18.64,19.2,18.57,19.11,1792800.0
2021-03-18,18.96,19.03,18.61,18.78,1328000.0
2021-03-17,18.68,18.95,18.39,18.9,2226500.0
2021-03-16,19.03,19.06,18.39,18.8,1167500.0
2021-03-15,18.87,19.21,18.78,18.89,1785200.0
2021-03-12,18.82,19.07,18.57,18.89,2174900.0
2021-03-11,17.95,19.27,17.95,19.06,4002700.0
2021-03-10,17.31,17.95,17.22,17.88,3255500.0
2021-03-09,17.88,18.03,17.11,17.3,4219000.0
2021-03-08,18.5,19.12,17.79,17.88,3566300.0
2021-03-05,18.21,18.87,18.04,18.8,3466600.0
2021-03-04,17.76,18.41,17.6,18.15,4005700.0
2021-03-03,17.51,17.85,16.89,17.64,2813000.0
2021-03-02,17.44,17.58,16.63,17.58,4792900.0
2021-03-01,18.59,18.6,17.29,17.44,3870900.0
2021-02-26,18.32,18.81,18.16,18.41,3920000.0
2021-02-25,19.01,19.13,18.15,18.28,2196800.0
2021-02-24,19.21,19.3,18.81,18.99,3320700.0
2021-02-23,19.13,19.46,18.97,19.0,2570100.0
2021-02-22,19.25,19.35,18.74,18.97,4912700.0
2021-02-19,20.38,20.73,19.96,20.04,2588400.0
2021-02-18,20.53,20.75,20.18,20.44,2137300.0
2021-02-17,20.54,20.61,19.99,20.43,2503200.0
2021-02-12,20.58,20.62,20.3,20.43,1354200.0
2021-02-11,20.59,20.86,20.48,20.61,2391800.0
2021-02-10,21.04,21.08,20.36,20.51,3026800.0
2021-02-09,20.96,21.47,20.61,21.04,4023400.0
2021-02-08,21.36,21.64,20.88,21.02,3561900.0
2021-02-05,21.72,21.74,21.14,21.33,3591000.0
2021-02-04,21.68,21.96,21.41,21.6,3716100.0
2021-02-03,21.62,21.9,21.37,21.7,3762300.0
2021-02-02,21.35,22.04,21.29,21.63,4460700.0
2021-02-01,20.86,21.2,20.68,21.12,3652100.0
2021-01-29,20.95,21.24,20.32,20.56,3589600.0
2021-01-28,20.1,21.06,20.1,20.95,3432300.0
2021-01-27,20.01,20.58,19.87,20.08,3690200.0
2021-01-26,19.9,20.4,19.74,20.04,11084900.0
2021-01-22,19.86,20.33,19.68,19.85,6174700.0
2021-01-21,20.4,20.89,19.75,20.02,11931000.0
2021-01-20,20.8,21.26,20.13,20.29,22108300.0
2021-01-19,21.71,22.2,21.4,21.59,2901200.0
2021-01-18,23.25,23.54,21.75,21.97,2306800.0
2021-01-15,23.53,23.53,22.84,23.25,865400.0
2021-01-14,23.46,23.75,23.22,23.63,1029600.0
2021-01-13,23.74,23.8,22.89,23.29,1435100.0
2021-01-12,23.9,24.34,23.67,23.73,2004400.0
2021-01-11,24.27,24.37,23.74,23.9,1736600.0
2021-01-08,23.79,24.59,23.61,24.34,2518500.0
2021-01-07,23.76,23.83,22.58,23.51,2036900.0
2021-01-06,23.66,24.23,23.36,23.48,1994600.0
2021-01-05,23.92,24.01,23.2,23.66,2048600.0
2021-01-04,24.75,25.15,23.6,23.95,2153400.0
2020-12-30,24.5,24.56,24.12,24.3,1329700.0
2020-12-29,24.41,24.58,24.17,24.5,766200.0
2020-12-28,24.32,24.47,23.86,24.41,695700.0
2020-12-23,23.65,24.38,23.52,24.12,2451600.0
2020-12-22,23.29,23.63,22.9,22.92,1153200.0
2020-12-21,23.03,23.49,22.45,23.2,1036900.0
2020-12-18,23.5,23.73,23.26,23.5,860100.0
2020-12-17,23.89,23.97,23.32,23.5,937700.0
2020-12-16,24.03,24.11,23.38,23.9,1644700.0
2020-12-15,23.88,24.13,23.57,24.02,1207700.0
2020-12-14,23.7,24.08,23.63,23.78,1443600.0
2020-12-11,23.19,23.75,22.98,23.55,1293400.0
2020-12-10,22.98,23.3,22.62,23.14,1319700.0
