date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,28.71,29.9,28.59,29.83,355100.0
2021-05-12,29.32,29.53,28.47,28.61,291200.0
2021-05-11,30.22,30.24,29.47,29.48,268000.0
2021-05-10,29.79,30.42,29.4,30.42,287800.0
2021-05-07,29.61,30.18,29.47,29.58,353400.0
2021-05-06,29.55,29.61,29.29,29.39,171200.0
2021-05-05,29.57,30.04,29.51,29.55,188100.0
2021-05-04,30.48,30.65,29.42,29.45,228100.0
2021-05-03,29.59,30.55,29.45,30.49,375300.0
2021-04-30,30.09,30.37,29.5,29.51,599300.0
2021-04-29,30.5,31.72,30.04,30.04,815100.0
2021-04-28,29.1,30.24,28.83,29.94,415200.0
2021-04-27,29.72,30.07,29.0,29.0,287000.0
2021-04-26,29.48,29.87,29.18,29.8,172800.0
2021-04-23,30.35,30.5,29.24,29.24,251100.0
2021-04-22,30.66,30.76,30.15,30.21,718600.0
2021-04-20,30.2,30.58,29.98,30.58,276500.0
2021-04-19,29.6,30.58,29.45,30.19,281900.0
2021-04-16,29.59,29.82,29.3,29.6,242800.0
2021-04-15,28.98,29.85,28.98,29.59,339500.0
2021-04-14,29.38,29.64,28.9,28.96,303500.0
2021-04-13,29.4,29.91,29.11,29.3,343300.0
2021-04-12,29.78,30.01,28.95,29.4,402400.0
2021-04-09,29.3,29.75,28.77,29.49,361000.0
2021-04-08,29.8,29.8,29.1,29.4,730700.0
2021-04-07,30.2,30.71,29.64,29.66,368300.0
2021-04-06,30.59,30.69,30.1,30.44,393700.0
2021-04-05,30.21,30.61,29.65,30.48,560700.0
2021-04-01,29.76,31.25,29.64,30.2,1073700.0
2021-03-31,30.4,30.5,28.64,28.64,979000.0
2021-03-30,29.65,30.88,29.6,30.59,486300.0
2021-03-29,30.78,30.78,29.54,29.76,305400.0
2021-03-26,31.19,31.19,30.19,30.89,831400.0
2021-03-25,29.83,31.25,28.98,30.84,834800.0
2021-03-24,31.14,31.14,29.87,30.07,206800.0
2021-03-23,31.25,31.65,30.59,30.7,285900.0
2021-03-22,31.38,31.9,30.94,31.31,303600.0
2021-03-19,30.53,31.34,30.24,31.34,285200.0
2021-03-18,31.5,31.69,30.08,30.49,239800.0
2021-03-17,30.68,32.11,30.4,31.41,299700.0
2021-03-16,31.58,31.6,30.5,30.64,190300.0
2021-03-15,30.08,31.6,30.08,31.42,233200.0
2021-03-12,30.73,30.73,30.15,30.35,249300.0
2021-03-11,29.16,30.58,29.16,30.58,284200.0
2021-03-10,28.37,29.48,27.98,29.29,455600.0
2021-03-09,29.53,29.64,27.97,28.18,594400.0
2021-03-08,31.62,31.76,29.48,29.53,1098800.0
2021-03-05,31.75,32.88,31.04,31.95,513500.0
2021-03-04,32.0,33.32,31.52,32.18,867500.0
2021-03-03,31.64,31.86,31.0,31.42,507800.0
2021-03-02,32.12,32.12,30.93,31.64,472900.0
2021-03-01,32.47,32.47,31.81,32.0,491200.0
2021-02-26,32.34,32.89,31.61,31.8,463800.0
2021-02-25,32.31,32.84,31.9,32.2,385500.0
2021-02-24,32.43,32.89,32.1,32.31,671900.0
2021-02-23,32.36,32.45,31.61,32.0,369800.0
2021-02-22,31.86,32.68,31.72,32.11,483300.0
2021-02-19,31.36,32.94,31.25,32.91,790700.0
2021-02-18,31.45,31.76,31.15,31.35,384600.0
2021-02-17,31.6,31.81,31.06,31.35,325700.0
2021-02-12,32.09,32.1,31.33,31.55,308800.0
2021-02-11,33.49,33.49,32.04,32.08,438800.0
2021-02-10,33.67,33.87,32.79,33.11,598200.0
2021-02-09,33.79,34.12,33.35,33.67,396900.0
2021-02-08,33.6,34.63,33.54,33.89,489700.0
2021-02-05,33.98,34.39,33.35,33.59,252200.0
2021-02-04,33.75,34.4,33.67,33.77,207800.0
2021-02-03,33.83,34.0,33.47,33.57,264600.0
2021-02-02,33.72,34.58,33.32,33.8,311900.0
2021-02-01,34.0,34.12,33.43,33.5,216000.0
2021-01-29,34.22,35.2,32.75,33.5,389300.0
2021-01-28,33.96,34.85,33.36,34.6,322300.0
2021-01-27,33.53,34.21,33.31,33.54,269800.0
2021-01-26,33.48,34.12,33.1,33.55,220000.0
2021-01-22,33.71,33.71,33.18,33.48,243200.0
2021-01-21,33.73,34.3,33.17,34.17,318600.0
2021-01-20,33.7,34.26,33.5,33.75,252000.0
2021-01-19,34.34,34.39,33.47,33.64,179700.0
2021-01-18,33.8,34.65,33.8,34.08,153500.0
2021-01-15,34.45,34.45,33.68,33.85,184700.0
2021-01-14,33.77,34.47,33.54,34.47,219600.0
2021-01-13,33.85,33.99,33.45,33.57,229000.0
2021-01-12,33.31,34.47,33.3,33.62,270100.0
2021-01-11,34.67,34.67,33.23,33.29,478600.0
2021-01-08,32.89,35.35,32.83,34.79,482800.0
2021-01-07,33.59,33.6,32.43,32.62,332000.0
2021-01-06,33.06,33.46,32.65,33.07,324500.0
2021-01-05,33.68,33.68,32.56,33.0,308300.0
2021-01-04,34.37,34.62,33.45,33.68,390300.0
2020-12-30,33.07,34.35,33.07,34.21,363800.0
2020-12-29,33.59,33.71,33.02,33.26,164500.0
2020-12-28,33.12,33.83,33.02,33.63,201900.0
