date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,43.06,44.28,42.99,44.12,6412100.0
2021-05-12,44.06,44.22,42.47,43.19,13090600.0
2021-05-11,43.12,44.51,42.34,44.51,8592300.0
2021-05-10,42.92,44.15,42.75,43.89,7621300.0
2021-05-07,41.9,43.57,41.76,43.56,9836800.0
2021-05-06,41.3,41.82,40.85,41.82,7540600.0
2021-05-05,41.25,42.81,41.03,41.39,14334500.0
2021-05-04,41.06,41.6,40.49,41.09,22013600.0
2021-05-03,40.48,41.44,40.05,41.0,14266000.0
2021-04-30,40.4,41.75,39.84,40.4,23027100.0
2021-04-29,40.06,40.78,39.48,39.97,7881700.0
2021-04-28,40.42,40.59,39.65,40.0,8626100.0
2021-04-27,41.44,41.46,40.11,40.4,7207000.0
2021-04-26,40.82,42.1,40.81,41.46,9244100.0
2021-04-23,41.16,41.59,40.4,40.82,14140300.0
2021-04-22,43.8,44.38,40.62,40.8,21516000.0
2021-04-20,45.23,45.4,42.87,43.4,12275700.0
2021-04-19,47.12,47.57,44.8,45.23,19060600.0
2021-04-16,41.58,47.5,41.45,46.9,25651900.0
2021-04-15,41.32,41.91,41.17,41.91,5774600.0
2021-04-14,41.5,41.97,40.86,41.49,3828600.0
2021-04-13,41.1,41.88,40.82,41.51,4568000.0
2021-04-12,41.62,41.87,40.92,41.07,5092400.0
2021-04-09,41.95,42.26,41.35,41.5,8162300.0
2021-04-08,43.14,43.38,42.28,42.43,7292800.0
2021-04-07,43.67,43.89,42.78,43.13,6919200.0
2021-04-06,43.2,44.57,42.85,43.83,5903900.0
2021-04-05,43.23,43.87,42.56,43.36,4579900.0
2021-04-01,42.84,43.78,42.4,42.92,8282400.0
2021-03-31,43.91,43.91,42.5,42.59,10169300.0
2021-03-30,41.22,44.1,41.04,43.92,10338900.0
2021-03-29,41.62,41.87,41.01,41.49,9353900.0
2021-03-26,42.71,43.13,41.31,41.98,10397200.0
2021-03-25,40.46,43.14,39.96,42.87,14826400.0
2021-03-24,41.39,41.78,40.73,40.91,4718800.0
2021-03-23,41.37,42.48,41.16,41.65,5931400.0
2021-03-22,42.17,42.73,41.43,41.55,6367100.0
2021-03-19,41.3,42.82,41.3,42.47,9472400.0
2021-03-18,41.38,42.08,40.68,41.11,6759900.0
2021-03-17,40.12,42.15,39.63,41.62,10414800.0
2021-03-16,41.69,41.87,40.2,40.7,4757500.0
2021-03-15,41.34,42.15,40.94,41.82,7193500.0
2021-03-12,39.75,41.68,39.57,41.56,10244600.0
2021-03-11,38.79,40.78,38.12,40.42,21453300.0
2021-03-10,37.07,39.02,36.86,38.32,12282800.0
2021-03-09,38.0,38.4,36.43,36.88,18883700.0
2021-03-08,38.84,39.19,37.79,38.0,13705700.0
2021-03-05,39.13,40.93,38.92,39.56,14440400.0
2021-03-04,37.78,40.14,37.54,39.33,19288400.0
2021-03-03,37.01,38.3,35.9,37.48,9372800.0
2021-03-02,36.67,37.95,35.73,37.37,12323900.0
2021-03-01,37.05,37.74,36.36,37.17,6490100.0
2021-02-26,37.31,38.13,36.31,36.66,15467500.0
2021-02-25,37.27,37.73,36.81,37.24,10853000.0
2021-02-24,38.45,38.45,37.1,37.32,7352100.0
2021-02-23,38.5,38.56,37.81,38.26,7167500.0
2021-02-22,39.0,39.05,37.66,38.34,12517000.0
2021-02-19,40.0,40.43,39.08,39.67,7431600.0
2021-02-18,40.67,41.12,39.63,40.0,8104300.0
2021-02-17,40.25,40.79,39.58,40.55,8417500.0
2021-02-12,39.2,39.99,38.81,39.9,9877500.0
2021-02-11,40.0,40.6,39.36,39.39,7571300.0
2021-02-10,40.72,40.86,39.39,39.76,9080200.0
2021-02-09,41.3,41.38,40.28,40.89,7912500.0
2021-02-08,41.1,41.58,40.5,41.24,4259300.0
2021-02-05,41.29,41.68,40.95,41.01,3819100.0
2021-02-04,41.6,42.27,41.06,41.34,3329800.0
2021-02-03,41.27,41.96,40.87,41.84,7232600.0
2021-02-02,41.8,42.32,40.82,41.01,7926300.0
2021-02-01,41.93,42.04,40.92,41.07,7146700.0
2021-01-29,42.88,43.5,41.47,41.47,11197000.0
2021-01-28,41.97,44.08,41.54,43.23,8062400.0
2021-01-27,41.35,42.1,40.8,41.69,4693900.0
2021-01-26,41.04,42.79,40.62,41.42,7946600.0
2021-01-22,41.65,41.88,40.3,41.02,9951900.0
2021-01-21,43.08,43.38,41.94,42.36,7354200.0
2021-01-20,44.09,44.44,42.94,43.11,5111400.0
2021-01-19,43.3,44.15,42.96,43.9,5855000.0
2021-01-18,43.3,44.41,42.94,43.13,4513400.0
2021-01-15,42.25,43.44,41.87,43.08,9888300.0
2021-01-14,41.83,43.52,41.64,43.38,7374800.0
2021-01-13,41.85,41.85,40.97,41.4,4852100.0
2021-01-12,41.56,42.0,40.86,41.9,5300600.0
2021-01-11,42.79,42.87,40.94,41.45,8769300.0
2021-01-08,40.74,43.15,40.61,43.1,13241600.0
