date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,18.81,19.25,18.73,19.13,19722800.0
2021-05-12,19.0,19.15,18.5,18.59,21484800.0
2021-05-11,19.0,19.39,18.66,19.32,26574300.0
2021-05-10,19.89,19.98,19.05,19.2,21844800.0
2021-05-07,19.58,19.9,19.33,19.89,23137400.0
2021-05-06,19.85,19.95,19.3,19.46,26878500.0
2021-05-05,19.85,20.09,19.68,19.9,14936000.0
2021-05-04,20.18,20.23,19.64,19.75,19280300.0
2021-05-03,20.11,20.25,19.9,20.18,17716700.0
2021-04-30,20.1,20.39,19.87,20.03,29255200.0
2021-04-29,20.63,20.67,19.91,20.26,34243400.0
2021-04-28,20.94,21.1,20.58,20.65,28276100.0
2021-04-27,21.6,21.65,20.93,20.95,15630700.0
2021-04-26,21.61,21.81,21.5,21.71,19553800.0
2021-04-23,21.26,21.73,21.13,21.73,25806800.0
2021-04-22,21.71,21.85,21.11,21.15,22448400.0
2021-04-20,21.64,21.8,21.42,21.6,20429000.0
2021-04-19,21.91,22.15,21.54,21.65,21968500.0
2021-04-16,22.19,22.25,21.76,21.92,19720000.0
2021-04-15,22.22,22.52,22.1,22.2,18349400.0
2021-04-14,22.35,22.35,21.87,22.12,24153400.0
2021-04-13,21.72,22.29,21.48,22.2,28873000.0
2021-04-12,21.78,21.93,21.61,21.65,20592500.0
2021-04-09,21.65,22.02,21.6,21.67,35613100.0
2021-04-08,20.23,21.9,20.21,21.85,56097200.0
2021-04-07,20.5,20.53,20.03,20.18,25028400.0
2021-04-06,20.34,20.72,20.06,20.6,26433800.0
2021-04-05,20.6,20.73,19.93,20.42,27072400.0
2021-04-01,20.28,21.02,20.05,20.44,42841400.0
2021-03-31,20.16,20.46,19.67,20.24,36127000.0
2021-03-30,19.49,20.32,19.42,20.06,35933800.0
2021-03-29,19.93,20.05,19.4,19.65,41214000.0
2021-03-26,20.4,20.7,19.7,19.98,50200200.0
2021-03-25,20.05,20.97,19.97,20.3,48748400.0
2021-03-24,21.48,21.51,20.21,20.37,59372500.0
2021-03-23,21.8,22.03,21.35,21.51,30769600.0
2021-03-22,22.4,22.73,21.45,21.91,46008900.0
2021-03-19,22.48,22.65,22.03,22.29,63458900.0
2021-03-18,23.76,23.85,22.07,22.28,53494900.0
2021-03-17,23.86,24.05,23.41,23.94,37385800.0
2021-03-16,23.82,24.39,23.6,24.15,38088900.0
2021-03-15,24.35,24.76,23.55,23.72,76510900.0
2021-03-12,24.6,24.9,24.27,24.57,24567300.0
2021-03-11,25.07,25.08,24.46,24.8,30648100.0
2021-03-10,23.75,25.09,23.47,24.9,41874800.0
2021-03-09,23.55,23.97,23.31,23.39,73816700.0
2021-03-08,24.69,24.77,23.1,23.1,82907400.0
2021-03-05,25.19,25.34,24.56,25.13,45992500.0
