date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,16.9,18.0,15.79,16.1,130700.0
2021-05-12,17.25,17.7,16.12,16.9,192000.0
2021-05-11,17.51,17.91,17.0,17.27,132200.0
2021-05-10,18.5,18.89,17.7,17.78,167100.0
2021-05-07,17.5,21.0,16.93,18.06,653700.0
2021-05-06,18.0,19.0,16.51,18.1,689300.0
2021-05-05,22.2,26.0,22.0,25.7,264300.0
2021-05-04,22.78,22.98,21.73,22.0,85000.0
2021-05-03,23.22,23.4,22.72,22.77,76400.0
2021-04-30,24.5,24.5,23.0,23.0,93800.0
2021-04-29,24.36,24.84,24.06,24.12,58300.0
2021-04-28,24.61,25.2,24.12,24.69,131200.0
2021-04-27,25.3,26.09,23.5,24.0,171400.0
2021-04-26,26.75,27.3,24.51,24.94,337800.0
2021-04-23,23.48,24.6,21.48,23.0,229400.0
2021-04-22,24.99,25.02,24.13,24.3,130300.0
2021-04-20,24.8,26.91,24.5,24.8,264800.0
2021-04-19,25.11,25.63,24.13,24.8,517400.0
2021-04-16,27.26,28.0,25.0,27.14,241300.0
2021-04-15,29.64,29.74,26.7,28.32,247800.0
2021-04-14,30.17,30.67,29.45,29.5,198000.0
2021-04-13,30.11,30.3,29.31,30.0,141300.0
2021-04-12,30.1,30.57,29.62,29.75,145900.0
2021-04-09,30.27,31.09,29.01,30.1,309800.0
2021-04-08,29.64,31.9,29.64,29.7,717400.0
2021-04-07,27.99,29.5,27.63,27.9,348000.0
2021-04-06,29.49,31.29,27.01,27.79,492600.0
2021-04-05,28.26,30.9,26.12,30.4,828300.0
2021-04-01,27.76,27.9,24.75,24.75,317500.0
2021-03-31,29.25,30.0,26.51,27.5,246800.0
2021-03-30,28.0,33.41,26.0,28.51,852300.0
2021-03-29,36.0,37.69,25.5,26.9,985500.0
2021-03-26,33.0,39.74,31.38,37.2,1660700.0
2021-03-25,27.9,31.01,23.5,31.01,1294700.0
2021-03-24,17.8,26.0,17.25,26.0,1174000.0
2021-03-23,18.81,19.2,17.33,17.58,82900.0
2021-03-22,19.28,20.75,17.75,18.79,501200.0
2021-03-19,15.12,17.5,15.12,17.5,294000.0
2021-03-18,15.6,15.79,15.01,15.11,26500.0
2021-03-17,15.84,15.84,15.4,15.46,16600.0
2021-03-16,15.58,16.09,15.46,15.46,22300.0
2021-03-15,16.33,16.33,15.49,15.54,33100.0
2021-03-12,16.04,16.3,15.71,16.3,17900.0
2021-03-11,15.77,15.85,15.36,15.85,23300.0
2021-03-10,15.53,15.99,15.5,15.59,19300.0
2021-03-09,15.8,16.2,15.31,15.5,27600.0
2021-03-08,15.72,16.5,15.31,15.31,42300.0
2021-03-05,16.28,16.28,15.6,16.13,23900.0
2021-03-04,16.4,16.56,15.93,15.93,30400.0
2021-03-03,16.35,16.56,15.6,16.4,27600.0
2021-03-02,16.12,16.5,15.0,16.35,74600.0
2021-03-01,17.38,17.5,16.18,16.21,86300.0
2021-02-26,17.55,17.81,16.6,17.0,52800.0
2021-02-25,17.9,18.1,17.0,17.55,59300.0
2021-02-24,18.39,18.5,16.6,17.9,150200.0
2021-02-23,17.61,18.05,17.3,17.87,68900.0
2021-02-22,18.51,19.0,17.53,17.53,109700.0
2021-02-19,19.53,19.93,17.76,19.0,208100.0
2021-02-18,17.46,19.49,17.45,19.11,254100.0
2021-02-17,18.0,18.0,17.3,17.84,41700.0
2021-02-12,17.21,17.98,17.0,17.53,111700.0
2021-02-11,17.52,18.23,17.4,17.59,82900.0
2021-02-10,17.99,18.5,17.35,17.5,71700.0
2021-02-09,18.0,18.0,17.01,17.87,81500.0
2021-02-08,17.75,18.45,17.3,17.75,128400.0
2021-02-05,17.39,19.9,16.95,17.76,625000.0
2021-02-04,17.09,17.7,16.85,17.1,91100.0
2021-02-03,17.04,17.2,16.8,16.99,58100.0
2021-02-02,16.97,18.1,16.8,16.8,97000.0
2021-02-01,16.59,17.2,16.14,16.97,68300.0
2021-01-29,16.61,16.63,15.9,16.35,50800.0
2021-01-28,15.85,16.87,15.85,16.55,42600.0
2021-01-27,16.5,16.59,15.51,16.1,71900.0
2021-01-26,17.31,17.34,16.2,16.2,73000.0
2021-01-22,16.68,17.6,16.68,17.37,96500.0
2021-01-21,16.99,17.75,16.3,16.99,194600.0
2021-01-20,17.34,17.34,16.4,17.0,65800.0
2021-01-19,17.47,17.78,16.75,17.03,84200.0
2021-01-18,16.92,18.6,16.91,17.3,275100.0
2021-01-15,14.75,18.89,14.57,16.9,849000.0
2021-01-14,14.72,15.04,14.47,14.7,71600.0
2021-01-13,15.7,15.7,14.5,14.88,80700.0
2021-01-12,15.9,16.18,15.6,15.63,50000.0
2021-01-11,15.88,15.88,15.5,15.78,23000.0
2021-01-08,15.8,16.17,15.5,15.8,69100.0
2021-01-07,16.7,16.77,15.4,15.8,96900.0
2021-01-06,16.54,17.0,16.24,16.3,114900.0
2021-01-05,16.98,16.98,16.45,16.58,49100.0
2021-01-04,17.02,17.19,16.65,16.72,109300.0
2020-12-30,16.93,17.09,16.79,17.0,87400.0
2020-12-29,17.07,17.29,16.97,17.02,84100.0
2020-12-28,17.2,17.48,16.96,17.07,108000.0
2020-12-23,17.3,17.9,17.0,17.1,136300.0
2020-12-22,16.57,19.0,16.57,17.22,396500.0
2020-12-21,17.11,17.28,16.66,16.92,91900.0
2020-12-18,17.48,17.8,17.1,17.45,110200.0
