date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,19.23,19.3,18.34,18.4,11305600.0
2021-05-12,20.01,20.38,19.02,19.12,16692900.0
2021-05-11,20.04,20.72,19.77,20.72,8112000.0
2021-05-10,19.64,20.23,19.25,20.22,9087800.0
2021-05-07,19.14,19.6,18.74,19.54,4203600.0
2021-05-06,20.0,20.18,19.0,19.21,5952800.0
2021-05-05,19.41,19.95,19.27,19.8,8095700.0
2021-05-04,18.93,19.77,18.91,19.29,9334600.0
2021-05-03,19.39,19.42,18.43,18.87,7788100.0
2021-04-30,19.31,19.6,19.09,19.39,4764000.0
2021-04-29,19.15,19.7,19.07,19.4,7815500.0
2021-04-28,20.1,20.13,18.94,19.05,10589900.0
2021-04-27,20.46,20.5,19.66,19.99,9530800.0
2021-04-26,20.6,20.62,20.02,20.38,7611100.0
2021-04-23,21.0,21.21,20.3,20.49,6439400.0
2021-04-22,20.82,21.05,20.57,20.92,6493600.0
2021-04-20,19.9,20.99,19.82,20.71,9047400.0
2021-04-19,19.28,20.02,19.11,19.8,5719400.0
2021-04-16,19.18,19.64,19.06,19.36,6413100.0
2021-04-15,18.95,19.41,18.85,19.3,5896500.0
2021-04-14,17.94,19.04,17.93,18.85,13106700.0
2021-04-13,18.16,18.26,17.81,17.86,5996900.0
2021-04-12,18.21,18.36,17.95,18.24,5012600.0
2021-04-09,18.07,18.47,17.95,18.34,6180900.0
2021-04-08,17.85,18.2,17.82,18.13,4357500.0
2021-04-07,17.61,18.07,17.48,17.83,7338900.0
2021-04-06,17.57,17.76,17.52,17.59,4340600.0
2021-04-05,17.96,18.09,17.33,17.52,7602300.0
2021-04-01,17.62,18.11,17.41,17.87,7349300.0
2021-03-31,17.35,17.61,17.12,17.61,6682000.0
2021-03-30,17.52,17.9,17.38,17.4,7884800.0
2021-03-29,16.98,17.55,16.79,17.55,9008500.0
2021-03-26,17.25,17.33,16.61,16.83,9538300.0
2021-03-25,17.14,17.52,16.72,17.22,10789100.0
2021-03-24,16.92,17.48,16.91,17.15,11536800.0
2021-03-23,16.29,17.17,16.28,17.0,14257000.0
2021-03-22,15.89,16.54,15.88,16.35,8483500.0
2021-03-19,15.76,16.09,15.68,15.96,12719800.0
2021-03-18,15.75,15.82,15.34,15.7,10075200.0
2021-03-17,15.86,16.05,15.67,15.88,14598400.0
2021-03-16,15.86,16.26,15.74,15.94,8398100.0
2021-03-15,15.37,15.94,15.25,15.87,9558800.0
2021-03-12,15.45,15.68,15.29,15.37,7990900.0
2021-03-11,15.2,15.51,14.77,15.51,14873100.0
2021-03-10,15.95,16.17,14.93,15.16,20894000.0
2021-03-09,16.02,16.58,15.7,15.93,27829300.0
2021-03-08,15.03,15.91,15.03,15.64,23703900.0
2021-03-05,14.69,15.17,14.61,14.98,10933100.0
2021-03-04,14.9,15.39,14.48,14.67,11778800.0
2021-03-03,14.72,15.31,14.48,14.81,16253400.0
2021-03-02,14.19,14.85,14.05,14.68,9728000.0
2021-03-01,14.17,14.7,14.06,14.31,7621600.0
2021-02-26,14.4,14.5,13.88,13.9,8816600.0
2021-02-25,14.77,15.07,14.14,14.25,8627100.0
2021-02-24,14.28,14.9,14.22,14.79,9513600.0
2021-02-23,14.03,14.33,13.87,14.2,7151700.0
2021-02-22,14.0,14.46,13.82,13.88,11760200.0
2021-02-19,14.86,15.0,14.23,14.36,10331500.0
2021-02-18,15.17,15.38,14.76,14.82,8395500.0
2021-02-17,14.75,15.35,14.61,15.22,14061100.0
2021-02-12,14.66,14.87,14.52,14.61,8220500.0
2021-02-11,14.48,14.72,14.41,14.67,12310600.0
2021-02-10,14.53,14.62,14.28,14.37,6143300.0
2021-02-09,14.38,14.7,14.37,14.58,9597800.0
2021-02-08,14.38,14.63,14.21,14.43,8612300.0
2021-02-05,14.36,14.63,14.21,14.31,9199900.0
2021-02-04,14.1,14.48,13.88,14.28,10040800.0
2021-02-03,13.68,14.18,13.57,14.07,11732300.0
2021-02-02,13.5,13.94,13.4,13.55,8736700.0
2021-02-01,13.48,13.49,13.03,13.31,8485800.0
2021-01-29,13.17,13.68,13.12,13.29,12053400.0
2021-01-28,13.15,13.5,12.93,13.28,9599300.0
2021-01-27,12.75,13.32,12.53,13.07,27974100.0
2021-01-26,13.15,13.28,12.38,12.8,18583200.0
2021-01-22,13.15,13.26,13.03,13.19,4421000.0
2021-01-21,13.48,13.61,13.17,13.33,5595000.0
2021-01-20,13.77,13.92,13.42,13.53,8217400.0
2021-01-19,13.95,13.98,13.51,13.67,6647400.0
2021-01-18,14.03,14.26,13.79,13.88,6413700.0
2021-01-15,14.06,14.13,13.91,13.97,5365000.0
2021-01-14,14.28,14.33,14.09,14.09,6041500.0
2021-01-13,14.31,14.36,14.01,14.19,6463300.0
2021-01-12,14.1,14.45,13.89,14.21,11352200.0
2021-01-11,13.97,14.14,13.81,13.96,8744800.0
2021-01-08,13.9,14.16,13.88,14.01,7752900.0
2021-01-07,13.86,14.09,13.79,13.84,6188000.0
2021-01-06,14.2,14.26,13.75,13.8,11868700.0
2021-01-05,14.29,14.33,13.98,14.21,7203500.0
