date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,16.84,17.13,16.71,16.76,3774100.0
2021-05-12,17.11,17.22,16.58,16.75,3042500.0
2021-05-11,17.09,17.33,17.01,17.24,2091900.0
2021-05-10,17.42,17.53,17.19,17.24,2082900.0
2021-05-07,17.27,17.5,17.18,17.47,2261700.0
2021-05-06,17.16,17.31,16.91,17.24,3048800.0
2021-05-05,17.06,17.29,16.88,17.13,3048100.0
2021-05-04,17.23,17.29,16.83,16.98,3624900.0
2021-05-03,17.4,17.61,17.21,17.22,2356900.0
2021-04-30,17.28,17.76,17.11,17.35,6636600.0
2021-04-29,17.77,17.89,17.57,17.6,2883000.0
2021-04-28,17.9,17.93,17.52,17.63,3677900.0
2021-04-27,17.85,18.17,17.69,17.85,2268800.0
2021-04-26,18.21,18.38,17.61,17.91,4012300.0
2021-04-23,18.12,18.43,17.99,18.16,1969400.0
2021-04-22,18.11,18.4,17.96,18.03,2883500.0
2021-04-20,18.35,18.54,17.9,18.02,3367500.0
2021-04-19,18.85,18.87,18.35,18.46,5177600.0
2021-04-16,19.25,19.26,18.71,18.81,5407700.0
2021-04-15,18.57,18.89,18.45,18.49,2553700.0
2021-04-14,18.14,19.29,18.09,18.57,6613500.0
2021-04-13,18.44,18.46,17.91,17.99,9472500.0
2021-04-12,18.7,18.81,18.2,18.5,4709200.0
2021-04-09,18.01,18.64,17.85,18.61,6388700.0
2021-04-08,18.01,18.17,17.82,18.08,5504200.0
2021-04-07,18.21,18.37,17.85,17.95,2322700.0
2021-04-06,18.24,18.5,18.08,18.21,3505300.0
2021-04-05,18.0,18.28,17.8,18.17,3829600.0
2021-04-01,18.22,18.33,17.71,17.74,2117700.0
2021-03-31,18.37,18.46,18.01,18.2,2567700.0
2021-03-30,17.29,18.58,17.24,18.38,4867000.0
2021-03-29,17.34,17.47,17.12,17.32,2308200.0
2021-03-26,17.5,17.68,17.26,17.54,2656400.0
2021-03-25,16.82,17.64,16.53,17.5,3323000.0
2021-03-24,17.52,17.55,16.9,16.92,2781400.0
2021-03-23,17.67,17.9,17.35,17.46,2041300.0
2021-03-22,17.65,18.0,17.55,17.98,2974900.0
