date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,23.35,24.13,23.35,23.7,5367800.0
2021-05-12,24.83,24.88,23.2,23.27,9739400.0
2021-05-11,24.7,24.83,24.16,24.83,7079400.0
2021-05-10,24.85,25.31,24.49,25.04,6662100.0
2021-05-07,24.0,25.18,23.99,24.82,8075700.0
2021-05-06,23.77,24.19,23.61,23.81,4667500.0
2021-05-05,23.91,24.12,23.57,23.67,5395200.0
2021-05-04,24.13,24.2,23.56,23.65,3559100.0
2021-05-03,23.03,24.34,22.9,24.0,7295800.0
2021-04-30,23.3,23.51,22.86,23.03,8653900.0
2021-04-29,23.75,23.76,22.75,23.43,8585200.0
2021-04-28,23.7,23.99,23.29,23.95,5335200.0
2021-04-27,23.98,24.24,23.55,23.63,2956700.0
2021-04-26,23.6,24.55,23.44,24.0,5041900.0
2021-04-23,23.27,23.79,23.1,23.57,3647300.0
2021-04-22,24.11,24.15,23.07,23.1,5479400.0
2021-04-20,23.77,24.09,23.51,23.93,3638200.0
2021-04-19,23.94,24.59,23.63,23.92,7909100.0
2021-04-16,23.58,24.01,23.51,23.85,3903100.0
2021-04-15,23.3,23.84,23.21,23.72,3424100.0
2021-04-14,23.86,24.15,23.12,23.28,3941600.0
2021-04-13,23.53,23.9,23.14,23.8,5475500.0
2021-04-12,23.95,24.0,23.29,23.53,3718700.0
2021-04-09,23.2,24.08,23.07,23.7,7552100.0
2021-04-08,23.87,24.12,22.95,23.38,7731200.0
2021-04-07,24.28,24.52,23.52,23.99,4011500.0
2021-04-06,24.68,24.7,24.25,24.27,3938700.0
2021-04-05,24.27,24.63,24.15,24.55,2662500.0
2021-04-01,24.6,24.63,24.04,24.19,4969000.0
2021-03-31,24.73,24.86,24.24,24.49,5006700.0
2021-03-30,23.38,25.09,23.38,24.84,8077300.0
2021-03-29,23.44,23.99,23.44,23.52,2783900.0
2021-03-26,23.7,23.97,23.33,23.68,4113300.0
2021-03-25,23.13,24.1,22.63,23.66,9352000.0
2021-03-24,23.8,24.04,23.29,23.33,8057700.0
2021-03-23,23.24,23.92,22.86,23.54,5191700.0
2021-03-22,23.31,24.34,23.11,23.33,8052900.0
2021-03-19,22.2,23.69,22.09,23.41,9470900.0
2021-03-18,22.84,22.93,22.04,22.3,5515300.0
2021-03-17,22.37,23.08,22.34,22.95,4045000.0
2021-03-16,23.67,23.69,22.44,22.67,5577300.0
2021-03-15,23.05,23.85,22.84,23.62,9483300.0
2021-03-12,22.19,23.64,22.0,23.21,12139400.0
2021-03-11,20.99,22.62,20.98,22.33,14687000.0
2021-03-10,20.56,21.1,20.36,20.85,6727100.0
2021-03-09,20.33,20.72,20.33,20.51,9010700.0
2021-03-08,20.93,21.1,20.34,20.5,11203900.0
2021-03-05,20.34,21.64,20.29,21.38,10045800.0
2021-03-04,19.92,20.73,19.77,20.42,9137500.0
2021-03-03,19.45,20.15,19.08,19.85,13578600.0
2021-03-02,19.06,20.06,18.65,19.79,11811100.0
2021-03-01,19.55,19.93,19.24,19.38,8554700.0
2021-02-26,20.05,20.17,19.2,19.68,47236900.0
2021-02-25,19.84,20.34,19.73,19.96,9356300.0
2021-02-24,20.11,20.14,19.8,19.87,7059800.0
2021-02-23,20.2,20.42,19.83,20.1,7341500.0
2021-02-22,20.41,20.46,19.67,20.14,11672500.0
2021-02-19,20.82,21.17,20.55,20.67,11192700.0
2021-02-18,21.07,21.25,20.75,20.93,6792400.0
2021-02-17,21.27,21.57,20.94,21.07,5674900.0
2021-02-12,21.35,21.41,20.8,21.39,7385800.0
2021-02-11,21.36,21.72,21.16,21.35,6531200.0
2021-02-10,21.3,21.45,21.03,21.25,7003900.0
2021-02-09,21.6,21.69,21.27,21.38,6676300.0
2021-02-08,21.84,22.0,21.57,21.6,4168600.0
2021-02-05,22.22,22.36,21.67,21.84,8262900.0
2021-02-04,22.52,23.0,21.96,22.13,9000500.0
2021-02-03,21.32,22.82,21.26,22.5,11635300.0
2021-02-02,21.71,21.91,21.06,21.3,7101200.0
2021-02-01,21.51,21.6,20.8,21.31,6058500.0
2021-01-29,21.67,22.06,21.08,21.2,6960000.0
2021-01-28,20.44,21.99,20.26,21.8,10861800.0
2021-01-27,20.51,21.0,20.23,20.44,6823200.0
2021-01-26,20.41,21.19,20.26,20.51,8021700.0
2021-01-22,20.19,20.59,20.06,20.38,6961900.0
2021-01-21,21.0,21.09,20.35,20.59,5518500.0
2021-01-20,21.25,21.38,20.67,20.96,7491700.0
2021-01-19,21.6,21.64,21.11,21.19,9004100.0
2021-01-18,21.47,21.88,21.33,21.42,5219900.0
2021-01-15,21.75,21.77,21.25,21.35,7336400.0
2021-01-14,21.7,22.24,21.37,21.94,7176300.0
2021-01-13,21.56,21.61,21.17,21.48,6316200.0
2021-01-12,21.48,21.74,21.16,21.64,6384300.0
2021-01-11,22.1,22.22,21.15,21.42,8764200.0
2021-01-08,21.69,22.42,21.52,22.38,5249200.0
2021-01-07,21.62,22.34,21.3,21.6,6576300.0
2021-01-06,22.61,22.62,21.5,21.6,7801000.0
2021-01-05,22.52,22.81,21.86,22.58,5691100.0
2021-01-04,23.66,23.69,22.46,22.55,5128700.0
2020-12-30,23.35,23.63,23.35,23.53,2701200.0
2020-12-29,23.96,24.18,23.28,23.36,4849100.0
2020-12-28,23.86,24.45,23.83,24.26,2064500.0
2020-12-23,23.31,23.96,23.31,23.74,2638800.0
2020-12-22,23.9,23.97,23.16,23.24,4112700.0
2020-12-21,23.75,24.27,23.31,23.8,6931300.0
2020-12-18,24.89,25.13,24.01,24.37,6628900.0
2020-12-17,25.25,25.38,24.82,24.91,3424000.0
2020-12-16,25.12,25.3,24.64,25.3,3367100.0
2020-12-15,25.32,25.4,24.63,25.06,3174200.0
2020-12-14,25.13,25.56,24.9,25.06,4599400.0
2020-12-11,25.71,25.79,24.96,25.02,7073900.0
2020-12-10,24.97,26.02,24.55,25.95,5956900.0
2020-12-09,24.5,25.3,24.38,24.84,5757200.0
2020-12-08,24.85,25.19,24.3,24.49,4676600.0
2020-12-07,24.74,25.26,24.57,24.9,4456600.0
2020-12-04,25.41,25.42,24.51,24.76,2856500.0
2020-12-03,24.53,25.44,24.34,25.15,6046000.0
2020-12-02,24.04,24.43,23.88,24.4,3652300.0
2020-12-01,23.17,24.35,23.17,24.04,6922600.0
2020-11-30,23.49,23.63,22.63,22.67,8340300.0
2020-11-27,23.41,23.96,23.25,23.5,6584000.0
2020-11-26,23.65,23.65,23.08,23.44,3267300.0
2020-11-25,23.5,23.98,23.08,23.74,5346400.0
2020-11-24,22.09,23.56,21.95,23.5,9226100.0
