date,1. open,2. high,3. low,4. close,5. volume
2021-05-13,48.97,50.64,48.62,49.23,10209700.0
2021-05-12,48.01,48.58,47.03,47.38,7725200.0
2021-05-11,48.19,49.24,47.93,49.24,4666200.0
2021-05-10,49.15,49.73,48.27,49.06,3694700.0
2021-05-07,47.87,50.18,47.55,50.1,6126200.0
2021-05-06,48.35,48.54,47.24,47.7,4129800.0
2021-05-05,48.88,48.88,47.82,48.63,5430700.0
2021-05-04,49.69,49.78,48.25,48.46,5430200.0
2021-05-03,48.6,50.06,48.35,49.65,7791400.0
2021-04-30,47.34,48.8,47.09,48.74,10819800.0
2021-04-29,47.8,48.05,46.71,47.37,5450900.0
2021-04-28,47.82,47.89,47.03,47.4,5449200.0
2021-04-27,47.89,48.28,47.08,47.42,5910000.0
2021-04-26,48.02,48.2,47.5,47.7,6038500.0
2021-04-23,48.02,48.45,47.55,48.0,6941300.0
2021-04-22,49.48,49.71,47.17,47.6,11196900.0
2021-04-20,49.72,50.36,48.85,49.23,4650600.0
2021-04-19,50.08,50.79,49.67,50.01,6804900.0
2021-04-16,52.34,53.29,49.65,50.16,13651300.0
2021-04-15,51.8,52.84,51.68,52.84,5442300.0
2021-04-14,51.93,52.93,51.73,52.08,5757000.0
2021-04-13,51.19,52.8,50.68,51.91,11019400.0
2021-04-12,51.02,51.21,50.36,51.18,3572200.0
2021-04-09,49.98,51.11,49.45,51.02,3805200.0
2021-04-08,48.7,50.61,48.42,50.41,6058900.0
2021-04-07,49.2,49.37,48.45,48.65,3231500.0
2021-04-06,48.23,50.1,48.01,49.18,4243100.0
2021-04-05,47.9,48.74,47.51,48.07,3854900.0
2021-04-01,48.5,48.75,47.02,47.3,4910400.0
2021-03-31,48.52,48.83,47.7,48.14,5651000.0
2021-03-30,48.32,49.9,48.12,48.75,5291900.0
2021-03-29,48.45,48.83,46.45,48.42,8064600.0
2021-03-26,49.51,49.65,48.16,48.76,3621600.0
2021-03-25,48.32,49.67,47.71,49.37,5959800.0
2021-03-24,50.64,50.64,48.01,48.07,7180000.0
2021-03-23,50.55,51.35,49.86,50.32,4166800.0
2021-03-22,50.7,51.38,49.96,50.89,5186700.0
2021-03-19,49.17,51.53,48.84,51.53,9441400.0
2021-03-18,50.85,50.92,48.9,49.2,4614400.0
2021-03-17,49.46,51.25,49.22,50.95,6752300.0
2021-03-16,49.71,50.59,49.2,49.79,3922600.0
2021-03-15,48.85,50.2,48.23,50.2,5266700.0
2021-03-12,48.61,49.24,48.27,48.86,6937300.0
2021-03-11,48.18,49.38,47.4,49.38,9144800.0
2021-03-10,48.18,48.68,46.3,47.97,9855100.0
2021-03-09,47.47,49.14,47.35,48.22,10103200.0
2021-03-08,49.05,50.4,47.56,48.18,8388600.0
2021-03-05,48.1,51.0,48.01,50.51,10751100.0
2021-03-04,47.3,48.78,46.58,47.42,7231400.0
2021-03-03,46.07,48.3,44.65,47.34,11224800.0
2021-03-02,46.19,47.49,44.37,47.0,9145800.0
2021-03-01,47.29,47.71,46.2,46.35,6213900.0
2021-02-26,48.09,48.48,45.7,46.17,11625500.0
2021-02-25,49.5,50.48,47.62,47.86,8704900.0
2021-02-24,49.79,50.3,48.7,49.54,6285000.0
2021-02-23,50.71,51.38,49.04,49.38,10560700.0
2021-02-22,51.15,52.27,49.37,51.23,10406600.0
2021-02-19,51.82,52.55,51.24,52.55,5598300.0
2021-02-18,52.52,52.75,50.34,51.75,6950400.0
2021-02-17,52.99,53.27,51.99,53.09,7082700.0
2021-02-12,53.62,53.97,52.29,53.3,8920000.0
2021-02-11,50.94,54.14,50.82,53.76,14071600.0
2021-02-10,51.1,51.39,49.67,50.72,5572200.0
2021-02-09,50.51,51.61,50.02,51.09,6166300.0
2021-02-08,50.5,51.09,50.08,50.73,5372800.0
2021-02-05,50.55,51.45,50.51,50.97,4122400.0
2021-02-04,50.0,51.08,49.65,50.41,4093500.0
2021-02-03,49.27,50.6,49.27,50.0,4214000.0
2021-02-02,49.4,50.0,48.48,49.26,6991600.0
2021-02-01,49.62,49.9,48.3,48.46,6465100.0
2021-01-29,49.9,50.11,48.0,49.06,7796900.0
2021-01-28,49.43,50.71,48.92,50.3,4486800.0
2021-01-27,49.95,50.32,49.04,49.42,7698800.0
2021-01-26,49.04,50.76,49.04,50.1,7337100.0
2021-01-22,48.79,49.62,48.52,49.33,3822000.0
2021-01-21,50.12,50.57,48.54,49.16,5675300.0
2021-01-20,51.3,51.34,49.72,50.02,3524800.0
2021-01-19,52.15,52.65,50.53,51.18,5393900.0
2021-01-18,49.64,52.58,49.6,51.94,5953200.0
2021-01-15,49.58,50.34,48.86,49.39,5647000.0
2021-01-14,51.48,51.7,50.27,50.35,4373900.0
2021-01-13,51.2,51.65,49.54,51.2,6728900.0
2021-01-12,49.3,51.48,48.44,51.46,8900100.0
2021-01-11,50.27,51.06,48.6,49.1,13466400.0
2021-01-08,48.59,51.8,47.8,50.72,9323000.0
2021-01-07,48.94,49.19,47.38,48.48,11211300.0
2021-01-06,51.76,51.9,48.9,48.9,9361100.0
2021-01-05,51.36,51.81,50.7,51.69,3476900.0
2021-01-04,52.93,53.1,51.02,51.99,4396100.0
2020-12-30,51.92,53.27,51.89,52.5,6905500.0
2020-12-29,52.21,52.94,51.38,51.94,4229700.0
2020-12-28,51.85,52.41,51.08,52.0,2861100.0
2020-12-23,50.05,51.93,49.93,51.69,5885500.0
2020-12-22,49.65,50.3,49.42,50.05,2464300.0
2020-12-21,50.1,50.7,49.41,49.74,6668100.0
2020-12-18,51.15,51.77,50.85,51.18,5626900.0
2020-12-17,50.6,51.27,49.88,51.14,5091300.0
2020-12-16,48.98,51.07,48.59,50.9,7275300.0
2020-12-15,48.61,49.0,47.85,49.0,4045200.0
2020-12-14,48.45,48.76,47.71,48.65,3441800.0
2020-12-11,47.64,48.44,47.16,48.07,3699300.0
2020-12-10,48.44,48.51,46.39,47.91,8042300.0
2020-12-09,48.22,49.36,47.92,48.29,4198600.0
2020-12-08,48.44,48.85,47.72,48.83,6360900.0
2020-12-07,49.15,49.21,47.86,48.45,6532700.0
2020-12-04,49.5,50.29,48.87,49.15,4716900.0
2020-12-03,49.5,49.74,48.05,49.0,7351100.0
2020-12-02,49.09,49.67,48.0,49.35,6618600.0
2020-12-01,50.7,51.0,48.2,49.1,10884300.0
2020-11-30,51.4,51.49,49.89,50.41,8109300.0
2020-11-27,50.5,51.4,50.03,51.4,3458300.0
2020-11-26,49.71,50.87,49.69,50.41,3957500.0
2020-11-25,48.1,50.42,48.02,50.3,5468400.0
2020-11-24,48.0,48.58,47.35,48.29,8226600.0
2020-11-23,48.75,48.8,47.53,48.21,4590300.0
2020-11-20,49.06,49.06,48.2,48.57,2971200.0
2020-11-19,49.0,49.49,48.23,48.87,4184900.0
2020-11-18,49.92,50.18,47.91,49.21,10262900.0
2020-11-17,50.99,51.3,49.83,50.09,7118400.0
2020-11-16,51.15,51.57,50.16,51.0,8049200.0
2020-11-13,49.97,51.75,49.95,51.03,15092100.0
2020-11-12,49.45,50.0,48.6,49.26,9658600.0
2020-11-11,48.14,50.05,47.85,49.44,8072700.0
2020-11-10,49.22,49.5,48.0,48.45,9280400.0
2020-11-09,51.64,52.05,48.82,49.15,10729600.0
2020-11-06,49.88,51.28,49.56,50.63,7531000.0
2020-11-05,48.71,50.66,48.29,50.28,10034000.0
2020-11-04,46.65,48.18,46.24,47.67,6880600.0
2020-11-03,47.16,47.22,45.24,46.43,8163700.0
2020-10-30,47.8,47.88,45.85,46.1,10593300.0
2020-10-29,48.2,48.7,47.08,47.8,7004300.0
