date,1. open,2. high,3. low,4. close,5. volume
2021-09-08,1.01,1.05,0.97,0.98,91454300.0
2021-09-06,0.99,1.03,0.98,1.02,50970200.0
2021-09-03,1.01,1.02,1.0,1.01,47702200.0
2021-09-02,1.03,1.03,1.0,1.01,50712500.0
2021-09-01,1.09,1.09,1.01,1.02,215499800.0
2021-08-31,1.12,1.14,1.08,1.11,71105900.0
2021-08-30,1.15,1.16,1.12,1.12,40909600.0
2021-08-27,1.12,1.15,1.11,1.15,28159500.0
2021-08-26,1.16,1.18,1.1,1.12,70095300.0
2021-08-25,1.14,1.17,1.14,1.16,41618100.0
2021-08-24,1.17,1.2,1.11,1.16,145585700.0
2021-08-23,1.04,1.16,1.03,1.15,110979900.0
2021-08-20,1.0,1.04,1.0,1.04,44164100.0
2021-08-19,0.98,1.03,0.97,1.02,90614900.0
2021-08-18,1.02,1.05,1.0,1.01,99283700.0
2021-08-17,0.98,1.05,0.95,1.02,152659600.0
2021-08-16,1.06,1.07,0.99,1.01,140818900.0
2021-08-13,1.1,1.11,1.06,1.08,47720000.0
2021-08-12,1.15,1.17,1.08,1.09,86387000.0
2021-08-11,1.14,1.15,1.1,1.11,74401200.0
2021-08-10,1.16,1.17,1.14,1.14,25212700.0
2021-08-09,1.14,1.17,1.14,1.16,42080200.0
2021-08-06,1.16,1.16,1.13,1.14,64090200.0
2021-08-05,1.19,1.2,1.15,1.15,63074100.0
2021-08-04,1.17,1.23,1.16,1.19,86137900.0
2021-08-03,1.17,1.19,1.14,1.19,73535800.0
2021-08-02,1.21,1.21,1.17,1.19,61047500.0
2021-07-30,1.2,1.21,1.17,1.19,49258700.0
2021-07-29,1.22,1.23,1.2,1.21,37618700.0
2021-07-28,1.23,1.24,1.19,1.22,81550100.0
2021-07-27,1.13,1.24,1.13,1.21,168085500.0
2021-07-26,1.19,1.22,1.14,1.15,186218200.0
2021-07-23,1.29,1.29,1.22,1.23,127025800.0
2021-07-22,1.3,1.35,1.26,1.27,151473700.0
2021-07-21,1.36,1.4,1.23,1.29,354569600.0
2021-07-20,1.48,1.49,1.36,1.36,240605297.0
2021-07-19,1.59,1.59,1.44,1.47,223641109.0
2021-07-16,1.6,1.64,1.59,1.6,57923400.0
2021-07-15,1.58,1.64,1.58,1.59,70160300.0
2021-07-14,1.56,1.61,1.56,1.59,54120000.0
2021-07-13,1.54,1.58,1.54,1.56,31628301.0
2021-07-12,1.55,1.56,1.52,1.55,55987398.0
2021-07-08,1.54,1.56,1.52,1.53,83933300.0
2021-07-07,1.6,1.6,1.55,1.57,71544200.0
